iter	Passed	Remaining
0	0	717
1	0	555
2	0	479
3	1	456
4	1	434
5	1	421
6	1	408
7	2	398
8	2	394
9	2	387
10	2	385
11	3	380
12	3	377
13	3	374
14	3	372
15	3	370
16	4	362
17	4	361
18	4	359
19	4	360
20	5	362
21	5	362
22	5	361
23	5	358
24	6	355
25	6	354
26	6	352
27	6	350
28	6	349
29	7	348
30	7	347
31	7	353
32	8	358
33	8	359
34	8	358
35	8	358
36	9	357
37	9	357
38	9	357
39	9	359
40	10	359
41	10	358
42	10	356
43	10	354
44	10	353
45	11	353
46	11	353
47	11	353
48	11	353
49	12	352
50	12	352
51	12	353
52	12	352
53	13	351
54	13	351
55	13	350
56	13	350
57	14	348
58	14	348
59	14	347
60	14	347
61	14	347
62	15	346
63	15	346
64	15	346
65	15	345
66	16	345
67	16	344
68	16	344
69	16	343
70	17	343
71	17	342
72	17	343
73	17	342
74	17	341
75	18	340
76	18	339
77	18	338
78	18	337
79	18	336
80	19	335
81	19	334
82	19	333
83	19	332
84	19	331
85	20	330
86	20	331
87	20	331
88	20	331
89	21	331
90	21	331
91	21	331
92	21	331
93	22	331
94	22	331
95	22	330
96	22	330
97	23	329
98	23	329
99	23	329
100	23	328
101	23	327
102	24	327
103	24	326
104	24	326
105	24	325
106	24	325
107	25	325
108	25	324
109	25	324
110	25	323
111	26	322
112	26	322
113	26	322
114	26	322
115	26	321
116	27	321
117	27	320
118	27	320
119	27	319
120	28	319
121	28	318
122	28	318
123	28	317
124	28	317
125	29	317
126	29	316
127	29	316
128	29	316
129	29	315
130	30	315
131	30	314
132	30	314
133	30	314
134	31	313
135	31	313
136	31	312
137	31	312
138	31	311
139	32	311
140	32	311
141	32	310
142	33	313
143	33	313
144	33	313
145	34	322
146	34	321
147	35	321
148	35	321
149	35	323
150	36	323
151	36	323
152	36	322
153	36	322
154	37	321
155	37	321
156	37	321
157	37	320
158	38	321
159	38	321
160	38	321
161	38	321
162	39	321
163	39	320
164	39	320
165	39	319
166	40	319
167	40	318
168	41	325
169	43	338
170	43	339
171	43	339
172	44	339
173	44	339
174	44	338
175	45	338
176	45	338
177	45	338
178	45	338
179	46	337
180	46	337
181	46	337
182	46	336
183	47	336
184	47	336
185	47	335
186	47	335
187	48	335
188	48	334
189	48	334
190	48	333
191	48	333
192	49	332
193	49	332
194	49	331
195	49	331
196	50	331
197	50	330
198	50	330
199	50	330
200	51	329
201	51	329
202	51	329
203	51	328
204	51	328
205	52	327
206	52	327
207	52	327
208	52	327
209	53	326
210	53	326
211	53	326
212	53	325
213	54	327
214	54	327
215	54	326
216	55	326
217	55	325
218	55	325
219	55	324
220	56	324
221	56	324
222	56	323
223	56	323
224	56	322
225	57	322
226	57	322
227	57	321
228	57	321
229	58	321
230	58	320
231	58	320
232	58	320
233	59	319
234	59	319
235	59	318
236	59	318
237	60	318
238	60	318
239	60	317
240	60	317
241	60	316
242	61	316
243	61	316
244	61	315
245	61	315
246	62	315
247	62	314
248	62	314
249	62	314
250	63	313
251	63	313
252	63	313
253	64	315
254	64	315
255	64	315
256	65	315
257	65	314
258	65	314
259	65	314
260	66	313
261	66	313
262	66	313
263	66	312
264	66	312
265	67	312
266	67	312
267	67	312
268	68	311
269	68	311
270	68	310
271	68	310
272	69	310
273	69	310
274	69	309
275	69	309
276	70	309
277	70	308
278	70	308
279	70	308
280	70	307
281	71	307
282	71	307
283	71	306
284	71	306
285	72	306
286	72	305
287	72	305
288	72	304
289	73	305
290	73	304
291	73	304
292	73	304
293	74	304
294	75	309
295	77	316
296	78	316
297	78	316
298	78	315
299	78	315
300	80	318
301	80	318
302	80	318
303	80	318
304	81	317
305	81	317
306	81	317
307	81	317
308	82	317
309	82	316
310	82	316
311	82	315
312	83	315
313	83	314
314	83	314
315	83	314
316	84	313
317	84	313
318	84	312
319	84	312
320	85	312
321	85	311
322	85	311
323	85	310
324	85	310
325	86	310
326	86	309
327	86	309
328	86	308
329	88	312
330	88	312
331	88	312
332	89	312
333	89	311
334	89	311
335	89	311
336	90	311
337	90	310
338	90	310
339	90	310
340	91	309
341	91	309
342	91	309
343	91	309
344	92	308
345	92	308
346	92	307
347	92	307
348	93	306
349	93	306
350	93	306
351	93	305
352	94	305
353	94	305
354	94	304
355	94	304
356	95	304
357	95	303
358	95	303
359	95	303
360	95	302
361	96	302
362	96	301
363	96	301
364	96	301
365	97	300
366	97	300
367	97	300
368	97	299
369	98	299
370	98	298
371	98	298
372	98	298
373	98	297
374	99	297
375	99	297
376	99	296
377	99	296
378	100	296
379	100	295
380	100	295
381	100	295
382	101	294
383	101	294
384	101	294
385	101	294
386	102	293
387	102	293
388	102	293
389	102	292
390	103	292
391	103	292
392	103	291
393	103	291
394	104	291
395	104	290
396	104	290
397	104	289
398	104	289
399	105	289
400	105	288
401	105	288
402	105	287
403	106	287
404	106	287
405	106	286
406	106	286
407	106	286
408	107	285
409	107	285
410	107	285
411	107	284
412	108	284
413	108	284
414	108	283
415	108	283
416	108	282
417	109	282
418	109	282
419	109	281
420	109	281
421	110	281
422	110	280
423	110	280
424	110	280
425	110	279
426	111	279
427	111	279
428	111	279
429	112	278
430	112	278
431	112	278
432	112	277
433	112	277
434	113	277
435	113	276
436	113	276
437	113	276
438	114	275
439	114	275
440	114	274
441	114	274
442	114	274
443	115	273
444	115	273
445	115	273
446	115	272
447	116	272
448	116	272
449	116	271
450	116	271
451	117	271
452	117	270
453	117	270
454	117	270
455	117	269
456	118	269
457	118	269
458	118	269
459	119	269
460	119	269
461	120	269
462	120	269
463	120	269
464	120	269
465	121	269
466	121	269
467	123	271
468	123	271
469	123	271
470	123	270
471	124	270
472	124	270
473	124	269
474	124	269
475	125	269
476	125	268
477	125	268
478	125	268
479	126	267
480	126	267
481	126	267
482	126	267
483	127	266
484	127	266
485	127	266
486	127	266
487	128	265
488	128	265
489	128	265
490	128	264
491	129	264
492	129	264
493	129	263
494	129	263
495	130	263
496	130	263
497	130	262
498	130	262
499	131	262
500	131	262
501	131	261
502	131	261
503	132	261
504	132	260
505	133	261
506	133	261
507	133	260
508	133	260
509	134	260
510	134	259
511	134	259
512	134	259
513	135	259
514	135	258
515	135	258
516	135	257
517	135	257
518	136	257
519	136	256
520	136	256
521	136	256
522	136	255
523	137	255
524	137	255
525	137	254
526	138	255
527	138	254
528	138	254
529	138	254
530	139	253
531	139	253
532	139	253
533	139	252
534	139	252
535	140	252
536	140	251
537	140	251
538	140	251
539	141	250
540	141	250
541	141	250
542	141	249
543	142	249
544	142	249
545	142	248
546	142	248
547	142	248
548	143	247
549	143	247
550	143	247
551	143	246
552	144	246
553	144	246
554	144	245
555	144	245
556	144	245
557	145	244
558	145	244
559	145	244
560	145	243
561	145	243
562	146	243
563	146	242
564	146	242
565	146	242
566	146	241
567	147	241
568	147	241
569	147	240
570	147	240
571	148	240
572	148	239
573	148	239
574	148	239
575	149	239
576	149	238
577	149	238
578	149	238
579	150	237
580	150	237
581	150	237
582	150	237
583	150	236
584	151	236
585	151	236
586	151	235
587	151	235
588	152	235
589	152	235
590	152	234
591	152	234
592	153	234
593	153	233
594	153	233
595	153	233
596	153	232
597	154	232
598	154	232
599	154	232
600	154	231
601	155	231
602	155	231
603	155	230
604	155	230
605	156	230
606	156	229
607	156	229
608	156	229
609	156	229
610	157	228
611	157	228
612	157	228
613	157	227
614	158	227
615	158	227
616	158	226
617	158	226
618	158	226
619	159	225
620	159	225
621	159	225
622	159	224
623	159	224
624	160	224
625	160	223
626	160	223
627	160	223
628	161	223
629	161	222
630	161	222
631	161	222
632	162	221
633	162	221
634	162	221
635	162	221
636	163	221
637	163	220
638	163	220
639	163	220
640	164	219
641	164	219
642	165	220
643	165	220
644	166	220
645	166	219
646	166	219
647	166	219
648	166	218
649	167	218
650	167	218
651	167	218
652	167	217
653	168	217
654	168	217
655	168	216
656	168	216
657	170	217
658	170	217
659	170	217
660	170	217
661	171	216
662	171	216
663	171	216
664	171	215
665	172	215
666	172	215
667	172	215
668	172	214
669	173	214
670	173	214
671	173	213
672	173	213
673	174	213
674	174	213
675	174	212
676	174	212
677	174	212
678	175	211
679	175	211
680	175	211
681	175	210
682	175	210
683	176	210
684	176	209
685	176	209
686	176	209
687	177	208
688	177	208
689	177	208
690	177	208
691	177	207
692	178	207
693	178	207
694	178	206
695	178	206
696	179	206
697	179	206
698	179	205
699	179	205
700	180	205
701	180	204
702	180	204
703	180	204
704	180	204
705	181	203
706	181	203
707	181	203
708	182	203
709	182	203
710	182	203
711	183	202
712	183	202
713	183	202
714	183	201
715	184	201
716	184	201
717	184	201
718	184	200
719	185	200
720	185	200
721	185	199
722	185	199
723	185	199
724	186	199
725	186	198
726	186	198
727	186	198
728	187	197
729	187	197
730	187	197
731	187	197
732	187	196
733	188	196
734	188	196
735	188	195
736	188	195
737	189	195
738	189	194
739	189	194
740	189	194
741	190	194
742	190	193
743	190	193
744	190	193
745	191	193
746	191	192
747	191	192
748	191	192
749	192	192
750	192	191
751	192	191
752	192	191
753	193	191
754	193	190
755	193	190
756	193	190
757	194	189
758	194	189
759	194	189
760	194	189
761	195	188
762	195	188
763	195	188
764	195	188
765	196	187
766	196	187
767	196	187
768	196	187
769	197	186
770	197	186
771	197	186
772	197	185
773	197	185
774	198	185
775	198	185
776	198	185
777	199	184
778	199	184
779	199	184
780	199	184
781	200	183
782	200	183
783	200	183
784	200	182
785	201	182
786	201	182
