iter	RMSE
0	0.9479031884
1	0.8907724362
2	0.8771507445
3	0.864653353
4	0.8524115424
5	0.8420643242
6	0.8294963694
7	0.8172242127
8	0.8051522176
9	0.7938229359
10	0.7828026196
11	0.7735615704
12	0.7636665013
13	0.7527388735
14	0.7424226221
15	0.7328991329
16	0.7221272594
17	0.7121471888
18	0.7024060928
19	0.693167181
20	0.6850025634
21	0.6781411757
22	0.6701314584
23	0.6616579131
24	0.6545267964
25	0.6464402192
26	0.6387960843
27	0.6326407952
28	0.6476598058
29	0.64118461
30	0.6335319861
31	0.6272469633
32	0.6213301635
33	0.6148299174
34	0.6076840897
35	0.6022914495
36	0.5951096261
37	0.5882786565
38	0.5816247042
39	0.5763113755
40	0.5691063865
41	0.5628569682
42	0.5557492518
43	0.5511434322
44	0.5460825134
45	0.5407335509
46	0.5360047278
47	0.5313183644
48	0.5261257248
49	0.52175927
50	0.5170897633
51	0.5129646921
52	0.5094814843
53	0.5055738736
54	0.5011231425
55	0.4969091922
56	0.4927881301
57	0.4889856454
58	0.4855307006
59	0.4817445263
60	0.4785182027
61	0.4747579453
62	0.4716454388
63	0.4682278233
64	0.4653393123
65	0.4621216347
66	0.4594238901
67	0.4562370328
68	0.4534207238
69	0.4502596593
70	0.4474219082
71	0.4448995933
72	0.4417704308
73	0.4393884876
74	0.4368788104
75	0.4346430475
76	0.4321519265
77	0.4298677463
78	0.4279862513
79	0.4256908051
80	0.4236099493
81	0.421429515
82	0.4194155601
83	0.4175856492
84	0.4158348031
85	0.4138356592
86	0.4125817706
87	0.411008472
88	0.409230523
89	0.4075244259
90	0.4056063112
91	0.4036037951
92	0.4020329406
93	0.4004528293
94	0.3986059042
95	0.3967894035
96	0.395472073
97	0.3935518972
98	0.3916444548
99	0.3903335948
100	0.3890423951
101	0.387244952
102	0.3860300707
103	0.3839925939
104	0.3827856787
105	0.3811588138
106	0.3795573876
107	0.3778865392
108	0.3767787265
109	0.3757145933
110	0.3740255677
111	0.3728708053
112	0.3718482843
113	0.370152316
114	0.369167739
115	0.3682068029
116	0.367353748
117	0.3662028797
118	0.3645217016
119	0.3634510393
120	0.3624571461
121	0.361439549
122	0.3604520007
123	0.3588315223
124	0.3573608743
125	0.3565246448
126	0.3557270475
127	0.3549425455
128	0.3535178666
129	0.3522339536
130	0.3511565248
131	0.3505788852
132	0.3497085735
133	0.3490897115
134	0.3483266997
135	0.3470521256
136	0.3463493605
137	0.3449382439
138	0.3442089308
139	0.343528989
140	0.3425256648
141	0.3416558287
142	0.3407470053
143	0.3401621339
144	0.3396054281
145	0.3385235413
146	0.3376425459
147	0.3371943944
148	0.3364518231
149	0.3357495833
150	0.3346038775
151	0.3338236858
152	0.3332426682
153	0.3325344312
154	0.3319954097
155	0.3310432612
156	0.3301481443
157	0.3293622279
158	0.328561823
159	0.3280450147
160	0.327998662
161	0.3274839288
162	0.3269169632
163	0.3259529191
164	0.3251306584
165	0.3245371552
166	0.3236855266
167	0.3231665812
168	0.3223439349
169	0.3215029818
170	0.3206732946
171	0.3197120766
172	0.3190213115
173	0.3187343125
174	0.3179460184
175	0.3171962188
176	0.3163236865
177	0.3155336752
178	0.3149667682
179	0.3143820425
180	0.3136290578
181	0.3128175677
182	0.3121714525
183	0.3113484139
184	0.3106457168
185	0.3099452273
186	0.3088050682
187	0.3082818103
188	0.3078633268
189	0.3071192208
190	0.3061940325
191	0.3056295309
192	0.3049613205
193	0.3041726979
194	0.3032452223
195	0.3027380663
196	0.3021494427
197	0.3014937991
198	0.3007300409
199	0.3000817828
200	0.2994276706
201	0.2990969915
202	0.298296949
203	0.2978962649
204	0.2973508409
205	0.2967278831
206	0.2961067351
207	0.2955855853
208	0.2949085922
209	0.2943914595
210	0.2936602616
211	0.2930554811
212	0.2924842661
213	0.2920397222
214	0.2913946088
215	0.2908732026
216	0.2901792304
217	0.2894742314
218	0.2888614889
219	0.2881728511
220	0.2874742538
221	0.2869608412
222	0.2860946737
223	0.2857259753
224	0.2853543734
225	0.2848624979
226	0.2841013492
227	0.2834795404
228	0.2826576551
229	0.2819952159
230	0.2812673056
231	0.2806628278
232	0.2801056417
233	0.2796098566
234	0.2790245931
235	0.2783178214
236	0.2777320621
237	0.2771124487
238	0.2766746358
239	0.2759092839
240	0.2753522068
241	0.27489094
242	0.2743302813
243	0.273774073
244	0.2732291062
245	0.2725157993
246	0.2720812428
247	0.2715459966
248	0.270972453
249	0.2703819074
250	0.2699732321
251	0.2694510394
252	0.268984386
253	0.2686056495
254	0.2679834442
255	0.2674200535
256	0.2670220553
257	0.2665308737
258	0.2661065519
259	0.2655944061
260	0.2651266622
261	0.2646882633
262	0.2641706683
263	0.2637629638
264	0.2632838458
265	0.2628339009
266	0.2623363504
267	0.2617894089
268	0.2611947092
269	0.2607391337
270	0.2601499772
271	0.2597073138
272	0.2590753928
273	0.2587388349
274	0.2583041306
275	0.2578615354
276	0.2575552903
277	0.2569965498
278	0.2565067216
279	0.2560868524
280	0.2556584764
281	0.2551503575
282	0.2546427035
283	0.2542833265
284	0.2538838941
285	0.253356344
286	0.2529214162
287	0.2526267491
288	0.2522139224
