iter	Passed	Remaining
0	151	120878
1	169	67438
2	169	44992
3	169	33753
4	169	27011
5	170	22530
6	170	19330
7	171	16930
8	171	15060
9	171	13564
10	172	12339
11	172	11324
12	172	10457
13	173	9720
14	173	9076
15	173	8518
16	174	8026
17	174	7586
18	175	7194
19	175	6841
20	175	6518
21	176	6227
22	176	5961
23	176	5715
24	177	5492
25	177	5286
26	177	5092
27	178	491428	188	5014
29	189	4852
30	189	4700
31	197	4742
32	210	4884
33	210	4745
34	210	4610
35	211	4484
36	211	4364
37	212	4251
38	212	4142
39	212	4041
40	213	3943
41	213	3850
42	213	3761
43	214	3677
44	214	3594
45	214	3517
46	214	3440
47	214	3367
48	215	3300
49	217	3258
50	218	3206
51	223	3214
52	225	3181
53	225	3121
54	226	3064
55	226	3009
56	226	2956
57	227	2904
58	227	2855
59	227	2808
60	228	2763
61	228	2719
62	228	2676
63	229	2634
64	229	2595
65	231	2572
66	231	2535
67	232	2498
68	232	2463
69	233	2437
70	234	2404
71	234	2371
72	234	2339
73	235	2308
74	235	2277
75	235	2247
76	236	2218
77	236	2189
78	236	2162
79	237	2141
80	238	2114
81	240	2104
82	240	2079
83	241	2054
84	241	2029
85	241	2005
86	241	1983
87	242	1960
88	242	1937
89	242	1916
90	243	1895
91	243	1874
92	243	1854
93	244	1835
94	244	1815
95	245	1797
96	248	1798
97	248	1780
98	248	1763
99	249	1745
100	249	1729
101	250	1713
102	250	1697
103	251	1680
104	251	1664
105	252	1653
106	252	1638
107	253	1623
108	253	1608
109	254	1593
110	256	1592
111	256	1578
112	263	1601
113	263	1588
114	264	1574
115	264	1560
116	265	1547
117	268	1553
118	269	1541
119	269	1528
120	270	1515
121	284	1578
122	284	1567
123	285	1554
124	285	1542
125	285	1529
126	286	1517
127	290	1523
128	290	1511
129	291	1499
130	291	1487
131	291	1476
132	292	1468
133	293	1456
134	293	1445
135	293	1434
136	294	1423
137	294	1412
138	294	1401
139	295	1391
140	295	1381
141	295	1370
142	296	1362
143	296	1352
144	297	1343
145	298	1336
146	298	1326
147	299	1317
148	299	1308
149	299	1299
150	300	1290
151	300	1281
152	300	1272
153	301	1263
154	301	1255
155	301	1246
156	306	1255
157	309	1256
158	313	1263
159	313	1255
160	314	1246
161	314	1238
162	314	1230
163	315	1222
164	315	1214
165	315	1206
166	316	1198
167	316	1190
168	316	1183
169	317	1175
170	317	1168
171	318	1161
172	318	1153
173	318	1146
174	319	1139
175	319	1132
176	319	1125
177	320	1118
178	320	1111
179	320	1105
180	321	1099
181	321	1093
182	322	1086
183	322	1080
184	323	1073
185	323	1067
186	323	1061
187	326	1063
188	327	1058
189	327	1052
190	328	1046
191	328	1040
192	328	1034
193	329	1028
194	329	1022
195	329	1016
196	330	1010
197	330	1005
198	331	999
199	331	994
200	331	988
201	332	983
202	332	977
203	333	974
204	333	968
205	334	965
206	335	960
207	335	955
208	335	950
209	336	944
210	336	939
211	337	937
212	338	932
213	338	927
214	339	922
215	339	918
216	342	920
217	343	916
218	345	917
219	346	912
220	346	907
221	354	921
222	354	917
223	354	912
224	358	914
225	358	910
226	358	905
227	359	901
228	359	896
229	359	892
230	360	887
231	360	883
232	361	878
233	362	876
234	362	872
235	363	867
236	363	863
237	363	859
238	364	855
239	366	855
240	366	851
241	367	847
242	368	843
243	368	839
244	368	835
245	369	831
246	373	837
247	375	834
248	375	830
249	375	826
250	376	822
251	376	818
252	376	815
253	380	816
254	380	812
255	380	809
256	381	805
257	384	807
258	384	803
259	385	800
260	385	796
261	386	793
262	386	789
263	387	785
264	387	782
265	387	778
266	388	774
267	388	771
268	388	767
269	389	764
270	389	760
271	390	757
272	390	753
273	390	750
274	391	746
275	391	743
276	391	740
277	394	740
278	394	737
279	395	733
280	395	730
281	395	727
282	396	723
283	396	720
284	396	717
285	403	725
286	406	726
287	406	723
288	407	719
289	407	716
290	407	713
291	408	710
292	408	707
293	409	705
294	410	702
295	410	698
296	411	696
297	411	693
298	411	689
299	412	686
300	412	683
301	412	680304	417	676
3303	416	6793304	416	676307	418	669
3306	428	687
307	428	684
308	428	681
309	430	680
310	432	679
311	435	681
312	436	679
313	442	684
314	442	681
315	442	678
316	443	675
317	443	672
318	444	669
319	444	666
320	444	663
321	445	660
322	445	657
323	448	659
324	449	656
325	452	657
326	452	654
327	453	652
328	453	649
329	453	646
330	454	643
331	454	640
332	455	638
333	455	635
334	461	640
335	461	637
336	462	634
337	462	632
338	462	629
339	463	626
340	463	623
341	463	621
342	467	622
343	467	620
344	468	617
345	468	614
346	468	612
347	469	609
348	469	606
349	471	605
350	471	603
351	471	600
352	476	603
353	476	600
354	477	598
355	477	595
356	478	593
357	478	590
358	478	588
359	479	585
360	479	583
361	483	584
362	483	582
363	483	579
364	486	580
365	487	577
366	487	575
367	488	572
368	488	570
369	488	568
370	489	565
371	489	563
372	489	560
373	490	558
374	490	556
375	490	553
376	493	553
377	493	551
378	494	548
379	494	546
380	494	544
381	496	543
382	497	541
383	498	539
384	499	538
385	500	536
386	500	534
387	500	531
388	503	531
389	503	529
390	503	527
391	504	524
392	508	526
393	508	524
394	509	522
395	514	524
396	514	522
397	515	520
398	515	517
399	515	515
400	516	513
401	516	511
402	516	509
403	517	507
404	517	504
405	518	502
406	521	503
407	521	501
408	522	499
409	522	497
410	523	495
411	523	493
412	523	490
413	524	489
414	525	487
415	532	491
416	537	493
417	538	491
418	538	489
419	539	487
420	539	485
421	541	485
422	542	483
423	542	481
424	543	479
425	543	477
426	544	475
427	547	475
428	547	473
429	547	471
430	548	469
431	548	467
432	549	465
433	554	467
434	554	465
435	555	463
436	555	461
437	556	459
438	556	457
439	557	455
440	557	453
441	557	451
442	558	449
443	559	448
444	563	449
445	564	447
446	564	445
447	564	443
448	569	445
449	569	443
450	570	441
451	570	439
452	571	437
453	571	435
454	571	433
455	573	432
456	573	430
457	574	428
458	574	426
459	574	424
460	575	422
461	575	421
462	575	419
463	576	417
464	576	415
465	576	413
466	577	411
467	577	409
468	577	407
469	578	406
470	578	404
471	579	402
472	583	403
473	583	401
474	584	399
475	584	397
476	585	396
477	585	394
478	586	392
479	586	391
480	587	389
481	587	387
482	587	385
483	588	384
484	588	382
485	588	380
486	595	382
487	595	380
488	596	379
489	596	377
490	596	375
491	597	373
492	597	372
493	598	370
494	598	368
495	598	366
496	599	365
497	599	363
498	599	361
499	600	360
500	600	358
501	602	357
502	602	356
503	603	354
504	603	352
505	604	351
506	604	349
507	605	347
508	605	346
509	606	344
510	606	342
511	606	341
512	607	339
513	607	338
514	607	336
515	608	334
516	608	333
517	609	331
518	609	329
519	609	328
520	610	326
521	610	3255522	615	325
523	616	324
524	616	323
525	617	321
526	623	322
527	623	321
528	623	319
529	629	320
530	629	318
531	629	317
532	630	315
533	630	314
534	631	312
535	631	311
536	631	309
537	632	307
538	632	306
539	633	304
540	633	303
541	633	301
542	634	300
543	634	298
544	634	297
545	635	295
546	635	293
547	635	292
548	636	290
549	636	289
550	637	287
551	637	286
552	637	284
553	638	283
554	638	281
555	638	280
556	639	278
557	639	277
558	639	275
559	640	274
560	640	272
561	642	272
562	642	270
563	643	269
564	646	268
565	646	267
566	646	265
567	647	264
568	647	262
569	648	261
570	648	260
571	648	258
572	649	257
573	649	255
574	649	254
575	650	252
576	650	251
577	651	250
578	651	248
579	651	247
580	652	245
581	656	245
582	658	244
583	658	243
584	659	242
585	659	240
586	659	239
587	660	238
588	660	236
589	660	235
590	661	233
591	661	232
592	662	231
593	662	229
594	662	228
595	663	226
596	667	226
597	667	225
598	668	224
599	668	222
600	668	221
601	671	220
602	671	219
603	672	218
604	672	216
605	672	215
606	673	214
607	673	212
608	673	211
609	674	210
610	674	208
611	675	207
612	678	206
613	679	205
614	679	204
615	680	203
616	680	201
617	681	200
618	681	199
619	681	197
620	682	196
621	683	195
622	685	194
623	685	193
624	685	192
625	686	190
626	686	189
627	687	188
