iter	RMSE
0	5.38649705
1	5.371845287
2	5.356443435
3	5.342461591
4	5.324141293
5	5.316265666
6	5.296283094
7	5.276436295
8	5.268692618
9	5.248356908
10	5.228516972
11	5.203557981
12	5.187576251
13	5.160951632
14	5.138551663
15	5.122485601
16	5.096354237
17	5.074324891
18	5.049041216
19	5.030403415
20	5.010896804
21	5.000174471
22	4.988365455
23	4.966063714
24	4.942562294
25	4.92039272
26	4.902178158
27	4.885313864
28	4.871913127
29	4.865521822
30	4.843297179
31	4.821816045
32	4.806266863
33	4.790819624
34	4.770212736
35	4.754823239
36	4.736960686
37	4.725678732
38	4.708065322
39	4.693805041
40	4.674119299
41	4.655703255
42	4.639165026
43	4.625315102
44	4.607716967
45	4.586908606
46	4.567906711
47	4.550564512
48	4.534985345
49	4.510656201
50	4.490711244
51	4.470234675
52	4.451440854
53	4.437743358
54	4.419963724
55	4.404107288
56	4.387316745
57	4.371345677
58	4.351319213
59	4.336903481
60	4.320149744
61	4.30027782
62	4.288426929
63	4.271134246
64	4.252509516
65	4.232068921
66	4.214007687
67	4.198715358
68	4.179616962
69	4.163438523
70	4.150399825
71	4.137242067
72	4.12026141
73	4.105948643
74	4.091213998
75	4.072420089
76	4.056658704
77	4.039759399
78	4.020960525
79	4.004539508
80	3.992282344
81	3.979304663
82	3.965522048
83	3.945610118
84	3.928634176
85	3.914443178
86	3.906020814
87	3.889723345
88	3.880885049
89	3.865331039
90	3.851540026
91	3.842074797
92	3.825657403
93	3.809855582
94	3.795324836
95	3.778328929
96	3.76141735
97	3.745836553
98	3.729035808
99	3.714931632
100	3.699526825
101	3.689567846
102	3.677750512
103	3.660624275
104	3.647044853
105	3.633235679
106	3.618298132
107	3.602103462
108	3.588487989
109	3.577333787
110	3.568144884
111	3.554680504
112	3.54316332
113	3.528120766
114	3.514239185
115	3.499397933
116	3.487576753
117	3.476964004
118	3.463807313
119	3.451988537
120	3.437812754
121	3.426270737
122	3.414891283
123	3.401312915
124	3.387313443
125	3.376829356
126	3.3667416
127	3.350805208
128	3.336566462
129	3.327597713
130	3.318576146
131	3.305445838
132	3.292190333
133	3.283141701
134	3.273302885
135	3.263588823
136	3.251629372
137	3.238207356
138	3.229735397
139	3.214946696
140	3.201203339
141	3.188225938
142	3.179903463
143	3.165188885
144	3.154188352
145	3.139512548
146	3.126716629
147	3.114310623
148	3.105599684
149	3.095251067
150	3.081573049
151	3.070013136
152	3.059116623
153	3.050167892
154	3.03765137
155	3.024705344
156	3.011960294
157	3.002197919
158	2.992707927
159	2.989472174
160	2.978332092
161	2.967369452
162	2.956940031
163	2.94484189
164	2.938136742
165	2.930217975
166	2.921113046
167	2.910164328
168	2.897873552
169	2.889156855
170	2.875670672
171	2.866284862
172	2.856171615
173	2.851583557
174	2.839118195
175	2.829935918
176	2.820203601
177	2.808456563
178	2.797679098
179	2.786822723
180	2.777722819
181	2.768493712
182	2.759258958
183	2.749167554
184	2.739660251
185	2.729173674
186	2.719989592
187	2.712556801
188	2.704296551
189	2.69590638
190	2.685007387
191	2.673245683
192	2.663659252
193	2.654929061
194	2.645168521
195	2.635353205
196	2.62529109
197	2.617512358
198	2.611293007
199	2.601850834
200	2.59065911
201	2.583769837
202	2.573949641
203	2.565396253
204	2.558120264
205	2.549115832
206	2.539180971
207	2.531756123
208	2.527163865
209	2.519509863
210	2.507768093
211	2.500840092
212	2.490101184
213	2.481439903
214	2.475717797
215	2.465941544
216	2.455229684
217	2.449386663
218	2.439815578
219	2.429770643
220	2.421819775
221	2.412176674
222	2.401551442
223	2.395522677
224	2.385900404
225	2.378639697
226	2.369038751
227	2.36387034
228	2.357732763
229	2.3486069
230	2.341247163
231	2.334303225
232	2.33059405
233	2.324604818
234	2.316215172
235	2.308114088
236	2.301661534
237	2.292611633
238	2.285503398
239	2.276001721
240	2.268083089
241	2.259301384
242	2.253901287
243	2.248956994
244	2.240060562
245	2.232834652
246	2.227656898
247	2.221853981
248	2.21585742
249	2.20891504
250	2.201294081
251	2.194362841
252	2.186401673
253	2.180036407
254	2.170722785
255	2.161905468
256	2.159568583
257	2.153594504
258	2.148412363
259	2.140121574
260	2.132433997
261	2.125441964
262	2.119211654
263	2.110314378
264	2.104204581
265	2.096164115
266	2.088592588
267	2.081103005
268	2.077396267
269	2.069599332
270	2.061212813
271	2.051868622
272	2.046374155
273	2.038623761
274	2.028910503
275	2.024934779
276	2.01612521
277	2.010244375
278	2.003289787
279	1.996212693
280	1.989815614
281	1.984026066
282	1.976625575
283	1.97133483
284	1.966129206
285	1.960571824
286	1.955257378
287	1.950866352
288	1.943657929
289	1.936929445
290	1.929952335
291	1.924959224
292	1.918321386
293	1.911858843
294	1.904366927
295	1.898119186
296	1.89314914
297	1.886994698
298	1.882618992
299	1.875823456
300	1.869300644
301	1.86275738
302	1.856679943
303	1.849031296
304	1.844086283
305	1.840843117
306	1.835863313
307	1.831362844
308	1.824929158
309	1.818959416
310	1.812979005
311	1.806601796
312	1.798328012
313	1.791364014
314	1.784979655
315	1.778571552
316	1.77346022
317	1.7698905
318	1.764624023
319	1.759397697
320	1.756051697
321	1.749277472
322	1.743454691
323	1.738616719
324	1.732717714
325	1.72601524
326	1.719626587
327	1.713782253
328	1.708110556
329	1.702389089
330	1.698108797
331	1.693214232
332	1.689605211
333	1.682671655
334	1.676472566
335	1.670658101
336	1.664686502
337	1.659538494
338	1.652837981
339	1.649173685
340	1.643648683
341	1.63882552
342	1.636826065
343	1.632271697
344	1.626577378
345	1.62361569
346	1.618520981
347	1.614639069
348	1.61172524
349	1.606865771
350	1.602621686
351	1.597927344
352	1.592926334
353	1.587512041
354	1.581977651
355	1.576376257
356	1.572581787
357	1.567872087
358	1.564913935
359	1.560496638
360	1.557971852
361	1.553880027
362	1.547963338
363	1.54412321
364	1.541102752
365	1.536239084
366	1.533253456
367	1.527046545
368	1.521774685
369	1.517406109
370	1.513804145
371	1.509197562
372	1.504538588
373	1.499774313
374	1.496670503
375	1.493380988
376	1.48833901
377	1.484242896
378	1.479384297
379	1.474649176
380	1.469046893
381	1.464296148
382	1.461053334
383	1.455829367
384	1.453332313
385	1.448667016
386	1.444467649
387	1.439922763
388	1.437733997
389	1.432893839
390	1.428753953
391	1.425230066
392	1.421458616
393	1.417262497
394	1.413350682
395	1.408979846
396	1.40539227
397	1.401206139
398	1.397089355
399	1.393170935
400	1.38870649
401	1.384954856
402	1.38161252
403	1.378043174
404	1.373580151
405	1.369750143
406	1.367159086
407	1.363827542
408	1.361485654
409	1.357888493
410	1.355088932
411	1.351323175
412	1.348047977
413	1.344397941
414	1.340882613
415	1.33750605
416	1.334146829
417	1.3303277
418	1.326562839
419	1.322629271
420	1.317913186
421	1.314333675
422	1.310415238
423	1.306511633
424	1.303459434
425	1.299908962
426	1.295289884
427	1.291553737
428	1.286579936
429	1.284298778
430	1.280807066
431	1.277159056
432	1.273743826
433	1.271080494
434	1.267457744
435	1.263711671
436	1.260386342
437	1.256360811
438	1.251951404
439	1.248380054
440	1.245306596
441	1.242887635
442	1.239291728
443	1.236067206
444	1.232415666
445	1.228949547
446	1.226146205
447	1.222995934
448	1.220544757
449	1.21747547
450	1.214128727
451	1.210751204
452	1.207518664
453	1.204452099
454	1.201050761
455	1.197287015
456	1.194159651
457	1.191541269
458	1.18871626
459	1.185747514
460	1.181999498
461	1.178498426
462	1.174321367
463	1.171205249
464	1.168915561
465	1.166094395
466	1.162694234
467	1.160072591
468	1.157968726
469	1.155055242
470	1.152099965
471	1.149264433
472	1.147345168
473	1.144140531
474	1.14123529
475	1.138765819
476	1.135610843
477	1.133087602
478	1.130165697
479	1.127057886
480	1.124843869
481	1.12257099
482	1.120010644
483	1.116871
484	1.114113378
485	1.11150673
486	1.10844913
487	1.10681602
488	1.104227489
489	1.101072026
490	1.098417443
491	1.096582223
492	1.094465293
493	1.0923193
494	1.088754899
495	1.086017223
496	1.082702672
497	1.079362354
498	1.076887036
499	1.074659913
500	1.072075301
501	1.070398952
502	1.067950332
503	1.066352481
504	1.063700037
505	1.061133307
506	1.058323776
507	1.055959523
508	1.053813662
509	1.051517403
510	1.048932642
511	1.046506672
512	1.044098425
513	1.042010961
514	1.040021887
515	1.037079661
516	1.034224211
517	1.031744673
518	1.029446009
519	1.027205351
520	1.024965069
521	1.02246265
522	1.020111491
523	1.017873358
524	1.015885168
525	1.014563866
526	1.013260331
527	1.011435432
528	1.009545294
529	1.008003336
530	1.005669007
531	1.003144012
532	1.001117737
533	0.9991921199
534	0.9962664006
535	0.9940207985
536	0.9917995902
537	0.9895074982
538	0.9873013441
539	0.9858499816
540	0.9837974271
541	0.9819990279
542	0.9802585374
543	0.9782833036
544	0.9764970405
545	0.974833263
546	0.9724958918
547	0.9707075422
548	0.9685383896
549	0.9670880281
550	0.965082995
551	0.9632906008
552	0.9610280162
553	0.9592534489
554	0.9571824258
555	0.9551597882
556	0.9529773006
557	0.9509916733
558	0.9493168844
559	0.9477236042
560	0.9465351812
561	0.9446551204
562	0.9426810902
563	0.9405360666
564	0.9387423528
565	0.9371391301
566	0.9355139618
567	0.9337188965
568	0.9323432643
569	0.930332771
570	0.9287185759
571	0.927024885
572	0.9256185515
573	0.9239921304
574	0.9227560827
575	0.9207798707
576	0.9196636056
577	0.9183512166
578	0.9171397242
579	0.9155598771
580	0.9135639193
581	0.9123045785
582	0.911240919
583	0.9094544268
584	0.9078754478
585	0.9063787558
586	0.9048502116
587	0.90339666
588	0.9021999768
589	0.9008280519
590	0.8994423824
591	0.8978579815
592	0.8964594333
593	0.8948001498
594	0.8930228048
595	0.8915287921
596	0.8900859227
597	0.8886057157
598	0.8871601002
599	0.885960127
600	0.884240021
601	0.8828132942
602	0.8811568512
603	0.8798513601
604	0.878383989
605	0.8772667327
606	0.8753748319
607	0.8740555695
608	0.8726384954
609	0.8713149081
610	0.8698697504
611	0.8687290819
612	0.8675106826
613	0.8663107065
614	0.8651099948
615	0.8641493368
616	0.8630588652
617	0.8617531619
618	0.8605287862
619	0.8589061936
620	0.8574207692
621	0.8559722636
622	0.8547925199
623	0.8535163952
624	0.8523916886
625	0.8509966184
626	0.8498230901
627	0.8486558138
628	0.8475622909
629	0.8464410507
630	0.8449350163
631	0.8438183446
632	0.8427638687
633	0.841248765
634	0.8396897157
635	0.8387218947
636	0.8373446598
637	0.8362318871
638	0.834913015
639	0.833702777
640	0.8326612041
641	0.8315531906
642	0.8305137266
643	0.8292541847
644	0.8280601725
645	0.8265671085
646	0.8251948124
647	0.8241991557
648	0.8230171378
649	0.8217030293
650	0.8202471263
651	0.8190242538
652	0.8177820071
653	0.8165686265
654	0.8153933482
655	0.8142959271
656	0.813306695
657	0.8121914942
658	0.8112212148
659	0.81027072
660	0.809313266
661	0.8083249226
662	0.8070955211
663	0.8060946543
664	0.8050796799
665	0.8040463658
666	0.8031611843
667	0.8022268598
668	0.8012466467
669	0.8003612699
670	0.7990132448
671	0.7977823488
672	0.7968794658
673	0.7959240302
674	0.7946012384
675	0.7936066884
676	0.7924648551
677	0.7915342551
678	0.7905248962
679	0.7896035765
680	0.7886865065
681	0.788052871
682	0.7870974392
683	0.7859542377
684	0.7849658653
685	0.7841610627
686	0.7831345018
687	0.7823274463
688	0.7816443831
689	0.7804712653
690	0.779384911
691	0.7784560851
692	0.7774522652
693	0.776338422
694	0.7756118038
695	0.7746071121
696	0.7738451025
697	0.7730681413
698	0.7723036236
699	0.7713405456
700	0.7706471352
701	0.7696840275
702	0.7688696051
703	0.7679642361
704	0.7667967819
705	0.7656810735
706	0.7649399676
707	0.7641014864
708	0.7629197218
709	0.7618406387
710	0.7610119152
711	0.7601652126
712	0.7592825942
713	0.7586491293
714	0.7576959777
715	0.7567157227
716	0.7556840772
717	0.7545412533
718	0.7534939824
719	0.7528193531
720	0.7520909664
721	0.7514387966
722	0.7505649852
723	0.7498407079
724	0.749099438
725	0.7482982848
726	0.7476589173
727	0.7466405718
728	0.7459875108
729	0.7449432002
730	0.7440376781
731	0.743492007
732	0.7427764226
733	0.7420552128
734	0.7412006861
735	0.7401262514
736	0.7393737868
737	0.738503128
738	0.7377605068
739	0.737009101
740	0.7362494442
741	0.7355986199
742	0.7345338433
743	0.7337122834
744	0.7332268035
745	0.7326415067
746	0.7321284128
747	0.7314801869
748	0.7306650518
749	0.7298435984
750	0.7291676329
751	0.7285184992
752	0.7278394121
753	0.7269700732
754	0.7263920851
755	0.7255726892
756	0.7247213633
757	0.7239267504
758	0.7232301148
759	0.7226150342
760	0.722096406
761	0.7215358311
762	0.7206910932
763	0.7199407819
764	0.7192669103
765	0.7184978048
766	0.7177968814
767	0.7167958307
768	0.7160973118
769	0.7151885789
770	0.7141980425
771	0.7135546618
772	0.7125475936
773	0.7119806078
774	0.7111558578
775	0.7105752393
776	0.7098311595
777	0.7090576138
778	0.7084089854
779	0.7077320274
780	0.7071362389
781	0.7061760965
782	0.7055279617
783	0.7049761913
784	0.7045243465
785	0.703758671
786	0.7030719079
787	0.7025553425
788	0.7015798775
789	0.7010177517
790	0.7002662116
791	0.6994107129
792	0.6987159677
793	0.6981810115
794	0.697468704
795	0.6966800259
796	0.695910502
797	0.6949881822
798	0.6943700029
799	0.6937775396
800	0.6931398662
801	0.6926857791
802	0.6920881654
803	0.6913601323
804	0.6908248591
805	0.6903869152
806	0.689795507
807	0.6890638141
808	0.6884605209
809	0.6876041559
810	0.6870835738
811	0.6865567828
812	0.6860322964
813	0.6854953212
814	0.6849452916
815	0.6840657284
816	0.6835477462
817	0.6828258052
818	0.6822937479
819	0.6814968318
820	0.6807843943
821	0.6801709564
822	0.6795546715
823	0.6786907835
824	0.6781251565
825	0.6777127611
826	0.6772196802
827	0.6764538895
828	0.6757587471
829	0.6753035547
830	0.6748803905
831	0.6744457838
832	0.673998303
833	0.6731551158
834	0.6723230925
835	0.6716475225
836	0.6711375523
837	0.6706306845
838	0.6701400924
839	0.6697204465
840	0.6691994578
841	0.6685960977
842	0.6680105324
843	0.6674766363
844	0.66668027
845	0.6660269913
846	0.6655906052
847	0.6647769049
848	0.6642519574
849	0.6634606481
850	0.6628311977
851	0.6623116513
852	0.6618147547
853	0.6611832467
854	0.6606302566
855	0.6601787507
856	0.6596833073
857	0.6591361965
858	0.6586088307
859	0.6579916825
860	0.6573776198
861	0.6569061036
862	0.6564726524
863	0.6557449953
864	0.6551247814
865	0.6546382346
866	0.6540344955
867	0.6533781709
868	0.6527439974
869	0.6522247597
870	0.6516718304
871	0.6508973358
872	0.650189726
873	0.6496944431
874	0.649272251
875	0.6485334803
876	0.648212518
877	0.6475469831
878	0.6468132331
879	0.6463469008
880	0.6456203479
881	0.6452695268
882	0.64451461
883	0.6439349653
884	0.6433193447
885	0.6426846528
886	0.6421645999
887	0.6416412918
888	0.6411167749
889	0.6408295453
890	0.6404216192
891	0.6399535152
892	0.6396193416
893	0.6390959746
894	0.638704659
895	0.6381962508
896	0.6376687412
897	0.6372007984
898	0.6364687551
899	0.6361052838
900	0.6354067663
901	0.6347941564
902	0.6342849998
903	0.6335048283
904	0.6331139525
905	0.6327029259
906	0.6320788725
907	0.6315524864
908	0.6310339834
909	0.6305427021
910	0.6299403528
911	0.6295692103
912	0.6290309592
913	0.6284651473
914	0.6279896947
915	0.6275752713
916	0.6270760921
917	0.6265143337
918	0.6261267239
919	0.6256433182
920	0.6250653347
921	0.6245548415
922	0.624187445
923	0.6236675598
924	0.6231638998
925	0.6227203414
926	0.6221900625
927	0.6218896814
928	0.6214493619
929	0.621077853
930	0.6205591621
931	0.6201218853
932	0.6196866787
933	0.6193086635
934	0.6189112246
935	0.6185346939
936	0.6181363898
937	0.6177877023
938	0.6172356268
939	0.6166582195
940	0.6161279171
941	0.615541787
942	0.6151856325
943	0.6146120133
944	0.6141419021
945	0.613789161
946	0.6133231096
947	0.6128933425
948	0.612264306
949	0.6117691899
950	0.6112079632
951	0.6108990392
952	0.6103960983
953	0.6101712844
954	0.6098116529
955	0.6090849559
956	0.6087688994
957	0.6082180695
958	0.6078438363
959	0.6073145731
960	0.6069534485
961	0.6065370693
962	0.6060609816
963	0.6056069779
964	0.6051551739
965	0.6046090612
966	0.6039009556
967	0.6032426541
968	0.6029472208
969	0.6025343162
970	0.6021800963
971	0.6016286977
972	0.6012784198
973	0.6008717494
974	0.6005287721
975	0.6000807089
976	0.5996100182
977	0.5992651741
978	0.5988064103
979	0.5983191902
980	0.5980080925
981	0.5974164033
982	0.5970210375
983	0.596378852
984	0.5959853762
985	0.5955357257
986	0.5950068203
987	0.5947234443
988	0.5943215878
989	0.5936473956
990	0.5930717975
991	0.5928378725
992	0.5924388386
993	0.5918860697
994	0.5915043723
995	0.59118651
996	0.5906191934
997	0.5901193241
998	0.5895882833
999	0.5890511996
1000	0.5884820679
1001	0.5880324458
1002	0.5876522657
1003	0.5873293376
1004	0.5868435392
1005	0.5864923268
1006	0.586146687
1007	0.5857844333
1008	0.5854064669
1009	0.5848550272
1010	0.5844640363
1011	0.5840748478
1012	0.583697745
1013	0.5831864778
1014	0.5826813535
1015	0.5823807257
1016	0.5820096947
1017	0.5816249621
1018	0.5812761147
1019	0.5808345506
1020	0.5805122589
1021	0.5799540627
1022	0.579331518
1023	0.5789484668
1024	0.5784152094
1025	0.5780340902
1026	0.5775281758
1027	0.5771488607
1028	0.5768494807
1029	0.5763206618
1030	0.5759032622
1031	0.5753914951
1032	0.5750151069
1033	0.5748130078
1034	0.5744168452
1035	0.5738637301
1036	0.5735119183
1037	0.5730483276
1038	0.5724574174
1039	0.5720202049
1040	0.5715860904
1041	0.5710829171
1042	0.5707961836
1043	0.5705112071
1044	0.5700609488
1045	0.5696364406
1046	0.5692054628
1047	0.568893359
1048	0.5685264359
1049	0.568009986
1050	0.5676482458
1051	0.5673458662
1052	0.5670104985
1053	0.5664966436
1054	0.566043165
1055	0.5657805647
1056	0.5654021338
1057	0.565068884
1058	0.5647684528
1059	0.5642584739
1060	0.5638970549
1061	0.5634803199
1062	0.5631206473
1063	0.5628687602
1064	0.5625097263
1065	0.5621112556
1066	0.5618469905
1067	0.5613326602
1068	0.561002269
1069	0.5605928305
1070	0.5600970277
1071	0.5597414773
1072	0.5591205547
1073	0.5587318076
1074	0.5582998838
1075	0.5578901216
1076	0.5574124605
1077	0.5569373191
1078	0.5564189108
1079	0.5561443299
1080	0.5558625295
1081	0.5553018297
1082	0.5549564074
1083	0.5546639764
1084	0.5542031226
1085	0.5537828188
1086	0.5533169409
1087	0.5529677695
1088	0.552470585
1089	0.5520707387
1090	0.5518665195
1091	0.5516002295
1092	0.5511851975
1093	0.5508987544
1094	0.550748258
1095	0.5505095051
1096	0.5501289644
1097	0.5497360521
1098	0.5492571746
1099	0.5488791612
1100	0.5485322058
1101	0.5480218774
1102	0.5475667849
1103	0.5471916244
1104	0.5468527321
1105	0.5465118713
1106	0.5461856784
1107	0.545764539
1108	0.5455063858
1109	0.54496087
1110	0.5446265337
1111	0.5442937251
1112	0.543773481
1113	0.5435179893
1114	0.5431223151
1115	0.5426798728
1116	0.5422890129
1117	0.5419276478
1118	0.5416910124
1119	0.5413723054
1120	0.5410525283
1121	0.5406742068
1122	0.540352187
1123	0.5400206008
1124	0.5396672839
1125	0.539220969
1126	0.5388222228
1127	0.5382504903
1128	0.5379485605
1129	0.5378360954
1130	0.537417907
1131	0.5370608999
1132	0.5368199537
1133	0.5364791958
1134	0.5361630257
1135	0.5357202082
1136	0.535471452
1137	0.5351050973
1138	0.5345519955
1139	0.5341950548
1140	0.5340415871
1141	0.5338248674
1142	0.5336497857
1143	0.5333000517
1144	0.532932129
1145	0.5325495473
1146	0.5322018642
1147	0.5317826097
1148	0.5315832291
1149	0.5312189
1150	0.5307182614
1151	0.5304463664
1152	0.5300055922
1153	0.5297648841
1154	0.5295430969
1155	0.5292251612
1156	0.5291291358
1157	0.5287394415
1158	0.5282180893
1159	0.5278979115
1160	0.5276463877
1161	0.5273282594
1162	0.5271208078
1163	0.526757334
1164	0.526262598
1165	0.5259770297
1166	0.5254737485
1167	0.5251753281
1168	0.5248615536
1169	0.5246134282
1170	0.5241042747
1171	0.5239463057
1172	0.523530859
1173	0.5230446169
1174	0.5227191749
1175	0.5224857233
1176	0.5221310232
1177	0.5218569775
1178	0.5213857412
1179	0.5211363921
1180	0.5206668347
1181	0.5203813645
1182	0.5200364095
1183	0.5198148732
1184	0.5195385634
1185	0.5193268797
1186	0.5190184098
1187	0.518763591
1188	0.5182918524
1189	0.5178761484
1190	0.5174451677
1191	0.5171389878
1192	0.5168091215
1193	0.5164708798
1194	0.5162137689
1195	0.5159396143
1196	0.5154742896
1197	0.5150637045
1198	0.514727874
1199	0.514356771
1200	0.5139399442
1201	0.5137194311
1202	0.5132573902
1203	0.512729368
1204	0.5124622628
1205	0.5121590847
1206	0.5118572914
1207	0.5116261863
1208	0.5113965016
1209	0.5112001141
1210	0.5107433865
1211	0.5104015378
1212	0.5101019116
1213	0.5097116853
1214	0.5094136115
1215	0.5092083669
1216	0.5089338973
1217	0.5087068866
1218	0.508486075
1219	0.5081905413
1220	0.5078698993
1221	0.507376542
1222	0.507174466
1223	0.50678735
1224	0.5065980948
1225	0.5063428433
1226	0.5061264694
1227	0.505840102
1228	0.5054827566
1229	0.5051722858
1230	0.5047176562
1231	0.504265345
1232	0.5040632284
1233	0.5037332401
1234	0.5035415065
1235	0.5033343101
1236	0.5030576412
1237	0.5027218638
1238	0.5023876248
1239	0.502033523
1240	0.5015672052
1241	0.501351294
1242	0.5011429881
1243	0.5009356225
1244	0.5007139002
1245	0.5004029936
1246	0.5001147338
1247	0.4998277809
1248	0.4996106528
1249	0.4993443272
1250	0.4990378049
1251	0.4988187963
1252	0.4985792534
1253	0.4983519446
1254	0.4982118364
1255	0.497995643
1256	0.4975533263
1257	0.4974017844
1258	0.4971057467
1259	0.4966620807
1260	0.4964062248
1261	0.4960970037
1262	0.4958110402
1263	0.4954334519
1264	0.4952356134
1265	0.4949373459
1266	0.4945169618
1267	0.4942702778
1268	0.4940578387
1269	0.4938131129
1270	0.4936176048
1271	0.4934051605
1272	0.4931034199
1273	0.4928996527
1274	0.4926891204
1275	0.4922515137
1276	0.4920546027
1277	0.4919358641
1278	0.4914832064
1279	0.491306743
1280	0.4911142188
1281	0.4906809436
1282	0.4904559094
1283	0.490179497
1284	0.4898111363
1285	0.4894740378
1286	0.4893011832
1287	0.4889398083
1288	0.4886012286
1289	0.4883741249
1290	0.4879282321
1291	0.4875704214
1292	0.4874266466
1293	0.4870216421
1294	0.4867980866
1295	0.4865250392
1296	0.486118383
1297	0.4859474208
1298	0.4857866854
1299	0.4855625621
1300	0.4853840707
1301	0.4850878376
1302	0.4847961712
1303	0.4845442456
1304	0.4841061599
1305	0.4838178214
1306	0.4836339698
1307	0.4833435095
1308	0.4831171243
1309	0.4828312509
1310	0.4825459708
1311	0.4823566105
1312	0.4819220934
1313	0.4817237913
1314	0.4814665422
1315	0.4811216487
1316	0.4808440446
1317	0.4804131681
