iter	Passed	Remaining
0	142	213023
1	141	106355
2	142	71052
3	144	54211
4	146	43727
5	146	36493
6	146	31328
7	147	27445
8	147	24414
9	149	22313
10	150	20315
11	150	18645
12	150	17237
13	154	16449
14	155	15382
15	155	14442
16	156	13612
17	156	12886
18	156	12227
19	157	11632
20	157	11093
21	157	10613
22	158	10169
23	158	9760
24	159	9382
25	159	9036
26	159	8713
27	160	8417
28	160	8138
29	160	7874
30	161	7637
31	161	7413
32	162	7215
33	162	7012
34	163	6827
35	163	6647
36	163	6478
37	164	6322
38	164	6168
39	165	6026
40	165	5893
41	166	5769
42	166	5645
43	167	5527
44	168	5442
45	168	5333
46	169	5231
47	169	5128
48	169	5030
49	170	4935
50	170	4840
51	170	4753
52	171	4669
53	171	4587
54	171	4509
55	171	4434
56	172	4361
57	172	4293
58	173	4226
59	173	4160
60	173	4096
61	173	4034
62	174	3975
63	174	3917
64	174	3861
65	175	3807
66	175	3755
67	175	3703
68	176	3654
69	176	3606
70	176	3559
71	177	3514
72	177	3470
73	177	3427
74	178	3387
75	178	3347
76	178	3307
77	181	3306
78	182	3286
79	183	3250
80	183	3214
81	183	3179
82	188	3221
83	189	3188
84	189	3157
85	189	3123
86	190	3090
87	190	3058
88	190	3027
89	191	2996
90	191	2966
91	191	2936
92	192	2906
93	192	2878
94	192	2850
95	193	2823
96	193	2797
97	193	2771
98	194	2745
99	194	2720
100	195	2710
101	196	2690
102	196	2669
103	197	2646
104	197	2623
105	197	2600
106	198	2578
107	198	2559
108	198	2538
109	199	2519
110	199	2498
111	200	2479
112	200	2459
113	200	2440
114	201	2421
115	201	2402
116	201	2385
117	202	2367
118	202	2349
119	202	2332
120	203	2315
121	203	2299
122	203	2283
123	204	2267
124	204	2252
125	205	2236
126	205	2220
127	205	2204
128	206	2190
129	206	2175
130	206	2160
131	207	2145
132	207	2133
133	207	2119
134	208	2106
135	208	2093
136	211	2102
137	211	2089
138	212	2076
139	212	2063
140	212	2050
141	213	2037
142	213	2024
143	213	2012
144	214	2000
145	214	1988
146	214	1976
147	214	1963
148	215	1951
149	215	1940
150	215	1929
151	216	1917
