iter	RMSE
0	4.944053658
1	4.932985732
2	4.924014841
3	4.908171762
4	4.891994011
5	4.882962109
6	4.866387222
7	4.853382236
8	4.844486292
9	4.83183776
10	4.816640523
11	4.797977852
12	4.784959952
13	4.760906338
14	4.745024982
15	4.73358025
16	4.713206603
17	4.698156188
18	4.682660653
19	4.673346179
20	4.661389824
21	4.64463851
22	4.628621574
23	4.611242263
24	4.59812297
25	4.580216232
26	4.563830027
27	4.550138888
28	4.533388822
29	4.517461638
30	4.507208531
31	4.491659641
32	4.483672412
33	4.472538824
34	4.457534819
35	4.445827851
36	4.435016128
37	4.425720636
38	4.413913433
39	4.405097697
40	4.391106565
41	4.385832659
42	4.374028974
43	4.363638463
44	4.354355826
45	4.338943728
46	4.324637133
47	4.31193548
48	4.301680715
49	4.283385114
50	4.269491149
51	4.257346144
52	4.245615373
53	4.235351496
54	4.221891717
55	4.206205814
56	4.192198283
57	4.179210264
58	4.164623256
59	4.154994469
60	4.139889818
61	4.126365039
62	4.116949212
63	4.103932923
64	4.08878753
65	4.073157415
66	4.059745868
67	4.048551259
68	4.034157397
69	4.022085727
70	4.013183786
71	4.003390352
72	3.990239559
73	3.980181463
74	3.971793647
75	3.956635181
76	3.944046759
77	3.929069827
78	3.909474659
79	3.898589614
80	3.887089851
81	3.875806476
82	3.869684118
83	3.857453131
84	3.84750253
85	3.838355157
86	3.825193334
87	3.813112337
88	3.800990304
89	3.787115786
90	3.774732566
91	3.76531833
92	3.755623796
93	3.744509006
94	3.73509446
95	3.727747501
96	3.716904195
97	3.705905257
98	3.695548734
99	3.684180728
100	3.677557556
101	3.661307599
102	3.655135335
103	3.643127295
104	3.629382386
105	3.620169707
106	3.609497846
107	3.598652327
108	3.591665608
109	3.581237722
110	3.56979888
111	3.561122076
112	3.548620749
113	3.535737821
114	3.527969774
115	3.518467892
116	3.506312408
117	3.499152157
118	3.491696382
119	3.479541276
120	3.468200005
121	3.457362401
122	3.449029958
123	3.437552891
124	3.428546263
125	3.421415528
126	3.406600399
127	3.397572916
128	3.389754071
129	3.378823772
130	3.366828436
131	3.356356765
132	3.350636599
133	3.339810776
134	3.326088627
135	3.314633478
136	3.303284486
137	3.292622239
138	3.280308935
139	3.268174684
140	3.258863006
141	3.248396657
142	3.241820498
143	3.234860677
144	3.222358529
145	3.214690881
146	3.207446888
147	3.201075752
148	3.194611185
149	3.183736081
150	3.174069184
151	3.16231635
152	3.151399141
153	3.144455251
154	3.133457888
155	3.12495761
156	3.114892054
157	3.106403475
158	3.098849286
159	3.093883681
160	3.084484079
161	3.077138166
162	3.069265378
163	3.057495817
164	3.049204055
165	3.038246784
166	3.03240436
167	3.01986352
168	3.010950662
169	3.003718563
170	2.991494856
171	2.984484236
172	2.97635138
173	2.972651644
174	2.962136034
175	2.954364426
176	2.947045286
177	2.937198297
178	2.928040309
179	2.918540567
180	2.909701854
181	2.901131624
182	2.893537735
183	2.885121312
184	2.881903659
185	2.872776401
186	2.865735841
187	2.860478379
188	2.852253845
189	2.845889042
190	2.837682014
191	2.827462976
192	2.818611584
193	2.810647423
194	2.803116243
195	2.798620379
196	2.789474014
197	2.782196803
198	2.772008329
199	2.764510087
200	2.755026907
201	2.748984119
202	2.741113967
203	2.73598207
204	2.728578674
205	2.723207909
206	2.714964692
207	2.707517389
208	2.700300456
209	2.693742155
210	2.687693055
211	2.683577173
212	2.677210624
213	2.669162437
214	2.664486151
215	2.657598003
216	2.648866325
217	2.642677766
218	2.637505487
219	2.628311135
220	2.619560061
221	2.615005734
222	2.606166536
223	2.597202726
224	2.590083879
225	2.581531709
226	2.575086763
227	2.566608434
228	2.561040407
229	2.552135247
230	2.544386853
231	2.539134096
232	2.532697955
233	2.524946838
234	2.517185843
235	2.509769291
236	2.504308507
237	2.496392629
238	2.490050933
239	2.481834747
240	2.473854562
241	2.467975244
242	2.460987528
243	2.453825042
244	2.44461381
245	2.43809114
246	2.432837841
247	2.427794003
248	2.420432753
249	2.415800355
250	2.410031675
251	2.408296695
252	2.403196072
253	2.395670985
254	2.390421804
255	2.382583544
256	2.374242174
257	2.367608136
258	2.359769018
259	2.356984187
260	2.348617485
261	2.342180712
262	2.333595681
263	2.32619272
264	2.321273156
265	2.312908286
266	2.30685892
267	2.301565415
268	2.295590798
269	2.289860085
270	2.279887231
271	2.273076156
272	2.267676753
273	2.261536849
274	2.253426097
275	2.24818966
276	2.240510221
277	2.232778512
278	2.227983427
279	2.223282223
280	2.218625371
281	2.215576568
