iter	Passed	Remaining
0	160	240540
1	167	125107
2	167	83486
3	178	66810
4	178	53487
5	179	44580
6	193	41220
7	199	37298
8	200	33162
9	200	29864
10	200	27164
11	200	24912
12	201	23007
13	201	21374
14	201	19983
15	202	18757
16	202	17667
17	202	16711
18	203	15856
19	203	15076
20	203	14362
21	204	13716
22	204	13125
23	204	12583
24	204	12086
25	205	11626
26	205	11201
27	205	10805
28	205	10438
29	205	10092
30	206	9771
31	206	9469
32	219	9778
33	220	9495
34	220	9228
35	220	8975
36	220	8735
37	221	8508
38	221	8293
39	221	8089
40	221	7895
41	222	7709
42	222	7532
43	222	7363
44	222	7201
45	222	7047
46	223	6900
47	223	6759
48	223	6623
49	223	6492
50	224	6364
51	224	6244
52	224	6128
53	224	6017
54	224	5909
55	225	5805
56	225	5705
57	225	5608
58	225	5514
59	226	5424
60	226	5337
61	226	5252
62	226	5170
63	226	5091
64	227	5014
65	227	4940
66	227	4868
67	227	4797
68	228	4729
69	228	4664
70	228	4608
71	230	4577
72	231	4516
73	231	4457
74	236	4487
75	236	4430
76	236	4374
77	236	4319
78	237	4264
79	237	4212
80	237	4161
81	237	4111
82	237	4062
83	238	4014
84	238	3968
85	238	3923
86	238	3878
87	239	3835
88	239	3793
89	239	3751
90	239	3711
91	249	3814
92	249	3774
93	249	3735
94	249	3696
95	250	3657
96	250	3620
97	250	3584
98	254	3602
99	254	3567
100	255	3532
101	255	3498
102	255	3464
103	255	3432
104	267	3552
105	267	3519
106	267	3488
107	268	3456
108	268	3425
109	268	3395
110	268	3365
111	269	3335
112	269	3306
113	269	3278
114	269	3249
115	270	3223
116	270	3195
117	278	3265
118	279	3238
119	279	3212
120	279	3185
121	279	3159
122	279	3134
123	280	3109
124	280	3084
125	280	3060
126	280	3035
127	281	3012
128	281	2989
129	281	2966
130	281	2943
131	281	2921
132	287	2952
133	287	2931
134	287	2909
135	288	2888
136	288	2867
137	288	2846
138	292	2868
139	293	2848
140	293	2828
141	293	2808
142	293	2789
143	294	2769
144	294	2750
145	294	2732
146	307	2826
147	307	2808
148	307	2790
149	311	2807
150	312	2789
151	312	2771
152	312	2753
153	312	2735
154	313	2718
155	313	2700
156	313	2683
157	313	2666
158	314	2648
159	314	2631
160	314	2615
161	314	2599
162	314	2583
163	315	2567
164	315	2552
165	315	2536
166	315	2521
167	316	2506
168	316	2491
169	323	2533
170	324	2518
171	324	2504
172	324	2489
173	324	2474
174	324	2460
175	325	2446
176	325	2432
177	325	2419
178	325	2405
179	326	2391
180	326	2378
181	326	2365
182	326	2352
183	327	2339
184	327	2326
185	327	2313
186	327	2301
187	327	2288
188	328	2276
189	328	2264
190	328	2252
191	328	2240
192	329	2229
193	329	2217
194	329	2205
195	329	2194
196	330	2182
197	330	2171
198	330	2160
199	330	2149
200	330	2138
201	331	2127
202	331	2116
203	331	2105
204	331	2095
205	331	2085
206	332	2074
207	332	2064
208	332	2054
209	332	2044
210	333	2034
211	333	2024
212	333	2014
213	333	2005
214	333	1995
215	334	1986
216	334	1976
217	334	1967
218	334	1958
219	334	1948
220	335	1939
221	335	1930
