iter	Passed	Remaining
0	180	270618
1	184	137989
2	186	93286
3	187	70119
4	187	56182
5	188	46884
6	188	40242
7	189	35364
8	190	31492
9	190	28389
10	191	25868
11	196	24309
12	199	22839
13	200	21236
14	200	19842
15	200	18615
16	200	17525
17	201	16562
18	201	15702
19	201	14928
20	202	14231
21	202	13608
22	202	13028
23	218	13446
24	219	12923
25	219	12442
26	220	12006
27	220	11601
28	221	11218
29	221	10867
30	222	10526
31	222	10210
32	223	9921
33	223	9643
34	224	9382
35	224	9146
36	225	8913
37	225	8691
38	227	8528
39	228	8327
40	229	8160
41	232	8074
42	233	7896
43	236	7811
44	242	7843
45	242	7678
46	243	7521
47	243	7370
48	243	7222
49	245	7122
50	245	6987
51	248	6928
52	252	6893
53	252	6774
54	253	6659
55	254	6550
56	254	6445
57	255	6341
58	255	6240
59	255	6142
60	256	6047
61	257	5974
62	259	5912
63	259	5824
64	260	5743
65	260	5662
66	261	5583
67	261	5506
68	263	5465
69	264	5395
70	267	5383
71	268	5315
72	268	5246
73	271	5233
74	274	5219
75	275	5154
76	275	5089
77	282	5149
78	285	5137
79	286	5086
80	286	5026
81	287	4971
82	289	4939
83	289	4885
84	290	4830
85	294	4834
86	295	4791
87	295	4740
88	296	4693
89	296	4644
90	299	4643
91	300	4596
92	307	4659
93	312	4674
94	312	4627
95	313	4583
96	314	4544
97	314	4504
98	315	4461
99	315	4420
100	316	4380
101	316	4339
102	317	4299
103	317	4260
104	317	4222
105	327	4300
106	330	4304
107	332	4290
108	333	4258
109	334	4231
110	335	4196
111	335	4161
112	338	4150
113	338	4116
114	339	4085
115	340	4065
116	341	4031
117	341	3999
118	346	4020
119	346	3988
120	347	3956
121	347	3925
122	347	3894
123	348	3863
124	348	3833
125	349	3805
126	352	3807
127	352	3779
128	353	3756
129	357	3767
130	357	3739
131	361	3741
132	361	3715
133	361	3689
134	362	3661
135	362	3636
136	362	3611
137	366	3613
138	366	3589
139	371	3610
140	372	3586
141	372	3565
142	373	3545
143	375	3534
144	375	3511
145	376	3489
146	377	3477
147	379	3469
148	380	3448
149	383	3454
150	384	3431
151	385	3420
152	387	3408
153	388	3394
154	388	3374
155	390	3366
156	391	3352
157	396	3370
158	397	3355
159	399	3347
160	400	3327
161	404	3338
162	404	3318
163	404	3299
164	407	3297
165	413	3321
166	417	3333
167	418	3315
168	418	3296
169	418	3277
170	419	3258
171	419	3240
172	420	3222
173	420	3204
174	420	3186
175	422	3179
176	423	3162
177	423	3144
178	424	3129
179	425	3123
180	426	3108
181	427	3095
182	431	3105
183	432	3092
184	434	3086
185	434	3072
186	435	3056
187	435	3040
188	436	3024
189	436	3009
190	436	2993
191	437	2977
192	437	2962
193	437	2947
194	438	2936
195	439	2922
196	439	2908
197	440	2893
198	440	2881
199	443	2885
200	444	2870
201	444	2857
202	444	2843
203	445	2829
204	446	2817
205	446	2804
206	446	2790
207	447	2777
208	447	2765
209	449	2759
210	449	2746
211	450	2734
212	450	2722
213	451	2710
214	452	2702
215	452	2690
216	453	2678
217	453	2666
218	455	2665
219	456	2653
220	456	2642
221	459	2647
222	461	2644
223	463	2641
224	465	2640
225	466	2628
226	467	2622
227	472	2637
228	473	2625
229	473	2614
230	473	2603
231	474	2592
232	475	2583
233	475	2572
234	475	2561
235	476	2550
236	476	2540
237	477	2532
238	478	2522
239	478	2511
240	479	2505
241	480	2495
242	480	2485
243	480	2474
244	481	2464
245	481	2454
246	481	2444
247	483	2441
248	483	2431
249	484	2421
250	486	2419
251	486	2410
252	487	2400
253	487	2391
254	487	2381
255	488	2372
256	488	2362
257	488	2353
258	489	2344
259	489	2335
260	490	2327
261	490	2318
262	490	2309
263	491	2301
264	491	2292
265	493	2288
266	493	2280
267	494	2271
268	494	2263
269	494	2254
270	495	2246
271	495	2238
272	499	2244
273	500	2237
274	500	2229
275	500	2220
276	501	2212
277	502	2207
278	502	2200
279	503	2192
280	504	2187
281	504	2179
282	505	2172
283	505	2164
284	506	2157
285	506	2149
286	506	2142
287	507	2134
288	508	2131
289	509	2124
290	512	2127
291	512	2121
292	513	2113
293	519	2130
294	519	2123
295	529	2154
296	534	2165
297	537	2166
298	537	2158
299	539	2159
300	541	2158
301	542	2152
302	543	2146
303	548	2158
304	550	2156
305	550	2149
306	551	2141
307	553	2140
308	553	2133
309	553	2126
310	558	2136
311	559	2130
312	561	2128
313	561	2121
314	562	2114
315	562	2107
316	563	2101
317	563	2094
318	563	2087
319	564	2080
320	564	2073
321	565	2067
322	565	2060
323	565	2053
324	566	2046
325	566	2040
326	567	2033
327	567	2027
328	567	2020
329	568	2014
330	568	2009
331	569	2003
