iter	RMSE
0	0.8721272124
1	0.8591803746
2	0.8465437773
3	0.8356064806
4	0.8233017039
5	0.8113524786
6	0.800405046
7	0.7889660232
8	0.7779993672
9	0.7693416447
10	0.7587376889
11	0.7504168345
12	0.7419856367
13	0.7349604222
14	0.7260956222
15	0.719786642
16	0.71249524
17	0.7032884856
18	0.6945758042
19	0.6847675347
20	0.6767314028
21	0.6697383061
22	0.6604628672
23	0.6201070371
24	0.6137042504
25	0.6083864419
26	0.6030512834
27	0.59784365128	0.6214021813
29	0.6157944506
30	0.6090267061
31	0.6041946639
32	0.5985333009
33	0.5925457551
34	0.5876015
35	0.5811994438
36	036	0.5490784636
37	0.5449390611
38	0.5399806706
39	0.535892626
40	0.5317851586
41	0.5272659067
42	0.5235015475
43	0.5192045757
44	0.5159785391
45	0.5118796865
46	0.5089239062
47	0.5060871792
48	0.5048107013
49	0.5018589848
50	0.4985128576
51	0.4948425621
52	0.4923681643
53	0.4890625183
54	0.4857545006
55	0.4835917856
56	0.4809449999
57	0.4785395888
58	0.4767368757
59	0.4738136013
60	0.4715848209
61	0.4691888263
62	0.4665463399
63	0.4639499973
64	0.4612158453
65	0.459033735
66	0.4568523526
67	0.4542657722
68	0.4519668309
69	0.4495905771
70	0.4478268851
71	0.4459049539
72	0.4436012188
73	0.4419725248
74	0.4403429443
75	0.4386561312
76	0.4369960957
77	0.4352734387
78	0.4335189592
79	0.431794445
80	0.4305349606
81	0.4291725057
82	0.427789249
83	0.4260055634
84	0.424531622
85	0.4226251074
86	0.4213857063
87	0.419979857
88	0.4188380227
89	0.4176690082
90	0.4168760666
91	0.4154351811
92	0.4133218849
93	0.4118796438
94	0.4106205931
95	0.4094120131
96	0.4079841093
97	0.4066893494
98	0.4055922373
99	0.4044844816
100	0.4036555359
101	0.4022829003
102	0.4011571112
103	0.4001144052
104	0.3996631952
105	0.3986884605
106	0.3974191424
107	0.3965807927
108	0.3955572552
109	0.3945111011
110	0.3935547287
111	0.3930703532
112	0.392725229
113	0.3920742818
114	0.3912874715
115	0.3904859314
116	0.3897419397
117	0.3889522478
118	0.3884239696
119	0.3871410563
120	0.3861091811
121	0.3848868551
122	0.3839770527
123	0.3833807877
124	0.3820087164
125	0.3814634757
126	0.3808371961
127	0.3797586455
128	0.3785809081
129	0.3774970699
130	0.3765940734
131	0.3759243428
132	0.3752104668
133	0.3746708412
134	0.3735617236
135	0.3728177091
136	0.3723852879
137	0.3715347925
138	0.3704278991
139	0.3696332522
140	0.3685433899
141	0.3676040405
142	0.366556378
143	0.3669101753
144	0.3658630677
145	0.3649254004
146	0.3638088401
147	0.3634455426
148	0.362433452
149	0.3614402214
150	0.3604791088
151	0.3600368169
152	0.3589647136
153	0.3580990186
154	0.3574842643
155	0.3566393756
156	0.3556213974
157	0.3550157916
158	0.3541355267
159	0.3536191012
160	0.3525774288
161	0.3520882367
162	0.3516103153
163	0.3513682084
164	0.3506347919
165	0.3503195953
166	0.3499189322
167	0.3489261826
168	0.3483883283
169	0.3475533509
170	0.3471322459
171	0.3466689419
172	0.3459235319
173	0.3450696309
174	0.3441939738
175	0.3435331505
176	0.3433858789
177	0.3426896127
178	0.3419990098
179	0.3412229195
180	0.3404171273
181	0.3397187686
182	0.3385763892
183	0.3373399003
184	0.3367376845
185	0.3361076332
186	0.3352858736
187	0.3344698548
188	0.3338239802
189	0.3327789719
190	0.3322004306
191	0.331570366
192	0.3308825693
193	0.3301562863
194	0.3292302641
195	0.3285102465
196	0.3276730967
197	0.3272511429
198	0.3263997091
199	0.3259071767
200	0.32520093
201	0.3244702717
202	0.3240267592
203	0.3236884624
204	0.3229510338
205	0.3220278635
206	0.32132212142207	0.3202440312
208	0.3194736645
209	0.3184254085
210	0.31770959
211	0.3167997868
212	0.3160108964
213	0.3152097391
214	0.3143056596
215	0.3132656384
216	0.3125805189
217	0.3119381891
218	0.3111531239
219	0.3107514612
220	0.3100973003
221	0.3094353029
222	0.3087229438
223	0.3078804222
224	0.3072449211
225	0.3065934977
226	0.3055771219
227	0.3049552857
228	0.3042944418
229	0.3037564003
230	0.3032158519
231	0.3025429502
232	0.3019411187
233	0.3012228024
234	0.3008317429
235	0.2999851563
236	0.2993741918
237	0.2985279272
238	0.298033612
239	0.2975993793
240	0.2968135653
241	0.2962245845
242	0.2954840316
243	0.2947029124
244	0.2940472791
245	0.2933246288
246	0.2929508528
247	0.2925050739
248	0.2917806212
249	0.2911805116
250	0.2906533251	0.2956714598
252	0.2948923243
253	0.2940428373
254	0.2938189259
255	0.2931838536
256	0.2923503529
257	0.2919636351
258	0.2913284841
259	0.2908620364
260	0.2901098586
261	0.2895513336
262	0.2888950252
263	0.28837237
264	0.2877746875
265	0.2868225004
266	0.2859801537
267	0.2853807979
268	268	0.2799808269	269	0.2793772270	0.2840788488
271	0.2836495862
272	0.2830232949
273	0.2823867423
274	0.2817716918
275	0.2810711606
276	0.2802491857
277	0.279523815
278	0.2789807268
279	0.2786235931
280	0.2780884813
281	0.2775481205
282	0.2770359521
283	0.2766601756
284	0.2760088814
285	0.2754387754
286	0.2750008605
287	0.274271663
288	0.2737101991
289	0.2732106123
290	0.2727246839
291	0.2719539787
292	0.2712672652
293	0.2708678334
294	0.2704664605
295	0.2700931502
296	0.2696000517
297	0.2692809845
298298	0.2637358749
299	0.263115552
300	0.2626963804
301	0.2622325517
302	0.2617401442
303	0.2611079882
304	0.2604818005
305	0.2598375616
306	0.2594487637
307	0.2588671045
308	0.2584313624
309	0.2578637285
310	0.2573756311	0.2620492468
312	0.2614387179
313	0.2609506511
314	0.260654072
315	0.2602521613
316	0.2598458021
317	0.2594111349
318	0.2591376703
319	0.2585821575
320	0.2577296111
321	0.2574757222
322	0.2566334941
323	0.2561857995
324	0.2558127748
325	0.2554634983
326	0.254954829
327	0.2546092042
328	0.2541080924
329	0.2536023445
330	0.2532331912
331	0.2527787963
332	0.252227359
333	0.2515934287
334	0.2509678546
335	0.2505801061
336	0.250375809
337	0.2498839886
338	0.2494152588
339	0.2489556225
340	0.2485266344
341	0.2478739222
342	0.2473515972
343	0.2469427314
344	0.2464462445
345	0.2462602568
346	0.2459069546
347	0.2450839939
348	0.2444905473
349	0.2440355461
350	0.2435837346
351	0.2431173577
352	352	0.2390184705
353	0.2384673451
354	0.2379520032
355	0.2376868626
356	0.2373024275
357	0.2368331858
358	0.2363743613
359	0.2361502272
360	0.2356543743
361	0.2352110583
