iter	Passed	Remaining
0	159	127572
1	160	63866
2	160	42628
3	163	32472
4	163	26007
5	163	21697
6	164	18607
7	164	16293
8	164	14491
9	165	13052
10	165	11866
11	165	10900
12	169	10246
13	169	9525
14	169	8895
15	170	8348
16	170	7864
17	171	7431
18	171	7043
19	171	6691220	177	6584221	181	6402
22	181	612823	184	5979
24	185	5744
25	196	5849
26	196	5637
27	200	5530
228	204	5445
29	205	5265
30	205	5097331	209	5025
32	209	4876
33	210	4734
34	219	4804
35	220	467136	226	4676
37	227	4555
38	227	4438
39	227	4329
40	228	4224
41	233	4211
42	237	4189
43	238	4095
44	242	4061
45	242	3970
46	242	3887
47	242	3806
48	243	3727
49	243	3652
50	243	3581
51	244	3513
52	244	3448
53	244	3384
54	245	3322
55	245	3261
56	256	3347
57	257	3291
58	261	3282
59	261	3227
60	262	3174
61	262	3122
62	262	3072
63	262	3023
64	263	2976
65	263	2930
66	263	2887
67	269	2900
68	270	2863
69	270	2822
70	273	2811
71	274	2770
72	274	2732
73	274	2695
74	275	2658
75	275	2622
76	275	2587
77	275	2554
78	276	2521
79	276	2490
80	277	2462
81	277	2432
82	283	2450
83	288	2461
84	289	2432
85	297	2472
86	304	2495
87	304	2467
88	305	2438
89	305	2410
90	305	2383
91	310	2390
92	310	2364
93	311	2338
94	311	2314
95	312	2290
96	313	2274
97	314	2250
98	320	2270
99	328	2302
100	329	2279
101	329	2256
102	330	2233
103	330	2211
104	332	2197
105	332	2176
106	334	2165
107	336	2154
108	336	2134
109	337	2114
110	337	2094
111	337	2074
112	337	2054
113	338	2035
114	338	2017
115	339	1998
116	339	1981
117	339	1963
118	340	1946
119	340	1928
120	340	1912
121	341	1895
122	343	1890
123	343	1874
124	344	1859
125	344	1843
126	344	1827
127	345	1812
128	345	1797
129	345	1783
130	349	1786
131	350	1772
132	354	1777
133	357	1775
134	361	1779
135	361	1766
136	362	1752
137	362	1738
138	362	1725
139	363	1712
140	363	1699
141	363	1686
142	364	1673
1143	363	16551144	363	16431145	364	16311146	364	16191147	364	16071148	365	15961149	365	15841150	366	15731151	366	15621152	366	15501153	367	15391154	367	15291155	367	15181156	368	15071157	368	14971158	368	14861159	369	14761160	369	14661161	370	1457
162	373	1458
163	379	1470
164	379	1461
165	380	1451
166	380	1441
167	380	1432
168	381	1423
169	381	1413
170	381	1404
171	382	1395
172	382	1386
173	382	1377
174	383	1368
175	385	1365
176	385	1356
177	385	1348
178	386	1340
179	386	1331
180	396	1354
181	396	1346
182	398	1342
183	398	1334
184	399	1326
185	399	1318
186	399	1310
187	400	1302
188	400	1294
189	404	1297
190	404	1290
191	408	1292
192	408	1285
193	412	1287
194	412	1280
195	412	1272
196	413	1264
197	414	1261
198	415	1253
199	415	1246
200	415	1239
201	416	1232
202	416	1225
203	416	1218
204	417	1212
205	418	1205
206	418	11982207	425	1211
208	426	1205
209	434	1221
210	435	1214
211	438	1217
212	439	1210
213	439	1204
214	440	1197
215	440	1190
216	440	1184
217	441	1177
218	441	1171
219	441	1164
220	442	1158
221	442	1152
222	444	1150
223	444	1144
224	445	1138
225	445	1131
226	446	1125
227	446	1119
228	446	1114
229	447	1108
230	447	1102
231	447	1096
232	448	1090
233	448	1085
234	457	1100
235	462	1104
236	465	1106
237	469	1108
238	469	1102
239	470	1097
240	471	1092
241	471	1087
242	472	1082
243	472	1076
244	472	1071
245	473	1065
246	473	1060
247	474	1055
248	474	1049
249	474	1044
250	475	1039251	479	1041
252	479	1036
253	479	1031
254	484	1036
255	485	1031
256	485	1026
257	487	1023
258	487	1018
259	487	1013
260	488	1008
261	489	1005
262	489	1000
263	490	995
264	490	990
265	494	991
266	494	986
267	494	982268	494	975
269	494	970
2270	499	974
271	499	970
272	500	965
273	500	961
274	501	956
275	504	957
276	504	952
277	504	948
278	505	943
279	505	939
280	505	934
281	506	930
282	506	925
283	507	921
284	507	916
285	507	912
286	508	908
287	508	903
288	508	899
289	512	902
290	513	898
291	515	897
292	516	893
293	517	891
294	518	887
295	518	883
296	519	879
297	519	875298	525	879
299	525	875
300	525	871
301	526	867
302	530	869
303	530	865
304	530	861
305	531	857
306	531	853
307	531	849
308	532	845
309	532	841
310	533	838
3311	534	836
312	534	832
313	535	828
314	535	824
315	536	821
316	536	8173317	536	8133318	537	8103319	537	8063320	542	809
321	549	814
322	549	811
323	549	807
324	550	804
325	551	801
326	551	797
327	551	794
328	552	790
329	552	786
330	552	783
331	553	779
332	553	776
333	553	772
334	554	769
335	554	765
336	555	762
337	555	759
338	555	755
339	556	752
340	557	749
341	557	746
342	557	743
343	558	739
344	558	736
345	558	733
346	559	730
347	559	726
348	565	730
349	565	727
350	566	724
351	566	721352	569	721
353	570	718
354	570	715
355	570	712
356	571	708
357	577	712
358	577	709
359	578	706
360	578	703
361	578	700
362	579	697
363	581	696
364	582	693
365	582	690
366	582	687
367	583	684
368	586	684
369	586	681
370	586	678
371	587	676
372	588	673
373	588	670
374	592	671
375	592	668
376	595	668
377	595	665
378	596	662
379	596	659
380	596	656
381	602	659
382	603	656
383	603	654
384	604	651
385	604	648
386	604	645
387	605	642
388	605	639
389	606	637
390	606	634
