iter	RMSE
0	4.289969813
1	4.290208146
2	4.259608841
3	4.276035284
4	4.268170969
5	4.25852255
6	4.253408278
7	4.250313634
8	4.239289712
9	4.233945539
10	4.228415081
11	4.218273852
12	4.213242543
13	4.204416586
14	4.197225503
15	4.190054659
16	4.181231371
17	4.178509251
18	4.17400878
19	4.169601924
20	4.160872485
21	4.153473052
22	4.14798974
23	4.140285637
24	4.132656226
25	4.124360011
26	4.11384086
27	4.10262044
28	4.094632018
29	4.088639216
30	4.081039711
31	4.074808484
32	4.063425655
33	4.054745651
34	4.048534578
35	4.041052468
36	4.035024421
37	4.028640137
38	4.020296586
39	4.013629197
40	4.011727224
41	4.005955448
42	3.998675709
43	3.995371583
44	3.987976961
45	3.984746455
46	3.975138591
47	3.968077314
48	3.961094112
49	3.954249291
50	3.947973691
51	3.941705785
52	3.936860606
53	3.928812027
54	3.925332841
55	3.91865979
56	3.912938442
57	3.908334775
58	3.899663245
59	3.892559357
60	3.885947679
61	3.877012778
62	3.868638994
63	3.864320618
64	3.863366618
65	3.854425387
66	3.852292429
67	3.845200359
68	3.840494732
69	3.833339929
70	3.825392503
71	3.819428488
72	3.810248964
73	3.802145028
74	3.793769887
75	3.78527847
76	3.779357389
77	3.773410654
78	3.76369257
79	3.761500849
80	3.75681456
81	3.751911931
82	3.745380104
83	3.738643593
84	3.72625019
85	3.717649719
86	3.71215834
87	3.704747249
88	3.696531978
89	3.693015853
90	3.685537332
91	3.679576425
92	3.674676592
93	3.668438915
94	3.662084532
95	3.659231184
96	3.651054955
97	3.642587339
98	3.635555937
99	3.623915938
100	3.617592637
101	3.611539445
102	3.606413226
103	3.600594596
104	3.595376497
105	3.589674699
106	3.581854056
107	3.578964608
108	3.570008588
109	3.561379727
110	3.555398323
111	3.548796547
112	3.541260453
113	3.539615033
114	3.535037095
115	3.528268959
116	3.52245367
117	3.514367103
118	3.510386233
119	3.508961634
120	3.502688056
121	3.497727316
122	3.491527064
123	3.483568461
124	3.474000727
125	3.468319591
126	3.463270784
127	3.458461198
128	3.452006264
129	3.446523801
130	3.440622643
131	3.436651271
132	3.428403355
133	3.420393347
134	3.414776928
135	3.41110701
136	3.406295634
137	3.397718071
138	3.39163524
139	3.388505381
140	3.381249032
141	3.373128773
142	3.366865211
143	3.358256051
144	3.350868251
145	3.345428866
146	3.340184451
147	3.334978743
148	3.327638448
149	3.321956814
150	3.316558782
151	3.310899505
152	3.30423602
153	3.301706028
154	3.293820545
155	3.287840841
156	3.28053416
157	3.274160181
158	3.267504474
159	3.265613661
160	3.26182679
161	3.255176807
162	3.247483685
163	3.240730164
164	3.231181515
165	3.226019123
166	3.221012139
167	3.217765259
168	3.215101809
169	3.209807279
170	3.20495749
171	3.202910924
172	3.19842918
173	3.193213034
174	3.18704137
175	3.182870827
176	3.178669106
177	3.171027713
178	3.167489372
179	3.159918597
180	3.153017304
181	3.146196908
182	3.142631042
183	3.135903363
184	3.131492581
185	3.128879162
186	3.121599186
187	3.117387283
188	3.111045737
189	3.103916192
190	3.097550266
191	3.094442086
192	3.089358302
193	3.085982087
194	3.080996091
195	3.077675453
196	3.071729873
197	3.06671799
198	3.06487744
199	3.062035812
200	3.058313011
201	3.054471953
202	3.049034987
203	3.043801057
204	3.037894439
205	3.034383476
206	3.02958195
207	3.025326194
208	3.02104192
209	3.017120002
210	3.012126382
211	3.006389306
212	2.999623733
213	2.995967249
214	2.99379678
215	2.989908826
216	2.98570532
217	2.981195486
218	2.972099725
219	2.968123745
220	2.964005928
221	2.957453965
222	2.955042728
223	2.950736459
224	2.94329152
225	2.938978058
226	2.934790863
227	2.92845246
228	2.921461492
229	2.914609009
230	2.908643476
231	2.904910954
232	2.901335984
233	2.896046838
234	2.889809989
235	2.886681338
236	2.879746234
237	2.873531477
238	2.866956346
239	2.863699107
240	2.857317785
241	2.855479768
242	2.849802693
243	2.844991067
244	2.840226327
245	2.835759318
246	2.834086452
247	2.829344508
248	2.822774344
249	2.81768888
250	2.814029393
251	2.809929776
252	2.806200952
253	2.801039942
254	2.795839943
255	2.79125584
256	2.782908582
257	2.774786569
258	2.772697019
259	2.767972046
260	2.761815382
261	2.757383025
262	2.751581996
263	2.74771246
264	2.741981548
265	2.738273031
266	2.73511832
267	2.731482396
268	2.722794622
269	2.718831937
270	2.714923728
271	2.710887987
272	2.704322222
273	2.703379974
274	2.698844756
275	2.691372799
276	2.687508777
277	2.682342878
278	2.676747285
279	2.672308405
280	2.66793587
281	2.662379877
282	2.657991865
283	2.653666104
284	2.649778078
