iter	Passed	Remaining
0	137	205562
1	138	103933
2	139	69422
3	140	52578
4	149	44824
5	150	37414
6	153	32714
7	153	28690
8	154	25560
9	154	23043
10	154	20978
11	155	19256
12	155	17802
13	155	16554
14	156	15471
15	156	14523
16	156	13687
17	157	12945
18	157	12284
19	157	11684
20	158	11141
21	158	10649
22	158	10199
23	159	9787
24	159	9408
25	159	9059
26	164	8973
27	165	8680
28	165	8392
29	165	8123
30	166	7870
31	166	7634
32	166	7417
33	167	7207
34	167	7010
35	167	6823
36	168	6647
37	168	6480
38	168	6322
39	169	6173
40	169	6030
41	169	5894
42	170	5764
43	170	5639
44	170	5520
45	171	5407
46	171	5298
47	171	5195
48	172	5095
49	172	4998
50	172	4905
51	173	4819
52	175	4778
53	175	4697
54	175	4618
55	176	4543
56	176	4468
57	177	4401
58	177	4331
59	177	4264
60	178	4199
61	178	4136
62	178	4075
63	179	4016
64	179	3958
65	179	3902
66	179	3848
67	180	3795
68	180	3746
69	180	3696
70	181	3650
71	181	3602
72	181	3557
73	182	3513
74	182	3469
75	182	3427
76	183	3386
77	184	3354
78	184	3317
79	184	3280
80	185	3243
81	185	3207
82	185	3171
83	186	3137
84	186	3102
85	186	3068
86	187	3037
87	190	3050
88	190	3020
89	190	2989
90	191	2959
91	191	2929
92	191	2901
93	192	2872
94	192	2845
95	192	2818
96	193	2792
97	193	2766
98	193	2740
99	193	2715
100	194	2698
101	195	2674
102	195	2650
103	195	2627
104	196	2605
105	196	2582
106	196	2560
107	197	2539
108	197	2518
109	197	2497
110	197	2476
111	198	2456
112	198	2436
113	198	2418
114	199	2399
115	199	2380
116	199	2362
117	200	2344
118	200	2326
119	200	2309
120	201	2291
121	201	2275
122	204	2287
123	204	2270
124	204	2253
125	205	2237
126	205	2221
127	205	2206
128	206	2190
129	206	2177
130	206	2162
131	207	2147
132	207	2132
133	207	2118
134	208	2104
135	208	2090
136	208	2076
137	208	2062
138	209	2049
139	209	2036
140	209	2023
141	210	2010
142	210	1998
143	210	1986
144	211	1973
145	211	1961
146	211	1949
147	212	1938
148	212	1927
149	212	1915
150	213	1904
151	213	1893
152	213	1882
153	214	1872
154	214	1861
155	214	1851
156	217	1859
157	217	1849
158	218	1839
159	218	1829
160	218	1820
161	219	1811
162	219	1801
163	219	1791
164	220	1781
165	220	1771
166	220	1762
167	221	1752
168	221	1743
169	221	1734
170	222	1725
171	222	1716
172	222	1707
173	222	1698
174	223	1690
175	223	1682
176	224	1674
177	224	1665
178	224	1657
179	224	1649
180	225	1641
181	225	1633
182	225	1625
183	226	1618
184	226	1610
185	226	1602
186	227	1595
187	227	1587
188	227	1579
189	228	1572
190	228	1565
191	228	1557
192	228	1550
193	229	1543
194	230	1542
195	231	1540
196	231	1533
197	232	1527
198	232	1520
199	232	1513
200	233	1507
201	233	1500
202	233	1493
203	234	1487
204	234	1480
205	234	1474
206	235	1468
207	235	1461
208	235	1455
209	235	1449
210	236	1443
211	236	1437
212	236	1431
213	237	1425
214	237	1419
215	237	1413
216	238	1408
217	238	1402
218	238	1396
219	238	1390
220	239	1384
221	239	1379
222	239	1373
223	240	1368
224	240	1362
225	240	1357
226	241	1352
227	241	1346
228	241	1341
229	242	1336
230	242	1331
231	242	1326
232	243	1323
233	243	1320
234	244	1315
235	244	1310
236	244	1305
237	245	1300
238	245	1295
239	245	1290
240	246	1285
241	246	1281
242	246	1276
243	247	1271
244	247	1267
245	247	1263
246	248	1258
247	248	1254
248	248	1249
249	249	1245
250	249	1240
251	249	1236
252	249	1231
253	250	1227
254	250	1223
255	251	1220
256	251	1215
257	251	1211
258	251	1206
259	252	1202
260	252	1198
261	252	1194
262	253	1190
263	253	1187
264	253	1183
265	254	1179
266	254	1175
267	254	1171
268	255	1167
269	255	1163
270	255	1159
271	255	1155
272	256	1151
273	256	1148
274	256	1144
275	257	1140
276	257	1137
277	258	1134
278	258	1130
279	258	1126
280	258	1123
281	259	1119
282	259	1117
283	260	1114
284	260	1110
285	260	1107
286	261	1103
287	261	1100
288	261	1096
289	262	1094
290	262	1091
291	263	1088
292	263	1084
293	263	1081
294	263	1078
295	264	1074
296	264	1071
297	264	1068
298	265	1064
299	265	1061
300	265	1058
301	266	1055
302	266	1052
303	266	1049
304	267	1046
305	267	1043
306	267	1040
307	268	1038
308	268	1035
309	268	1032
310	269	1029
311	269	1026
312	269	1023
313	270	1020
314	270	1017
315	270	1014
316	271	1013
317	271	1010
318	272	1008
319	272	1005
320	272	1002
321	273	999
322	273	996
323	273	993
324	274	991
325	274	988
326	274	985
327	275	982
328	275	979
329	275	977
330	275	974
331	276	971
332	276	969
333	276	966
334	277	963
335	277	961
336	277	958
337	278	955
338	278	953
339	278	950
340	278	948
341	279	945
342	279	943
343	279	940
344	280	938
345	280	936
346	281	936
347	281	933
348	282	930
349	282	928
350	282	925
351	283	923
352	283	921
353	283	918
354	284	916
355	284	914
356	286	916
357	286	914
358	287	912
359	287	909
360	287	907
361	288	905
362	288	903
363	288	900
364	288	898
365	289	896
366	289	893
367	289	891
368	290	889
369	290	887
370	290	884
371	291	882
372	291	881
373	291	878
374	292	876
375	292	874
376	292	872
377	293	870
378	293	868
379	293	866
380	294	864
381	294	862
382	294	860
383	295	858
384	295	856
385	295	853
386	296	851
387	296	849
388	296	847
389	297	845
390	297	843
391	297	841
392	298	839
393	298	837
394	299	839
395	300	837
396	300	835
397	300	833
398	301	831
399	301	829
400	302	827
401	302	826
402	302	823
403	302	821
404	303	819
405	303	818
406	303	816
407	304	814
408	304	812
409	304	810
410	305	808
411	305	806
412	305	804
413	306	802
414	306	800
415	306	799
416	306	797
417	307	795
418	307	794
419	308	792
