iter	RMSE
0	4.386388023
1	4.376241225
2	4.474746299
3	4.46701193
4	4.457227272
5	4.446156885
6	4.435827636
7	4.433686188
8	4.421266427
9	4.416804411
10	4.40727133
11	4.396883713
12	4.387897676
13	4.376883705
14	4.368525185
15	4.360189372
16	4.350181484
17	4.342750573
18	4.340813438
19	4.335195036
20	4.326802513
21	4.31723693
22	4.31035976
23	4.301580861
24	4.291982864
25	4.28461562
26	4.27366596
27	4.262226435
28	4.253825103
29	4.246669377
30	4.239853744
31	4.234243327
32	4.225372099
33	4.218057203
34	4.211680791
35	4.204128745
36	4.197018511
37	4.189853813
38	4.181560458
39	4.173378437
40	4.17133167
41	4.164405459
42	4.155431302
43	4.151205181
44	4.143443878
45	4.139429267
46	4.128881052
47	4.119815937
48	4.111612819
49	4.103629018
50	4.092213111
51	4.086992112
52	4.080898226
53	4.072226149
54	4.061142859
55	4.05334527
56	4.046033642
57	4.038127819
58	4.026559198
59	4.018474239
60	4.013436944
61	4.004892464
62	3.998010656
63	3.988829419
64	3.985710713
65	3.985133757
66	3.979609287
67	3.973306179
68	3.966853989
69	3.960536983
70	3.956358595
71	3.946945755
72	3.94167989
73	3.935470373
74	3.926824953
75	3.918185956
76	3.908670481
77	3.89993811
78	3.893027693
79	3.88482224
80	3.880048094
81	3.870164901
82	3.864895525
83	3.861672315
84	3.857926482
85	3.849892235
86	3.844072953
87	3.835931053
88	3.831103294
89	3.827667355
90	3.820312651
91	3.815635445
92	3.814923321
93	3.805197175
94	3.798230318
95	3.79360748
96	3.784707101
97	3.773167049
98	3.766637082
99	3.757686317
100	3.75382092
101	3.743792903
102	3.739789982
103	3.733590072
104	3.72654835
105	3.721830923
106	3.714821401
107	3.706284943
108	3.691930088
109	3.688188349
110	3.679052002
111	3.671616769
112	3.666821887
113	3.659308929
114	3.649518676
115	3.648483843
116	3.641945989
117	3.632799338
118	3.625037746
119	3.61668278
120	3.612145531
121	3.609823091
122	3.602115733
123	3.597577443
124	3.591539705
125	3.583369017
126	3.574404178
127	3.567867489
128	3.562391549
129	3.557397653
130	3.5490174
131	3.542543591
132	3.535202888
133	3.530625613
134	3.522298506
135	3.513733669
136	3.504892399
137	3.501456505
138	3.495923596
139	3.488358612
140	3.481579712
141	3.476176373
142	3.466559854
143	3.456901575
144	3.452093091
145	3.445106983
146	3.433718335
147	3.426194424
148	3.421240432
149	3.413958204
150	3.409748047
151	3.400451273
152	3.398653229
153	3.394055413
154	3.390768955
155	3.382739849
156	3.378172261
157	3.369853515
158	3.360768355
159	3.354764193
160	3.346385469
161	3.339047261
162	3.33521292
163	3.329784036
164	3.326482784
165	3.319695137
166	3.314856128
167	3.309259693
168	3.30349171
169	3.297022791
170	3.291277766
171	3.287515003
172	3.279954771
173	3.276423853
174	3.270602209
175	3.264726984
176	3.258894702
177	3.25364453
178	3.249391681
179	3.242133814
180	3.236675316
181	3.230604213
182	3.225455941
183	3.220457904
184	3.215812538
185	3.209430479
186	3.202940792
187	3.201744289
188	3.195696533
189	3.189649128
190	3.181812998
191	3.174847441
192	3.166940433
193	3.163144681
194	3.154742356
195	3.150043194
196	3.147292955
197	3.143632634
198	3.139392651
199	3.136466433
200	3.13267704
201	3.125459438
202	3.119290463
203	3.115871067
204	3.109455577
205	3.104471544
206	3.096848499
207	3.090166665
208	3.085398179
209	3.081158533
210	3.077781546
