iter	Passed	Remaining
0	139	209534
1	140	104932
2	151	75747
3	152	56881
4	158	47356
5	165	41281
6	175	37508
7	176	32846
8	176	29219
9	176	26316
10	179	24342
11	180	22332
12	180	20632
13	180	19174
14	180	17909
15	181	16800
16	181	15823
17	181	14953
18	181	14175
19	182	13476
20	182	12842
21	182	12266
22	182	11739
23	183	11257
24	183	10813
25	183	10403
26	184	10087
27	185	9732
28	185	9402
29	185	9094
30	185	8807
31	186	8537
32	186	8283
33	186	8043
34	186	7817
35	187	7605
36	187	7403
37	187	7212
38	187	7030
39	187	6858
40	188	6695
41	188	6540
42	188	6392
43	188	6251
44	189	6116
45	189	5986
46	189	5862
47	189	5741
48	190	5627
49	190	5518
50	190	5413
51	190	5312
52	191	5215
53	191	5121
54	191	5031
55	191	4944
56	192	4861
57	192	4780
58	192	4701
59	192	4628
60	193	4559
61	193	4488
62	193	4418
63	193	4351
64	194	4287
65	194	4223
66	215	4602
67	215	4537
68	215	4473
69	215	4411
70	216	4351
71	216	4292
72	216	4234
73	216	4178
74	217	4123
75	217	4071
76	217	4020
77	217	3969
78	217	3920
79	218	3872
80	218	3826
81	218	3780
82	218	3735
83	219	3692
84	219	3650
85	219	3609
86	219	3569
87	220	3530
88	220	3491
89	220	3453
90	220	3417
91	220	3381
92	221	3344
93	221	3309
94	221	3275
95	221	3242
96	221	3209
97	222	3177
98	222	3146
99	222	3114
100	222	3084
101	222	3055
102	223	3026
103	223	2998
104	223	2970
105	223	2943
106	223	2915
107	224	2889
108	224	2864
109	224	2838
110	224	2813
111	225	2789
112	225	2765
113	225	2742
114	225	2718
115	225	2696
116	226	2674
117	226	2652
118	226	2630
119	226	2609
120	227	2588
121	227	2567
122	227	2547
123	227	2527
124	227	2507
125	228	2488
126	228	2468
127	228	2450
128	228	2432
129	229	2414
130	229	2396
131	229	2378
132	229	2361
133	229	2344
134	230	2327
135	230	2311
136	230	2295
137	230	2279
138	231	2263
139	231	2247
140	231	2231
141	231	2216
142	231	2201
143	232	2186
144	232	2171
145	232	2157
146	232	2143
147	233	2129
148	233	2115
149	233	2104
150	234	2090
151	234	2077
152	234	2064
153	234	2051
154	234	2038
155	235	2025
156	235	2013
157	235	2000
158	235	1987
159	235	1976
160	236	1964
161	236	1953
162	237	1944
163	237	1932
164	237	1921
165	237	1910
166	237	1898
167	238	1887
168	238	1877
169	238	1866
170	238	1855
171	239	1845
172	239	1834
173	239	1824
174	239	1814
175	239	1804
176	240	1794
177	240	1784
178	240	1774
179	240	1765
180	244	1778
181	244	1768
182	244	1759
183	244	1750
184	244	1740
185	245	1731
186	245	1722
187	245	1713
188	245	1704
189	246	1696
190	246	1687
191	246	1679
192	247	1678
193	248	1670
194	248	1662
195	249	1658
196	249	1651
197	249	1643
198	250	1634
199	250	1626
200	250	1618
201	250	1611
202	251	1603
203	251	1596
204	251	1588
205	251	1581
206	251	1573
207	252	1566
208	252	1559
209	252	1551
210	252	1544
211	253	1537
212	253	1530
213	253	1523
214	253	1516
215	254	1509
216	254	1503
217	254	1496
218	254	1489
219	254	1483
220	255	1476
221	255	1470
222	255	1463
223	255	1457
224	256	1450
225	256	1444
226	256	1438
227	256	1432
228	256	1426
229	257	1420
230	257	1414
231	257	1408
232	257	1402
233	258	1396
234	258	1390
235	258	1384
236	258	1378
237	258	1373
238	259	1367
239	259	1362
240	259	1356
241	259	1350
242	260	1345
243	260	1340
244	260	1334
