iter	Passed	Remaining
0	136	205280
1	144	108498
2	145	72472
3	146	54658
4	183	54933
5	184	45860
6	184	39370
7	184	34487
8	185	30707
9	185	27673
10	186	25189
11	186	23122
12	186	21381
13	187	19882
14	187	18595
15	188	17458
16	199	17387
17	200	16493
18	200	15639
19	200	14871
20	201	14189
21	202	13579
22	202	13010
23	202	12480
24	203	12023
25	207	11746
26	209	11402
27	209	11005
28	209	10632
29	220	10813
30	221	10478
31	221	10164
32	222	9872
33	222	9593
34	223	9334
35	223	9087
36	223	8852
37	224	8629
38	224	8417
39	225	8217
40	225	8028
41	226	7846
42	226	7673
43	226	7510
44	227	7353
45	227	7201
46	228	7055
47	228	6916
48	229	6783
49	229	6654
50	229	6534
51	230	6418
52	231	6311
53	231	6205
54	232	6102
55	232	6000
56	233	5901
57	233	5805
58	233	5713
59	234	5621
60	234	5536
61	235	5452
62	235	5371
63	235	5293
64	236	5220
65	237	5151
66	237	5079
67	238	5012
68	238	4944
69	238	4877
70	239	4813
71	239	4750
72	239	4690
73	240	4631
74	240	4573
75	241	4519
76	241	4466
77	242	4412
78	242	4361
79	242	4310
80	243	4260
81	243	4212
82	243	4165
83	244	4119
84	245	4079
85	245	4036
86	245	3993
87	246	3953
88	246	3912
89	247	3872
90	247	3833
91	247	3795
92	248	3757
93	248	3720
94	249	3685
95	249	3649
96	249	3615
97	250	3581
98	250	3548
99	251	3515
100	251	3485
101	252	3454
102	252	3423
103	252	3394
104	253	3365
105	253	3336
106	254	3308
107	254	3281
108	254	3253
109	255	3226
110	255	3200
111	256	3174
112	256	3148
113	257	3125
114	257	3100
115	257	3076
116	258	3052
117	258	3029
118	259	3008
119	259	2985
120	259	2963
121	260	2940
122	260	2920
123	261	2900
124	261	2879
125	262	2858
126	262	2838
127	262	2817
128	263	2798
129	263	2779
130	264	2759
131	264	2739
132	264	2720
133	265	2703
134	265	2685
135	265	2667
136	266	2650
137	266	2632
138	267	2615
139	267	2598
140	267	2582
141	268	2565
142	268	2550
143	269	2534
144	269	2519
145	269	2503
146	270	2488
147	270	2474
148	271	2459
149	271	2444
150	271	2429
151	272	2417
152	272	2403
153	273	2389
154	273	2375
155	274	2362
156	274	2350
157	275	2337
158	275	2323
159	275	2310
160	276	2297
161	276	2286
162	277	2272
163	277	2260
164	277	2248
165	278	2237
166	278	2225
167	279	2213
168	279	2202
169	280	2191
170	280	2180
171	281	2170
172	281	2160
173	282	2149
174	282	2139
175	283	2129
176	283	2118
177	283	2107
178	284	2097
179	284	2086
180	285	2077
181	285	2067
182	286	2058
183	286	2049
184	287	2040
185	287	2031
186	287	2021
187	288	2011
188	288	2002
189	289	1993
190	289	1984
191	289	1975
192	290	1966
193	290	1957
194	291	1948
195	291	1940
196	292	1932
197	292	1923
198	292	1913
199	293	1904
200	293	1895
201	293	1887
202	294	1879
203	294	1870
204	294	1862
205	295	1854
206	295	1846
207	296	1838
208	296	1830
209	296	1823
210	297	1815
211	297	1808
212	298	1801
213	298	1793
214	298	1786
215	299	1778
216	299	1772
217	300	1766
218	300	1759
219	301	1752
220	301	1745
221	302	1738
222	302	1731
223	302	1725
224	303	1718
225	303	1712
226	304	1705
227	304	1698
228	304	1692
229	305	1685
230	305	1678
231	305	1672
232	306	1666
233	306	1659
234	307	1653
