iter	RMSE
0	0.862184208
11	0.8843963777
2	0.8698390368
3	0.8569623696
4	0.8425852867
5	0.8287075949
6	0.8168284372
7	0.8038581895
8	0.7911413491
9	0.7810233354
10	0.7666165111	11	0.7572199412	12	0.7469911413	13	0.7353168714	14	0.723069891515	0.7132256671616	0.7011488581717	0.6905708181818	0.6803238951919	0.670409823
20	0.662337739
21	0.6541043144
22	0.6464871099
23	0.6167549652
24	0.630233788
25	0.6218715302
26	0.6141116026
27	0.6061051769
28	0.599038962
29	0.5932913335
30	0.5843696995
31	0.5779416929
32	0.5560353342
33	0.5495204817
34	0.5440047886
35	0.5374329524
36	0.5306945557
37	0.525334367
38	0.518491578
39	0.5130142289
40	0.5071237326
41	0.5027736471
42	0.5007430091
43	0.4950557117
44	0.4899585287
45	0.485614935
46	0.481832131
47	0.4768098206
48	0.4719490316
49	0.4684981168
50	0.4646203638
51	0.4605448267
52	0.4566099964
53	0.4522262579
5454	0.454374976
55	0.4500068942
56	0.4458920196
57	0.4418665307
58	0.438852891
59	0.4349935926
60	0.4321865846
61	0.4286385532
62	0.4265196184
63	0.4235392331
64	0.420256111
65	0.4169530996
66	0.414113234
67	0.4113825116
68	0.4083623028
69	0.4055250175
70	0.4029095893
71	0.4000694328
72	0.3975030313
73	0.3947303409
74	0.3921704209
75	0.3897784836
76	0.387667008
77	0.3854023367
78	0.3831242123
79	0.381118533
80	0.378941596
81	0.3771203101
82	0.3754472203
83	0.3736350723
84	0.3719152465
85	0.3696326194
86	0.3679430771
87	0.3661389602
88	0.3643612638
89	0.3625382494
90	0.3609520314
91	0.3592061767
92	0.3573687994
93	0.3556861346
94	0.3541166802
95	0.3521798775
96	0.3504172502
97	0.3490378459
98	0.3476882073
99	0.3458944591
100	0.3446434157
101	0.3429181032
102	0.3416630353
103	0.3402125793
104	0.3386968679
105	0.3369233455
106	0.3357712724
107	0.3346465277
108	0.3332452734
109	0.3321948415
110	110	0.3303533119
111	0.3289924112	0.3286212059
113113	0.3273525347
114	0.3262247137
115	0.3256543692
116	0.3246095317
117	0.3233953892
118	0.3223213119	0.3206744815
120	0.3200279691
121	0.3194450539
122	0.3183177027
123	0.3175703989
124	0.3164386399
125	0.3155390245
126	0.3147936724
127	0.314554212
128	0.3138024782
129	0.3130068091
130	0.3118737796
131	0.3111890229
132	0.3107885204
133	0.3102128873
134	0.3093350106
135	0.3082932879
136	0.3071907228
