iter	Passed	Remaining
0	167	133888
1	170	68215
2	171	45525
3	171	34168
4	172	27361
5	172	22821
6	172	19569
7	173	17131
8	173	15234
9	173	13722
10	173	12476
11	174	11445
12	174	10569
13	174	9822
14	175	9171
15	175	8601
16	175	8095
17	176	7651
18	176	7252
19	178	6952
20	178	6625
21	178	6328
22	179	6057
23	180	5851
24	185	5758
25	186	5537
26	186	5340
27	186	5151
28	187	4977
29	187	4815
30	187	4660
31	188	4517
32	187	4350
33	187	4223
34	187	4105
35	188	3994
36	188	3888
37	188	3788
38	189	3691
39	189	3599
40	189	3513
41	190	3431
42	190	3353
43	190	3277
44	190	3203
45	191	3135
46	191	3070
47	191	3005
48	192	2945
49	192	2888
50	192	2833
51	193	2780
52	193	2729
53	194	2680
54	201	2725
55	201	2679
56	202	2634
57	202	2590
58	205	2583
59	206	2542
60	206	2501
61	206	2462
62	207	2424
63	207	2387
64	207	2351
65	208	2315
66	208	2282
67	208	2248
68	209	2216
69	209	2185
70	209	2155
71	210	2125
72	210	2096
73	210	2067
74	211	2041
75	211	2014
76	211	1988
77	212	1963
78	214	1958
79	215	1935
80	215	1912
81	215	1888
82	216	1866
83	216	1844
84	218	1842
85	220	1830
86	220	1809
87	221	1789
88	226	1807
89	226	1787
90	226	1768
91	227	1749
92	227	1730
93	228	1712
94	228	1694
95	228	1677
96	229	1660
97	229	1643
98	229	1627
99	230	1611
100	230	1594
101	230	1579
102	231	1564
103	231	1548
104	231	1534
105	232	1519
106	232	1505
107	232	1491
108	233	1477
109	233	1464
110	232	1442
111	232	1429
112	236	1440
113	237	1431
114	238	1419
115	238	1407
116	239	1395
117	239	1383
118	239	1372
119	245	1388
120	245	1376
121	245	1364
122	251	1382
123	251	1371
124	252	1360
125	252	1349
126	252	1339
127	253	1328
128	253	1318
129	257	1329
130	258	1319
131	258	1309
132	262	1318
133	263	1308
134	263	1298
135	263	1288
136	264	1279
137	264	1269
138	265	1260
139	265	1250
140	265	1241
141	265	1232
142	272	1253
143	273	1244
144	273	1236
145	274	1227
146	279	1240
147	279	1231
148	279	1222
149	281	1217
150	281	1209
151	281	1201
152	283	1199
153	283	1191
154	284	1183
155	284	1175
156	285	1167
157	285	1159
158	289	1165
159	289	1158
160	290	1151
161	294	1158
162	297	1162
163	297	1154
164	298	1147
165	298	1140
166	298	1132
167	299	1125
168	299	1118
169	300	1111
170	300	1104
171	300	1097
172	300	1090
173	301	1084
174	301	1077
175	302	1071
176	305	1076
177	306	1069
178	306	1063
179	306	1057
180	307	1050
181	307	1044
182	307	1038
183	308	1032
184	313	1042
185	314	1036
186	314	1030
187	314	1024
188	315	1018
189	315	1012
190	315	1006
191	316	1000
192	316	995
193	316	989
194	317	983
195	317	978
196	317	972
197	318	967
198	318	961
199	318	956201	318	943
202	319	938
203	321	938
204	321	933
2204	323	9402205	328	946
206	328	941
207	328	936
208	329	931
209	329	926
210	333	929
211	339	942
212	342	943
213	342	938
214	343	934
215	343	929
216	344	924
217	345	922
218	345	917
219	346	913
220	348	914
221	349	909
222	349	904
223	350	900
224	350	895
225	350	890
226	352	889
227	352	885
228	353	881
229	353	876
230	354	872
231	354	868
232	355	864
233	355	859
234	355	855
235	356	851
236	356	846
237	356	842
238	357	838
239	357	834
240	357	830
241	358	825
242	358	821
243	358	817
244	359	813
245	359	809
246	359	805
247	360	801
248	360	798
249	361	794
250	361	790
251	361	786
252	364	788
253	368	793
254	369	789
255	373	793
256	373	790
257	374	786
258	374	782
259	375	779
260	375	775
261	375	772
262	376	768
263	376	764
264	377	761
265	377	757
266	377	754
267	378	750
268	378	747
269	378	743
270	379	740
271	379	736
272	379	733
273	380	729
274	380	726
275	381	723
276	384	725
277	384	722
278	385	719
279	385	716
280	390	720
281	390	717
282	390	714
283	393	714
284	393	711
285	394	708
286	395	706
287	395	703
288	396	700
289	396	697
290	397	694
291	405	706
292	406	702
293	406	699
294	406	696
295	407	693
296	407	690
297	408	687
298	408	684
299	408	681
300	409	678
301	409	675
302	409	672
303	410	669
304	410	666
305	411	663
306	411	661
307	412	658
308	412	655
309	412	652
310	413	649
311	413	647
312	417	649
313	417	646
314	418	643
315	418	640
316	418	637
317	419	635
318	419	632
319	419	629321	421	625
322	421	622
323	421	619
324	422	617
325	422	614
326	428	620
327	429	617
328	429	614
329	429	612
330	430	609
331	430	606
332	430	604
333	431	601
334	431	599
335	432	596
336	432	594
337	438	598
338	438	596
339	438	593
340	439	591
341	439	588
342	439	586
343	440	583
344	440	581
345	441	578
346	442	577
347	445	578
348	445	576
349	446	573
350	446	571
351	447	568
352	447	566
353	449	566
354	449	563
355	450	561
356	450	558
357	454	561
358	454	558
359	455	556
360	455	554
361	456	551
362	458	552
363	459	550
364	459	547
365	460	545
366	460	543
367	460	541
368	461	538
369	461	536
370	461	534
371	462	531
372	466	533
373	466	531
374	466	529
375	467	526
376	469	527
377	470	524
378	472	524
379	473	523
380	473	520
381	474	518
382	474	516
383	474	514
384	475	512
385	475	510
386	475	507
387	476	505
388	476	503
389	477	501
390	477	499
391	477	497
392	486	503
393	486	501
394	486	499
395	487	497
396	487	495
397	488	492
398	488	490
399	488	488
400	489	486
401	493	488
402	493	486
403	495	486
404	496	483
405	496	481
406	496	479
407	497	477
408	497	475
409	498	473
410	498	471
411	501	472
412	501	470
413	502	468
414	503	466
415	503	464
416	504	463
417	504	461
418	505	459
419	505	457
420	506	455
421	509	456
422	510	454
423	510	452
424	510	450
425	511	448
426	511	446
427	511	445
428	512	443
429	512	441
430	512	439
431	513	437
432	513	435
433	513	433
434	514	431
435	514	429
436	514	427
437	515	425
438	515	423
4438	529	435
439	529	433
440	532	433
441	541	438
442	541	436
443	542	434
444	549	438
445	556	441
446	556	439
447	557	437
448	563	440
449	564	438
450	564	436
451	565	435
452	565	433
453	565	431
454	566	429
455	567	427
456	568	426
457	568	424
458	569	422
459	571	422
460	571	420
461	571	418
462	572	416
463	572	414
464	572	412
465	573	410
466	573	408
467	573	407
468	574	405
469	577	405
470	577	403
471	577	401
472	578	399
473	578	397
474	578	396
475	579	394
476	579	392
477	580	390
478	580	388
479	580	387
480	581	385
481	583	384
482	583	383
483	584	381
484	584	379
485	584	377
486	585	376
487	585	374
488	586	372
489	586	371
490	586	369
491	587	367
492	587	365
493	587	364
494	588	362
495	588	360
496	588	359
497	589	357
498	589	355
499	590	354
500	590	352
501	590	350
502	591	349
503	591	347
504	591	345
505	592	344
506	592	342
507	592	340
508	593	339
509	593	337
510	593	335
511	594	334
512	594	332
513	594	331
514	595	329
515	595	327
516	596	326
517	596	324
518	596	323
519	597	321
520	597	320
521	597	318
522	598	316
523	598	315
524	599	313
525	599	312
526	599	310
527	600	309
528	600	307
529	600	306
530	601	304
531	601	303
532	601	301
533	602	300
534	602	298
535	602	296
536	603	295
537	603	293
538	604	292
539	604	290
540	604	289
541	606	288
542	607	287
543	607	285
544	607	284
545	608	282
546	608	281
547	608	279
548	609	278
549	609	277
550	610	275
551	610	274
552	611	272
553	611	271
554	613	270
555	613	269
556	613	267
557	614	266
558	614	264
559	614	263
560	615	262
561	615	260
562	615	259
563	616	257
564	616	256
565	616	254
566	617	253
567	617	252
568	617	250
569	618	2572	660	261
573	660	260
574	660	258
575	661	257
576	661	255
577	661	254
578	662	252
579	662	251
580	663	249
581	676	253
582	677	252
583	677	250
584	677	249
585	678	247
586	695	252
587	696	250
588	696	249
589	697	248
590	697	246
591	699	245
592	700	244
593	700	242
594	703	242
595	703	240
596	703	239
597	704	237
598	704	236
599	705	235
600	705	233
601	706	232
602	706	230
603	706	229
604	707	227
605	707	226
606	707	225
607	708	223
608	708	222
609	708	220
610	709	219
611	709	217
612	709	216
613	710	215
614	710	213
615	711	212
616	718	213
617	718	211
618	718	210
619	719	208
620	719	207
621	719	206
622	721	205
623	722	203
624	723	202
625	723	201
626	723	199
627	724	198
628	724	197
629	725	195
630	725	194
631	725	192
632	726	191
633	726	190
634	727	188
635	727	187
636	728	186
637	728	185
638	728	183
639	729	182
640	729	181
641	730	179
642	730	178
643	731	177
644	731	175
645	731	174
646	732	173
647	732	171
648	732	170
649	733	169
650	733	167
651	733	166
652	734	165
653	734	164
654	735	162
655	735	161
656	735	160
657	736	158
658	736	157
659	736	156
660	737	155
661	737	153
662	738	152
663	738	151
664	738	150
665	739	148
666	739	147
667	739	146
668	740	144
669	740	143
670	741	142
671	741	141
672	741	140
673	742	138
674	742	137
675	743	136
676	743	135
677	743	133
678	754	134
679	754	133
680	755	131
681	757	131
682	757	129
683	757	128
684	758	127
685	758	126
686	759	124
687	759	123
688	759	122
689	760	121
690	760	119
691	768	119
692	771	119
693	772	118
694	773	116
695	773	115
696	773	114
697	774	113
698	775	112
699	776	110
700	776	109
701	776	108
702	777	107
703	777	106
704	778	104
705	778	103
706	778	102
707	779	101
708	779	100
709	779	98
710	786	98
711	786	97
712	798	97
713	798	96
714	799	94
715	799	93
716	799	92
717	800	91
718	800	90
719	800	88
720	801	87
721	801	86
722	802	85
723	803	84
724	803	83
725	804	81
726	810	81
727	812	80
728	812	79
729	813	77
730	813	76
731	825	76
732	825	75
733	826	74
734	826	73
735	827	71
736	827	70
737	828	69
738	828	68
739	828	67
740	829	66
741	829	64
742	829	63
743	830	62
744	830	61
745	834	60
746	834	59
747	835	58
748	835	56
749	835	55
750	836	54
751	838	53
752	843	52
753	844	51
754	855	50
755	855	49
756	856	48
757	856	47
758	856	46
759	857	45
760	857	43
761	857	42
762	858	41
763	859	40
764	859	39
765	860	38
766	860	37
767	863	35
768	864	34
769	864	33
770	864	32
771	865	31
772	865	30
773	866	29
774	866	27
775	866	26
776	867	25
777	867	24
778	867	23
779	868	22
780	868	21
781	868	20
782	869	18
783	869	17
784	870	16
785	870	15
786	870	14
787	871	13
788	871	12
789	871	11
790	872	9
791	872	8
792	872	7
793	873	6
794	873	5
795	873	4
796	874	3
797	874	2
798	874	1
799	875	0
786	0
799	786	0
