iter	RMSE
0	5.604492024
1	5.494026204
2	5.477797838
3	5.45982246144	5.44264089655	5.435578236	6	5.345191635
7	5.323344211
8	5.307154804
9	5.282119463
10	5.262318373
11	5.233386717
12	5.329597935
13	5.303530241
14	5.284074513
15	5.134056764
16	5.10512522
17	5.080991244
118	5.208615076
19	5.193049369
20	5.176263988
21	5.167921005
22	5.1571304
23	5.13882057
24	5.118170426
25	5.099074497
26	5.087047355
27	5.074551091
28	5.056691706
29	5.051726597
30	5.032461372
31	5.014449536
32	5.003342751
33	4.990237876
34	4.972968318
35	4.960923611
36	4.953910554
37	4.945730508
38	4.93017018
39	4.918564511
40	4.90192558
41	41	4.442892342	42	4.421437885
43	4.397512444	4.858915632
45	4.844847833
46	4.827221258
47	4.813210296
48	4.801981564
49	49	4.256688815
50	4.235027251	4.750793832
52	4.737021688
53	4.724271711
54	4.706710307
55	4.688113697
56	4.67569094
57	4.660111422
58	4.642942129
59	4.632913918
60	4.615950119
61	4.601141494
62	4.58947651
63	4.575148353
64	4.559092069
65	4.542572396
66	4.526802601
67	4.512731033
68	4.496081177
69	4.481108701
70	4.470527574
71	4.457181337
72	4.442972443
73	4.433563603
74	4.422908521
75	4.405993487
76	4.394883776
77	4.379610043
78	4.366546525
79	4.352659446
80	4.344104989
81	4.332459944
82	4.324785202
83	4.311500972
84	4.29743787
85	4.281724473
86	4.268065537
87	4.254807287
88	4.243240607
89	4.226842398
90	4.210903064
91	4.19617686
92	4.176648258
93	4.161868407
94	4.151836111
95	4.138784591
96	4.124553759
97	4.110729581
98	4.102563306
99	4.093878688
100	4.080394015
101	4.071671179
102	4.059574708
103	4.044876971
104	4.033907825
105	4.01990738
106	4.008203341
107	3.992375562
108	3.985337908
109	3.975105917
110	3.968166064
111	3.961509415
112	3.947239175
113	3.933589996
114	3.922767318
115	3.910346477
116	3.897815021
117	3.887202319
118	3.875436673
119	3.865156241
120	3.851453778
121	3.839609583
122	3.827027677
123	3.814908532
124	3.799984622
125	3.78776709
126	3.774624188
127	3.76519363
128	3.752661847
129	3.74265257
130	3.729317586
131	3.719101676
132	3.705455417
133	3.69391893
134	3.683585935
135	3.675330162
136	3.663887875
137	3.653151507
138	3.649146532
139	3.63843639
140	3.625957834
141	3.613921437
142	3.605711814
143	3.591429534
144	3.58093401
145	3.572742151
146	3.565508871
147	3.553235695
148	3.543563503
149	3.535476904
150	3.522476168
151	3.51223813
152	3.505768182
153	3.495378424
154	3.486075278
155	3.475238258
156	3.461249259
157	3.449649574
158	3.441877838
159	3.429308384
160	3.415899268
161	3.402954546
162	3.393072488
163	3.382959719
164	3.372294064
165	3.364159755
166	3.356078915
167	3.342162806
168	3.331507597
169	3.320811522
170	3.312742353
171	3.300844626
172	3.291161816
