iter	Passed	Remaining
0	140	210878
1	142	106649
2	144	72158
3	145	54573
4	153	45816
5	154	38483
6	161	34503
7	160	29901
8	169	28074
9	171	25551
10	173	23422
11	173	21553
12	171	19561
13	175	18666
14	181	17949
15	187	17394
16	188	16468
17	189	15638
18	188	14706
19	192	14240
20	193	13639
21	194	13068
22	195	12542
23	197	12119
24	197	11673
25	200	11371
26	201	10981
27	202	10629
28	202	10284
29	203	9965
30	203	9663
31	206	9463
32	206	9198
33	207	8941
34	207	8699
35	208	8468
36	208	8250
37	209	8044
38	209	7848
39	209	7661
40	210	7482
441	216	7507442	216	7340
43	216	718044	212	6862
45	212	6718
46	212	6581
47	213	6449
48	213	6326
449	219	6365
50	219	624451	216	6017
52	216	5907
53	216	5801
54	216	5698
55	217	5611
56	217	5514
57	218	5421
58	218	5331
59	218	5244
60	219	5167
61	219	5096
62	220	5030
63	220	4954
64	221	4888
65	221	4815
66	221	4745
67	224	4730
68	224	4663
69	226	4621
70	226	4559
71	226	4496
72	226	4436
73	227	4377
74	227	4321
75	227	4268
76	228	4214
77	228	4161
78	228	4110
79	228	4059
80	229	4015
81	229	3967
82	230	3930
83	230	3886
84	230	3841
85	230	3796
86	231	3754
87	232	3733
88	232	3692
89	233	3652
90	234	3636
91	235	3598
92	235	3559
93	235	3528
94	236	3492
95	236	3456
96	236	3422
97	236	3388
98	237	3354
99	237	3322
100	237	3289
101	237	3257
102	237	3227
103	238	3196
104	238	3167
105	238	3138
106	238	3109
107	239	3081
108	239	3054
109	239	3027
110	239	3000
111	239	2973
112	240	2948
113	240	2924
114	240	2899
115	240	2874
116	242	2863
117	242	2839
118	242	2818
119	243	2795
120	243	2773
121	243	2755
122	244	2733
123	244	2712
124	244	2691
125	244	2670
126	245	2649
127	245	2629
128	245	2609
129	245	2590
130	246	2570
131	246	2552
132	246	2533
133	246	2514
134	246	2496
135	247	2481
136	247	2463
137	248	2455
138	249	2447
139	250	2430
140	250	2414
141	250	2397
142	250	2381
143	251	2365
144	251	2349
145	251	2333
146	251	2317
147	251	2301
148	252	2286
149	253	2280
150	253	2266
151	253	2251
152	254	2237
153	254	2222
154	254	2208
155	255	2198
156	255	2184
157	255	2171
158	255	2157
159	256	2144
160	256	2137
161	257	2124
162	257	2111
163	257	2099
164	257	2087
165	258	2074
166	258	2062
167	258	2050
168	258	2038
169	259	2027
170	259	2015
171	259	2003
172	259	1991
173	259	1980
174	260	1969
175	260	1958
176	260	1947
177	261	1938
178	261	1928
179	261	1918
180	261	1908
181	262	1898
182	262	1888
183	262	1878
184	262	1868
185	263	1858
186	263	1849
187	263	1839
188	263	1830
189	264	1821
190	264	1812
191	264	1802
192	264	1793
1193	274	1846
194	274	1836
195	274	1827
196	275	1823
197	275	1814
198	276	1808
199	276	1799
200	277	1791
201	277	1783
202	277	1775
203	279	1773
204	279	1765
205	279	1756
206	279	1748
207	280	1740
208	280	1732
209	280	1723
210	280	1716
211	281	1708
212	281	1700
213	281	1692
214	281	1685
215	282	1677
216	282	1670
217	283	1665
218	284	1664
219	284	1657
220	285	1650
221	285	1642
222	286	1639
223	286	1632
224	286	1625
225	287	1618
226	287	1611
227	287	1604
228	287	1597
229	288	1590
230	288	1583
231	288	1576232	281	1532
233	282	1526
234	282	1519
235	282	1513
236	282	1507
237	283	1500
238	283	1494
239	283	1488
240	283	1482
241	283	1476
242	284	1469
243	284	1464
244	284	1458
245	285	1452
246	285	1446
247	285	1441
248	285	1435
249	285	1429
250	286	1423
251	287	1421
252	287	1416
253	287	1410
254	287	1404
255	287	1399
256	288	1393
257	288	1388
258	288	1383
259	291	1389
260	291	1384
261	291	1379
262	292	1373
263	292	1368
264	292	1363
265	292	1358
266	293	1353
267	293	1348
268	293	1343
269	293	1338
270	293	1333
271	294	1328
272	294	1323
273	294	1318
274	294	1313
275	295	1308
276	295	1304
277	295	1299
278	295	1295
279	296	1290
280	296	1286
281	296	1281
282	297	1277
283	297	1272
284	297	1268
285	297	1263
286	297	1259
287	298	1254
288	298	1250
289	298	1245
290	298	1241
291	299	1237
292	299	1232
293	299	1228
294	299	1224
295	299	1219
296	300	1215
297	300	1211
298	300	1207
299	300	1203
300	301	1199
301	301	1195
302	301	1191
303	303	1194
304	303	1190
305	304	1186
306	304	1183
307	304	1180
308	305	1176
309	305	1172
310	305	1169
311	306	1166
312	306	1162
313	306	1158
314	307	1155
315	307	1152
316	307	1148
317	307	1144
318	308	1142
319	309	1139
320	309	1135
321	309	1132
322	309	1128
323	309	1124
3324	318	1151
325	318	1148
326	319	1144
327	319	1140
328	319	1137
329	320	1134
330	320	1130331	315	1109
332	315	1106
333	316	1103
334	316	1099
335	316	1096
336	316	1092
337	316	1089
338	317	1086
339	317	1082
340	317	1079
341	317	1076
342	318	1072
343	318	1069
344	318	1066
345	318	1063
346	319	1060
347	320	1061
348	320	1058
349	321	1055
350	321	1051
351	321	1048
352	321	1045
353	322	1042
354	322	1039
355	322	1036
356	322	1033
357	323	1030
358	323	1027
359	323	1024
360	323	1021
361	324	1018
362	324	1015
363	324	1012
364	325	1011
365	325	1008
366	325	1005
367	325	1002
368	326	999
369	326	997
370	326	994
371	327	992
372	328	994
373	329	991
374	329	988
375	329	985
376	329	982
377	330	980
378	330	977
379	330	975
380	331	972
381	331	970
382	331	967
383	331	964
384	332	962
385	332	959
386	332	956
387	332	953
388	333	951
389	334	951
390	336	955
391	337	953
392	337	950
393	337	947
394	337	945
395	338	942
396	338	939
397	338	937
398	338	934
399	338	931
400	339	929
401	339	926
402	339	924
403	339	921
404	340	921
405	340	918
406	341	916
407	341	913
408	341	911
409	341	908
410	342	906
411	342	904
412	342	901
413	342	899
414	343	897
415	343	894
416	343	892
417	343	889
418	344	887
419	346	890
420	346	887
421	346	885
422	346	883
423	347	880
424	347	878
425	347	876
426	347	873
427	348	871
428	348	869
429	348	867
430	349	866
431	349	864
432	349	862
433	350	860
434	350	857
435	350	855
436	350	853
437	350	851
438	351	848
439	351	846
440	351	844
441	351	842
442	352	840
443	353	840
444	353	837
445	353	835
446	353	833
447	354	831
448	354	829
449	354	827
450	354	825
451	355	823
452	355	821
453	355	819
454	355	817
455	356	815
456	356	813
457	356	811
458	357	810
459	357	808
460	357	806
461	358	804
462	358462	3463	358463	3464	358464	3465	359465	3466	359466	3467	359467	368	812
468	368	810
469	368	808
470	369	806
471	3472	361	785
473	362	783
474	364	786
475	364	784
476	365	783
477	365	782
478	366	780
479	366	778
480	366	776
481	366	774
482	367	774
483	368	772
484	368	770
485	368	768
486	368	766
487	368	765
488	369	763
489	369	761
490	369	759
491	369	757
492	371	758
493	371	757
494	371	755
495	372	753
496	372	751
497	372	749
498	372	748
499	373	746
500	373	744
501	373	743
502	374	741
503	374	739
504	374	738
505	375	737
506	375	735
507	375	733
508	376	732
509	376	730
510	376	729
511	376	727
512	377	725
513	377	724
514	377	722
515	378	721
516	378	719
517	378	717
518	380	718
519	380	717
520	381	716
521	381	714
522	381	713
523	381	711
524	382	709
525	382	708
526	382	706
527	382	705
528	383	703
529	383	702
530	383	700
531	384	699
532	384	698
533	385	696
534	385	695
535	388	697
536	388	697
537	393	704
538	394	702
539	396	704
540	396	702
541	396	700
542	396	699
543	396	697
544	397	695
545	397	694
546	397	692
