iter	RMSE
0	4.775566141
1	4.852400248
2	4.840091584
3	4.832407644
4	4.822472498
5	4.811507787
6	4.801082305
7	4.798151864
8	4.784974726
9	4.779692241
10	4.769886477
11	4.758588361
12	4.752721842
13	4.741701565
14	4.732866889
15	4.724056786
16	4.713532129
17	4.705811738
18	4.704103074
19	4.699653668
20	4.690840812
21	4.680571615
22	4.673637403
23	4.664116549
24	4.653879075
25	4.645645321
26	4.633867056
27	4.62132595
28	4.612402094
29	4.605062406
30	4.597221938
31	4.590862688
32	4.578978155
33	4.570798771
34	4.563758297
35	4.555574123
36	4.54825784
37	4.539582534
38	4.530713093
39	4.522377528
40	4.519823896
41	4.512760408
42	4.503568576
43	4.499653624
44	4.491448326
45	4.487370524
46	4.476322209
47	4.467504519
48	4.459228746
49	4.451042875
50	4.438934101
51	4.433186688
52	4.427500121
53	4.421686712
54	4.410583912
55	4.402596277
56	4.395093189
57	4.38702608
58	4.375272346
59	4.365345194
60	4.359854411
61	4.350753524
62	4.343400994
63	4.333927176
64	4.331065878
65	4.330278646
66	4.324505847
67	4.317887435
68	4.311128394
69	4.304784675
70	4.299254077
71	4.289012993
72	4.283759145
73	4.2774492974	3.834627198
75	3.820020436
76	3.808085474
77	3.793689797
78	3.779751977
79	3.767847525
80	3.760640455
81	3.751146144
82	3.742925966
83	3.731195867
84	3.719841214
85	3.707398728
86	3.69867449
87	3.684002341
88	3.669038489
89	3.657464977
90	3.647022334
91	3.6358707
92	3.627533965
93	3.616712845
94	3.613259177
95	3.599315077
96	3.586287543
97	3.578527612
98	3.565646621
99	3.55568452
100	3.546029824
101	3.539335082
102	3.530794719
103	3.517885162
104	3.506882491
105	3.497555006
106	3.485555229
107	3.470136016
108	3.457528202
109	3.444980315
110	3.438242455
111	3.42570001
112	3.413307119
113	3.402296722
114	3.391441154
115	3.380489688
116	3.371889086
117	3.369537768
118	3.358229151
119	3.346010359
120	3.33577035
121	3.325839547
122	3.316075174
123	3.306182787
124	3.29810543
125	3.289441093
126	3.278689711
127	3.268737897
128	3.2588746
129	3.250080917
130	3.24301232
131	3.228500737
132	3.221496452
133	3.211804855
134	3.2009205
135	3.194240859
136	3.18422866
137	3.177958407
138	3.167032403
139	3.158754186
140	3.150150302
141	3.140838658
142	3.132081032
143	3.122178475
144	3.115330956
145	3.106268935
146	3.098942748
147	3.092925268
148	3.083111679
149	3.078649192
150	3.073923967
151	3.067223801
152	3.057772857
153	3.04988942
154	3.037752189
155	3.028719714
156	3.020872083
157	3.012794225
158	3.002857297
159	2.992080574
160	2.985772475
161	2.975044285
162	2.966039003
163	2.958925987
164	2.952138758
165	2.940089407
166	2.930320906
167	2.921240995
168	2.915004947
169	2.904591347
170	2.897432596
171	2.887516208
172	2.875707465
173	2.865279608
174	2.856473761
175	2.850791114
176	2.84102176
177	2.833259992
178	2.827125193
179	2.82356687
180	2.813464298
181	2.802755496
182	2.796022688
183	2.791678511
184	2.784045823
185	2.778420303
186	2.767398286
187	2.763218344
188	2.754606951
189	2.745300547
190	2.740311966
191	2.732225059
192	2.726275961
193	2.716966299
194	2.706104245
195	2.698080229
196	2.6892498
197	2.681482061
198	2.672922928
199	2.665665245
200	2.65364957
201	2.647016617
202	2.639239586
203	2.634023678
204	2.625445315
205	2.615955141
206	2.608234583
207	2.600868553
208	2.592815395
209	2.585532776
210	2.579993001
211	2.57272086
212	2.563996634
213	2.560898319
214	2.552028546
215	2.546173758
216	2.54241466
217	2.53373061
218	2.528551715
219	2.519759288
220	2.511568846
221	2.507105483
222	2.498814578
223	2.490484663
224	2.483272658
225	2.475155458
226	2.468807803
227	2.460407144
228	2.454910354
229	2.447902016
230	2.440656662
231	2.435317552
232	2.429086701
233	2.4218483
234	2.414123421
235	2.405343253
236	2.400281368
237	2.392673885
238	2.386918703
239	2.37988249
240	2.372225344
241	2.367422277
242	2.360782886
243	2.352017443
244	2.343595227
245	2.337366579
246	2.332457918
247	2.327543711
248	2.320583992
249	2.316131452
250	2.31041609
251	2.307064271
252	2.302125671
253	2.294909278
254	2.289989809
255	2.282470537
256	2.274587933
257	2.268263897
258	2.261023652
259	2.258360519
260	2.251232397
261	2.245134024
262	2.237091936
