iter	Passed	Remaining
0	154	232236
1	170	127334
2	170	84965
3	170	63778
4	170	51061
5	170	42560
6	171	36505
7	171	31962
8	171	28429
9	171	25603
10	172	23292
11	172	21365
12	172	19737
13	172	18340
14	173	17128
15	173	16069
16	173	15134
17	173	14303
18	173	13560
19	174	12889
20	174	12283
21	174	11732
22	174	11228
23	175	10766
24	175	10342
25	175	9951
26	175	9588
27	175	9251
28	176	8939
29	176	8647
30	176	8383
31	177	8127
32	177	7891
33	179	7730
34	179	7515
35	179	7311
36	180	7117
37	180	6933
38	182	6824
39	182	6659
40	182	6501
41	182	6350
42	183	6206
43	183	6069
44	185	5997
45	185	5869
46	185	5748
47	186	5629
48	186	5517
49	186	5409
50	186	5305
51	186	5206
52	187	5110
53	187	5018
54	187	4929
55	187	4843
56	188	4760
57	188	4680
58	188	4602
59	188	4528
60	188	4456
61	189	4386
62	189	4319
63	189	4254
64	189	4190
65	190	4129
66	190	4069
67	190	4012
68	190	3955
69	191	3902
70	191	3849
71	191	3797
72	191	3751
73	192	37074	190	3624
75	191	3579
76	197	3647
77	204	3720
78	209	3776
79	214	3808
80	214	3763
81	215	3718
82	215	3675
83	215	3632
84	215	3591
85	215	3551
86	216	3511
87	216	3473
88	216	3434
89	216	3397
90	217	3361
91	217	3328
92	220	3342
93	221	3308
94	221	3275
95	221	3243
96	221	3210
97	222	3179
98	222	3148
99	222	3117
100	222	3087
101	223	3058
102	229	3112
103	229	3084
104	230	3055
105	230	3028
106	230	3000
107	230	2974
108	231	2948
109	231	2922
110	231	2896
111	231	2871
112	231	2846
113	232	2822
114	232	2798
115	232	2775
116	232	2752
117	233	2730
118	233	2708
119	233	2686
120	234	2667
121	234	2646
122	234	2625
123	242	2686
124	242	2665
125	242	2645
126	242	2624
127	243	2604
128	243	2584
129	243	2565
130	243	2546
131	243	2528
132	244	2510
133	244	2492
134	244	2474
135	244	2456
136	245	2439
137	265	2618
138	265	2600
139	272	2647
140	272	2629
141	273	2611
142	296	2816
143	300	2828
144	300	2812
145	301	2793
