iter	RMSE
0	30.7935439
1	30.67325473
2	30.5326473
3	30.44554906
4	30.32310872
5	30.1861976
6	30.06988745
7	27	35.68120528
8	35.61555235
9	35.55482719
10	35.50348359
11	35.44639962
12	35.42763488
13	35.38968939
14	35.36304986
15	35.30891988
16	35.20920897
17	35.14945674
18	35.12395066
19	35.03799344
20	35.01233585
21	34.95091286
22	34.90044601
23	34.85338125
24	34.81634178
25	34.75155913
26	34.71817286
27	34.64046602
28	34.60736421
29	34.55343843
30	34.5055554
31	34.44455704
32	34.39588216
33	34.35657814
34	34.32722419
35	34.27584177
36	34.24398071
37	34.20215051
38	34.1401926
39	34.08478494
40	34.03315767
41	34.00507688
42	33.95353616
43	33.88301679
44	33.83930032
45	33.80030873
46	33.74639643
47	33.67934052
48	33.61620793
49	33.58245066
50	33.5417784
51	33.51125104
52	33.49685978
53	33.45700723
54	33.42175595
55	33.41322642
56	33.35329477
57	33.29492487
58	33.23575857
59	33.18359809
60	33.14766459
61	33.07559251
62	33.01455037
63	32.95299715
64	32.93198015
65	32.87947579
66	32.83233034
67	32.7727868
68	32.72095724
69	32.68392135
70	32.6166871	23.76260028
72	23.6736127
73	23.60437658
74	2374	32.37585861
75	32.35383041
76	32.27981291
77	32.2210033
78	32.17861085
79	32.1253267
80	32.08868787
81	32.02376915
82	31.97026731
83	31.92208827
84	31.87741538
85	31.81434503
86	31.75784952
87	31.70468788
88	31.69017756
89	31.66622399
90	31.60309751
91	31.53980962
92	31.50411115
93	31.46037885
94	31.38366274
95	31.33257617
96	31.29165673
97	31.25674605
98	31.20418222
99	31.14805436
100	31.12751299
101	31.09632152
102	31.04106659
103	30.99737197
104	30.95433108
105	30.90715502
106	30.87055964
107	30.82000132
108	30.78691297
109	30.73989308
110	30.68381642
111	30.62365561
112	30.59194164
113	30.53705981
114	30.51537261
115	30.48341425
116	30.45101642
117	30.39428894
118	30.32865783
119	30.27822312
120	30.23165598
121	30.18471916
122	30.1486992
123	30.10444114
124	30.06619912
125	30.00425741
126	29.98013676
127	29.92584031
128	29.87537514
129	29.81867648
130	29.76953767
131	29.72755162
132	29.68146785
133	29.65771768
134	29.6248543
135	29.58671831
136	29.55044521
137	29.51881599
138	29.51056119
139	29.45732819
140	29.42095256
141	29.40100653
142	29.35621431
143	29.31057301
144	29.27792937
145	29.24438942
146	29.1931344
147	29.14199913
148	29.11135672
149	29.07375653
150	29.03888357
151	29.00235703
152	28.9638089
153	28.92480414
154	28.88336768
155	28.86319313
156	28.84671975
157	28.79670602
158	28.76390992
159	28.73017219
160	28.68897976
161	28.63019392
162	28.60061179
163	28.55035092
164	28.50570927
165	28.46550529
166	28.43530434
167	28.38535472
168	28.36970453
169	28.33242098
170	28.3020138
171	28.28830263
172	28.2535087
173	28.21346869
174	28.17093825
175	28.12198489
176	28.09273819
177	28.06473982
178	28.03551228
179	27.9979068
180	27.95957513
181	27.90382146
182	27.86638921
183	27.83787253
184	27.79456943
185	27.77190588
186	27.73432285
187	27.70454374
188	27.67023525
189	27.61921619
190	27.59160383
191	27.54254576
192	27.51211454
193	27.47213687
194	27.42500345
195	27.37359774
196	27.33164076
197	27.3067662
198	27.26210241
199	27.20743229
200	27.16808694
201	27.11344688
202	27.07821194
203	27.01870469
204	26.982585
205	26.95235457
206	26.90786143
207	26.88304566
208	26.83153927
209	26.7994789
210	26.77292011
211	26.73868082
212	26.6946021
213	26.66657762
214	26.62348825
215	26.57342515
216	26.54403278
217	26.50184117
218	26.46441404
219	26.44442509
220	26.41365398
221	26.38213939
222	26.35411375
223	26.33816457
224	26.30603516
225	26.27881918
226	26.25088469
227	26.20858765
228	26.18272046
229	26.14501814
230	26.12467108
231	26.09388013
232	26.05098767
233	26.01793283
234	25.99001658
235	25.96016489
236	25.93069441
237	25.89243651
238	25240	16.41095279
241	16.39253759
242	16.380241	25243	16.35364477
244	16.33221652
245	16.31090263
246	16.28783895
247	16.26210862
248	16.23741668
249	16.22612291
250	16.249	25.55251	16.250	25.51252	16.251	25.46253	16.252	25.43254	16.253	25.39255	16.254	25.35256	16.255	25.32257	16.256	25.29258	16.257	25.2655869
258	25.22537065
259	25.19276999
260	25.15269874
261	25.1243262
262	25.09139526
263	25.05729748
264	25.04417875
265	25.00696207
266	24.96130597
267	24.9206804
268	24.8925101
269	24.85390309
270	24.83134083
271	24.79061475
272	24.737874274	15.70396721
275	15.68442803
276	15.666551
277	15.6484849
278	15.62810852
279	15.60984703
280	15.59699426
281	15.58536676
282	15.57090164
283	15.5583924
284	15.54133558
285	15.52138316
286	15.50317635
287	15.49243328
288	15.4727358
289	15.45340307
290	15.43272478
291	15.41562731
292	15.40924685
293	15.40519218
294	15.38653485
295	15.37160787
296	15.35300032
297	15.33641109
298	15.31784933
299	15.3091398
300	15.29506888
301	15.27647468
302	15.25133944
303	15.23495325
304	15.21777064
305	15.21107688
306	15.19446222
307	15.1831122
308	15.16951676
309	15.15373785
310	15.13599936
311	15.12341698
312	15.1166742
313	15.10017345
314	15.08241325
315	15.06920962
316	15.05707335
317	15.04419824
318	15.03221948
319	15.02018306
320	15.00725597
321	14.99664869
322	14.97664521
323	14.96477982
324	14.96114512
325	14.9484864
326	14.9293052
327	14.91869776
328	14.9068696
329	14.89241693
330	14.88272215
331	14.86818731
332	14.85997409
333	14.84753889
334	14.83515638
335	14.82253608
336	14.80880327
337	14.79798686
338	14.78460646
339	14.7722858
340	14.758407
341	14.74518344
342	14.73847529
343	14.72668285
344	14.71795774
345	14.70918516
346	14.69491539
347	14.67992002
348	14.66686908
349	14.65518335
350	14.64407486
351	14.63162595
352	14.61898598
353	14.61142495
354	14.5999971
355	14.58899556
356	14.57502166
357	14.56256778
358	14.55246287
359	14.5409086
360	14.52951063
361	14.51866935
362	14.50842893
363	14.4942208
364	14.48451815
365	14.47475363
366	14.46429097
367	14.45410966
368	14.43988166
369	14.43335138
370	14.4265626
371	14.41731969
372	14.40730049
373	14.40098703
374	14.38767201
375	14.37688064
376	14.3680023
377	14.36174933
378	14.3517491
379	14.34043421
380	14.33015381
381	14.32207173
382	14.31114608
383	14.29695805
384	14.28957543
385	14.28288
386	14.27282169
387	14.26591503
388	14.25336058
389	14.24638641
390	14.23925466
391	14.22827882
392	14.22061967
393	14.2099286
394	14.19698957
395	14.18988414
396	14.18469759
397	14.17370742
398	14.16908885
399	14.16182711
400	14.15819317
401	14.1483439
402	14.13880444
403	14.1369336
404	14.13147065
405	14.12047369
406	14.11534224
407	14.10786716
408	14.10102337
409	14.09581095
410	14.08604033
411	14.07910658
412	14.06915441
413	14.06201179
414	14.05364794
415	14.04503468
416	14.03669764
417	14.02958424
418	14.02386451
419	14.02168345
420	14.01167167
421	14.00029296
422	13.9917877
423	13.98173642
424	13.9747915
425	13.96674523
426	13.95811575
427	13.95227591
428	13.94435059
429	13.93863853
430	13.93390376
431	13.92744894
432	13.91595238
433	13.90880912
434	13.90239699
435	13.89992976
436	13.89053579
437	13.88332491
438	13.87859257
439	13.87486589
440	13.86908353
441	13.86282136
442	13.85604826
443	13.85188854
444	13.84526384
445	13.83877822
446	13.83420972
447	13.82606453
448	13.82020888
449	13.81518308
450	13.80956831
451	13.80208683
452	13.79758664
453	13.79352626
454	13.78690033
455	13.77984241
456	13.77495608
457	13.7628316
458	13.75819531
459	13.75343019
460	13.74610988
461	13.73876672
462	13.7279609
463	13.72194981
464	13.71678267
465	13.71184141
466	13.70308106
467	13.69418018
468	13.68286103
469	13.67818824
470	13.67730451
471	13.67147631
472	13.66670291
473	13.65899965
474	13.65340307
475	13.64880287
476	13.6388871
477	13.63326985
478	13.6230057
479	13.61890143
480	13.61356473
481	13.60884246
482	13.59937241
483	13.59296026
484	13.58847528
485	13.58162646
486	13.57939014
487	13.57655143
488	13.57274152
489	13.56552476
490	13.55967666
491	13.55128739
492	13.54232062
493	13.53881993
494	13.53534348
495	13.52474018
496	13.51927457
497	13.51086171
498	13.506471
499	13.49751876
500	13.49047474
501	13.48200709
502	13.47566644
503	13.470338
504	13.46675563
505	13.45890102
506	13.45221581
507	13.44697231
508	13.44279288
509	13.43901468
510	13.4314621
511	13.42571756
512	13.4124253
513	13.40023317
514	13.39183969
515	13.38744877
516	13.38130039
517	13.37033483
518	13.36099268
519	13.35865603
520	13.35354523
521	13.35061497
522	13.34401501
523	13.34019332
524	13.33459899
525	13.32900729
526	13.32418062
527	13.31940499
528	13.31200232
529	13.3060278
530	13.29985475
531	13.2880697
532	13.2825242
533	13.27252416
534	13.26824899
535	13.26020467
536	13.24956043
537	13.24042613
538	13.23123173
539	13.22685126
540	13.22391028
541	13.21292134
542	13.20838171
543	13.20207529
544	13.19181875
545	13.18510094
546	13.18090586
547	13.17239996
548	13.16387373
549	13.16185101
550	13.15384796
551	13.15069422
552	13.13852582
553	13.12909307
554	13.12363215
555	13.12027915
556	13.11263004
557	13.10237157
558	13.09466741
559	13.09111277
560	13.08410516
561	13.07473623
562	13.06441374
563	13.05566482
564	13.0465239
565	13.04352586
566	13.03448356
567	13.02635948
568	13.01827645
569	13.01148753
570	13.00316871
571	12.99210141
572	12.9870927
573	12.98100332
574	12.97719359
575	12.9693945
576	12.96538775
577	12.95842775
578	12.95042092
579	12.94493864
580	12.93761925
581	12.93010167
582	12.92631246
583	12.91985917
584	12.91268827
585	12.90509093
586	12.90179488
587	12.89716713
588	12.89256913
589	12.88513207
590	12.87625648
591	12.8711013
592	12.86514723
593	12.85808888
594	12.85001701
595	12.84624864
596	12.84211429
597	12.836018
598	12.83157534
599	12.82655692
600	12.82176506
601	12.81687803
602	12.80760142
603	12.80239094
604	12.79601038
605	12.79399078
606	12.79264434
607	12.78742304
608	12.77708485
609	12.77068221
610	12.76208038
611	12.75888378
