iter	Passed	Remaining
0	0	740
1	0	704
2	1	650
3	1	647
4	2	598
5	2	549
6	2	522
7	2	492
8	2	469
9	3	462
10	3	467
11	3	453
12	3	438
13	3	422
14	4	410
15	4	398
16	4	384
17	4	375
18	4	372
19	4	368
20	5	361
21	5	358
22	5	353
23	5	346
24	5	341
25	5	337
26	6	338
27	6	334
28	6	335
29	6	336
30	7	336
31	7	338
32	7	339
33	7	336
34	7	332
35	8	329
36	8	330
37	8	332
38	9	337
39	9	341
40	9	345
41	10	349
42	10	348
43	10	349
44	10	349
45	11	348
46	11	348
47	11	349
48	11	350
49	12	350
50	12	351
51	12	354
52	13	360
53	13	363
54	13	361
55	13	359
56	14	360
57	14	361
58	14	360
59	14	358
60	15	356
61	15	354
62	15	353
63	15	351
64	16	353
65	16	352
66	16	351
67	16	348
68	16	347
69	16	346
70	17	344
71	17	342
72	17	341
73	17	340
74	17	340
75	18	342
76	18	344
77	18	343
78	19	344
79	19	343
80	19	341
81	19	343
82	20	343
83	20	341
84	20	340
85	20	339
86	20	338
87	21	337
88	21	335
89	21	334
90	21	333
91	21	331
92	21	330
93	21	328
94	22	328
95	22	327
96	22	328
97	23	329
98	23	331
99	23	332
100	24	333
101	24	335
102	24	337
103	25	338
104	25	337
105	25	336
106	25	335
107	25	334
108	26	332
109	26	331
110	26	331
111	26	333
112	27	334
113	27	337
114	28	339
115	28	341
116	28	341
117	29	341
118	29	340
119	29	339
120	29	338
121	29	337
122	30	337
123	30	337
124	30	337
125	30	336
126	31	335
127	31	334
128	31	333
129	31	332
130	31	331
131	31	330
132	32	330
133	32	329
134	32	328
135	32	327
136	32	326
137	33	326
138	33	325
139	33	324
140	33	323
141	33	323
142	34	322
143	34	322
144	34	321
145	34	320
146	34	320
147	34	319
148	35	319
149	35	318
150	35	317
151	35	317
152	35	316
153	36	315
154	36	315
155	36	314
156	36	315
157	37	314
158	37	315
159	37	316
160	38	316
161	38	318
162	38	319
163	39	319
164	39	319
165	39	319
166	39	318
167	40	318
168	40	318
169	40	318
170	40	318
171	41	318
172	41	317
173	41	317
174	41	316
175	42	316
176	42	315
177	42	315
178	42	315
179	42	314
180	43	313
181	43	313
182	43	312
183	43	311
184	43	311
185	44	310
186	44	310
187	44	309
188	44	308
189	44	308
190	44	307
191	45	307
192	45	306
193	45	306
194	45	305
195	45	305
196	46	304
197	46	304
198	46	303
199	46	303
200	46	302
201	47	302
202	47	302
203	47	301
204	47	301
205	47	300
206	48	300
207	48	299
208	48	299
209	48	298
210	48	298
211	49	297
212	49	297
213	49	297
214	49	296
215	49	296
216	49	295
217	50	295
218	50	294
219	50	294
220	50	294
221	51	294
222	51	294
223	51	294
224	51	294
225	52	293
226	52	293
227	52	293
228	52	292
229	52	292
230	53	291
231	53	291
232	53	292
233	54	292
234	54	292
235	54	292
236	54	293
237	55	293
238	55	293
239	55	293
240	56	293
241	56	294
242	57	295
243	57	295
244	57	295
245	58	295
246	58	295
247	58	295
248	58	295
249	59	296
250	59	296
251	59	296
252	60	296
253	60	296
254	60	295
255	60	295
256	61	295
257	61	295
258	61	294
259	61	294
260	61	294
261	62	293
262	62	293
263	62	293
264	62	292
265	62	292
266	63	291
267	63	291
268	63	291
269	63	290
270	64	290
271	64	290
272	64	289
273	64	288
274	64	288
275	65	288
276	65	288
277	65	287
278	65	287
279	66	287
280	66	287
281	66	287
282	66	287
283	67	287
284	67	287
285	67	287
286	67	287
287	68	286
288	68	286
289	68	287
290	69	287
291	69	287
292	69	287
293	69	286
294	70	286
295	70	286
296	70	286
297	70	286
298	71	286
299	71	286
300	71	286
301	72	286
302	72	286
303	72	286
304	73	286
305	73	287
306	73	286
307	74	286
308	74	286
309	74	285
310	74	285
311	74	285
312	75	284
313	75	284
314	75	283
315	75	283
316	75	283
317	76	282
318	76	282
319	76	281
320	76	281
321	76	281
322	77	280
323	77	280
324	77	279
325	77	279
326	77	279
327	77	278
328	78	278
329	78	277
330	78	277
331	78	277
332	79	277
333	79	277
334	79	276
335	79	276
336	80	276
337	80	276
338	80	276
339	81	276
340	81	276
341	81	276
342	81	276
343	82	276
344	82	275
345	82	275
346	82	274
347	82	274
348	83	274
349	83	273
350	83	273
351	83	273
352	83	272
353	84	272
354	84	272
355	84	271
356	84	271
357	84	270
358	85	270
359	85	270
360	85	269
361	85	269
362	85	269
363	86	268
364	86	268
365	86	268
366	86	267
367	86	267
368	87	267
369	87	266
370	87	266
371	87	265
372	87	265
373	88	265
374	88	264
375	88	264
376	88	264
377	88	263
378	89	263
379	89	263
380	89	262
381	89	262
382	89	262
383	90	261
384	90	261
385	90	261
386	90	260
387	91	261
388	91	261
389	91	260
390	91	260
391	92	260
392	92	260
393	92	259
394	92	260
395	93	259
396	93	259
397	93	260
398	94	260
399	94	260
400	94	259
401	95	259
402	95	259
403	95	259
404	95	258
405	95	258
406	96	258
407	96	258
408	96	258
409	97	258
410	97	257
411	97	257
412	97	257
413	97	257
414	98	256
415	98	256
416	98	256
417	98	256
418	99	255
419	99	255
420	99	255
421	99	255
422	100	254
423	100	254
424	100	254
425	100	253
426	100	253
427	101	253
428	101	252
429	101	252
430	101	252
431	101	251
432	102	251
433	102	251
434	102	250
435	102	250
436	102	250
437	103	250
438	103	249
439	103	249
440	103	248
441	103	248
442	104	248
443	104	248
444	104	247
445	104	247
446	104	247
447	105	246
448	105	246
449	105	246
450	105	245
451	105	245
452	105	244
453	106	244
