iter	RMSE
0	0.9113555183
1	0.8970622514
2	0.881724911
3	0.868006195
4	4	0.8108534917
5	0.79984796
6	0.7873269978
7	0.7749942838
8	0.7997507229
9	0.7887671149
10	0.7791629185
11	0.7691190894
12	0.7590080626
13	0.747824817
14	0.7374186574
15	0.728845577
16	0.7170987231
17	0.7073494457
18	0.6979322376
19	0.6887547321
20	0.6806324484
21	0.6723657685
22	0.6638483593
23	0.6572814508
24	0.64890425
25	0.6419291649
26	0.6353880403
27	0.6295950465
28	0.6218464851
29	0.6154029185
30	0.6078021339
31	0.6019019289
32	0.5951084781
33	0.5895185631
34	0.5828734533
35	0.5774712236
36	0.5713289422
37	0.56536163
38	0.560238826
39	0.554257807
40	0.549622469
41	0.5442270525
42	0.5399150869
43	0.5355192434
44	0.5305194672
45	0.5250074266
46	0.5201253446
47	0.5159439577
48	0.5125192224
49	0.5092424962
50	0.5051280229
51	0.5019205274
52	0.4985726544
53	0.4947945952
54	0.4920464976
55	0.4882667173
56	0.4845545703
57	0.4818080514
58	0.478574708
59	0.4750964686
60	0.471894349
61	0.4692311255
62	0.4662169476
63	0.4631610456
64	0.46064	0.4372121307
65	0.4343978428
66	0.4318591792
67	0.4268	0.4489540208
69	0.4462278582
70	0.443959096
71	0.4422113606
72	0.4399452728
73	0.437917171
74	0.4355103966
75	0.4340227583
76	0.4317763472
77	0.4299251531
78	0.4279552519
79	0.425912684
80	0.4243792812
81	0.4224525231
82	0.4204559444
83	0.4185854597
84	0.4167904139
85	0.4149946924
86	0.4133432529
87	0.4115881318
88	0.409883993
89	0.4084456622
90	0.406803399
91	0.4052492532
92	0.403875255
93	0.4024949706
94	0.4011116494
95	0.3994941423
96	0.3980199421
97	0.3968819424
98	0.3963382371
99	0.3953052352
100	0.3941887175
101	0.3938762653
102	0.3924846493
103	0.3915469562
104	0.3905924455
105	0.3888275723
106	0.387596106
107	0.3865334019
108	0.3854149963
109	0.3844701248
110	0.3831224775
111	0.3820652528
112	0.380942801
113	0.3799599422
114	0.3789559075
115	0.3782046855
116	0.3775636837
117	0.3766688577
118	0.3756118	0.3595466089
119	0.3588398267
120	0.3581469097
121	0.3572285291
122	0.355800836
123	0.3548370274
124	0.353520632
125	0.3530515251
126	0.3519674669
127	0.3514099987
128	0.3508670147
129	0.3501658942
130	0.3495219965
131	0.348827066
132	0.3479483828
133	0.3472251289
134	0.3464510315
135	0.3458845994
136	0.3452860377
137	0.3445666168
138	0.344020808
139	0.3434632109
140	0.3430257191
141	0.3424072513
142	0.3418931903
143	0.3414455115
144	0.3406357453
145	0.3399917845
146	0.3395575482
147	0.339041
148	0.3384021026
149	0.3382448214
150	0.3373346406
151	0.3365552232
152	0.3355970472
153	0.3349996643
154	0.3345518022
155	0.33156	0.3467522244
157	0.34610105
158	0.3454654677
159	0.34472159	0.3319998135
160	0.161	0.34352161	0.162	0.342667469
163	0.3419595791
164	0.3414268387
165	0.3409233657
166	0.3402500911
167	0.3398982181
168	0.3394522319
169	0.3387489558
170	0.3383067934
171	0.337726419
172	0.3375277328
173	0.336786958
174	0.3357742591
175	0.3348421674
176	0.3342252176
177	0.3333272285
178	0.3323326844
179	0.3315485256
180	0.3307700009
181	0.3301210717
182	0.3291381032
183	0.3280912504
184	0.3272142655
185	0.3263427881
186	0.3254765711
187	0.3246889878
188	0.3241172865
189	0.3232301302
190	0.3221139036
191	0.321465807
192	0.3210312024
193	0.3201212828
194	0.3192406089
195	0.3187500566
196	0.3180361025
197	0.3170899442
198	0.3165800425
199	0.3158626857
200	0.315322666
201	0.3145780326
202	0.3141504864
203	0.3132949924
204	0.312807282
205	0.3122001306
206	0.3116385072
207	0.3109148725
208	0.3104507738
209	0.310009378
210	0.309523218
211	0.3089320775
212	0.3084329672
213	0.3076177419
214	0.3070200231
215	0.3061737106
216	0.3055263809
217	0.304842183
218	0.3042218611
219	0.3036205896
220	0.3032833094
221	0.3027301049
222	0.3020663874
223	0.3014454832
224	0.3009690999
225	0.300309663
226	0.2995934079
227	0.2987517851
228	0.2981050998
229	0.2974531876
230	0.2970370962
231	0.2960642161
232	0.2956188398
233	0.2952089884
234	0.2947220633
235	0.2940212505
236	0.2934717221
237	0.2928611373
238	0.2923138679
239	0.2918322789
240	0.2910309181
241	0.2906056761
242	0.2899816265
243	0.2895955862
244	0.2891517443
245	0.2885158892
246	0.2879864033
247	0.2873390893
248	0.2865898583
249	0.2858751138
250	0.2852768435
251	0.2847474682
252	0.2836827947
253	0.2832879241
254	0.2825596843
255	0.2817066326
256	0.2811819947
257	0.2804920328
258	0.2796300975
259	0.2788835738
260	0.2782482734
261	0.2777533772
262	0.2770477271
263	0.2763809313
264	0.2756877076
265	0.2749653287
266	0.2742495448
267	0.2738107445
268	0.2733751635
269	0.2729065568
270	0.2720914199
271	0.2715140294
272	0.2707897251
273	0.2702355409
274	0.269792982
275	0.2693268248
276	0.2688402901
277	0.2684163655
278	0.2678625718
279	0.2671657243
280	0.2665603555
281	0.2662660172
282	0.2656099171
283	0.2649673492
284	0.2640924469
285	0.2632156617
286	0.2627160518
287	0.261978305
288	0.2616535064
289	0.2613431098
290	0.26093736
291	0.2604689674
292	0.2598508699
293	0.2596489048
294	0.2587672521
295	0.2582427195
296	0.2575522837
297	0.2569915394
298	0.2566858624
299	0.2559834604
300	0.2552590175
301	0.2549112262
302	0.2545883005
303	0.2542559896
304	0.2535320345
305	0.2529812325
306	0.2523572034
307	0.2519451471
308	0.2517158242
309	0.2514233318
310	0.2509426552
311	0.2502896243
312	0.2495420201
313	0.2492638143
314	0.2486106092
315	0.247970607
316	0.2473707324
317	0.2468610027
318	0.2465294231
319	0.2462335288
320	0.2458410369
321	0.2451927634
322	0.2447712363
323	0.2445362293
324	0.2440207533
325	0.2434382234
326	0.24294915
327	0.242436529
328	0.2420514066
329	0.241376741
330	0.2410666686
331	0.2405722984
332	0.2401166289
333	0.239776921
334	0.2393664431
335	0.2390920581
336	0.2385865456
337	0.2381336314
338	0.2375159906
339	0.2372621281
340	0.2369071032
341	0.2365283888
342	0.2362476427
343	0.2357203427
344	0.2354261597
345	0.2350344786
346	0.23476431
347	0.2342688451
348	0.2339693366
