iter	Passed	Remaining
0	138	110875
1	139	55544
2	139	37087
3	139	27856
4	141	22537
5	142	18807
6	142	16136
7	142	14137
8	156	13711
9	156	12356
10	156	11249
11	157	10322
12	157	9540
13	157	8859
14	163	8578
15	169	8307
16	170	7831
17	170	7404
18	172	7088
19	172	6740
20	173	6422
21	173	6135
22	173	5872
23	174	5632
24	174	5406
25	174	5203
26	175	5014
27	175	4837
28	175	4671
29	175	4517
30	176	4375
31	176	4245
32	177	4120
33	177	4002
34	178	3890
35	178	3785
36	178	3683
37	178	3587
38	179	3497
39	179	3410
40	179	3329
41	180	3252
42	180	3178
43	180	3107
44	181	3039
45	181	2975
46	181	2912
47	181	2850
48	182	2794
49	182	2740
50	184	2709
51	184	2659
52	187	2637
53	187	2590
54	187	2544
55	188	2499
56	188	2455
57	188	2414
58	189	2375
59	189	2335
60	189	2298
61	190	2262
62	193	2261
63	193	222764	197	2229
65	197	2196
66	198	2166
67	198	2134
668	201	2139
69	202	2109
70	202	2080
71	203	2052
72	203	2030
73	204	2004
74	206	2000
75	208	1989
76	232	2180
77	232	2152
78	232	2126
79	239	2157
80	240	2132
81	240	2107
82	241	2084
83	249	2130
84	255	2147
85	255	2122
86	277	2275
87	278	2250
88	278	2224
89	278	2200
90	279	2175
91	279	2152
92	280	2128
93	281	2117
94	282	2095
95	282	2072
96	283	2051
97	283	2029
98	283	2007
99	283	1987
100	284	1967
101	284	1947
102	285	1928
103	285	1909
104	285	1890
105	285	1871
106	290	1878
107	290	1861
108	290	1844
109	291	1827
110	291	1810
111	291	1793
112	292	1780
113	293	1764
114	293	1748
115	293	1732
116	297	1735
117	297	1720118	307	1759
119	307	1744
120	308	1729
121	308	1715
122	310	1709
123	310	1694
124	311	1680
125	311	1666
126	312	1653
127	312	1639
128	315	1643
129	316	1629
130	316	1617
131	317	1604
132	317	1591
133	317	1579
134	318	1566
135	318	1554
136	318	1542
137	319	1531
138	319	1520
139	320	1508
140	320	1497
141	320	1486
142	321	1475
143	321	1464
144	321	1454
145	322	1443
146	322	1433
147	323	1423
148	323	1412
149	323	1402
150	324	1392
151	324	1382
152	324	1373
153	325	1363
154	325	1353
155	325	1344
1156	328	13451157	333	1353
158	333	1344159	342	1370
160	342	1361
161	343	1352
1162	342	13381163	342	13291164	344	1327
165	345	1318
166	345	1310
167	345	1301
168	352	1317
169	353	1309
170	353	13011171	357	1305
172	357	1296
173	358	1288
174	358	1280
175	358	1272
176	359	1264
177	359	1256
178	359	1248
179	360	1240
180	370	1266
181	373	1268
182	373	1260
183	374	1253
184	374	1245
185	375	1238
186	375	1230
187	375	1223
188	376	1215
189	377	1212
190	378	1205
191	379	1201
192	379	1194
193	380	1187
194	380	1180
195	380	1173
196	381	1167
197	381	1160
198	382	1153
199	382	1147
200	382	1141
201	383	1134
202	383	1128
203	384	1122
204	384	1115
205	391	1129
206	392	1123
207	392	1116
208	392	1110
209	396	1113
210	400	1118
211	401	1112
212	401	1106
213	401	1100
214	402	1094
215	402	1088
216	403	1082
217	403	1076
218	403	1070
219	404	1065
220	405	1062
221	406	1057
222	406	1051
223	406	1046
224	407	1040
225	414	1053
226	415	1048
227	415	1042
228	415	1037
229	416	1031
230	416	1026
231	424	1038
232	424	1033
233	425	1028
234	428	1030
235	429	1026
236	429	1021
237	430	1015
238	433	1018
239	438	1024
240	441	1024
241	442	1019
242	442	1014
243	442	1009
244	443	1004
245	448	1009
246	452	1012
247	452	1006
248	452	1001
249	453	996
250	453	991
251	453	986
252	454	981
253	454	976
254	454	972
255	455	967
256	455	962
257	455	957
258	456	953
259	457	950
260	457	945
261	461	948
262	462	943
263	467	948
264	469	948
265	470	944
266	470	939
267	470	934
268	471	930
269	471	925
270	472	921
271	472	916
272	472	912
273	473	908
274	473	903
275	473	899
276	474	896
277	475	893
278	476	890
279	479	890
280	480	886
281	480	883
282	481	878
283	481	874
284	482	871
285	482	867
286	483	863
287	483	860
288	484	856
289	484	852
290	485	848
291	485	844
292	485	840
293	486	836
294	486	832
295	494	842
296	500	847
297	500	843
298	500	839
299	501	835
300	501	831
301	502	827
302	502	824
303	502	820
304	503	816
305	503	812
306	503	809
307	504	805
308	504	801
309	506	800
310	507	797
311	509	796
312	509	793
313	510	789
314	510	786
315	510	782
316	511	779
317	511	775
318	514	775
319	514	771
320	515	768
321	515	765
322	516	763
323	517	759
324	523	764
325	527	767
326	528	764
