iter	RMSE
0	4.572863831
1	4.519451995
2	4.506386599
3	4.495441594
4	4.481564824
5	4.476352361
6	4.463956404
7	4.449388744
8	4.44425916
9	4.433069008
10	4.420363095
11	4.403392736
12	4.391219931
13	4.370357168
14	4.354445238
15	4.344283686
16	4.326411751717	4.310348861818	4.297937461919	4.288154320	4.41754908
21	4.406854671
22	4.400527502
23	4.392275126
24	4.383840933
25	4.374837643
26	4.363309762
27	27	4.173593601
28	4.159933937
29	4.146093403
30	4.135569224
31	4.120622833
32	4.110037923
33	4.099418481
34	4.085085663
35	4.075487017
36	4.06961735
37	4.062403286
38	4.049835612
39	4.040074395
40	4.026516324
41	4.023123033
42	4.011968458
43	4.001929301
44	3.991635318
45	3.975625156
46	3.961700078
47	3.950201314
48	3.939799091
49	3.921816947
50	3.90810592
51	3.898257172
52	3.886952924
53	3.876621914
54	3.862402256
55	3.847163857
56	3.837047098
57	3.824622367
58	3.810510154
59	3.802546395
60	3.79161438
61	3.779822812
62	3.770302736
63	3.758860519
64	3.745666387
65	3.73239468
66	3.71939094
67	3.708043905
68	3.694111492
69	3.682109899
70	3.673236488
71	3.662148443
72	3.650971559
73	3.643609865
74	3.634713777
75	3.621132851
76	3.611934606
77	3.599539797
78	3.586481749
79	3.575313827
80	3.568521493
81	3.559079671
82	3.551896167
83	3.540861012
84	3.529292725
85	3.516595326
86	3.505374243
87	3.494750909
88	3.485482784
89	3.472053106
90	3.45919477
91	3.447032295
92	3.439374196
93	3.426873861
94	3.414687359
95	3.412331739
96	3.399920082
97	3.385711514
98	3.373086698
99	3.36445766
100	3.352720194
101	3.343116292
102	3.333670205
103	3.322153028
104	3.311377696
105	3.300269006
106	3.287364304
107	3.277993066
108	3.269159654
109	3.25739365
110	3.246263528
111	3.238340888
112	3.229465369
113	3.224157564
114	3.216094828
115	3.210898324
116	3.19792858
117	3.188447731
118	3.181511792
119	3.170102505
120	3.15978716
121	3.149083323
122	3.140100671
123	3.129299588
124	3.11820583
125	3.111387997
126	3.100370341
127	3.092302066
128	3.085632391
129	3.079314616
130	3.069553739
131	3.062552934
132	3.053644295
133	3.046249168
134	3.035649814
135	3.027272399
136	3.020478079
137	3.009157129
138	2.99860879
139	2.990485795
140	2.982613343
141	2.974011877
142	2.965339827
143	2.959680751
144	2.948880755
145	2.940655897
146	2.933407488
147	2.929130624
148	2.922088246
149	2.913456006
150	2.9085946
151	2.902050136
152	2.893324783
153	2.885956953
154	2.875821553
155	2.867108945
156	2.859487604
157	2.851335311
158	2.843624257
159	2.834798983
160	2.827598653
161	2.819282113
162	2.813619118
163	2.807238545
164	2.800421619
165	2.789006118
166	2.7801362
167	2.772751144
168	2.766259861
169	2.756722352
170	2.748652617
171	2.740758109
172	2.73079889
173	2.724107169
174	2.71690581
175	2.706979959
176	2.69977906
177	2.692245794
178	2.683548108
179	2.676231307
180	2.672730521
181	2.667081859
182	2.657680108
183	2.649759162
184	2.643038513
185	2.634453497
186	2.625715653
187	2.617806383
188	2.61544289
189	2.608473705
190	2.603841584
191	2.596706034
192	2.590097827
193	2.580811674
194	2.574470734
195	2.568213549
196	2.559767371
197	2.554301748
198	2.54984749
199	2.544785631
200	2.537793594
201	2.531891353
202	2.525211959
203	2.51959475
204	2.51299799
205	2.510780595
206	2.502451572
207	2.498633039
208	2.492736415
209	2.486446697
210	2.481191609
211	2.475736173
