iter	Passed	Remaining
0	140	210348
1	139	104784
2	143	71567
3	143	53728
4	144	43220
5	144	36028
6	144	30908
7	145	27057
8	145	24057
9	145	21670
10	145	19715
11	145	18088
12	146	16710
13	146	15528
14	146	14505
15	146	13610
16	146	12820
17	147	12118
18	147	11486
19	147	10921
20	148	10453
21	148	9987
22	149	9572
23	149	9182
24	149	8823
25	149	8492
26	150	8188
27	152	8033
28	153	7764
29	153	7511
30	153	7276
31	153	7055
32	154	6848
33	154	6653
34	154	6469
35	154	6295
36	155	6130
37	155	5973
38	155	5825
39	156	5706
40	156	5571
41	156	5443
42	158	5371
43	158	5253
44	158	5140
45	161	5097
46	161	4992
47	161	4891
48	161	4795
49	162	4702
50	162	4610
51	162	4525
52	162	4442
53	162	4362
54	163	4286
55	163	4212
56	163	4141
57	163	4072
58	164	4005
59	164	3941
60	164	3879
61	168	3917
62	169	3857
63	169	3800
64	169	3744
65	169	3690
66	170	3637
67	170	3586
68	170	3536
69	170	3487
70	170	3441
71	171	3399
72	171	3355
73	171	3311
74	172	3269
75	172	3228
76	172	3187
77	172	3148
78	172	3110
79	178	3165
80	178	3129
81	178	3093
82	179	3058
83	179	3025
84	179	2991
85	179	2958
86	180	2925
87	180	2894
88	180	2863
89	180	2833
90	181	2804
91	181	2775
92	186	2824
93	186	2796
94	187	2769
95	188	2753
96	188	2728
97	188	2702
98	189	2676
99	189	2651
100	189	2625
101	189	2601
102	189	2576
103	190	2553
104	190	2534
105	190	2511
106	191	2489
107	191	2467
108	191	2445
109	191	2424
110	192	2402
111	192	2382
112	192	2362
113	192	2342
114	192	2322
115	193	2303
116	193	2285
117	193	2267
118	193	2248
119	194	2231
120	194	2213
121	194	2196
122	194	2179
123	194	2162
124	195	2146
125	195	2129
126	195	2114
127	195	2098
128	196	2083
129	196	2069
130	196	2054
131	196	2040
132	197	2027
133	197	2014
134	197	2000
135	198	1987
136	199	1981
137	199	1967
138	199	1954
139	199	1941
140	200	1928
141	200	1915
142	200	1902
143	200	1890
144	200	1878
145	201	1865
146	201	1853
147	201	1841
148	201	1830
149	202	1818
150	202	1806
151	202	1795
152	202	1784
153	202	1773
154	203	1762
155	203	1751
156	203	1741
157	203	1730
158	203	1720
159	204	1710
160	204	1700
161	204	1690
162	204	1680
163	205	1670
164	205	1660
165	205	1651
166	205	1642
167	205	1632
168	206	1623
169	206	1614
170	206	1604
171	206	1595
172	206	1587
173	207	1578
174	207	1570
175	207	1561
176	207	1553
177	208	1545
178	208	1538
179	208	1530
180	208	1521
181	209	1513
182	209	1506
183	209	1499
184	209	1491
185	210	1484
186	211	1481
187	211	1474
188	211	1467
189	211	1460
190	212	1453
191	212	1446
192	214	1449
193	214	1442
194	214	1435
195	214	1428
196	214	1421
197	215	1414
198	215	1407
199	215	1400
200	215	1394
201	215	1387
202	216	1381
203	216	1374
204	216	1368
205	218	1370
206	218	1364
207	218	1357
208	218	1351
209	219	1345
210	219	1339
211	219	1333
212	219	1327
213	219	1321
214	220	1315
215	220	1311
216	220	1305
217	221	1299
218	221	1294
219	221	1288
220	221	1283
221	221	1277
222	222	1272
223	222	1266
224	222	1261
225	222	1255
226	223	1250
227	223	1245
228	223	1239
229	223	1234
230	223	1229
231	223	1224
232	224	1219
233	224	1214
234	224	1209
235	224	1204
236	226	1204
237	226	1203
238	227	1198
239	227	1193
240	227	1188
241	227	1185
242	228	1180
243	228	1175
244	228	1171
245	228	1166
246	229	1162
247	229	1157
248	229	1153
249	229	1148
250	229	1144
251	230	1139
252	230	1135
253	230	1131
254	230	1126
255	230	1122
256	231	1118
257	231	1114
258	231	1110
259	231	1106
260	232	1102
261	232	1098
262	232	1093
263	232	1089
264	233	1086
265	233	1082
266	233	1078
267	233	1074
268	233	1070
269	234	1066
270	234	1062
271	234	1059
272	234	1055
273	235	1051
274	236	1054
275	237	1051
276	237	1048
277	237	1044
278	237	1040
279	238	1037
280	238	1033
281	238	1030
282	238	1026
283	239	1023
284	239	1020
285	239	1017
286	240	1014
287	240	1011
288	240	1007
289	240	1004
290	241	1001
291	241	998
292	241	994
293	241	991
294	241	988
295	242	985
296	242	982
297	244	984
298	244	981
299	244	978
300	244	975
301	245	972
302	245	969
303	245	965
304	245	962
305	246	959
306	246	956
307	246	953
308	246	950
309	247	949
310	247	946
311	247	943
312	248	940
313	248	937
314	248	934
315	248	932
316	248	929
317	249	926
318	249	924
319	249	921
320	250	918
321	250	915
322	250	913
323	250	910
324	250	907
325	251	906
326	253	909
327	253	907
328	254	904
329	254	901
330	254	899
331	254	896
332	255	893
333	255	891
334	255	889
335	255	886
336	256	884
337	256	881
338	256	878
339	256	876
340	257	873
341	257	871
342	257	868
343	257	866
344	257	863
345	259	866
346	259	863
347	260	860
348	261	861
349	261	858
350	261	856
351	261	853
352	262	851
353	262	849
354	262	847
355	262	844
356	263	842
357	263	839
358	263	837
359	263	834
360	263	832
361	264	830
362	264	827
363	264	825
364	264	823
365	264	820
366	265	818
367	265	816
368	265	813
369	265	812
370	266	810
371	266	807
372	266	805
373	266	803
374	267	801
375	267	799
376	268	798
377	268	796
378	268	794
379	268	792
380	269	790
381	269	788
382	269	785
383	269	783
384	269	781
385	270	779
386	270	777
387	270	775
388	270	773
389	271	771
390	271	769
391	271	767
392	271	765
393	271	763
394	272	761
395	272	759
396	272	757
397	272	755
398	272	753
399	273	751
400	273	749
401	273	747
402	274	745
403	274	744
404	274	742
405	274	740
406	274	738
407	275	736
408	275	734
409	275	732
411	274	725
411	278	735
412	278	733
413	279	731
414	279	730
415	279	728
416	279	726
417	279	724
418	280	722
419	280	720
420	280	719
421	280	717
422	281	715
423	281	713
424	281	712
425	281	710
426	282	709
427	282	707
428	282	705
429	282	703
430	283	702
431	283	700
432	283	698
433	283	697
434	284	695
435	284	693
436	284	692
437	284	690
438	284	688
439	285	686
440	285	685
441	285	683
442	285	682
443	286	680
444	286	678
445	286	677
446	286	675
447	286	673
448	287	672
449	287	670
450	287	668
451	287	667
452	288	665
454	288	661
455	288	659
456	288	658
457	288	656
458	288	655
459	289	653
460	289	652
461	289	650
462	289	649
463	290	647
464	291	648
465	291	646
466	291	645
467	291	643
468	292	642
469	292	640
470	292	639
471	292	637
472	292	636
473	293	634
474	293	633
475	293	631
476	294	630
477	294	629
478	294	628
479	294	626
480	295	625
481	295	623
482	295	622
483	295	620
484	296	619
485	299	625
486	300	624
487	300	622
488	300	621
489	300	619
490	300	618
491	301	617
492	301	615
493	305	622
494	306	621
495	306	620
496	306	618
497	306	617
498	307	616
499	307	615
500	307	614
501	308	612
502	308	611
503	308	609
504	309	609
505	309	607
506	309	606
507	309	605
508	310	603
509	310	602
510	310	601
511	310	599
512	311	598
513	311	597
514	311	595
515	311	594
516	311	593
517	312	591
518	312	590
519	312	589
520	314	591
521	315	590
522	315	589
523	315	588
524	317	589
525	317	588
526	319	590
527	319	588
528	320	587
529	320	586
530	320	584
531	320	583
532	320	582
533	321	580
534	321	579
535	321	578
536	322	577
537	322	576
538	322	575
539	322	574
540	323	573
541	323	571
542	323	570
543	324	569
544	324	568
545	324	567
546	324	565
547	324	564
548	325	563
549	325	562
550	325	560
551	325	559
552	326	558
553	326	557
554	326	556
555	326	554
556	327	553
557	327	552
558	327	551
559	327	550
560	328	550
561	329	549
562	329	548
563	329	547
564	329	545
565	330	544
566	330	543
567	330	542
568	330	541
569	330	539
570	331	538
571	331	537
572	331	536
573	331	535
574	332	534
575	332	532
576	332	531
577	332	530
578	332	529
579	333	528
580	333	527
581	333	526
582	333	525
583	334	524
584	334	522
585	335	523
586	335	522
587	335	520
588	336	519
589	336	518
590	336	518
591	337	517
592	337	516
593	337	514
594	337	513
595	338	512
596	338	511
597	338	510
598	338	509
599	339	509
600	339	508
601	340	507
602	340	506
603	340	505
604	341	505
605	342	504
606	342	503
607	342	502
608	342	501
609	342	500
610	344	500
611	344	499
612	344	498
613	344	497
614	345	497
615	345	496
616	346	495
617	346	494
618	346	493
619	346	492
620	347	491
621	347	490
622	347	489
623	347	488
624	348	487
625	348	486
626	348	485
627	348	484
628	348	483
629	349	482
630	349	481
631	349	480
632	349	479
633	350	478
634	350	477
635	352	479
636	353	478
637	353	477
638	353	476
639	353	475
640	353	474
641	354	473
642	354	472
643	354	471
644	354	470
645	355	469
646	355	468
647	355	467
648	355	466
649	355	465
650	356	464
651	356	463
652	357	463
653	357	462
654	358	461
655	358	460
656	359	460
657	359	459
658	359	458
659	359	457
660	359	456
661	360	455
662	360	454
663	360	454
664	360	453
665	361	452
666	361	451
667	361	450
668	361	449
669	362	448
670	362	447
671	362	446
672	362	445
673	362	444
674	363	443
675	363	442
676	363	442
677	363	441
678	364	440
679	367	443
680	368	442
681	368	441
682	368	441
683	368	440
684	369	439
685	369	438
686	369	437
687	370	437
688	371	437
689	373	438
690	373	437
691	373	436
692	373	435
693	374	434
694	374	433
695	374	432
696	374	431
697	374	430
698	375	429
699	375	429
700	375	428
701	377	429
702	378	428
703	378	427
704	378	426
705	380	427
706	380	426
707	380	425
708	380	424
709	381	424
710	381	423
711	381	422
712	381	421
713	382	420
714	382	419
715	382	418
716	382	418
717	382	417
718	383	416
719	383	415
720	383	414
721	383	413
722	384	412
723	384	411
724	384	411
725	384	410
726	384	409
727	385	408
728	385	407
729	385	406
730	385	405
731	386	405
732	386	404
733	386	403
734	386	402
735	386	401
736	387	400
737	387	399
738	387	399
739	387	398
740	388	397
741	388	396
742	388	395
743	388	394
744	389	394
745	389	393
746	389	392
747	390	392
748	390	391
749	390	390
750	390	389
751	391	389
752	391	388
753	391	387
754	391	386
755	391	385
756	392	384
757	392	384
758	392	383
759	392	382
760	393	381
761	393	380
762	393	380
763	393	379
764	393	378
765	394	377
766	395	377
767	395	377
768	396	377
769	397	376
770	397	375
771	397	374
772	397	374
773	398	373
774	398	372
775	398	371
776	398	371
777	398	370
778	399	369
779	401	370
780	402	370
781	402	369
782	402	368
783	403	368
784	403	367
785	403	366
786	403	365
787	404	365
788	404	364
789	404	363
790	404	362
791	405	362
792	405	361
793	406	361
794	406	360
795	407	360
796	407	359
797	407	358
798	407	357
799	408	357
800	408	356
801	408	355
802	408	354
803	409	354
804	409	353
805	409	352
806	411	353
807	411	352
808	411	351
809	412	351
810	412	350
811	412	349
812	412	348
813	413	348
814	413	347
815	413	346
816	413	345
817	413	345
818	414	344
819	414	343
820	414	342
821	414	342
822	415	341
823	415	340
824	415	339
825	415	339
826	415	338
827	416	337
828	416	337
829	416	336
830	416	335
831	417	334
832	417	334
833	417	333
834	417	332
835	417	331
836	418	331
837	418	330
838	418	329
839	419	329
840	419	328
841	419	327
842	419	327
843	420	326
844	420	325
845	420	325
846	420	324
847	420	323
848	421	322
849	421	322
850	421	321
851	421	320
852	422	320
853	422	319
854	422	318
855	422	317
856	422	317
857	423	316
858	423	315
859	423	315
860	423	314
861	424	314
862	424	313
863	424	312
864	425	312
865	425	311
865	424	310
866	424	309
867	424	309
868	424	308
869	425	307
870	425	307
871	425	306
872	425	305
873	425	305
874	426	304
875	426	303
876	426	303
877	426	302
878	427	301
879	427	301
880	427	300
881	427	299
882	427	298
883	428	298
884	428	297
885	428	297
886	428	296
887	429	295
888	429	295
889	429	294
890	429	293
891	429	293
892	430	292
893	430	291
894	431	291
895	431	291
896	431	290
897	432	289
898	432	289
899	432	288
900	432	287
901	433	287
902	433	286
903	433	285
