iter	RMSE
0	4.226379372
1	4.217077757
2	4.205203952
3	4.191330899
4	4.178260973
5	4.172350623
6	4.158841067
7	4.146593468
8	4.140770153
9	4.129618271
10	4.117284812
11	4.101576549
12	4.090569763
13	4.071397803
14	4.054219936
15	4.044489202
16	4.032285418
17	4.026199023
18	4.014057893
19	4.003782799
20	3.987784864
21	3.975674389
22	3.961704806
23	3.945985963
24	3.930387417
25	3.917655024
26	3.905518599
27	3.893684752
28	3.881010494
29	3.872503273
30	3.863219594
31	3.849404173
32	3.840541799
33	3.830722834
34	3.817231562
35	3.808251509
36	3.802934958
37	3.795279399
38	3.782487786
39	3.774215761
40	3.762108798
41	3.758559768
42	3.748689237
43	3.739426823
44	3.730698922
45	3.716011808
46	3.703729961
47	3.692954898
48	3.683428649
49	3.66686454
50	3.655548977
51	3.642315041
52	3.628976904
53	3.62075013
54	3.609870919
55	3.600450615
56	3.589375276
57	3.581653894
58	3.572461134
59	3.564107126
60	3.556190101
61	3.551132732
62	3.540489683
63	3.529514491
64	3.524491197
65	3.508917746
66	3.496690901
67	3.485611115
68	3.477907359
69	3.467801257
70	3.458739364
71	3.445788565
72	3.435829879
73	3.424955778
74	3.414465934
75	3.405962433
76	3.395901267
77	3.384602876
78	3.370165482
79	3.363612482
80	3.352314768
81	3.344067499
82	3.337544491
83	3.330990974
84	3.319998794
85	3.31082664
86	3.301365905
87	3.28988
88	3.278101645
89	3.269033036
90	3.256808848
91	3.248149936
92	3.237651487
93	3.227077072
94	3.218707594
95	3.211368591
96	3.201894055
97	3.191852667
98	3.183344457
99	3.176940889
100	3.166151621
101	3.154792574
102	3.145832759
103	3.134371006
104	3.125189197
105	3.11628623
106	3.107110422
107	3.096338165
108	3.087827053
109	3.081689717
110	3.075137605
111	3.065359668
112	3.057332935
113	3.048290783
114	3.039206133
115	3.033675964
116	3.027748046
117	3.018099685
118	3.010255739
119	3.006349088
120	2.998718671
121	2.987778875
122	2.978540327
123	2.96991879
124	2.962202075
125	2.951320628
126	2.943262145
127	2.935879166
128	2.925164987
129	2.918554315
130	2.910068233
131	2.907434588
132	2.898988625
133	2.891966913
134	2.882019789
135	2.874527093
136	2.869061322
137	2.858733046
138	2.850246284
139	2.841740902
140	2.834654634
141	2.828863564
142	2.820773415
143	2.813632509
144	2.804572742
145	2.796965041
146	2.789702678
147	2.783440094
148	2.777199172
149	2.771221118
150	2.762689283
151	2.755442317
152	2.750926953
153	2.743298755
154	2.733027004
155	2.724837958
156	2.717961941
157	2.710469111
158	2.70156316
159	2.691906755
160	2.685844876
161	2.677855874
162	2.6696965
163	2.66364407
164	2.657337319
