iter	Passed	Remaining
0	143	215792
1	144	108016
2	144	72081
3	144	54108
4	144	43324
5	145	36118
6	145	30989
7	145	27134
8	145	24129
9	168	25161
10	169	22908
11	169	21017
12	172	19745
13	172	18346
14	173	17129
15	173	16068
16	173	15135
17	173	14303
18	173	13560
19	174	12891
20	177	12467
21	177	11908
22	177	11397
23	177	10933
24	177	10499
25	178	10103
26	178	9736
27	178	9395
28	178	9076
29	179	8779
30	179	8501
31	179	8240
32	179	7996
33	180	7765
34	180	7548
35	180	7342
36	181	7165
37	181	6994
38	182	6819
39	182	6653
40	182	6495
41	182	6345
42	183	6201
43	183	6063
44	187	6064
45	187	5937
46	188	5814
47	188	5696
48	188	5583
49	188	5474
50	190	5424
51	191	5322
52	191	5224
53	191	5131
54	191	5040
55	192	4952
56	192	4868
57	192	4786
58	192	4708
59	193	4632
60	193	4558
61	193	4487
62	193	4418
63	193	4352
64	194	4289
65	194	4227
66	194	4166
67	195	4106
68	195	4050
69	195	3997
70	195	3942
71	196	3889
72	196	3838
73	196	3788
74	196	3739
75	197	3692
76	197	3646
77	197	3600
78	197	3556
79	197	3513
80	198	3471
81	198	3430
82	198	3391
83	198	3352
84	199	3314
85	202	3332
86	202	3296
87	203	3260
88	203	3225
89	203	3191
90	203	3157
91	204	3124
92	204	3092
93	204	3060
94	204	3029
95	205	2999
96	205	2969
97	205	2940
98	205	2912
99	206	2884
100	206	2856
101	206	2829
102	206	2803
103	207	2786
104	207	2760
105	208	2735
106	208	2719
107	209	2695
108	209	2672
109	209	2648
110	209	2626
111	210	2603
112	210	2581
113	210	2560
114	210	2538
115	211	2517
116	211	2497
117	211	2477
118	211	2457
119	211	2437
120	212	2418
121	212	2399
122	212	2381
123	212	2362
124	213	2344
125	213	2326
126	213	2308
127	213	2291
128	214	2274
129	214	2258
130	214	2241
131	214	2225
132	214	2209
133	215	2193
134	215	2177
135	215	2162
136	215	2147
137	216	2132
138	216	2117
139	216	2103
140	216	2089
141	216	2075
142	217	2061
143	217	2047
144	217	2034
145	217	2021
146	218	2007
147	218	1995
148	218	1982
149	218	1969
150	219	1956
151	219	1944
152	219	1932
153	219	1920
154	219	1908
155	220	1896
156	220	1884
157	220	1873
158	220	1862
159	221	1851
160	221	1840
161	221	1830
162	221	1819
163	222	1809
164	222	1798
165	222	1788
166	222	1778
167	223	1768
168	223	1758
169	223	1748
170	223	1738
171	228	1761
172	228	1751
173	228	1741
174	228	1732
175	228	1722
176	229	1713
177	229	1704
178	229	1695
179	229	1685
180	230	1677
181	230	1668
182	230	1659
183	230	1651
184	231	1642
185	231	1633
186	231	1625
187	231	1616
188	231	1608
189	232	1600
190	232	1592
191	232	1584
192	232	1576
193	233	1568
194	233	1561
195	233	1553
196	233	1546
197	234	1538
198	234	1531
199	234	1524
200	234	1516
201	234	1509
202	235	1502
203	235	1495
204	235	1488
205	235	1481
206	236	1475
207	236	1469
208	236	1463
209	237	1456
210	237	1449
211	237	1443
212	237	1437
213	238	1430
214	238	1424
215	238	1417
216	238	1411
217	238	1405
218	239	1399
219	239	1393
220	239	1387
221	239	1380
222	240	1375
223	240	1369
224	240	1363
225	240	1357
226	240	1351
227	241	1345
228	241	1340
229	241	1334
230	241	1329
231	242	1323
232	242	1318
233	242	1312
234	242	1307
235	243	1301
236	243	1296
237	243	1291
238	243	1285
239	243	1280
240	244	1275
241	244	1270
242	244	1265
243	244	1260
244	245	1255
245	245	1250
246	245	1245
247	245	1240
248	245	1235
249	246	1231
250	246	1226
251	246	1221
252	246	1216
253	247	1212
254	247	1207
255	247	1203
256	247	1198
257	248	1194
258	248	1190
259	248	1185
260	248	1181
261	249	1177
262	249	1172
263	249	1168
264	249	1164
265	250	1159
266	250	1155
267	250	1151
268	250	1147
269	250	1143
270	251	1139
271	251	1135
272	251	1131
273	251	1127
274	252	1123
275	254	1127
276	254	1123
277	254	1119
278	254	1115
279	255	1111
280	255	1107
281	255	1103
282	255	1099
283	256	1096
284	256	1092
285	256	1088
286	256	1084
287	256	1081
288	257	1079
289	257	1075
290	258	1072
291	258	1068
292	258	1064
293	258	1061
294	259	1058
295	259	1054
296	259	1051
297	259	1047
298	259	1044
299	260	1040
300	260	1037
301	260	1033
302	260	1030
303	261	1027
304	261	1023
305	261	1020
306	261	1017
307	262	1013
308	262	1010
309	262	1007
310	262	1004
311	262	1001
312	263	998
313	263	995
314	277	1042
315	277	1039
316	277	1035
317	277	1032
318	278	1029
319	295	1090
320	299	1101
321	300	1097
322	300	1094
323	300	1090
324	300	1087
325	301	1084
326	301	1080
327	301	1077
328	301	1074
329	301	1070
330	302	1067
331	302	1064
332	302	1060
333	302	1057
334	303	1054
335	303	1050
336	303	1047
337	303	1044
338	304	1041
339	304	1038
340	304	1035
341	304	1031
342	304	1028
343	307	1032
344	307	1030
345	308	1028
346	308	1025
347	308	1022
348	310	1024
349	310	1021
350	311	1018
351	311	1015
352	311	1012
353	311	1009
354	312	1007
355	312	1004
356	312	1001
357	312	998
358	313	995
359	313	992
360	313	989
361	313	986
362	313	983
363	314	980
364	314	977
365	314	975
366	314	972
367	315	969
368	315	966
369	315	964
370	315	961
371	316	958
372	316	955
373	316	953
374	316	950
375	317	947
376	317	945
377	317	942
378	317	940
379	318	937
380	321	945
381	322	943
382	322	940
383	322	938
384	322	935
385	323	932
386	323	930
387	323	927
388	323	924
389	323	922
390	324	919
391	324	916
392	324	914
393	324	911
394	325	909
395	327	913
396	327	910
397	328	908
398	328	905
399	328	903
400	328	900
401	328	898
402	329	895
403	329	893
404	329	891
405	329	888
406	329	886
407	330	883
408	330	881
409	330	879
410	330	876
411	331	874
412	331	871
413	331	869
414	331	867
415	331	865
416	332	862
417	332	860
418	332	858
419	332	855
420	333	853
421	333	851
422	333	849
423	333	846
424	334	845
425	335	845
426	335	843
427	335	841
428	336	839
429	336	836
430	336	834
431	336	832
432	337	830
433	337	828
434	337	826
435	337	824
436	337	822
437	338	820
438	338	817
439	338	815
440	338	813
441	339	811
442	339	809
443	339	807
444	339	805
445	339	803
446	340	801
447	340	799
448	340	797
449	340	795
450	341	793
451	343	797
452	344	795
453	344	793
454	344	791
455	344	789
456	345	787
457	355	809
458	356	807
459	356	805
460	356	804
461	356	802
462	357	800
463	359	803
464	359	801
465	360	799
466	360	797
467	360	795
468	360	793
469	361	791
470	361	789
471	361	787
472	362	786
473	362	784
474	362	782
475	362	780
476	362	778
477	363	776
478	363	775
479	364	774
480	364	772
481	364	770
482	365	768
483	365	766
484	365	764
485	365	763
486	365	761
487	366	759
488	366	757
489	366	755
490	366	753
491	368	755
492	369	754
493	375	764
494	375	762
495	376	761
496	376	759
497	376	757
498	376	755
499	376	753
500	377	752
501	377	750
502	377	748
503	377	746
504	378	744
505	378	743
506	378	741
507	378	739
508	379	738
509	379	736
510	379	734
511	379	732
512	380	731
513	380	729
514	380	728
515	386	737
516	387	735
517	387	734
518	387	732
519	387	730
520	387	729
521	388	727
522	388	725
523	388	724
524	388	722
525	389	720
526	398	735
527	398	734
528	399	732
529	399	730
530	399	729
531	399	727
532	404	733
533	411	743
534	411	742
535	411	740
536	412	738
537	412	737
538	412	735
539	412	733
540	413	732
541	413	730
542	413	728
543	413	726
544	413	725
545	414	723
546	418	728
547	418	727
548	419	725
549	419	724
550	419	722
551	420	721
552	420	719
553	427	730
554	427	728
555	428	726
556	428	725
557	428	723
558	428	721
559	429	720
560	429	718
561	429	717
562	429	715
563	430	713
564	430	712
565	430	710
