iter	Passed	Remaining
0	134	201902
1	134	101083
2	135	67472
3	135	50670
4	135	40585
5	135	33858
6	136	29052
7	136	25448
8	136	22649
9	136	20410
10	137	18576
11	137	17046
12	137	15752
13	158	16828
14	158	15727
15	163	15120
16	163	14237
17	163	13458
18	163	12760
19	163	12132
20	164	11563
21	164	11045
22	164	10573
23	164	10138
24	165	9740
25	165	9372
26	165	9032
27	168	8884
28	169	8585
29	169	8306
30	175	8339
31	176	8087
32	176	7850
33	176	7626
34	183	7660
35	183	7453
36	183	7257
37	183	7070
38	184	6894
39	184	6726
40	184	6566
41	184	6413
42	184	6267
43	185	6127
44	185	5994
45	185	5868
46	185	5747
47	186	5632
48	186	5522
49	186	5416
50	187	5313
51	187	5215
52	187	5119
53	187	5028
54	188	4939
55	188	4854
56	191	4850
57	191	4769
58	192	4691
59	192	4615
60	192	4542
61	192	4471
62	193	4402
63	193	4335
64	193	4272
65	193	4209
66	193	4149
67	194	4089
68	194	4032
69	204	4180
70	204	4123
71	205	4068
72	207	4054
73	207	4001
74	207	3950
75	208	3900
76	208	3852
77	223	4066
78	223	4017
79	223	3968
80	223	3921
81	224	3875
82	224	3830
83	224	3786
84	229	3825
85	230	3782
86	230	3741
87	230	3700
88	230	3659
89	231	3620
90	231	3582
91	231	3545
92	231	3507
93	232	3470
94	232	3435
95	232	3401
96	232	3367
97	233	3337
98	233	3304
99	233	3273
100	234	3242
101	234	3212
102	234	3183
103	234	3153
104	235	3124
105	235	3096
106	235	3068
107	235	3041
108	236	3013
109	236	2987
110	236	2961
111	237	2946
112	237	2920
113	238	2896
114	238	2872
115	238	2849
116	239	2826
117	239	2803
118	239	2780
119	239	2757
120	240	2735
121	240	2713
122	240	2692
123	240	2671
124	240	2650
125	241	2630
126	241	2610
127	241	2591
128	242	2572
129	242	2552
130	242	2533
131	242	2515
132	242	2496
133	243	2478
134	243	2460
135	243	2443
136	243	2425
137	244	2411
138	244	2394
139	244	2378
140	245	2361
141	245	2345
142	245	2329
143	245	2313
144	248	2326
145	249	2311
146	251	2315
147	251	2299
148	252	2285
149	252	2270
150	252	2258
151	253	2244
152	253	2232
153	253	2218
154	254	2204
155	254	2190
156	254	2176
157	254	2163
158	254	2150
159	255	2137
160	255	2124
161	255	2112
162	256	2099
163	256	2087
164	256	2075
165	256	2062
166	256	2050
167	257	2038
168	257	2027
169	257	2014
170	257	2003
171	258	1992
172	258	1981
173	258	1969
174	258	1958
175	258	1948
176	259	1937
177	259	1927
178	259	1916
179	259	1906
180	260	1896
181	260	1886
182	260	1876
183	260	1866
184	261	1856
185	261	1847
186	261	1837
187	262	1828
188	266	1848
189	266	1839
190	266	1829
191	269	1839
192	270	1830
193	270	1820
194	270	1811
195	271	1807
196	272	1799
197	272	1790
198	272	1781
199	272	1772
200	272	1764
201	273	1755
202	277	1771
203	277	1763
204	277	1754
205	278	1746
206	278	1738
207	279	1733
208	279	1725
209	279	1717
210	279	1709
211	280	1701
212	280	1693
213	280	1685
214	280	1678
215	281	1670
216	281	1663
217	281	1655
218	281	1648
219	282	1640
220	282	1633
221	282	1626
222	282	1619
223	283	1612
224	283	1604
225	283	1597
226	283	1590
227	283	1584
228	284	1577
229	284	1570
230	284	1563
231	284	1557
232	299	1630
233	300	1623
234	300	1616
235	300	1609
236	300	1603
237	301	1596
238	301	1590
239	301	1583
240	301	1576
241	311	1619
242	311	1613
243	312	1606
244	312	1600
245	324	1652
246	324	1645
247	324	1638
248	324	1632
249	325	1625
250	325	1619
251	325	1612
252	325	1606
253	326	1600
254	326	1593
255	326	1587
256	327	1581
257	328	1580
258	328	1575
259	328	1568
260	332	1579
261	333	1574
262	333	1567
263	333	1561
264	333	1556
265	334	1550
266	334	1545
267	334	1539
268	335	1535
269	335	1529
270	335	1523
271	336	1517
272	336	1512
273	336	1506
274	336	1500
275	337	1495
276	337	1489
277	337	1483
278	337	1478
279	337	1472
280	338	1467
281	338	1462
282	338	1456
283	354	1517
284	354	1512
285	354	1506
286	355	1501
287	355	1496
288	355	1490
289	355	1485
290	356	1479
291	356	1474
292	356	1469
293	356	1464
294	357	1458
295	357	1453
296	360	1459
297	360	1454
298	360	1449
299	361	1444
300	361	1439
301	361	1435
302	361	1430
303	362	1425
304	362	1420
305	362	1415
306	363	1410
307	364	1410
308	364	1405
309	364	1400
310	365	1396
311	365	1391
312	365	1386
313	365	1381
314	366	1377
315	366	1372
316	366	1368
317	366	1363
318	367	1359
319	368	1358
320	368	1354
321	368	1349
322	369	1345
323	369	1340
324	369	1336
325	369	1331
326	370	1329
327	370	1325
328	371	1321
329	371	1316
