iter	RMSE
0	0.8853945734
1	0.8746705833
2	0.8636774986
3	0.8548540836
4	0.8454107187
5	0.8365639035
6	0.8266727821
7	0.818850491
8	0.8106884919
9	0.8015407296
10	0.7923232333
11	0.7843009569
12	0.7763993895
13	0.7702422373
14	0.7624666959
15	0.7559899185
16	0.7490854571
17	0.7430730776
18	0.7370495685
19	0.7308977591
20	0.7247243005
21	0.7194475468
22	0.7147068243
23	0.708755841
24	0.7032780448
25	0.6984458547
26	0.6941049009
27	0.6885340224
28	0.6839145029	29	0.6789473830	30	0.6735757031	31	0.6704171332	32	0.6668253033	0.6747107865
34	0.6701369161
35	0.6660049549
36	0.6617224513
37	0.65769376
38	0.6532477144
39	0.6492911616
40	0.6457762749
41	0.6425302056
42	0.6389490605
43	0.635928745
44	0.6324247428
45	0.628701127
46	0.6258552595
47	0.6231250706
48	0.6193667879
49	0.6164728724
50	0.6135060326
51	0.6111953363
52	0.6089662407
53	0.6062943314
54	0.604919183
55	0.6025456154
56	0.5998716097
57	0.5972239289
58	0.5940164768
59	0.5920854179
60	0.5899937553
61	0.588701381
62	0.5871458063
63	0.5848689986
64	0.5832755965
65	0.5812435894
66	0.5792088493
67	0.5772269111
68	0.5745134251
69	0.5729079132
70	0.570099976
71	0.5688640537
72	0.5674540616
73	0.5653989499
74	0.5639221244
75	0.5618444135
76	0.5603097344
77	0.5585857095
78	0.5572663219
79	0.5555834801
80	0.5535444969
81	0.5522849337
82	0.5510953822
83	0.5500101762
84	0.5488328518
85	0.5474683246
86	0.5461642066
87	0.5448269262
88	0.5433904564
89	0.5424028782
90	0.5414427743
91	0.5404838446
92	0.5388607561
93	0.5379949265
94	0.5365414081
95	0.5357814367
96	0.5342689379
97	0.5334692786
98	0.5330170886
99	0.5313834569
100	0.529671615
101	0.5286315348
102	0.5276367598
103	0.5266118331
104	0.5249081181
105	0.5241988424
106	0.522472293
107	0.5214787474
108	0.5204030613
109	0.5195479648
110	0.5186082782
111	0.5179809442
112	0.5168195646
113	0.5162034924
114	0.5148208981
115	0.5141597364
116	0.5127792482
117	0.5122429083
118	0.5117265525
119	0.5109542066
120	0.5095619266
121	0.5090351392
122	0.5087603653
123	0.5078181344
124	0.5072100465
125	0.5066145926
126	0.5059200334
127	0.5052816366
128	0.5040022961
129	0.5031168284
130	0.5020340526
131	0.5016835962
132	0.5010186452
133	0.5005529206
134	0.4995105553
135	0.498528327
136	0.4982029874
137	0.4977581164
138	0.496508168
139	0.4952064728
140	0.4945865786
141	0.4938301226
142	0.4933539829
143	0.4928223181
144	0.4918853828
145	0.4912708225
146	0.4900807432
147	0.4898573452
148	0.4894633193
149	0.4884506566
150	0.4880026131
151	0.487811064
152	0.4871312218
153	0.4865718529
154	0.4859309532
155	0.4858326719
156	0.4840340222
157	0.483535082
158	0.4823095211
159	0.4813405461
160	0.4798958053
161	0.4787715409
162	0.4781354042
163	0.4776529508
164	0.4774547876
165	0.4766151734
166	0.4751163914
167	0.4744202391
168	0.4735877161
169	0.4734489779
170	0.4723459406
171	0.4716955578
172	0.4701860969
173	0.4691754853
174	0.4683233576
175	0.4673414966
176	0.4666950879
177	0.4659600154
178	0.4658225836
179	0.4649819497
180	0.4640463876
181	0.4631270743
182	0.4619698431
183	0.4606632018
184	0.4594102826
185	0.4584133207
186	0.4578458545
187	0.4569990638
188	0.4554521181
189	0.4543141323
190	0.4533601196
191	0.4521987613
192	0.4518528777
193	0.4508525661
194	0.4502832149
195	0.4493422117
196	0.4484275174
197	0.4469905664
198	0.4460097992
199	0.445705811
200	0.4438922166
201	0.4428001178
202	0.4416585803
203	0.4404467709
204	0.4386922501
205	0.4376014466
206	0.4368951819
207	0.436278783
208	0.4354321892
209	0.4344207349
210	0.4336087538
211	0.432487658
212	0.4316326886
213	0.4309652076
214	0.430466248
215	0.4287824187
216	0.4276893833
217	0.4269798506
218	0.4259087343
219	0.4248646595
220	0.4238779892
221	0.4224540948
222	0.4212449469
223	0.4204611856
224	0.4189807197
225	0.4182633043
226	0.4176553329
227	0.4168190743
228	0.4163600362
229	0.415198327
230	0.4142830795
231	0.413332597
232	0.4126465942
233	0.4117781244
234	0.4107111594
235	0.4097733798
236	0.4088655726
237	0.4080935956
238	0.407448055
239	0.4068060459
240	0.4050150985
241	0.4044246895
242	0.4028321437
243	0.4019913826
244	0.4013961633
245	0.4009086667
246	0.4000171112
247	0.3983751491
248	0.3978401664
249	0.3966531363
250	0.396008914
251	0.3952672918
252	0.3945463788
253	0.3941618922
254	0.3937081697
255	0.3928324817
256	0.391576992
257	0.3904545038
258	0.3899233308
259	0.3891161468
260	0.3880408426
261	0.3872637618
262	0.3868942777
263	0.3865436467
264	0.3861050986
265	0.3854564184
266	0.3847808839
267	0.3842279913
268	0.3835223858
269	0.3827309154
270	0.382065432
271	0.3809495793
272	0.38038640273	0.3634873752
274	0.3628647377
275	0.3623842017
276	0.3613392785
277	0.3601065208
278	0.3595442603
279	0.3588098822
280	0.3577813839
281	0.356862222
282	0.3560441544
283	0.3555938682
284	0.3550194848
285	0.3540429392
286	0.3530438591
287	0.3525992343
288	0.3520134955
289	0.3514626726
290	0.350646409
291	0.3501666375
292	0.3497647568
293	0.3493469393
294	0.3485582955
295	0.3475481086
296	0.3469034555
297	0.3463522132
298	0.345530548
299	0.3448639136
300	0.3439242289
301	0.3430747303
302	0.3425408139
303	0.3419976516
304	0.3414578251
305	0.340905692
306	0.3401840251
307	0.339184268
308	0.3383828084
309	0.3372252036
310	0.3363938384
311	0.335973345
312	0.3354595643
313	0.3348651355
314	0.3345450525
315	0.3335964205
316	0.3330511423
317	0.3325543283
318	0.3320513091
319	0.3314856219
320	0.331181687
321	0.330718031
322	0.3302753241
323	0.3297298149
324	0.3291540437
325	0.328416875
326	0.3281513856
327	0.3277193119
328	0.3272156462
329	0.3266094946
330	0.3254928218
331	0.3249038172
332	0.3243956679
333	0.3236686805
334	0.3228880767
335	0.3224746898
336	0.3219183636
337	0.3208079492
338	0.3201806193
339	0.3194344009
340	0.3186767086
341	0.3182856977
342	0.3179544205
343	0.3169742993
344	0.3162381516
345	0.3155547041
346	0.3151698066
347	0.3146531994
348	0.3138689895
349	0.349	0.3293096201
350	0.32889351	0.3119269763
352	0.3115520705
353	0.3109878895
354	0.3104060656
355	0.3099737935
356	0.309603395
357	0.3093471339
358	0.308603477
359	0.3081329812
