iter	Passed	Remaining
0	157	125821
1	163	65206
2	163	43513
3	164	32676
4	167	26600
5	174	23113
6	175	19877
7	175	17423
8	180	15820
9	180	14236
10	180	12944
11	180	11875
12	181	10970
13	182	10265
14	183	9585
15	194	9545
16	195	8992
17	195	8498
18	195	8054
19	196	7655
20	196	7294
21	197	6967
22	197	6668
23	197	6394
24	198	6142
25	198	5909
26	198	5690
27	199	5488
28	199	5298229	199	5124330	199	4957331	200	4804332	200	466133	205	4627
34	214	4681
35	214	4555
36	214	4432
37	215	4318
38	215	4208
39	216	4104
40	216	4005
41	216	3911
42	217	3822
43	224	3853
44	226	3806
45	227	3726
46	227	3648
47	228	3572
48	231	3544
49	231	3471
50	231	3404
51	232	3338
52	232	3275
53	235	3259
54	249	3378
55	249	3317
56	250	3259
57	250	3202
58	250	3148
59	251	3096
60	251	3046
61	252	3006
62	252	2957
63	253	2912
64	253	2867
65	262	2916
66	266	2915
67	266	2873
68	267	2833
69	267	2791
70	268	2752
71	268	2715
72	268	2678
73	269	2641
74	269	2606
75	269	2572
76	270	2538
77	270	2506
78	271	2475
79	271	2444
80	271	2414
81	277	2432
82	278	2404
83	278	2375
84	279	2347
85	279	2319
86	279	2292
87	280	2266
88	280	2242
89	281	2217
90	281	2192
91	281	2167
92	285	2173
93	302	2272
94	304	2262
95	305	2238
96	305	2214
97	306	2192
98	306	2169
99	311	2178
100	311	2157
101	312	2136
102	312	2114
103	312	2093
104	313	2073
105	313	2053
106	313	2033
107	314	2014
108	314	1995
109	315	1976
110	315	1957
111	315	1939
112	316	1921
113	316	1905
114	316	1888
115	317	1871
116	317	1855
117	318	1839
118	318	1824
119	319	1808
120	321	1803
121	321	1788
122	322	1772
123	322	1757
124	322	1742
125	323	1728
126	323	1714
127	323	1699
128	324	1686
129	324	1672
130	324	1659
131	325	1645
132	325	1632
133	325	1619
134	326	1606
135	326	1594
136	326	1582
137	327	1570
138	327	1558
139	328	1546
140	328	1535
141	328	1523
142	329	1512
143	329	1501
144	329	1490
145	330	1479
146	330	1469
147	331	1459
148	331	1448
149	332	1438
150	334	1435
151	334	1425
152	334	1415
153	335	1405
154	335	1396
155	339	1401
156	339	1391
157	342	1390
158	342	1381
159	343	1372
160	343	1362
161	343	1353
162	344	1344
163	344	1336
164	344	1327
165	345	1318
166	345	1309
167	348	1309
168	348	1301
169	348	1293
170	349	1285
171	349	1277
172	350	1269
173	350	1261
174	350	1253
175	351	1245
176	351	1237
177	352	1230
178	352	1222
179	352	1214
180	354	1212
181	354	1204
182	355	1197
183	355	1190
184	355	1182
185	356	1175
186	357	1170
187	357	1163
188	357	1156
189	358	1150
190	358	1143
191	358	1136
192	359	1130
193	359	1123
194	361	1122
195	362	1116
196	362	1110
197	363	1104
198	363	1098
199	363	1091
200	364	1085
201	364	1079
202	365	1073
203	365	1067
204	365	1061
205	366	1055
206	366	1050
207	366	1044
208	368	1042
209	370	1041
210	371	1036
211	371	1030
212	371	1025
213	372	1019
214	372	1014
215	373	1008
216	373	1004
217	374	998
218	374	993
219	375	989
220	375	983
221	375	978
222	379	982
223	380	977
224	380	972
225	380	967
226	383	968
227	384	963
228	384	958
229	384	953
230	385	948
231	385	943
232	385	939
233	386	934
234	386	929
235	386	924
236	387	920
237	389	920
238	390	916
239	390	911
240	391	907
241	391	902
242	391	898
243	392	893
244	397	901
245	398	896
246	398	892
247	399	888
248	399	884
249	400	880
250	400	876
251	400	871
252	401	867
253	401	863
254	402	859
255	402	855
256	402	850
257	403	846
258	403	842
259	403	838
260	404	834
261	404	830
262	404	826
263	405	822
264	405	818
265	405	815
266	406	811
267	406	807
268	407	803
269	409	803
270	409	799
271	410	795
27273	411	789
274	411	785
275	411	781
276	413	780
277	414	777
278	414	773
279	414	770
280	415	766
281	415	763
282	415	759
283	416	756
284	416	752
285	416	749
286	417	746
287	417	742
288	418	739
289	418	735
290	418	732
291	419	729
292	419	725
293	419	722
294	420	719
295	420	716
296	422	715
297	422	712
298	423	708
299	423	705
300	423	702
301	424	699
302	424	696
303	424	693
304	425	690
305	425	687
306	425	684
307	426	680
308	426	677
309	426	674
310	427	671
311	427	668
312	432	672
313	432	669
314	433	667
315	435	666
316	435	663
317	435	660
318	436	658
319	436	655
320	437	652
321	437	649
322	437	646
323	438	643
324	438	640
325	438	638
326	439	635
327	439	632
328	439	629
329	440	627
330	440	624
331	440	621
332	441	618
333	441	616
334	441	613
335	445	615
336	445	612
337	446	609
338	446	607
339	446	604
340	447	601
341	449	601
342	450	600
343	451	598
344	451	595
345	451	592
346	452	590
347	452	587
348	452	585
349	453	58349	455	585
35351	462	588
352	462	586
353	463	583
354	463	581
355	463	578
356	464	576
357	464	573
358	464	571
359	467	571
360	467	568
361	476	576
362	476	573
363	479	574
364	484	578
365	485	575
366	485	573
367	490	575
368	490	573
369	491	570
370	491	568
371	491	565
372	492	563
373	492	561
374	492	558
375	493	556
376	493	553
377	493	551
378	494	548
379	494	546
380	494	544
381	495	541
382	495	539
383	495	537
384	496	535
385	496	532
386	499	533
387	500	531
388	500	528
389	500	526
390	501	524
391	501	522
392	501	519
393	502	517
394	502	515
395	502	513
396	503	510
397	503	508
398	504	506
399	504	504
400	505	502
401	505	500
402	505	498
403	506	496
404	507	495
405	508	493
406	509	491
407	509	489
408	510	487
409	510	485
410	510	483
411	511	481
412	511	479
413	512	477
414	512	475
415	513	473
416	513	471
417	514	470
418	514	467
419	514	465
420	515	463
421	515	461
422	516	459
423	516	457
424	516	455
425	516	453
426	517	451
427	517	449
428	522	452
429	523	450
430	523	448
431	525	447
432	526	445
433	526	444
434	528	443
435	528	441
436	533	443
437	540	446
438	541	445
439	542	443
440	543	442
441	543	440
442	545	439
443	545	437
444	546	435
445	546	433
446	548	432
447	548	431
448	548	429
449	549	427
450	549	425
451	549	423
452	550	421
453	550	419
454	550	417
455	551	415
456	551	414
457	552	412
458	552	410
459	552	408
460	553	406
461	553	404
462	553	403
