iter	RMSE
0	5.07403178
1	5.059716323
2	5.043761762
3	5.023730584
4	5.000321326
5	4.989395739
6	4.966703866
7	4.943518342
8	4.923616235
9	4.899536961
10	4.881283144
11	4.860371845
12	4.837528452
13	4.814368029
14	4.800374883
15	4.776480997
16	4.753296648
17	4.728165267
18	4.707659525
19	4.686045012
20	4.663976493
21	4.644053487
22	4.621451173
23	4.597765339
24	4.580758319
25	4.565010999
26	4.555609589
27	4.53721999
28	4.513773822
29	4.491363765
30	4.478129311
31	4.459342826
32	4.436389415
33	4.419289089
34	4.403378037
35	4.389284361
36	4.370942939
37	4.352990932
38	4.336943985
39	4.317598695
40	4.296379951
41	4.273578146
42	4.253911943
43	4.236439614
44	4.220599733
45	4.200419586
46	4.185235229
47	4.172027788
48	4.152616594
49	4.137167682
50	4.116445175
51	4.101058257
52	4.081019222
53	4.065929644
54	4.048484172
55	4.026083629
56	4.005561991
57	3.98638897
58	3.969500832
59	3.950908315
60	3.930779045
61	3.91185845
62	3.893719269
63	3.879719568
64	3.862519574
65	3.849993927
66	3.834019832
67	3.81876467
68	3.80019363
69	3.785193479
70	3.765813905
71	3.752612376
72	3.739609676
73	3.723057901
74	3.712824009
75	3.691401233
76	3.671694997
77	3.664101305
78	3.647812373
79	3.631578336
80	3.61438705
81	3.596957066
82	3.585107373
83	3.573143114
84	3.555859753
85	3.539970644
86	3.524323141
87	3.509280675
88	3.49028069
89	3.478177726
90	3.467169947
91	3.452842438
92	3.438808141
93	3.427016618
94	3.410889063
95	3.394473342
96	3.383781391
97	3.372378631
98	3.359603737
99	3.348101642
100	3.340966911
101	3.324887855
102	3.310347201
103	3.292710069
104	3.2775366
105	3.262770293
106	3.248869631
107	3.232902713
108	3.22033965
109	3.210203435
110	3.198796511
111	3.191401464
112	3.176560892
113	3.162985252
114	3.152443802
115	3.136659752
116	3.120182291
117	3.113007925
118	3.097479299
119	3.091726028
120	3.080096316
121	3.066246757
122	3.051147266
123	3.036919783
124	3.02634397
125	3.010405937
126	2.996580598
127	2.987850651
128	2.97994361
129	2.967497457
130	2.954298056
131	2.947273133
132	2.936508192
133	2.92457455
134	2.91323289
135	2.899630563
136	2.889631786
137	2.875923564
138	2.862219711
139	2.849399954
140	2.840201888
141	2.826281102
142	2.816020726
143	2.801572262
144	2.788971988
145	2.777334554
146	2.769201577
147	2.759232328
148	2.746010016
149	2.734222999
150	2.724571724
151	2.714168082
152	2.702220399
153	2.689187166
154	2.673880806
155	2.660925546
156	2.65453617
157	2.650193506
158	2.639106432
159	2.62841186
160	2.617429733
161	2.608595222
162	2.601053787
163	2.593750153
164	2.58573064
165	2.574961918
166	2.562905518
167	2.550894171
168	2.539059334
169	2.529889485
170	2.519802991
171	2.514530173
172	2.502414515
173	2.493629707
174	2.482283229
175	2.470744721
176	2.460896355
177	2.450215733
178	2.441432492
179	2.432275373
180	2.423916129
181	2.41496976
182	2.405685532
183	2.395523617
184	2.386390798
185	2.37948718
186	2.370949061
187	2.363645218
188	2.354684277
189	2.343509032
190	2.33374932
191	2.324308858
192	2.315987515
193	2.311189106
194	2.303627057
195	2.296018999
196	2.290196838
197	2.281009809
198	2.271783282
199	2.264622084
200	2.255061057
201	2.248441772
202	2.241816908
203	2.232623833
204	2.223211493
205	2.216417713
206	2.212851701
207	2.205072762
208	2.194095139
209	2.188010266
210	2.177890274
211	2.169631306
212	2.163867394
213	2.154960553
214	2.144867401
215	2.138271767
216	2.129315054
217	2.119815765
218	2.112015203
219	2.102023326
220	2.093606912
221	2.089641013
222	2.080702002
223	2.073830156
224	2.064861596
225	2.056017889
226	2.050677325
227	2.0421537
228	2.035009714
229	2.029159706
230	2.025368077
231	2.019874963
232	2.011697474
233	2.003953518
234	1.998030672
235	1.989575316
236	1.982464629
237	1.973818185
238	1.966796022
239	1.958716683
240	1.953438367
241	1.945557993
242	1.937453091
243	1.930720606
244	1.923806616
245	1.917693398
246	1.91001164
247	1.903524519
248	1.896394845
249	1.89026493
250	1.88299435
251	1.877521962
252	1.869096581
253	1.86123281
254	1.858236126
255	1.852379998
256	1.848313045
257	1.840542096
258	1.833409044
259	1.828254402
260	1.820681733
261	1.812923691
262	1.807258564
263	1.800708307
264	1.793796899
265	1.786794358
266	1.783156061
267	1.776536747
268	1.769275849
269	1.760969805
270	1.755786622
271	1.750093741
272	1.741410969
273	1.737750868
274	1.732408936
275	1.725533349
276	1.719209837
277	1.711750434
278	1.705162573
279	1.699165244
280	1.693254764
281	1.688477731
282	1.682579526
283	1.677615603
284	1.672885439
