iter	Passed	Remaining
0	144	216394
1	144	108485
2	146	72958
3	147	54997
4	149	44672
5	149	37265
6	150	32046
7	150	28086
8	150	24996
9	151	22517
10	151	20493
11	151	18801
12	151	17370
13	152	16142
14	152	15078
15	152	14148
16	152	13326
17	153	12599
18	153	11949
19	153	11371
20	153	10839
21	154	10361
22	154	9921
23	154	9513
24	155	9145
25	155	8800
26	155	8482
27	155	8186
28	155	7909
29	156	7653
30	156	7413
31	156	7188
32	156	6976
33	157	6777
34	157	6590
35	157	6413
36	158	6248
37	158	6091
38	158	5940
39	158	5796
40	159	5659
41	159	5531
42	159	5408
43	159	5289
44	160	5175
45	160	5069
46	160	4965
47	160	4865
48	161	4770
49	161	4679
50	161	4593
51	161	4509
52	162	4431
53	162	4355
54	162	4281
55	163	4212
56	163	4141
57	163	4073
58	164	4007
59	164	3942
60	164	3883
61	164	3824
62	165	3767
63	165	3710
64	165	3658
65	165	3605
66	166	3554
67	166	3505
68	166	3457
69	166	3410
70	167	3364
71	167	3320
72	167	3277
73	167	3235
74	168	3195
75	168	3154
76	168	3115
77	168	3078
78	169	3043
79	169	3007
80	169	2972
81	169	2938
82	170	2905
83	170	2872
84	170	2841
85	170	2810
86	171	2779
87	171	2750
88	171	2721
89	171	2692
90	172	2664
91	172	2638
92	172	2611
93	172	2585
94	173	2560
95	173	2535
96	173	2511
97	173	2487
98	174	2464
99	174	2441
100	174	2418
101	175	2401
102	175	2381
103	175	2359
104	176	2341
105	176	2321
106	176	2301
107	177	2283
108	177	2265
109	177	2246
110	177	2227
111	178	2208
112	178	2190
113	178	2173
114	178	2155
115	179	2138
116	179	2122
117	179	2104
118	179	2088
119	180	2072
120	180	2057
121	180	2041
122	181	2026
123	181	2011
124	181	1996
125	181	1981
126	182	1967
127	182	1953
128	182	1939
129	182	1926
130	183	1912
131	183	1899
132	183	1885
133	183	1872
134	183	1860
135	184	1847
136	184	1835
137	184	1822
138	184	1810
139	185	1798
140	185	1786
141	185	1776
142	186	1766
143	186	1755
144	186	1744
145	186	1732
146	187	1723
147	187	1712
148	187	1702
