iter	RMSE
0	4.560438927
1	4.550354904
2	4.538159612
3	4.530426085
4	4.520833837
5	4.510812801
6	4.500551165
7	4.498317745
8	4.48617425
9	4.481706545
10	4.472441831
11	4.461631611
12	4.452458198
13	4.441511414
14	4.436961346
15	4.426105966
16	4.417042095
17	4.409771507
18	4.40364823
19	4.394566989
20	4.388490885
21	4.379583716
22	4.36985944
23	4.36631806
24	4.358452095
25	4.350832502
26	4.343509154
27	4.333533781
28	4.323586599
29	4.315946309
30	4.308044727
31	4.29924912
32	4.287840273
33	4.2807
34	4.272636138
35	4.262660464
36	4.258290939
37	4.249812005
38	4.240466221
39	4.228834065
40	4.222522292
41	4.2169104
42	4.20891038
43	4.200741196
44	4.190308074
45	4.180817444
46	4.179471989
47	4.173671999
48	4.169595332
49	4.163738048
50	4.15501268
51	4.147310123
52	4.144217553
53	4.136612161
54	4.125851685
55	4.113645041
56	4.107633324
57	4.1026182557	3.869039082
58	3.854450786
59	3.844454689
60	3.833812674
61	3.816339731
62	3.801754137
63	3.794774433
64	3.781053659
65	3.763049993
66	3.756234611
67	3.74534492
68	3.736475372
69	3.721631672
70	3.713955549
71	3.700257577
72	3.68741338
73	3.676061718
74	3.668327147
75	3.655257693
76	3.642293497
77	3.629431773
78	3.612540194
79	3.60428008
80	3.588863209
81	3.577714935
82	3.568661753
83	3.558692076
84	3.54569707
85	3.536051283
86	3.524786736
87	3.512388159
88	3.499027642
89	3.489344932
90	3.475878893
91	3.466585096
92	3.451644916
93	3.440079037
94	3.430582122
95	3.422693493
96	3.411651335
97	3.400581693
98	3.391180567
99	3.385032078
100	3.373588408
101	3.361220895
102	3.35142059
103	3.338640203
104	3.328392373
105	3.318641426
106	3.308493194
107	3.296415627
108	3.285154541
109	3.278685179
110	3.273926849
111	3.2634931
112	3.254114477
113	3.243795668
114	3.23405391
115	3.228956997
116	3.221988527
117	3.210717053
118	3.202586078
119	3.198152645
120	3.189776889
121	3.176981873
122	3.166466029
123	3.15736536
124	3.148270054
125	3.138921251
126	3.130617788
127	3.12192311
128	3.111229986
129	3.09860569
130	3.089587041
131	3.077889345
132	3.067140242
133	3.056217653
134	3.049263846
135	3.042762885
136	3.034773385
137	3.024846655
138	3.013776376
139	3.006377012
140	2.998042066
141	2.986927278
142	2.976252611
143	2.965355022
144	2.95870562
145	2.948210489
146	2.938287008
147	2.929531367
148	2.919403908
149	2.909777834
150	2.903959557
151	2.894955087
152	2.887723075
153	2.876822407
154	2.865371985
155	2.855086367
156	2.846599838
157	2.842920883
158	2.834620564
159	2.826870943
160	2.818190059
161	2.811218858162	2.194455548
163	2.187357669
164	2.179391408
165	2.168772913
166	2.158054152
167	2.147289669
168	2.137804036
169	2.130087686
170	2.120722741
171	2.116791585
172	2.105935312
173	2.098723014
174	2.088393791
175	2.07765641
176	2.067472545
177	2.057497759
178	2.048084807
179	2.040043142
180	2.032950554
181	2.025397454
182	2.016929961
183	2.007478513
184	1.999394704
185	1.993681186	186	1.98396187	2187	1.97800188	2188	1.969789381
189	1.959752588
190	1.950549252
191	1.942100055
192	1.93361193	2193	1.929222065
194	1.922079418
195	1.915906078
196	1.910593352
197	1.902200046
198	1.89452415
199	1.887682129
200	1.878949919
201	1.871725118
202	1.864653011
203	1.856331946
204	1.846987972
205	1.841514006
206	1.838429071
207	1.831283979
208	1.821978283
209	1.817023493
210	1.808038521
211	1.800889293
212	1.793583653
213	1.785335846
214	1.776475964
215	1.770323895
216	1.762173386
217	1.753844976
218	1.746891518
219	1.739194615
220	1.731645006
221	1.727161714
222	1.719082114
223	1.715519438
224	1.707387927
225	1.699606129
226	1.69360931
227	1.686165514
228	1.679564891
229	1.675360654
230	1.670896529
231	1.665073322
232	1.658186762
233	1.650776564
234	1.645130334
235	1.637605089
236	1.631175965
237	1.623858181
238	1.616195572
239	1.609086003
240	1.603633482
241	1.597136774
242	1.589891559
243	1.583433485
244	1.577575842
245	1.571128125
246	1.564484861
247	1.559081866
248	1.552844027
249	1.54605183
250	1.538909289
251	1.534543691
252	1.527430491
253	1.520650659
254	1.518211425
255	1.51256	2.15256	1.50257	2.15257	1.498254617
258	1.4259	2.144259	1.486904972
260	1.480747531
261	1.476274394
262	1.470190824
263	1.464251169
264	1.457707767
265	1.452468024
266	1.447580159
267	1.442108559
268	1.435621065
269	1.431384919
270	1.427438804
271	1.422615825
272	1.417900822
273	1.413686524
274	1.409782532
275	1.403468668
276	1.398397115
277	1.393179529
278	1.388014084
279	1.382693856
280	1.380614874
281	1.375285812
282	1.369939332
283	1.364512751
284	1.359564244
285	1.353904277
286	1.349072077
287	1.344616415
288	1.339497858
289	1.334371531
290	1.328688075
291	1.323676932
292	1.318747888
293	1.313838384
294	1.309577742
295	1.30513573
296	1.299999786
297	1.295132258
298	1.290852184
299	1.286489132
300	1.282165384
301	1.276884382
302	1.272363082
303	1.267893993
304	1.263870191
305	1.258860352
306	1.254307619
307	1.249345507
308	1.245003313
309	1.242594286
310	1.237755752
311	1.233259355
312	1.229037024
313	1.224817134
314	1.220901013
315	1.21601297
316	1.211319125
317	1.207694966
318	1.20437254
319	1.200467552
320	1.196221037
321	1.191648986
322	1.188606242
323	1.184533885
324	1.181066856
325	1.177604477
326	1.17429866
327	1.171142374
328	1.167202421
329	1.163017408
330	1.158718279
331	1.154982064
332	1.15103349
333	1.147264371
334	1.142994512
335	1.140401893
336	1.137714678
337	1.134482922
338	1.130833928
339	1.1272715
340	1.1235446
341	1.119474119
342	1.117090318
343	1.11431763
344	1.110831816
345	1.107530878
346	1.104313983
347	1.101241107
348	1.099450301
349	1.095810673
350	1.092504711
351	1.089192715
352	1.086014403
353	1.082824047
354	1.080353051
355	1.077319799
356	1.074116797
357	1.071383659
358	1.068219402
359	1.06527129
360	1.061971875
361	1.05885908
362	1.055771808
363	1.052518045
364	1.049654031
365	1.046062322
366	1.043036406
367	1.039977029
368	1.038200656
369	1.034691853
370	1.031526263
371	1.02854909
372	1.025872089
373	1.023523789
374	1.021015068
375	1.018557435
376	1.016270718
377	1.01352525
378	1.010893521
379	1.008365626
380	1.006100775
381	1.00319523
382	1.000413902
383	0.9987079381
384	0.9960994625
385	0.9938444821
386	0.9910960098
387	0.9886816457
388	0.9870147999
389	0.9858660288
390	0.9830124257
391	0.9806077278
392	0.9780852157
393	0.9766459831
394	0.9739165588
395	0.9716496386
396	0.9703291164
397	0.9679072519
398	0.9656906431
399	0.9630866944
400	0.9608045181
401	0.9584907881
402	0.9561535842
403	0.9542774666
404	0.9522837164
405	0.9499069723
406	0.9476695849
407	0.9454907833
408	0.9435629337
409	0.942178381
410	0.9402397095
411	0.9379886128
412	0.9359219751
413	0.9339304714
414	0.9321962962
415	0.9304989922
416	0.9285296747
417	0.9269395868
418	0.9244826959
419	0.9225977903
420	0.9207866162
421	0.9187035065
422	0.9166669275
423	0.91466738
424	0.912746461
425	0.9107084013
426	0.9095616584
427	0.9087956095
428	0.9066011257
429	0.9049984711
430	0.9032969732
431	0.9022663768
432	0.900380241
433	0.8992220774
434	0.8982129875
435	0.8965585181
436	0.8946603059
437	0.8925416541
438	0.891219659
439	0.889244626
440	0.8875202835
441	0.8864732782
442	0.885005725
443	0.8832349548
444	0.8822322319
445	0.8807279812
446	0.8798461745
447	0.8781103216
448	0.8767038626
449	0.8750389563
450	0.8735213115
451	0.8724002802
452	0.8709923564
453	0.8697720183
454	0.8689068464
455	0.8671540494
456	0.8656424434
457	0.8640354245
458	0.8625232801
459	0.8611309504
460	0.859825663
461	0.8582465146
462	0.8568243139
463	0.8551319089
464	0.8537706147
465	0.8526724755
466	0.8518047725
467	0.8502380385
468	0.8493966303
469	0.8480416626
470	0.8473766996
471	0.8461282628
472	0.8447928268
473	0.8438012254
474	0.842533356
475	0.8409851795
476	0.8395853351
477	0.8383516804
478	0.8369668161
479	0.8357007435
480	0.8345512613
481	0.8331701315
482	0.8318441645
483	0.8307421073
484	0.8292895615
485	0.828319253
486	0.8274911143
487	0.8261345025
488	0.8249451653
489	0.8236470571
490	0.8224643461
491	0.8212398466
492	0.8202248462
493	0.8192323429
494	0.8182249894
495	0.8174947497
496	0.8163646633
497	0.815282233
498	0.8140648846
499	0.8129283908
500	0.8118605215
501	0.8110075876
502	0.8102612065
503	0.8092846695
504	0.8084620702
505	0.8071764139
506	0.8065468282
507	0.8053946424
508	0.80437635
509	0.8033181696
510	0.8023333262
511	0.8013664419
512	0.8003066013
513	0.7994133717
514	0.7985591733
515	0.7975539721
516	0.796647933
517	0.7956933951
518	0.7949808038
519	0.7940627124
520	0.7930834831
521	0.792315279
522	0.7914376942
523	0.7905888941
524	0.7896586034
525	0.7885329773
526	0.7873668081
527	0.7865298846
528	0.7855986519
529	0.7848441783
530	0.7839411458
531	0.7830091406
532	0.7821914442
533	0.7814919555
534	0.7807007383
535	0.7798266208
536	0.7793468094
537	0.7783475828
538	0.7776277135
539	0.7768678628
540	0.7762032444
541	0.7752244768
542	0.7744235001
543	0.7739424142
544	0.7731660638
545	0.7723827614
546	0.7716631467
547	0.7708575622
548	0.7701601437
549	0.7694179757
550	0.7686579442
551	0.7681389075
552	0.7673961097
553	0.7666817568
554	0.765911674
555	0.7649858144
556	0.7641678034
557	0.7634876455
558	0.7626563913
559	0.7619403024
560	0.7611685957
561	0.7605501341
562	0.7598199688
563	0.7592831511
564	0.7586567298
565	0.757914383
566	0.7571174652
567	0.756629165
568	0.7559913545
569	0.7555026149
570	0.7547980003
571	0.7541507648
572	0.7530904916
573	0.7524420661
574	0.7518324495
575	0.751147262
576	0.7505911612
577	0.749681702
578	0.7490232094
579	0.748346526
580	0.7474342491
581	0.7468154938
582	0.7460103338
583	0.7451122872
584	0.7442315502
585	0.7434768541
586	0.7429373687
587	0.7424680019
588	0.74201695
589	0.7415600134
590	0.7411126082
591	0.7405846735
592	0.7398920112
593	0.7390672967
594	0.7384668762
595	0.7379520609
596	0.737166017
597	0.7365481521
598	0.7357588742
599	0.7349925409
600	0.7344675776
601	0.7341238341
602	0.7334999619
603	0.7328646223
604	0.732326448
605	0.731762
606	0.7313344715
607	0.7309234467
608	0.7303310151
609	0.7296228621
610	0.7290779167
611	0.7286270321
612	0.728145801
613	0.7275158963
614	0.7268372923
615	0.7259772038
616	0.7254970103
617	0.7249976101
618	0.7245866751
619	0.7239372036
620	0.7228848565
621	0.722290722
622	0.7217076579
623	0.7212704095
624	0.7206698013
625	0.7200734641
626	0.719624187
627	0.7190727855
628	0.7187574649
629	0.7181684554
630	0.7171955206
631	0.7165984473
632	0.7161434957
633	0.7157159141
634	0.7153648533
635	0.7149342462
636	0.7144097081
637	0.7139038169
638	0.7134738292
639	0.7128383915
