iter	Passed	Remaining
0	160	239913
1	160	120081
2	171	85560
3	171	64225
4	171	51419
5	172	42859
6	172	36761
7	172	32191
8	172	28634
9	173	25789
10	173	23460
11	173	21518
12	173	19876
13	173	18468
14	174	17241
15	174	16171
16	174	15230
17	174	14390
18	175	13641
19	175	12966
20	175	12356
21	175	11801
22	175	11294
23	176	10831
24	176	10405
25	176	10009
26	176	9645
27	177	9305
28	181	9186
29	181	8886
30	181	8606
31	181	8342
32	182	8096
33	182	7865
34	182	7646
35	182	7438
36	183	7241
37	183	7054
38	183	6878
39	183	6709
40	184	6549
41	184	6396
42	184	6251
43	184	6113
44	189	6114
45	189	5985
46	189	5860
47	189	5741
48	190	5626
49	190	5517
50	190	5411
51	190	5310
52	190	5212
53	191	5118
54	191	5026
55	191	4939
56	191	48557	195	4872
58	196	4791
59	196	4713
60	200	4737
61	201	4663
62	201	4591
63	201	4522
64	201	4455
65	201	4388
66	202	4324
67	202	4263
68	202	4203
69	202	4144
70	203	4087
71	203	4032
72	203	3979
73	203	3926
74	204	3876
75	204	3826
76	204	3778
77	204	3732
78	204	3686
79	205	3642
80	205	3599
81	205	3556
82	205	3515
83	206	3475
84	206	3436
85	206	3397
86	206	3360
87	207	3323
88	207	3287
89	207	3252
90	207	3218
91	208	3184
92	208	3151
93	208	3119
94	208	3088
95	209	3056
96	211	3060
97	211	3030
98	212	3001
99	212	2972
100	212	2944
101	212	2916
102	212	2888
103	213	2862
104	213	2835
105	213	2809
106	213	2784
107	214	2759
108	214	2735
109	214	2712
110	214	2688
111	215	2666
112	215	2643
113	215	2621
114	215	2599
115	216	2578
116	216	2556
117	216	2536
118	216	2515
119	217	2495
120	217	2476
121	217	2456
122	217	2437
123	218	2419
124	218	2400
125	218	2381
126	218	2363
127	218	2345
128	227	2421
129	228	2403
130	228	2386
131	228	2369
132	228	2352
133	229	2335
134	229	2318
135	229	2302
136	229	2286
137	230	2270
138	230	2254
139	231	2244
140	231	2228
141	231	2213
142	231	2198
143	231	2183
144	232	2169
145	232	2155
146	232	2140
147	232	2127
148	233	2113
149	233	2099
150	233	2085
151	233	2072
152	233	2059
153	234	2046
154	234	2033
155	234	2021
156	234	2008
157	235	1996
158	235	1984
159	235	1972
160	235	1960
161	235	1949162	262	2156
163	265	2160
164	266	2157
165	266	2144
166	267	2136
167	267	2123
168	268	2111
169	268	2099
170	268	2087
