iter	Passed	Remaining
0	93	74728
1	97	39068
2	113	30173
3	116	23102
4	116	18495
5	119	15865
6	120	13624
7	120	11935
8	120	10626
9	121	9574
10	121	8711
11	123	8110
12	124	7509
13	124	6988
14	124	6530
15	125	6126
16	125	5777
17	125	5465
18	126	5182
19	126	4930
20	126	4695
21	126	4488
22	127	4297
23	127	4124
24	127	3964
25	1226	128	3688
27	129	3563
28	129	3445
29	129	3335
30	130	3228
31	130	31	134	3229
32	134	3136
33	135	3047
34	1335	134	2858
36	134	2783
37	135	37	139	2796
38	139	2730
39	1440	136	40	1441	137	41	1442	137	42	1443	143	2470
44	144	2418
45	145	2385
46	145	2337
47	146	2290
48	146	2246
49	146	2201
50	147	2159
51	147	2119
52	147	2080
53	150	2073
54	150	2038
55	150	2004
56	151	1969
57	153	1966
58	154	1935
59	154	1905
60	154	1875
61	155	1845
62	157	1839
63	157	1812
64	157	1785
65	158	1759
66	158	1735
67	158	1710
68	159	1685
69	159	1661
70	159	1639
71	163	1654
72	167	1667
73	167	1646
74	168	1625
75	168	1605
76	168	1586
77	169	1565
78	169	1546
79	169	1528
80	170	1510
81	170	1493
82	170	1476
83	171	1459
84	171	1442
85	171	1426
86	172	1410
87	172	87	184	1495
88	185	1478
89	193	1528
90	194	1512
91	194	1496
92	194	1481
93	195	1465
94	200	1484
95	203	1492
96	203	1477
97	206	1475
98	206	1461
99	207	1452
100	209	1448
101	209	1434
102	209	1419
103	210	1406
104	210	1393
105	210	1380
106	212	1376
107	212	1364
108	213	1352
109	213	1340
110	214	1328
111	214	1316
112	214	1304
113	215	1294
114	215	1282
115	215	1271
116	215	1260
117	216	1250
118	216	1240
119	217	1229
120	217	1219
121	217	1209
122	218	1200
123	218	1190
124	218	1181
125	219	1171
126	220	1168
127	220	1159
128	221	1150
129	22130	219	1119
131	220	1113
132	221	1108
133	221	1101
134	222	1093
135	232	1135
136	257	1246
137	257	1237
138	258	1228
139	258	1219
140	259	1210
141	259	1202
142	278	1278
143	294	1341
144	303	1370
145	303	1361
146	304	1351
147	304	1342
148	305	1332
149	305	1323
150	305	1314
151	306	1305
152	306	1295
153	306	1287
154	307	1278
155	307	1269
156	307	1260
157	313	1273
158	314	1266
159	314	1258
160	315	1250
161	315	1242
162	316	1235
163	316	1227
164	316	1219
165	319	1220
166	320	1213
167	320	1205
168	320	1197
169	326	1208
170	326	1200
171	329	1204
172	335	1215
173	338	1219
174	339	1211
175	339	1204
176	340	1197
177	340	1189
178	340	1182
179	344	1187
180	345	1180
181	345	1173
182	345	1166
183	346	1159
184	346	1152
185	350	1157
186	357	1173
187	358	1166
188	358	1159
189	359	1153
190	359	1146
191	360	1140
192	360	1133
193	360	1127
194	361	1120
195	361	1114
196	361	1107
197	362	1101
198	362	1095
199	362	1088
200	363	1082
201	363	1076
202	363	1070
203	364	1064
204	366	1063
205	366	1057
206	366	1051
207	369	1051
208	369	1045
209	370	1039
210	370	1034
211	375	1040
212	375	1035
213	376	1029
214	376	1024
215	376	1018
216	377	1013
217	377	1007
218	380	1009
219	380	1004
220	381	999
221	382	994
222	382	989
223	383	984
2224	384	982225	393	999
226	393	994
227	394	988
228	395	987
229	396	982
230	398	982
231	399	977
232	399	972
233	399	967
234	402	967
235	403	963
236	406	964
237	406	959
238	406	955
239	407	950
240	407	945
241	407	940
242	408	935
243	408	931
244	414	938
245	414	933
246	419	940
247	420	936
248	420	931
249	421	926
250	421	922
251	422	917
252	422	913
2253	424	912
254	424	908
255	425	903
256	425	899257	428	900
258	428	895
259	430	894
260	431	890
261	431	885
262	431	881
263	432	877
264	437	883
265	437	879
266	438	874
267	440	874
268	440	870
269	441	866
270	444	868
271	445	864
272	445	860
273	445	855
274	446	851
275	446	847
276	446	843
277	452	849
278	452	845
279	452	841
280	453	837
281	453	833
282	454	829
283	454	825
284	454	821
285	455	817
286	463	827
287	463	824
288	463	820
289	464	816
290	464	812
291	465	809
292	465	805
293	465	801
294	468	802
295	469	798
296	471	798
297	472	795
298	472	791
299	472	787
300	473	784
301	473	780
302	473	777
303	474	773
304	474	770
305	474	766
306	475	763
307	475	759
308	475	756
309	481	760
310	481	757
311	482	753
312	482	750
313	482	747
314	483	744
315	483	741
316	494	753
317	494	750
318	495	746
319	497	746
320	503	751
321	507	754
322	508	750
323	508	747
324	509	744
325	509	740
326	509	737
327	510	734
328	510	730
329	510	727
330	511	724
331	511	721
3332	517	726
333	518	723
334	520	722
335	524	724
336	524	721
337	525	717
338	525	714
339	525	711
340	526	708
341	530	710
342	532	708
343	532	705
344	532	702
345	533	699
346	533	696
347	533	693
348	534	690
349	534	687
350	534	684
351	535	681
352	535	678
353	535	675
354	539	676
355	540	673
356	540	670
357	541	668
358	542	665
359	542	662
360	543	660
361	543	657
362	544	654
363	544	652
364	544	649
365	545	646
366	545	643
367	545	640
368	546	637
369	546	635
370	546	632
371	547	629
372	547	626
373	547	623
374	548	621
375	548	618
376	548	615
377	549	613
378	552	613
379	558	616
380	558	614
381	558	611
382	565	615
383	566	613
384	566	610
385	567	608
386	567	605
387	568	603
388	568	600
389	568	597
390	569	595
391	569	592
392	569	590
393	570	587
394	570	584
395	570	582
396	571	579
397	571	577
398	572	574
399	572	572
400	572	569
401	573	567
402	573	564
403	573	562
40409	577	54405	582	564
406	591	570
407	595	571
408	595	569
409	596	566
410	596	564
411	600	565
412	606	568
413	607	566
414	611	567
415	611	564
416	618	567
417	622	568
418	622	566
419	622	563
420	623	561
421	623	558
42427	629	547
428	630	5442429	631	54425	645	566
426	648	566
427	651	566
428	654	566
429	655	563
430	655	561
431	655	558
432	656	556
433	658	555
434	658	552
435	659	550
436	659	547
437	659	545
438	661	543
439	667	546
440	672	547
441	672	544
442	673	542
443	673	540
444	673	537
445	674	535
446	680	537
447	680	534
448	682	533
449	682	530
450	682	528
451	683	526
452	683	523
453	683	521
454	684	518
455	684	516
456	685	514
457	685	511
458	685	509
459	686	507
460	689	506
461	689	504
462	689	502
463	690	499
464	691	497
465	691	495
466	691	493
467	694	492
468	694	490
469	694	487
470	698	488
471	699	485
472	699	483
473	699	481
474	700	479
475	700	476
476	701	474
477	701	472
478	701	470
479	702	468
480	702	465
481	702	463
482	706	463
483	706	461
484	707	459
485	707	457
486	707	455
487	708	452
488	708	450
489	708	448
490	709	446
491	709	444
492	709	442
493	710	439
494	710	437
495	710	435
49501	711	422
502	714	422
503	715	420
504	715	418
505	716	416
506	716	414
507	716	412
508	717	410
509	719	409
510	721	408
511	721	406
512	722	404
513	725	403
514	726	401
515	726	399
516	726	397
517	727	395
518	727	393
519	727	391
520	732	392
521	732	390
522	732	388
523	733	386
524	733	384
525	733	382
526	734	380
527	734	378
528	734	376
529	738	376
530	739	374
531	743	374
532	744	372
533	746	371
534	747	370
535	747	368
536	748	366
537	748	364
538	748	362
539	749	360
540	749	358
541	749	357
542	750	355
543	750	353
544	751	351
545	754	350
546	756	349
547	756	348
548	757	346
549	757	344
550	759	343
551	759	341
552	759	339
553	760	337
554	760	335
555	761	333
556	761	332
557	761	330
558	762	328
559	762	326
560	762	325
561	763	323
562	763	321
563	763	319
564	764	317
565	764	316
566	764	314
567	765	312
568	765	310
569	765	309
570	766	307
571	768	306
572	770	305
573	773	304
574	773	302
575	773	300
576	775	299
577	775	297
578	776	296
579	777	294
580	777	293
581	777	291
582	778	289
583	778	287
584	778	286
585	779	284
586	779	282
587	780	281
588	780	279
589	780	277
590	781	276
591	781	274
592	781	272
593	782	271
594	782	269
595	782	267
596	784	266
597	785	265
598	785	263
599	786	262
600	786	260
601	786	258
602	787	257
603	787	255
604	787	253
605	788	252
606	788	250
607	788	24603	792	257
60609	790	246
610	790	24606	795	252
607	796	251
608	796	249
609	796	248
610	797	246
61616	795	235
617	795	234
618	795	232
619	796	2361620	804	231
621	806	230
622	806	229
623	808	228
624	809	226
625	810	225
626	811	223
627	811	222
628	811	220
629	812	219
630	812	217
631	813	216
632	813	214
633	818	214
634	819	212
635	819	211
636	819	209
637	839	213
638	840	211
639	840	210
640	841	208
641	841	207
642	843	205
643	843	204
644	844	202
645	845	201
646	846	200
647	847	198
648	847	197
649	847	195
650	848	194
651	848	192
652	848	191
653	849	189
654	849	188
655	849	186
656	850	185
657	850	183
658	851	182
659	851	180
660	851	179
661	852	177
662	852	176
663	852	174
664	853	173
665	853	171
666	854	170
667	854	168
668	854	167
669	855	165
670	855	164
671	856	163
672	856	161
673	856	160
674	857	158
675	857	157
676	858	155
677	858	154
678	858	153
679	859	151
680	859	150
681	859	148
682	860	147
683	860	145
684	861	144
685	861	143
686	861	141
687	862	140
688	862	138
689	863	137
690	863	136
691	863	134
692	864	133
693	864	132
694	864	130
695	865	129
696	865	127
697	866	126
698	866	125
699	867	123
700	867	122
701	867	121
702	868	119
703	868	118
704	868	117
705	869	115
706	869	114
707	870	113
708	870	111
709	870	110
710	871	109
711	871	107
712	871	106
713	872	105
714	872	103
715	872	102
716	873	101
717	873	99
718	873	98
719	874	97
720	874	95
721	875	94
722	875	93
723	876	91
724	876	90
725	877	89
726	877	88
727	877	86
728	878	85
729	878	84
730	879	82
731	880	81
732	880	80
733	882	79
734	882	78
735	883	76
736	883	75
737	884	74
738	886	73
739	886	71
740	887	70
741	888	69
742	890	68
743	891	67
744	891	65
745	891	64
746	892	63
747	892	62
748	893	60
749	893	59
750	893	58
751	894	57
752	894	55
753	894	54
754	895	53
755	896	52
756	896	50
757	900	49
758	900	48
759	900	47
760	901	46
761	901	44
762	901	43
763	902	42
764	903	41
765	903	40
766	903	38
767	904	37
768	904	36
769	904	35
770	905	34
771	905	32
772	905	31
773	906	30
774	906	29
775	906	28
776	907	26
777	907	25
778	907	24
779	908	23
780	908	22
781	909	20
782	909	19
783	909	18
784	910	17
785	910	16
786	910	15
787	911	13
788	911	12
789	911	11
790	912	10
791	912	9
792	913	8
793	913	6
794	913	5
795	914	4
796	914	3
797	914	2
798	915	1
799	915	0
	892	5
795	892	4
796	892	3
797	893	2
798	893	1
799	893	0
