iter	RMSE
0	1.038535656
1	1.02079137
2	1.002819969
3	0.9866482619
4	0.9700885703
5	0.9535819528
6	0.9385816938
7	0.9239133195
8	0.9090248802
9	0.8950800278
10	0.8827610423
11	0.8711010557
12	0.8590994537
13	0.8481623946
14	0.8356253775
15	0.822110315
16	0.8081459373
17	0.7960332275
18	0.7846298276
19	0.7748840116
20	0.7638274663
21	0.7553245117
22	0.7473558534
23	0.7400693644
24	0.7291021662
25	0.7216869956
26	0.7136964395
27	0.70317987
28	0.6939089833
29	0.6863535774
30	0.6771690532
31	0.6704479011
32	0.663830439
33	0.6574649897
34	0.6493039017
35	0.6420919387
36	0.6351329037
37	0.6291631424
38	0.6220632011
39	0.6146086808
40	0.6090462604
41	0.6014856458
42	0.5946296382
43	0.5893369735
44	0.5835534518
45	0.5781653045
46	0.5733569993
47	0.5680777937
48	0.5625546852
49	0.55818147
50	0.5527512644
51	0.5478754814
52	0.5425659618
53	0.5384651521
54	0.5342729423
55	0.5302053721
56	0.5257168228
57	0.5218725244
58	0.517817166
59	0.5132454343
60	0.5098640074
61	0.5065036493
62	0.5034028086
63	0.5001293507
64	0.4966113038
65	0.4929174447
66	0.4899758975
67	0.487750442
68	0.4848513709
69	0.4817211467
70	0.4790329625
71	0.476684058
72	0.4734130027
73	0.4711034324
74	0.468545802
75	0.4660542141
76	0.4643487334
77	0.4617726108
78	0.4592946818
79	0.4571522977
80	0.4553405013
81	0.4532455888
82	0.4509411869
83	0.4486364394
84	0.4464720454
85	0.4444209847
86	0.4424560133
87	0.4405173204
88	0.438648991
89	0.4374923316
90	0.4355661492
91	0.4339978823
92	0.4322352615
93	0.4303083808
94	0.4286048351
95	0.4268790721
96	0.4256803447
97	0.4242035591
98	0.422626776
99	0.421355611
100	0.4200319372
101	0.4186008069
102	0.4167147187
103	0.4147881573
104	0.4135560416
105	0.4128664902
106	0.4117305735
107	0.41035874
108	0.4091559664
109	0.4082138633
110	0.4068925497
111	0.4057939499
112	0.4044529641
113	0.4036476904
114	0.4027094478
115	0.4016036176
116	0.4006718982
117	0.3992947494
118	0.3980453267
119	0.3969560858
120	0.3955727894
121	0.3946243248
122	0.3935584179
123	0.3924529598
124	0.3918212082
125	0.390433541
126	0.3890658808
127	0.3876756533
128	0.3868830463
129	0.3860370855
130	0.3850180077
131	0.3845630723
132	0.3838275442
133	0.382681024
134	0.381315681
135	0.3807627588
136	0.3797954177
137	0.3791961412
138	0.3785793787
139	0.3771928065
140	0.3757949271
141	0.3751722077
142	0.3742797106
143	0.3735072475
144	0.3724651317
145	0.3718294064
146	0.3711415868
147	0.3702663442
148	0.3696067822
149	0.3686367806
150	0.3678993604
151	0.3670982766
152	0.3663873398
153	0.3658584986
154	0.3649764979
155	0.3645505719
156	0.3631624314
157	0.3624766319
158	0.3612559113
159	0.3597587007
160	0.3593313767
161	0.3583023199
162	0.3573802635
163	0.3567916064
164	0.3557324459
165	0.3550038978
166	0.3541598806
167	0.3536978888
168	0.3532864629
169	0.3523038847
170	0.3516089165
171	0.3511489717
172	0.350874996
173	0.3504973159
174	0.3499617289
175	0.3492069431
176	0.3488512501
177	0.3483640868
178	0.3477462974
179	0.3471399614
180	0.3462278717
181	0.3454460693
182	0.344294896
183	0.3431916805
184	0.3420260595
185	0.3413031718
186	0.3405962559
187	0.3396430244
188	0.3383255502
189	0.3378363431
190	0.337031967
191	0.3357661831
192	0.334717875
193	0.3341438836
194	0.333642398
195	0.3329594483
196	0.3325841402
197	0.3312599242
198	0.3304169403
199	0.3291375524
200	0.3276466251
201	0.3262899037
202	0.3251009227
203	0.3239750605
204	0.3226613967
205	0.3214429977
206	0.3204242703
207	0.3191980742
208	0.3183433564
209	0.3176807475
210	0.3171291229
211	0.3163482783
212	0.3156874544
213	0.3155563712
214	0.314125314
215	0.3132494933
216	0.3119359829
217	0.3112589709
218	0.3103521318
219	0.3097504883
220	0.3093233293
221	0.3087325899
222	0.3079169213
223	0.3067694485
224	0.3061970451
225	0.3055255353
226	0.3049926719
227	0.3043039511
228	0.3036510944
229	0.3030606167
230	0.3020791807
231	0.3012691395
232	0.3003966441
233	0.2996276654
234	0.2990146603
235	0.2983866634
236	0.2976548848
237	0.2964292317
238	0.2955991375
239	0.2946463259
240	0.2941366922
241	0.293471869
242	0.2925151199
243	0.2921721013
244	0.2915872903
245	0.2910649672
246	0.290314539
247	0.2899662138
248	0.2893693475
249	0.2888792006
250	0.2883672012
251	0.2878872221
252	0.2871157653
253	0.2864134354
254	0.2854276656
255	0.2849208207
256	0.2841150556
257	0.2832388481
258	0.2822417907
259	0.2813617636
260	0.2804500846
261	0.2800688677
262	0.278975166
263	0.2782552762
264	0.2779146743
265	0.2774363423
266	0.2769351398
267	0.2766434245
268	0.276205789
269	0.2752215139
270	0.2744930749
271	0.2738814396
272	0.2733501981
273	0.2730131481
274	0.272620148
275	0.2718890144
276	0.2709941759
277	0.2705821659
278	0.2699187014
279	0.2694057589
280	0.2687657982
281	0.2680391875
282	0.2674827513
283	0.2671159073
284	0.2666848859
285	0.2663123512
286	0.2657256968
287	0.265289231
288	0.2644559453
289	0.2637760614
290	0.2632768285
291	0.2626817646
292	0.2623925159
293	0.2617323889
294	0.2607750826
295	0.2603317561
296	0.2596897901
297	0.2591762578
298	0.258403588
299	0.2577586369
300	0.2572951581
301	0.2567236209
302	0.2561193037
303	0.2557108279
304	0.2549622111
305	0.2545286149
306	0.2542160172
307	0.2534450842
308	0.2529790903
309	0.2524077085
310	0.2520139132
311	0.2512945993
312	0.2505691843
313	0.2502648057
314	0.2498247369
315	0.2495335851
316	0.2489109265
317	0.2482248106
318	0.2473654478
319	0.2470271091
320	0.2463965036
321	0.2458697245
322	0.2453391596
323	0.2447822688
324	0.2443883386
325	0.2439059712
326	0.2431704109
327	0.2427983627
328	0.2423976022
329	0.2418202846
330	0.241413805
331	0.2411319145
332	0.2406374194
333	0.2402875485
334	0.2397284138
335	0.2390790265
336	0.2385363861
337	0.2380348045
338	0.237704106
339	0.2373861418
340	0.2369875484
341	0.236398577
342	0.2359139443
343	0.2354155455
344	0.235056636
345	0.234433498
346	0.2340921038
347	0.2337229068
348	0.2332265923
349	0.2325049294
350	0.2320499507
351	0.2316429036
352	0.2310596272
353	0.2304536332
354	0.2302056939
355	0.229532255
356	0.2287660007
357	0.2281195969
358	0.227734996
359	0.2274386336
360	0.2270117904
361	0.2263253283
