iter	Passed	Remaining
0	171	136763
1	171	68479
2	173	46200
3	174	34682
4	174	27740
5	174	23124
6	175	19831
7	175	17364
8	175	15442
9	175	13876
10	179	12852
11	179	11793
12	181	10972
13	181	10197
14	188	9844
15	188	9238
16	188	8701
17	189	8223
18	189	7792
19	189	7403
20	190	7055
21	190	6737
22	190	6446
23	191	6177
24	191	5933
25	191	5708
26	192	5498
27	192	5305
28	192	5123
29	193	4954
30	193	4794
31	196	4726
32	209	4871
33	209	4730
34	210	4597
35	210	4470
36	211	4351
37	211	4237
38	211	4128
39	211	4025
40	212	3927
41	212	3832
42	212	3742
43	215	3708
44	216	3627
45	216	3552
46	217	3481
47	217	3410
48	218	3342
49	218	3276
50	218	3211
51	218	3150
52	219	3091
53	222	3072
54	222	3017
55	233	3106
56	234	3053
57	234	3001
58	237	2981
59	237	2930
60	238	2883
61	238	2837
62	238	2792
63	245	2828
64	246	2786
65	246	2745
66	254	2788
67	255	2747
68	255	2707
69	255	2669
70	256	2631
71	256	2595
72	257	2559
73	260	2559
74	268	2600
75	269	2566
76	284	2671
77	284	2636
78	285	2603
79	285	2570
80	285	2537
81	286	2505
82	286	2474
83	292	2492
84	299	2515
85	303	2518
86	307	2517
87	307	2488
88	310	2483
89	311	2456
90	311	2428
91	314	2421
92	314	2394
93	315	2367
94	319	2373
95	320	2348
96	320	2324
97	320	2298
98	321	2274
99	321	2251
100	334	2315
101	335	2292
102	335	2269
103	335	2246
104	336	2224
105	336	2203
106	336	2181
107	337	2160
108	337	2139
109	337	2119
110	342	2123
111	342	2103
112	343	2085
113	343	2066
114	344	2051
115	344	2032
116	351	2054
117	352	2035
118	361	2066
119	364	2066
120	365	2048
121	365	2030
122	367	2023
123	370	2017
124	370	2000
125	370	1983
126	371	1967
127	371	1950
128	371	1934
129	372	1918
130	372	1902
131	372	1887
132	373	1872
133	373	1857
134	374	1842
135	374	1829
136	375	1814
137	375	1800
138	375	1786
139	376	1773
140	376	1759
141	376	1745
142	381	1753
143	381	1739
144	384	1738
145	385	1725
146	385	1712
147	385	1699
148	386	1687
149	386	1674
150	386	1662
151	387	1650
152	387	1638
153	387	1626
154	389	1619
155	389	1608
156	391	1605
157	392	1594
158	392	1583
159	393	1572
160	393	1561
161	399	1574
162	400	1564
