iter	RMSE
0	4.365619268
1	4.355792802
2	4.34327477
3	4.328744743
4	4.315359766
5	4.309398896
6	4.295410448
7	4.282057002
8	4.276183169
9	4.264754072
10	4.252129168
11	4.235624448
12	4.223738833
13	4.204155907
14	4.185955137
15	4.176046072
16	4.163389304
17	4.157067139
18	4.144844341
19	4.134562655
20	4.117412467
21	4.105219404
22	4.090333818
23	4.073625598
24	4.057599955
25	4.044463462
26	4.031950458
27	4.019584964
28	4.006161826
29	3.993157867
30	3.98313682
31	3.96855081
32	3.960272286
33	3.949851398
34	3.935605931
35	3.92648229
36	3.921051171
37	3.913065137
38	3.899532088
39	3.8907133
40	3.877852003
41	3.874559446
42	3.864221931
43	3.854568748
44	3.845299405
45	3.829804138
46	3.816877812
47	3.805667489
48	3.795604394
49	3.778094951
50	3.765979758
51	3.752009007
52	3.738232061
53	3.729528019
54	3.718566604
55	3.708583171
56	3.696544233
57	3.688724107
58	3.679032468
59	3.670526613
60	3.662222089
61	3.65176389
62	3.640871261
63	3.629414645
64	3.6242053
65	3.60770246
66	3.594835646
67	3.582992837
68	3.572379523
69	3.560682907
70	3.550969689
71	3.537258483
72	3.525453926
73	3.514337946
74	3.503502935
75	3.494494295
76	3.484064718
77	3.472466923
78	3.457686129
79	3.44937995
80	3.437524204
81	3.429194023
82	3.420825963
83	3.413739202
84	3.402083274
85	3.392765687
86	3.383109519
87	3.371071131
88	3.358704546
89	3.34922677
90	3.336722762
91	3.327712892
92	3.316365109
93	3.310147744
94	3.301221794
95	3.293353292
96	3.283622729
97	3.273285582
98	3.264424774
99	3.257759586
100	3.246546658
101	3.234690153
102	3.229512261
103	3.217347921
104	3.207795538
105	3.198449617
106	3.188840014
107	3.177473231
108	3.166551075
109	3.16012931
110	3.153131378
111	3.142541215
112	3.13413098
113	3.124931759
114	3.115547879
115	3.109758043
116	3.103600343
117	3.093752713
118	3.085796174
119	3.081841184
120	3.073789376
121	3.062618157
122	3.053121532
123	3.043835236
124	3.035708996
125	3.024443417
126	3.016383912
127	3.008497102
128	2.997403794
129	2.989976554
130	2.981259889
131	2.978550634
132	2.969772195
133	2.962483238
134	2.952321207
135	2.948145567
136	2.939228213
137	2.932843739
138	2.922014749
139	2.913662073
140	2.905888973
141	2.8974945
142	2.888791806
143	2.883506838
144	2.872787849
145	2.86487981
146	2.858133698
147	2.853971515
148	2.844780647
149	2.835478568
150	2.830946842
151	2.824350719
152	2.81591596
153	2.808622198
154	2.796024217
155	2.787240271
156	2.780062484
157	2.772204462
158	2.762771104
159	2.753789047
160	2.747239148
161	2.738690561
162	2.729954706
163	2.723457339
164	2.716668842
165	2.705198271
166	2.696343185
167	2.687644292
168	2.68171105
169	2.672320176
170	2.665344076
171	2.657825171
172	2.647581535
173	2.638553588
174	2.630772417
175	2.625738567
176	2.616843999
177	2.614391488
178	2.60878501
179	2.601721611
180	2.59590332
181	2.586221484
182	2.580411353
183	2.569726602
184	2.566478766
185	2.557394339
186	2.549278113
187	2.544560545
188	2.53648892
189	2.529011565
190	2.520757082
191	2.515532075
192	2.506679049
193	2.501183716
194	2.492806259
195	2.486380588
196	2.480463359
197	2.474233572
198	2.465308885
199	2.457501455
200	2.450539081
201	2.443125837
202	2.435250672
203	2.428652091
204	2.419747292
205	2.415179954
206	2.406752874
207	2.4001366
208	2.397778465
209	2.391508716
210	2.386155819
211	2.379649272
212	2.371484128
213	2.368852676
214	2.360389387
215	2.355035678
