iter	Passed	Remaining
0	147	221327
1	147	110845
2	149	74422
3	149	55975
4	152	45486
5	152	37918
6	152	32531
7	152	28482
8	152	25322
9	153	22807
10	153	20752
11	153	19038
12	153	17587
13	153	16344
14	154	15262
15	154	14320
16	154	13488
17	154	12749
18	155	12087
19	155	11490
20	155	10950
21	155	10461
22	156	10018
23	156	9616
24	156	9236
25	156	8889
26	157	8565
27	157	8267
28	157	7989
29	157	7729
30	158	7489
31	158	7260
32	158	7046
33	158	6843
34	158	6654
35	159	6477
36	159	6306
37	159	6144
38	159	5993
39	160	5847
40	160	5708
41	160	5577
42	160	5452
43	161	5331
44	161	5218
45	161	5109
46	161	5005
47	162	4904
48	162	4814
49	162	4723
50	163	4636
51	163	4558
52	163	4477
53	164	4397
54	164	4319
55	164	4247
56	164	4176
57	165	4107
58	165	4040
59	165	3976
60	165	3913
61	166	3854
62	166	3796
63	166	3739
64	166	3684
65	167	3630
66	167	3579
67	167	3529
68	167	3482
69	168	3435
70	168	3390
71	168	3345
72	168	3301
73	169	3259
74	169	3217
75	169	3177
76	169	3137
77	169	3099
78	170	3061
79	170	3025
80	170	2989
81	170	2955
82	171	2921
83	171	2888
84	171	2855
85	171	2824
86	172	2793
87	172	2763
88	172	2734
89	172	2705
90	172	2677
91	173	2650
92	173	2623
93	173	2596
94	173	2570
95	174	2545
96	174	2520
97	174	2498
98	174	2474
99	175	2451
100	175	2429
101	175	2407
102	175	2385
103	176	2364
104	176	2344
105	176	2324
106	177	2306
107	177	2288
108	177	2269
109	178	2249
110	178	2231
111	178	2212
112	178	2193
113	178	2176
114	179	2158
115	179	2140
116	179	2123
117	179	2106
118	180	2090
119	180	2073
120	180	2057
121	180	2042
122	181	2026
123	181	2011
124	181	1995
125	181	1979
126	181	1965
127	182	1951
128	182	1936
129	182	1922
130	182	1910
131	183	1897
132	183	1885
133	183	1872
134	183	1860
135	184	1846
136	184	1834
137	184	1821
138	184	1810
139	185	1798
140	185	1786
141	185	1774
142	185	1763
143	186	1751
144	186	1740
145	186	1729
146	186	1718
147	186	1707
148	187	1697
149	187	1687
150	187	1677
151	187	1666
152	188	1656
153	188	1646
154	188	1636
155	188	1627
156	189	1617
157	189	1608
158	189	1599
159	189	1589
160	190	1581
161	190	1573
162	190	1565
163	191	1557
164	191	1549
165	191	1541
166	192	1532
167	192	1524
168	192	1515
169	192	1507
170	192	1498
171	193	1490
172	193	1482
173	193	1475
174	193	1467
175	194	1459
176	194	1451
177	194	1444
178	194	1436
179	194	1429
180	195	1421
181	195	1414
182	195	1407
183	195	1400
184	195	1393
185	196	1386
186	196	1379
187	196	1372
188	196	1365
189	197	1359
190	197	1353
191	197	1346
192	197	1340
193	198	1333
194	198	1327
195	198	1320
196	198	1315
197	199	1309
198	199	1302
199	199	1296
200	199	1290
201	200	1286
202	200	1280
203	200	1275
204	201	1269
205	201	1264
206	201	1258
207	201	1252
208	201	1247
209	202	1242
210	202	1236
211	202	1231
212	202	1225
213	203	1220
214	204	1221
215	204	1216
216	204	1211
217	205	1206
218	205	1201
219	205	1196
220	205	1191
221	206	1186
222	206	1182
223	206	1177
224	206	1172
225	207	1167
226	207	1162
