iter	Passed	Remaining
0	132	198181
1	139	104286
2	139	69649
3	139	523154	148	44300
5	157	39170
6	163	34806
7	163	30488
8	163	27126
9	163	24435
10	164	22235
11	164	20395
12	164	18839
13	164	17504
14	165	16349
15	165	15337
16	165	14446
17	165	13651
18	166	12940
19	166	12299
220	167	11805
21	167	11279
22	172	11078
23	172	10628
24	173	10228
25	173	9842
26	173	9485
27	174	9153
28	174	8844
29	174	85530	178	8450
31	178	8198
32	179	7960
33	179	7732
34	179	7516
35	182	7401
36	182	7209
37	182	7024
3838	186	6970
39	186	6802
40	186	6640
41	186	6487
42	187	6343
43	187	6204
44	187	6069
45	187	5940
46	188	5816
47	188	5698
48	188	5585
49	188	5477
50	189	5372
51	189	5271
52	189	5175
53	189	5082
54	190	4992
55	190	4906
56	190	4823
57	190	4743
58	191	46659	199	4789
60	199	4713
61	205	4775
62	206	4703
63	206	4633
64	206	4565
65	207	4499
66	207	4434
67	207	4371
68	210	4373
69	211	4313
70	211	4254
71	211	4197
72	211	4141
73	212	4087
74	212	4034
75	212	3982
76	212	3932
77	213	3883
78	213	3836
79	213	3790
80	213	3744
81	213	3699
82	214	3656
83	214	3614
84	214	3573
85	214	3533
86	215	3492
87	215	3454
88	215	3416
89	215	3379
90	215	3343
91	216	3308
92	216	3274
93	216	3240
94	216	3207
95	217	3174
96	217	3143
97	217	3112
98	217	3081
99	217	3051
100	218	3022
101	218	2993
102	218	2965
103	218	2937
104	219	2910
105	219	2884
106	219	2858
107	219	2833
108	220	2809
109	220	2786
110	220	2762
1111	249	3098
112	250	3072
113	250	3046
114	250	3020
115	251	2995116	229	2707
117	229	2685
118	229	2663
119	229	2641
120	229	2620
121	230	2599
122	230	2579
123	230	2559
124	230	2538
125	231	2519
1126	264	2861
127	265	2840
128	265	2819
129	265	2798
130	265	2778
131	266	2757
132	266	2737
133	266	2717
134	266	2698
135	267	2679
136	267	2660
137	267	2640
138	267	2622
139	268	2604
140	268	2585
141	268	2568
142	268	2550
143	269	2533
144	269	2516
145	269	2499
146	269	2482
147	270	2467
148	270	2451
149	270	2435
150	270	2419
151	271	2404
152	271	2388
153	271	2373
154	271	2358
155	272	2343
156	272	2329
157	272	2314
158	272	2300
159	273	2286
160	273	2272
161	273	2258
162	273	2245
163	273	2231
164	274	2218
165	274	2205
166	274	2192
167	274	2179
168	275	2166
169	275	2154
170	275	2142
171	275	2130
172	276	2119
173	276	2107
174	276	2095
175	277	2083
176	277	2072
177	277	2061
178	277	2049
179	278	2038
180	278	2027
181	278	2016
182	278	2005
183	278	1995
184	279	1984
185	279	1974
186	279	1963
187	279	1953
188	280	1943
189	280	1933
190	280	1923
191	280	1913
192	281	1903
1193	258	1738
194	258	1729
195	258	1721
196	258	1712
197	259	1704
198	259	1695
199	259	1687
200	259	1679
201	260	1671
202	260	1663
203	260	1655
204	260	1648
205	261	1640
206	261	1636
207	262	1628
208	262	1621
209	262	1613
210	262	1606
211	263	1598
212	263	1591
213	263	1584
214	263	1576
215	264	1569
216	264	1562
217	264	1556
218	265	1555
219	266	1548
220	274	1586
221	274	1580
222	278	1594
223	278	1587
224	278	1580
225	279	1573
226	279	1566
227	279	1559
228	279	1552
229	279	1546
230	289	1593
