district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Bogra,1,1,1980,,,0.0,0.0,,,,,,,
Bogra,2,1,1980,,,0.0,0.0,,,,,,,
Bogra,3,1,1980,,,0.0,0.0,,,,,,,
Bogra,4,1,1980,,,0.0,0.0,,,,,,,
Bogra,5,1,1980,,,0.0,0.0,,,,,,,
Bogra,6,1,1980,,,0.0,0.0,,,,,,,
Bogra,7,1,1980,,,0.0,0.0,,,,,,,
Bogra,8,1,1980,,,0.0,0.0,,,,,,,
Bogra,9,1,1980,,,0.0,0.0,,,,,,,
Bogra,10,1,1980,,,0.0,0.0,,,,,,,
Bogra,11,1,1980,,,0.0,0.0,,,,,,,
Bogra,12,1,1980,,,0.0,0.0,,,,,,,
Bogra,13,1,1980,,,0.0,0.0,,,,,,,
Bogra,14,1,1980,,,0.0,0.0,,,,,,,
Bogra,15,1,1980,,,0.0,0.0,,,,,,,
Bogra,16,1,1980,,,0.0,0.0,,,,,,,
Bogra,17,1,1980,,,0.0,0.0,,,,,,,
Bogra,18,1,1980,,,0.0,0.0,,,,,,,
Bogra,19,1,1980,,,0.0,0.0,,,,,,,
Bogra,20,1,1980,,,0.0,0.0,,,,,,,
Bogra,21,1,1980,,,0.0,0.0,,,,,,,
Bogra,22,1,1980,,,0.0,0.0,,,,,,,
Bogra,23,1,1980,,,0.0,0.0,,,,,,,
Bogra,24,1,1980,,,0.0,0.0,,,,,,,
Bogra,25,1,1980,,,0.0,0.0,,,,,,,
Bogra,26,1,1980,,,0.0,0.0,,,,,,,
Bogra,27,1,1980,,,0.0,0.0,,,,,,,
Bogra,28,1,1980,,,0.0,0.0,,,,,,,
Bogra,29,1,1980,,,0.0,0.0,,,,,,,
Bogra,30,1,1980,,,0.0,0.0,,,,,,,
Bogra,31,1,1980,,,0.0,0.0,,,,,,,
Bogra,1,2,1980,,,0.0,0.0,,,,,,,
Bogra,2,2,1980,,,0.0,0.0,,,,,,,
Bogra,3,2,1980,,,0.0,0.0,,,,,,,
Bogra,4,2,1980,,,0.0,0.0,,,,,,,
Bogra,5,2,1980,,,0.0,0.0,,,,,,,
Bogra,6,2,1980,,,0.0,0.0,,,,,,,
Bogra,7,2,1980,,,0.0,0.0,,,,,,,
Bogra,8,2,1980,,,0.0,0.0,,,,,,,
Bogra,9,2,1980,,,0.0,0.0,,,,,,,
Bogra,10,2,1980,,,0.0,0.0,,,,,,,
Bogra,11,2,1980,,,0.0,0.0,,,,,,,
Bogra,12,2,1980,,,0.0,0.0,,,,,,,
Bogra,13,2,1980,,,0.0,0.0,,,,,,,
Bogra,14,2,1980,,,0.0,0.0,,,,,,,
Bogra,15,2,1980,,,0.0,0.0,,,,,,,
Bogra,16,2,1980,,,0.0,0.0,,,,,,,
Bogra,17,2,1980,,,0.0,0.0,,,,,,,
Bogra,18,2,1980,,,0.0,0.0,,,,,,,
Bogra,19,2,1980,,,0.0,0.0,,,,,,,
Bogra,20,2,1980,,,0.0,0.0,,,,,,,
