district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Chittagong,1,1,1980,,,0.0,0.0,,,,,,,
Chittagong,2,1,1980,,,0.0,0.0,,,,,,,
Chittagong,3,1,1980,,,0.0,0.0,,,,,,,
Chittagong,4,1,1980,,,0.0,0.0,,,,,,,
Chittagong,5,1,1980,,,0.0,0.0,,,,,,,
Chittagong,6,1,1980,,,0.0,0.0,,,,,,,
Chittagong,7,1,1980,6.1,6.1,6.1,6.1,41.9,,0.0,1051.0,,,-5.9
Chittagong,8,1,1980,,,,,,,0.0,,,,
Chittagong,9,1,1980,,,,,,,0.0,,,,
Chittagong,10,1,1980,,,,,,,0.0,,,,
Chittagong,11,1,1980,,,,,,,0.0,,,,
Chittagong,12,1,1980,,,,,,,0.0,,,,
Chittagong,13,1,1980,,,,,,,0.0,,,,
Chittagong,14,1,1980,,,,,,,0.0,,,,
Chittagong,15,1,1980,,,,,,,0.0,,,,
Chittagong,16,1,1980,,,,,,,0.0,,,,
Chittagong,17,1,1980,,,,,,,0.0,,,,
Chittagong,18,1,1980,,,,,,,0.0,,,,
Chittagong,19,1,1980,,,,,,,0.0,,,,
Chittagong,20,1,1980,,,,,,,0.0,,,,
Chittagong,21,1,1980,,,,,,,0.0,,,,
Chittagong,22,1,1980,,,,,,,0.0,,,,
Chittagong,23,1,1980,,,,,,,0.0,,,,
Chittagong,24,1,1980,,,,,,,0.0,,,,
Chittagong,25,1,1980,,,,,,,0.0,,,,
Chittagong,26,1,1980,,,,,,,0.0,,,,
Chittagong,27,1,1980,,,,,,,0.0,,,,
Chittagong,28,1,1980,,,,,,,0.0,,,,
Chittagong,29,1,1980,,,,,,,0.0,,,,
Chittagong,30,1,1980,,,,,,,0.0,,,,
Chittagong,31,1,1980,,,,,,,0.0,,,,
Chittagong,1,2,1980,,,,,,,0.0,,,,
Chittagong,2,2,1980,,,,,,,0.0,,,,
