district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Chuadanga,1,1,1980,18.4,18.4,23.1,15.1,69.4,,0.0,1021.6,,,12.4
Chuadanga,2,1,1980,14.9,14.9,15.1,14.1,90.2,,9.4,1015.0,,,13.3
Chuadanga,3,1,1980,15.4,15.4,22.1,9.1,85.8,,0.0,1014.7,,,12.9
Chuadanga,4,1,1980,16.3,16.3,22.1,11.1,78.4,,14.8,1017.0,,,12.1
Chuadanga,5,1,1980,12.1,12.1,13.1,11.1,87.7,,0.0,1016.0,,,10.1
Chuadanga,6,1,1980,13.1,13.1,13.1,13.1,87.7,,9.4,1016.5,,,11.1
Chuadanga,7,1,1980,13.6,13.6,16.1,11.1,79.9,,0.0,1017.7,,,10.1
Chuadanga,8,1,1980,15.2,15.2,22.1,9.1,70.5,,13.0,1016.7,,,8.7
Chuadanga,9,1,1980,15.2,15.2,22.1,10.1,73.5,,18.4,1016.2,,,10.1
Chuadanga,10,1,1980,16.3,16.3,22.1,11.1,68.1,,9.4,1013.6,,,9.9
Chuadanga,11,1,1980,16.4,16.4,23.1,11.1,69.0,,14.8,1014.2,,,10.0
Chuadanga,12,1,1980,16.1,16.1,23.1,8.1,63.8,,7.6,1016.3,,,8.1
Chuadanga,13,1,1980,16.1,16.1,24.1,10.1,72.0,,9.4,1015.9,,,10.2
Chuadanga,14,1,1980,18.1,18.1,23.1,11.1,63.2,,0.0,1016.8,,,10.4
Chuadanga,15,1,1980,18.1,18.1,24.1,11.1,65.4,,0.0,1017.5,,,10.3
Chuadanga,16,1,1980,17.8,17.8,24.1,14.1,65.0,,0.0,1016.1,,,10.1
Chuadanga,17,1,1980,14.3,14.3,20.1,11.1,85.9,,0.0,1016.5,,,11.9
Chuadanga,18,1,1980,19.1,19.1,25.1,12.1,72.8,,9.4,1017.8,,,13.6
Chuadanga,19,1,1980,18.5,18.5,25.1,13.1,71.2,,0.0,1017.4,,,12.6
Chuadanga,20,1,1980,18.1,18.1,25.1,12.1,72.5,,13.0,1016.9,,,12.4
Chuadanga,21,1,1980,14.4,14.4,17.1,11.1,84.1,,0.0,1017.5,,,11.8
Chuadanga,22,1,1980,21.1,21.1,25.1,16.1,53.6,,14.8,1013.2,,,10.4
Chuadanga,23,1,1980,18.6,18.6,25.1,13.1,67.7,,0.0,1013.8,,,11.4
Chuadanga,24,1,1980,14.4,14.4,16.1,12.1,84.6,,0.0,1012.7,,,11.8
Chuadanga,25,1,1980,18.9,18.9,23.1,15.1,58.2,,14.8,1015.7,,,9.4
Chuadanga,26,1,1980,13.4,13.4,16.1,12.1,88.0,,0.0,1014.0,,,11.4
Chuadanga,27,1,1980,23.6,23.6,24.1,23.1,50.5,,0.0,1008.4,,,12.6
Chuadanga,28,1,1980,22.9,22.6,28.1,14.1,49.3,,18.4,1007.7,,,10.1
Chuadanga,29,1,1980,21.3,21.3,26.1,15.1,50.4,,27.7,1007.9,,,9.3
Chuadanga,30,1,1980,17.1,17.1,23.1,11.1,50.7,,11.2,1011.3,,,5.8
Chuadanga,31,1,1980,16.6,16.6,23.1,7.1,55.1,,18.4,1013.4,,,6.3
Chuadanga,1,2,1980,16.8,16.8,23.1,10.1,60.9,,11.2,1013.8,,,8.1
Chuadanga,2,2,1980,17.1,17.1,26.1,8.1,63.0,,11.2,1014.4,,,8.5
Chuadanga,3,2,1980,17.4,17.4,24.1,10.1,65.0,,0.0,1014.1,,,10.0
Chuadanga,4,2,1980,21.1,21.1,26.1,17.1,72.4,,14.8,1012.7,,,15.6
Chuadanga,5,2,1980,18.8,18.8,21.1,16.1,85.6,,9.4,1012.9,,,16.3
Chuadanga,6,2,1980,18.1,18.1,23.1,13.1,66.9,,18.4,1013.6,,,10.9
Chuadanga,7,2,1980,15.8,15.8,22.1,8.1,57.3,,14.8,1016.4,,,6.3
Chuadanga,8,2,1980,15.0,15.0,23.1,7.1,60.4,,13.0,1015.9,,,5.5
Chuadanga,9,2,1980,17.4,17.4,24.1,7.1,55.5,,9.4,1015.9,,,6.8
Chuadanga,10,2,1980,17.6,17.6,26.1,8.1,58.5,,9.4,1014.5,,,7.4
Chuadanga,11,2,1980,18.6,18.6,25.1,9.1,50.3,,0.0,1016.9,,,6.4
Chuadanga,12,2,1980,18.4,18.4,26.1,10.1,51.2,,9.4,1016.3,,,6.4
Chuadanga,13,2,1980,18.9,18.9,26.1,9.1,51.1,,18.4,1015.1,,,6.8
Chuadanga,14,2,1980,18.3,18.3,25.1,11.1,62.7,,0.0,1014.0,,,10.3
Chuadanga,15,2,1980,21.4,20.9,29.1,13.1,59.4,,13.0,1013.6,,,11.4
Chuadanga,16,2,1980,20.2,20.2,25.1,14.1,67.9,,13.0,1012.1,,,13.8
Chuadanga,17,2,1980,21.9,22.1,27.1,15.1,72.4,,18.4,1011.9,,,16.5
Chuadanga,18,2,1980,19.6,19.6,25.1,15.1,79.3,,5.4,1013.7,,,15.6
Chuadanga,19,2,1980,22.0,21.9,28.1,15.1,70.7,,13.0,1014.5,,,15.5
Chuadanga,20,2,1980,16.9,16.9,19.1,14.1,88.3,,0.0,1015.4,,,14.9
Chuadanga,21,2,1980,24.4,24.3,27.1,21.1,49.9,,14.8,1015.8,,,12.8
Chuadanga,22,2,1980,25.3,25.0,29.1,18.1,48.4,,14.8,1013.2,,,13.1
Chuadanga,23,2,1980,20.7,20.4,30.1,15.1,68.5,,11.2,1011.7,,,13.5
Chuadanga,24,2,1980,27.6,26.9,31.1,24.1,39.7,,13.0,1008.7,,,12.1
Chuadanga,25,2,1980,22.5,21.9,31.1,17.1,45.1,,27.7,1008.1,,,7.7
Chuadanga,26,2,1980,22.6,22.0,29.1,14.1,45.6,,13.0,1011.0,,,7.4
Chuadanga,27,2,1980,22.9,22.4,31.1,13.1,48.5,,18.4,1008.5,,,10.1
Chuadanga,28,2,1980,25.6,24.8,31.1,14.1,46.4,,11.2,1005.8,,,11.4
Chuadanga,29,2,1980,21.9,21.8,27.1,17.1,64.3,,18.4,1006.9,,,14.1
Chuadanga,1,3,1980,21.3,21.3,23.1,19.1,74.4,,14.8,1011.3,,,16.4
Chuadanga,2,3,1980,21.1,21.1,27.1,17.1,69.8,,18.4,1007.7,,,14.8
Chuadanga,3,3,1980,22.6,22.2,29.1,15.1,52.2,,18.4,1008.4,,,10.1
Chuadanga,4,3,1980,20.9,20.8,28.1,14.1,58.6,,0.0,1009.5,,,11.7
Chuadanga,5,3,1980,22.4,22.5,29.1,16.1,71.2,,9.4,1008.5,,,16.3
Chuadanga,6,3,1980,24.2,24.0,32.1,17.1,61.6,,16.6,1007.8,,,15.2
Chuadanga,7,3,1980,23.3,23.0,31.1,15.1,66.9,,16.6,1006.7,,,15.4
Chuadanga,8,3,1980,24.4,23.9,29.1,17.1,37.2,,9.4,1008.2,,,6.8
