district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Cox's Bazar,1,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,9,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,10,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,11,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,12,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,13,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,14,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,15,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,16,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,17,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,18,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,19,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,20,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,21,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,22,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,23,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,24,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,25,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,26,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,27,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,28,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,29,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,30,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,31,1,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,1,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,9,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,10,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,11,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,12,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,13,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,14,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,15,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,16,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,17,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,18,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,19,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,20,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,21,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,22,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,23,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,24,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,25,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,26,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,27,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,28,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,29,2,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,1,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,9,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,10,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,11,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,12,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,13,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,14,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,15,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,16,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,17,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,18,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,19,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,20,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,21,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,22,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,23,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,24,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,25,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,26,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,27,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,28,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,29,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,30,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,31,3,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,1,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,9,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,10,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,11,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,12,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,13,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,14,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,15,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,16,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,17,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,18,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,19,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,20,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,21,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,22,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,23,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,24,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,25,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,26,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,27,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,28,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,29,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,30,4,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,1,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,9,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,10,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,11,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,12,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,13,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,14,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,15,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,16,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,17,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,18,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,19,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,20,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,21,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,22,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,23,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,24,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,25,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,26,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,27,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,28,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,29,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,30,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,31,5,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,1,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,2,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,3,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,4,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,5,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,6,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,7,6,1980,,,0.0,0.0,,,,,,,
Cox's Bazar,8,6,1980,,,0.0,0.0,,,,,,,
