district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Feni,1,1,1980,20.9,20.9,25.1,16.1,75.7,,16.6,1013.2,,,15.9
Feni,2,1,1980,22.4,22.4,25.1,18.1,65.0,,13.0,1013.5,,,15.1
Feni,3,1,1980,20.4,20.4,24.1,15.1,75.2,,22.3,1014.2,,,15.7
Feni,4,1,1980,20.7,20.7,24.1,17.1,70.4,,14.8,1015.2,,,14.9
Feni,5,1,1980,20.8,20.8,24.1,18.1,77.1,,24.1,1015.6,,,16.4
Feni,6,1,1980,19.1,19.1,23.1,16.1,75.9,,14.8,1015.8,,,14.5
Feni,7,1,1980,19.8,19.8,25.1,14.1,70.7,,22.3,1016.0,,,13.4
Feni,8,1,1980,18.7,18.7,22.1,15.1,70.9,,18.4,1015.9,,,13.0
Feni,9,1,1980,18.4,18.4,24.1,13.1,75.9,,14.8,1014.8,,,13.8
Feni,10,1,1980,18.4,18.4,23.1,12.1,69.9,,24.1,1012.9,,,12.6
Feni,11,1,1980,18.0,18.0,24.1,14.1,84.1,,24.1,1013.6,,,15.0
Feni,12,1,1980,19.1,19.1,23.1,16.1,72.9,,24.1,1015.1,,,13.7
Feni,13,1,1980,20.2,20.2,25.1,15.1,63.4,,22.3,1015.6,,,12.4
Feni,14,1,1980,20.3,20.3,25.1,15.1,65.5,,9.4,1016.3,,,12.9
Feni,15,1,1980,20.9,20.9,26.1,15.1,67.9,,18.4,1016.6,,,13.9
Feni,16,1,1980,19.7,19.7,25.1,15.1,71.6,,18.4,1017.3,,,13.9
Feni,17,1,1980,20.4,20.4,25.1,16.1,67.4,,13.0,1016.2,,,13.6
Feni,18,1,1980,20.1,20.1,26.1,15.1,66.6,,18.4,1017.5,,,12.4
Feni,19,1,1980,21.1,21.1,25.1,15.1,68.2,,9.4,1016.1,,,14.3
Feni,20,1,1980,20.5,20.5,27.1,15.1,67.6,,16.6,1016.6,,,13.8
Feni,21,1,1980,20.3,20.3,24.1,17.1,73.0,,14.8,1016.8,,,14.9
Feni,22,1,1980,21.3,21.3,26.1,16.1,65.4,,22.3,1015.0,,,13.9
Feni,23,1,1980,21.1,21.1,25.1,15.1,61.3,,18.4,1013.0,,,12.7
Feni,24,1,1980,20.4,20.5,27.1,16.1,74.1,,9.4,1013.0,,,15.3
Feni,25,1,1980,21.1,21.1,26.1,16.1,66.2,,24.1,1014.4,,,14.1
Feni,26,1,1980,20.8,20.8,26.1,15.1,58.8,,9.4,1012.5,,,11.8
Feni,27,1,1980,20.1,20.1,26.1,15.1,66.1,,22.3,1011.6,,,13.1
Feni,28,1,1980,20.9,20.9,26.1,16.1,79.8,,24.1,1009.9,,,17.1
Feni,29,1,1980,24.4,24.8,30.1,20.1,78.8,,27.7,1008.8,,,20.3
Feni,30,1,1980,21.8,21.8,24.1,19.1,60.2,,29.5,1010.6,,,12.9
Feni,31,1,1980,20.4,20.4,24.1,16.1,59.3,,16.6,1012.6,,,11.1
Feni,1,2,1980,18.7,18.7,24.1,14.1,64.3,,18.4,1014.2,,,11.2
Feni,2,2,1980,19.4,19.4,24.1,14.1,63.4,,18.4,1014.2,,,11.4
Feni,3,2,1980,19.6,19.6,25.1,14.1,68.9,,9.4,1014.2,,,13.1
Feni,4,2,1980,21.7,21.6,28.1,15.1,67.7,,9.4,1013.9,,,14.7
Feni,5,2,1980,22.9,23.7,28.1,16.1,77.3,,24.1,1013.3,,,18.4
