district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Habiganj,1,1,1980,18.2,18.2,24.1,13.1,74.2,0.0,8.3,1013.6,,,13.2
Habiganj,2,1,1980,16.9,16.9,20.2,12.1,82.9,0.0,12.3,1014.0,,,13.8
Habiganj,3,1,1980,18.2,18.2,22.6,15.5,81.2,0.0,11.0,1015.3,,,14.7
Habiganj,4,1,1980,17.4,17.4,22.8,13.8,81.2,0.0,5.3,1016.3,,,13.9
Habiganj,5,1,1980,18.6,18.6,26.1,11.5,70.3,0.0,19.4,1016.1,,,12.4
Habiganj,6,1,1980,17.9,17.9,24.1,11.8,70.6,0.0,11.2,1016.3,,,12.2
Habiganj,7,1,1980,16.7,16.7,22.6,11.1,69.3,0.0,12.9,1017.5,,,10.6
Habiganj,8,1,1980,17.0,17.0,23.4,9.1,68.4,0.0,7.5,1016.3,,,10.7
Habiganj,9,1,1980,16.2,16.2,23.4,10.5,71.3,0.0,5.3,1015.2,,,10.3
Habiganj,10,1,1980,15.9,15.9,22.8,9.1,73.0,0.0,10.8,1013.5,,,10.4
Habiganj,11,1,1980,15.9,15.9,23.1,12.1,74.1,0.0,9.0,1010.5,,,10.7
Habiganj,12,1,1980,17.4,17.4,25.5,9.5,65.7,0.0,12.9,1016.1,,,10.0
Habiganj,13,1,1980,17.2,17.2,24.9,10.7,71.4,0.0,5.2,1016.0,,,11.3
Habiganj,14,1,1980,19.3,19.3,25.7,13.1,66.3,0.0,7.6,1016.8,,,12.0
Habiganj,15,1,1980,17.6,17.6,25.6,12.7,68.0,0.0,7.8,1017.3,,,10.7
Habiganj,16,1,1980,17.1,17.1,25.5,11.5,68.6,0.0,8.7,1017.0,,,10.5
Habiganj,17,1,1980,18.7,18.7,25.6,12.5,72.0,0.0,9.0,1016.2,,,13.2
Habiganj,18,1,1980,20.0,20.0,25.5,14.4,74.3,0.0,3.6,1017.2,,,15.1
Habiganj,19,1,1980,19.6,19.6,26.8,12.1,73.3,0.0,4.1,1017.6,,,14.2
Habiganj,20,1,1980,19.6,19.6,26.8,14.0,68.7,0.0,7.7,1016.6,,,13.2
Habiganj,21,1,1980,19.4,19.4,26.8,13.1,68.4,0.0,9.2,1015.5,,,12.9
Habiganj,22,1,1980,18.6,18.6,26.6,11.1,69.6,0.0,5.2,1015.4,,,11.9
Habiganj,23,1,1980,18.3,18.3,24.1,13.2,76.4,0.0,3.9,1013.0,,,13.8
Habiganj,24,1,1980,18.6,18.6,25.1,13.1,68.8,0.0,13.3,1013.5,,,11.5
Habiganj,25,1,1980,17.5,17.5,25.1,10.5,69.1,0.0,9.4,1015.2,,,10.9
Habiganj,26,1,1980,18.1,18.1,24.3,10.7,67.7,0.0,8.0,1012.8,,,11.5
Habiganj,27,1,1980,18.7,18.7,28.3,11.1,74.7,0.0,18.9,1010.7,,,13.6
Habiganj,28,1,1980,22.7,22.8,28.1,17.8,66.7,0.0,14.8,1007.9,,,15.6
Habiganj,29,1,1980,21.7,21.5,28.8,16.9,65.7,0.0,16.8,1008.0,,,14.0
Habiganj,30,1,1980,17.6,17.6,23.1,12.1,59.4,0.0,15.2,1011.6,,,8.5
Habiganj,31,1,1980,15.9,15.9,23.5,9.1,65.9,0.0,13.6,1013.2,,,8.3
Habiganj,1,2,1980,16.9,16.9,25.5,9.1,60.6,0.0,15.5,1014.0,,,7.7
Habiganj,2,2,1980,17.6,17.6,26.5,10.2,64.2,0.0,13.0,1014.3,,,9.7
Habiganj,3,2,1980,20.0,20.0,26.1,13.1,63.0,0.0,8.7,1014.2,,,12.1
Habiganj,4,2,1980,20.3,20.3,25.5,14.1,85.2,3.0,8.9,1013.2,,,17.6
Habiganj,5,2,1980,19.9,19.9,22.6,17.9,85.1,22.0,3.6,1013.1,,,17.0
Habiganj,6,2,1980,20.5,20.5,24.3,17.3,73.9,0.0,18.6,1013.2,,,15.2
Habiganj,7,2,1980,17.2,17.2,22.8,10.7,66.5,0.0,14.5,1015.2,,,9.8
Habiganj,8,2,1980,17.8,17.8,24.1,9.9,55.1,0.0,9.4,1016.5,,,7.4
Habiganj,9,2,1980,18.1,18.1,24.2,9.1,59.5,0.0,9.1,1016.0,,,9.4
Habiganj,10,2,1980,16.4,16.3,27.1,10.1,65.9,0.0,1.4,1014.8,,,9.0
Habiganj,11,2,1980,17.7,17.6,28.5,12.1,70.2,0.0,7.9,1016.1,,,10.8
Habiganj,12,2,1980,17.5,17.5,25.1,11.1,68.6,0.0,13.2,1016.3,,,11.2
Habiganj,13,2,1980,18.6,18.5,27.1,11.1,67.5,0.0,7.6,1015.1,,,11.2
Habiganj,14,2,1980,19.7,19.6,28.5,11.1,65.8,0.0,7.6,1013.8,,,12.2
Habiganj,15,2,1980,20.1,20.2,28.5,14.2,68.6,0.0,6.7,1013.6,,,13.9
Habiganj,16,2,1980,21.9,22.1,29.1,16.1,73.6,0.0,24.3,1013.1,,,16.5
Habiganj,17,2,1980,21.2,21.2,26.4,17.1,80.4,0.0,16.5,1013.5,,,17.4
Habiganj,18,2,1980,20.9,20.9,24.1,17.7,83.2,5.0,14.8,1013.7,,,17.8
Habiganj,19,2,1980,22.6,22.6,28.1,17.0,68.0,0.0,3.6,1014.9,,,15.4
Habiganj,20,2,1980,23.0,23.2,28.1,18.8,73.5,0.0,10.9,1014.9,,,17.7
Habiganj,21,2,1980,22.9,22.8,29.1,18.1,60.8,0.0,16.6,1014.8,,,14.3
Habiganj,22,2,1980,24.0,24.4,31.1,15.1,65.3,0.0,14.8,1013.3,,,16.5
Habiganj,23,2,1980,23.4,24.0,30.1,20.1,75.3,0.0,14.2,1011.8,,,18.5
Habiganj,24,2,1980,25.0,25.4,31.1,19.1,70.0,0.0,16.6,1009.2,,,18.5
Habiganj,25,2,1980,23.8,23.8,27.6,21.2,72.8,0.5,15.3,1009.0,,,18.1
Habiganj,26,2,1980,22.7,22.3,29.9,15.5,56.5,0.0,22.8,1011.0,,,12.1
Habiganj,27,2,1980,23.2,23.2,30.6,16.1,58.0,0.0,16.8,1009.1,,,14.0
Habiganj,28,2,1980,25.4,25.7,30.6,21.0,63.5,0.0,16.5,1007.4,,,17.4
Habiganj,29,2,1980,24.5,25.3,29.1,20.1,76.3,0.0,14.8,1008.1,,,19.8
Habiganj,1,3,1980,20.6,20.6,21.8,19.7,89.9,6.0,18.8,1012.2,,,18.9
Habiganj,2,3,1980,21.0,21.0,26.1,17.7,81.5,6.0,24.7,1008.1,,,17.5
Habiganj,3,3,1980,21.7,21.7,28.2,16.1,68.6,0.0,14.8,1009.3,,,14.9
Habiganj,4,3,1980,22.0,22.0,26.0,19.7,84.5,230.0,15.0,1009.7,,,19.3
Habiganj,5,3,1980,23.4,23.5,27.6,19.1,79.8,0.0,9.4,1008.6,,,19.4
Habiganj,6,3,1980,25.3,27.5,31.1,21.0,82.9,0.0,11.2,1008.0,,,22.1
Habiganj,7,3,1980,26.5,28.1,30.7,21.7,79.2,0.0,12.7,1006.7,,,22.4
Habiganj,8,3,1980,25.2,25.2,28.6,21.1,67.4,0.0,6.8,1008.4,,,18.0
Habiganj,9,3,1980,23.8,24.0,27.8,20.1,68.4,0.0,10.8,1009.8,,,17.4
Habiganj,10,3,1980,23.9,24.2,29.6,18.3,67.7,0.0,21.8,1011.3,,,17.2
Habiganj,11,3,1980,25.5,25.4,32.0,19.5,64.5,0.0,10.5,1012.1,,,17.0
Habiganj,12,3,1980,24.1,24.0,29.3,20.8,64.4,0.0,12.7,1012.4,,,16.2
Habiganj,13,3,1980,24.1,23.8,31.1,17.2,61.2,0.0,12.4,1013.3,,,14.9
Habiganj,14,3,1980,23.2,22.8,30.7,16.5,52.6,0.0,8.2,1014.0,,,11.7
Habiganj,15,3,1980,23.2,22.8,31.8,14.2,52.1,0.0,20.9,1012.4,,,11.5
Habiganj,16,3,1980,25.5,24.9,33.1,15.8,49.3,0.0,18.9,1010.6,,,12.6
Habiganj,17,3,1980,27.2,27.7,33.1,22.1,68.4,0.0,20.3,1011.0,,,20.0
Habiganj,18,3,1980,26.7,27.7,32.1,20.7,71.6,0.0,12.8,1011.4,,,20.6
Habiganj,19,3,1980,27.0,28.4,33.1,23.8,72.7,0.0,11.2,1010.5,,,21.4
Habiganj,20,3,1980,26.4,27.6,33.1,23.1,78.5,4.0,14.8,1010.8,,,21.9
Habiganj,21,3,1980,28.3,29.4,34.1,21.1,65.1,0.0,10.3,1011.9,,,20.1
Habiganj,22,3,1980,28.6,29.0,35.1,21.3,54.2,0.0,8.7,1009.8,,,17.2
Habiganj,23,3,1980,30.3,31.4,37.1,24.1,57.0,0.0,27.7,1008.2,,,19.0
Habiganj,24,3,1980,30.1,33.7,36.1,26.1,68.8,0.0,12.3,1009.3,,,23.1
Habiganj,25,3,1980,28.7,32.7,33.1,23.1,74.0,0.0,13.2,1009.8,,,23.4
Habiganj,26,3,1980,29.4,32.6,34.6,23.9,70.2,0.0,28.5,1011.0,,,22.9
Habiganj,27,3,1980,27.3,28.2,32.5,22.4,71.2,1.0,15.5,1011.8,,,21.3
Habiganj,28,3,1980,28.7,30.2,34.1,23.1,65.5,0.0,9.2,1011.8,,,20.6
Habiganj,29,3,1980,29.3,30.7,35.8,24.1,59.1,0.0,32.3,1010.7,,,19.7
Habiganj,30,3,1980,26.5,26.7,32.1,23.1,64.6,0.0,44.3,1010.5,,,18.8
Habiganj,31,3,1980,27.8,28.7,33.1,21.1,64.8,0.0,11.2,1010.9,,,19.7
Habiganj,1,4,1980,28.2,29.3,32.9,20.1,64.3,0.0,9.4,1012.2,,,19.9
Habiganj,2,4,1980,28.7,29.5,35.1,22.3,61.4,0.0,29.5,1009.9,,,19.5
Habiganj,3,4,1980,28.6,31.9,33.6,25.1,70.7,0.0,24.3,1009.4,,,22.6
Habiganj,4,4,1980,29.1,32.3,35.1,23.8,73.8,0.0,24.1,1008.4,,,23.3
Habiganj,5,4,1980,29.0,31.6,35.1,24.8,71.6,0.0,24.6,1009.6,,,22.8
Habiganj,6,4,1980,28.8,30.1,34.8,23.7,59.0,0.0,37.1,1010.6,,,19.7
Habiganj,7,4,1980,29.9,30.7,37.8,23.2,58.3,0.0,17.4,1008.0,,,19.3
Habiganj,8,4,1980,30.7,32.4,38.1,23.8,55.2,0.0,27.9,1005.7,,,19.8
Habiganj,9,4,1980,30.7,32.8,36.9,20.9,59.0,0.0,28.0,1004.5,,,20.5
Habiganj,10,4,1980,30.6,34.7,38.0,24.7,70.3,11.0,29.0,1001.5,,,23.7
Habiganj,11,4,1980,29.7,34.3,34.9,23.1,74.3,0.0,28.5,1002.6,,,24.2
Habiganj,12,4,1980,30.1,35.0,37.1,25.5,74.5,4.0,28.6,1003.2,,,24.7
Habiganj,13,4,1980,31.1,36.7,38.0,26.3,72.8,0.0,24.2,1002.8,,,25.0
Habiganj,14,4,1980,30.1,35.9,35.2,25.3,76.7,0.0,25.2,1004.6,,,25.3
Habiganj,15,4,1980,31.3,37.7,35.8,27.1,70.7,0.0,29.8,1004.8,,,24.5
Habiganj,16,4,1980,31.8,36.9,39.3,26.7,64.1,0.0,20.0,1005.7,,,23.3
Habiganj,17,4,1980,30.4,35.1,34.6,26.3,70.0,0.0,23.4,1006.3,,,24.0
Habiganj,18,4,1980,29.7,33.4,37.3,23.1,73.2,0.0,38.6,1005.1,,,23.6
Habiganj,19,4,1980,29.7,33.7,36.3,25.2,72.5,24.0,42.4,1007.0,,,23.8
Habiganj,20,4,1980,26.4,28.6,31.0,22.1,83.4,0.5,28.1,1008.5,,,23.1
Habiganj,21,4,1980,27.9,31.9,34.0,22.1,76.7,0.0,31.8,1007.5,,,23.2
Habiganj,22,4,1980,30.5,36.2,37.4,26.1,76.6,0.0,37.1,1004.7,,,25.3
Habiganj,23,4,1980,30.7,35.7,38.2,19.1,70.0,0.0,44.1,1001.9,,,22.8
Habiganj,24,4,1980,31.5,38.0,38.5,26.6,72.3,0.0,45.3,1001.5,,,25.4
Habiganj,25,4,1980,30.7,36.6,37.5,22.1,74.7,0.0,29.5,1004.5,,,24.8
Habiganj,26,4,1980,30.8,36.1,36.6,26.5,73.4,0.0,62.7,1005.9,,,24.9
Habiganj,27,4,1980,30.4,37.3,35.0,26.7,76.5,0.0,38.8,1006.2,,,25.6
Habiganj,28,4,1980,32.0,41.3,34.1,30.1,73.3,0.0,37.1,1006.2,,,26.5
Habiganj,29,4,1980,29.9,34.9,35.1,23.1,72.5,0.0,43.9,1006.5,,,24.1
Habiganj,30,4,1980,29.8,33.4,36.0,24.2,68.7,14.0,33.5,1006.5,,,23.0
Habiganj,1,5,1980,29.1,32.5,36.5,22.3,70.2,6.0,31.2,1007.8,,,22.6
Habiganj,2,5,1980,30.3,35.0,35.9,25.5,71.5,10.0,29.9,1007.1,,,24.1
Habiganj,3,5,1980,27.4,29.4,32.0,22.1,71.5,1.0,27.6,1006.9,,,21.3
Habiganj,4,5,1980,28.3,30.8,36.3,22.7,69.3,0.0,22.3,1005.3,,,21.8
