district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Jamalpur,1,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,30,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,31,1,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,2,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,30,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,31,3,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,30,4,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,30,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,31,5,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,27,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,28,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,29,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,30,6,1980,,,0.0,0.0,,,,,,,
Jamalpur,1,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,2,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,3,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,4,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,5,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,6,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,7,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,8,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,9,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,10,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,11,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,12,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,13,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,14,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,15,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,16,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,17,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,18,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,19,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,20,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,21,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,22,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,23,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,24,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,25,7,1980,,,0.0,0.0,,,,,,,
Jamalpur,26,7,1980,,,0.0,0.0,,,,,,,
