district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Khagrachhari,1,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,2,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,3,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,4,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,5,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,6,1,1980,,,0.0,0.0,,,,,,,
Khagrachhari,7,1,1980,23.9,23.9,23.9,23.9,63.9,,0.9,1011.8,,,16.7
Khagrachhari,8,1,1980,,,,,,,0.0,,,,
Khagrachhari,9,1,1980,,,,,,,0.0,,,,
Khagrachhari,10,1,1980,,,,,,,0.0,,,,
Khagrachhari,11,1,1980,,,,,,,0.0,,,,
Khagrachhari,12,1,1980,,,,,,,0.0,,,,
Khagrachhari,13,1,1980,,,,,,,0.0,,,,
Khagrachhari,14,1,1980,,,,,,,0.0,,,,
Khagrachhari,15,1,1980,,,,,,,0.0,,,,
Khagrachhari,16,1,1980,,,,,,,0.0,,,,
Khagrachhari,17,1,1980,,,,,,,0.0,,,,
Khagrachhari,18,1,1980,,,,,,,0.0,,,,
Khagrachhari,19,1,1980,,,,,,,0.0,,,,
Khagrachhari,20,1,1980,,,,,,,0.0,,,,
Khagrachhari,21,1,1980,,,,,,,0.0,,,,
Khagrachhari,22,1,1980,,,,,,,0.0,,,,
Khagrachhari,23,1,1980,,,,,,,0.0,,,,
Khagrachhari,24,1,1980,,,,,,,0.0,,,,
Khagrachhari,25,1,1980,,,,,,,0.0,,,,
Khagrachhari,26,1,1980,,,,,,,0.0,,,,
Khagrachhari,27,1,1980,,,,,,,0.0,,,,
Khagrachhari,28,1,1980,,,,,,,0.0,,,,
Khagrachhari,29,1,1980,,,,,,,0.0,,,,
Khagrachhari,30,1,1980,,,,,,,0.0,,,,
Khagrachhari,31,1,1980,,,,,,,0.0,,,,
Khagrachhari,1,2,1980,,,,,,,0.0,,,,
Khagrachhari,2,2,1980,,,,,,,0.0,,,,
Khagrachhari,3,2,1980,,,,,,,0.0,,,,
Khagrachhari,4,2,1980,,,,,,,0.0,,,,
Khagrachhari,5,2,1980,,,,,,,0.0,,,,
Khagrachhari,6,2,1980,,,,,,,0.0,,,,
Khagrachhari,7,2,1980,,,,,,,0.0,,,,
Khagrachhari,8,2,1980,,,,,,,0.0,,,,
Khagrachhari,9,2,1980,,,,,,,0.0,,,,
Khagrachhari,10,2,1980,,,,,,,0.0,,,,
Khagrachhari,11,2,1980,,,,,,,0.0,,,,
Khagrachhari,12,2,1980,,,,,,,0.0,,,,
Khagrachhari,13,2,1980,,,,,,,0.0,,,,
Khagrachhari,14,2,1980,,,,,,,0.0,,,,
Khagrachhari,15,2,1980,,,,,,,0.0,,,,
Khagrachhari,16,2,1980,,,,,,,0.0,,,,
Khagrachhari,17,2,1980,,,,,,,0.0,,,,
Khagrachhari,18,2,1980,,,,,,,0.0,,,,
Khagrachhari,19,2,1980,,,,,,,0.0,,,,
Khagrachhari,20,2,1980,,,,,,,0.0,,,,
Khagrachhari,21,2,1980,,,,,,,0.0,,,,
Khagrachhari,22,2,1980,,,,,,,0.0,,,,
