district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Lakshmipur,1,1,1980,20.8,20.8,25.4,16.1,78.0,,12.1,1013.1,,,16.3
Lakshmipur,2,1,1980,20.8,20.8,25.1,15.1,66.1,,8.5,1013.2,,,13.8
Lakshmipur,3,1,1980,20.6,20.6,24.7,15.8,72.8,,22.3,1014.0,,,15.4
Lakshmipur,4,1,1980,21.6,21.6,26.1,16.7,68.9,,16.6,1014.9,,,15.4
Lakshmipur,5,1,1980,21.3,21.3,24.1,18.1,74.0,,18.4,1015.6,,,16.1
Lakshmipur,6,1,1980,20.3,20.3,26.1,16.4,69.4,,14.8,1015.4,,,14.0
Lakshmipur,7,1,1980,20.0,20.0,24.4,15.2,72.1,,22.3,1015.9,,,14.1
Lakshmipur,8,1,1980,19.1,19.1,22.7,16.1,73.4,,19.7,1015.9,,,13.8
Lakshmipur,9,1,1980,18.4,18.4,24.1,13.1,75.9,,14.8,1014.8,,,13.8
Lakshmipur,10,1,1980,18.4,18.4,23.1,12.1,69.9,,24.1,1012.9,,,12.6
Lakshmipur,11,1,1980,17.8,17.8,24.1,14.1,83.8,,24.1,1013.7,,,14.8
Lakshmipur,12,1,1980,19.1,19.1,23.1,16.1,72.9,,24.1,1015.1,,,13.7
Lakshmipur,13,1,1980,20.2,20.2,25.1,15.1,63.4,,22.3,1015.6,,,12.4
Lakshmipur,14,1,1980,21.4,21.4,25.7,15.1,61.4,,14.8,1015.7,,,12.9
Lakshmipur,15,1,1980,21.2,21.1,27.1,15.4,66.6,,18.4,1015.9,,,14.0
Lakshmipur,16,1,1980,19.9,19.9,25.7,15.4,69.1,,18.4,1017.3,,,13.4
Lakshmipur,17,1,1980,20.5,20.5,25.1,16.1,65.7,,13.0,1016.3,,,13.3
Lakshmipur,18,1,1980,21.3,21.3,26.4,15.4,63.7,,15.2,1017.1,,,13.2
Lakshmipur,19,1,1980,21.1,21.1,25.7,15.7,69.6,,9.4,1016.5,,,14.7
Lakshmipur,20,1,1980,20.6,20.6,27.4,15.1,67.6,,15.3,1016.6,,,13.9
Lakshmipur,21,1,1980,21.6,22.0,27.1,17.4,71.6,,14.8,1016.1,,,15.9
Lakshmipur,22,1,1980,21.3,21.3,26.1,16.1,65.4,,22.3,1015.0,,,13.9
Lakshmipur,23,1,1980,21.1,21.1,25.1,15.1,61.3,,18.4,1013.0,,,12.7
Lakshmipur,24,1,1980,20.2,20.2,26.7,13.1,72.8,,11.2,1013.3,,,14.5
Lakshmipur,25,1,1980,21.0,21.0,24.7,16.4,67.9,,19.0,1014.3,,,14.6
Lakshmipur,26,1,1980,20.9,20.9,26.4,14.7,61.8,,9.4,1012.7,,,12.8
Lakshmipur,27,1,1980,20.8,20.8,26.4,17.4,63.4,,17.8,1011.4,,,13.2
Lakshmipur,28,1,1980,20.8,20.8,25.7,16.1,77.0,,19.0,1009.9,,,16.4
Lakshmipur,29,1,1980,24.5,24.8,30.1,20.1,78.2,,27.7,1008.9,,,20.2
Lakshmipur,30,1,1980,22.3,22.3,24.7,19.7,61.6,,26.4,1010.5,,,14.0
Lakshmipur,31,1,1980,20.4,20.4,24.1,16.1,58.2,,16.6,1012.7,,,10.9
Lakshmipur,1,2,1980,18.2,18.2,24.1,13.1,67.0,,18.4,1013.9,,,11.3
Lakshmipur,2,2,1980,19.5,19.5,24.7,13.7,63.1,,17.1,1014.2,,,11.3
Lakshmipur,3,2,1980,19.8,19.8,25.1,14.7,67.7,,9.4,1014.2,,,13.0
Lakshmipur,4,2,1980,22.1,22.0,28.4,15.7,66.1,,9.4,1013.8,,,14.7
Lakshmipur,5,2,1980,21.8,22.4,28.1,16.1,81.7,,24.1,1013.0,,,18.2
Lakshmipur,6,2,1980,22.0,22.0,25.4,17.1,81.5,,12.0,1013.6,,,18.5
Lakshmipur,7,2,1980,22.6,22.6,26.4,18.4,59.3,,11.7,1014.1,,,13.5
Lakshmipur,8,2,1980,20.0,20.0,24.4,16.1,66.5,,17.2,1016.3,,,13.0
Lakshmipur,9,2,1980,19.2,19.2,25.1,14.1,62.5,,17.7,1015.5,,,11.1
Lakshmipur,10,2,1980,21.1,21.1,25.7,15.4,58.5,,11.8,1014.9,,,11.6
Lakshmipur,11,2,1980,22.5,22.4,28.1,14.1,52.1,,14.8,1016.6,,,11.1
Lakshmipur,12,2,1980,21.2,21.2,28.1,16.4,60.6,,8.0,1016.0,,,12.4
Lakshmipur,13,2,1980,21.3,21.2,27.4,15.4,65.1,,9.4,1014.8,,,13.6
Lakshmipur,14,2,1980,21.9,21.9,28.4,15.4,61.3,,17.6,1013.9,,,13.6
Lakshmipur,15,2,1980,22.2,22.2,28.1,15.4,62.0,,19.0,1013.9,,,14.0
Lakshmipur,16,2,1980,23.4,23.4,31.1,15.7,63.4,,13.0,1013.5,,,15.5
Lakshmipur,17,2,1980,23.5,23.6,28.1,17.1,71.0,,22.3,1013.5,,,17.5
Lakshmipur,18,2,1980,20.9,20.9,22.1,18.7,84.2,,22.3,1014.8,,,18.1
Lakshmipur,19,2,1980,21.4,21.4,27.1,16.7,74.5,,14.8,1015.1,,,16.2
Lakshmipur,20,2,1980,23.3,23.2,29.1,19.1,67.7,,16.6,1015.1,,,16.1
Lakshmipur,21,2,1980,26.0,25.9,29.1,22.1,55.0,,27.7,1015.1,,,15.9
Lakshmipur,22,2,1980,24.3,24.7,27.7,19.1,66.0,,21.5,1013.6,,,17.0
Lakshmipur,23,2,1980,21.9,21.9,25.3,18.1,77.1,,14.6,1013.7,,,17.6
Lakshmipur,24,2,1980,28.1,28.3,28.1,28.1,48.1,,16.6,1010.6,,,16.1
Lakshmipur,25,2,1980,24.6,25.5,29.1,20.7,79.4,,29.5,1010.2,,,20.7
Lakshmipur,26,2,1980,25.3,25.9,29.1,20.1,70.0,,20.5,1011.8,,,19.1
Lakshmipur,27,2,1980,26.1,26.1,30.1,20.1,58.6,,13.0,1008.5,,,15.5
Lakshmipur,28,2,1980,24.9,25.9,27.1,20.8,77.3,,27.7,1008.5,,,20.6
Lakshmipur,29,2,1980,24.4,25.1,28.1,20.1,78.3,,24.1,1009.3,,,20.3
Lakshmipur,1,3,1980,23.6,24.5,32.1,19.1,69.8,,24.1,1011.8,,,17.5
Lakshmipur,2,3,1980,20.8,20.8,25.1,17.1,80.5,,40.7,1010.5,,,17.1
Lakshmipur,3,3,1980,21.5,21.5,26.1,17.1,79.6,,31.7,1010.7,,,17.7
Lakshmipur,4,3,1980,22.1,22.5,27.1,19.1,82.8,,46.4,1012.1,,,18.9
Lakshmipur,5,3,1980,22.0,22.0,26.1,16.1,83.0,,27.7,1009.8,,,18.8
Lakshmipur,6,3,1980,25.8,27.4,28.1,20.7,76.8,,20.5,1009.9,,,21.3
Lakshmipur,7,3,1980,25.0,26.0,28.1,22.1,84.3,,40.7,1009.2,,,22.2
Lakshmipur,8,3,1980,27.4,29.9,29.1,24.1,77.7,,27.7,1009.0,,,23.0
Lakshmipur,9,3,1980,27.0,29.5,29.1,21.1,76.6,,13.2,1014.8,,,22.2
Lakshmipur,10,3,1980,26.7,27.9,30.1,21.9,68.4,,9.4,1011.0,,,20.1
Lakshmipur,11,3,1980,27.1,28.7,33.1,21.1,65.7,,16.6,1011.3,,,19.6
Lakshmipur,12,3,1980,26.2,26.4,32.4,20.1,56.5,,23.9,1011.7,,,16.5
Lakshmipur,13,3,1980,26.0,26.1,31.1,19.4,54.4,,18.4,1012.5,,,15.6
Lakshmipur,14,3,1980,25.3,24.9,31.4,19.7,52.3,,21.5,1013.0,,,13.8
Lakshmipur,15,3,1980,25.8,25.9,31.7,20.7,55.1,,22.3,1012.1,,,15.8
Lakshmipur,16,3,1980,27.6,28.5,30.1,24.1,59.8,,15.3,1011.4,,,18.9
Lakshmipur,17,3,1980,25.3,26.8,28.1,21.1,77.3,,17.6,1013.8,,,21.0
Lakshmipur,18,3,1980,25.7,27.0,29.7,21.1,75.8,,16.5,1013.1,,,20.8
Lakshmipur,19,3,1980,23.6,23.6,26.1,21.7,86.5,,16.6,1011.8,,,21.2
Lakshmipur,20,3,1980,23.1,23.1,24.1,22.1,85.9,,9.4,1010.8,,,20.6
Lakshmipur,21,3,1980,26.9,29.4,31.1,22.1,80.6,,19.0,1011.3,,,23.0
Lakshmipur,22,3,1980,27.0,29.3,31.1,24.1,82.0,,4.2,1011.7,,,23.4
Lakshmipur,23,3,1980,26.1,27.8,29.7,23.1,87.2,,18.4,1010.0,,,23.6
Lakshmipur,24,3,1980,27.4,29.1,32.1,23.1,75.4,,9.4,1010.8,,,22.2
Lakshmipur,25,3,1980,27.1,29.5,29.1,24.1,83.3,,27.7,1012.2,,,23.9
Lakshmipur,26,3,1980,27.2,29.4,31.1,24.1,82.4,,24.1,1011.9,,,23.7
Lakshmipur,27,3,1980,27.8,29.8,31.7,24.7,78.3,,17.9,1012.6,,,23.5
Lakshmipur,28,3,1980,28.8,32.3,32.1,24.7,74.5,,9.4,1013.0,,,23.6
Lakshmipur,29,3,1980,27.8,31.1,31.1,25.1,82.7,,17.6,1011.3,,,24.5
Lakshmipur,30,3,1980,28.6,31.9,32.1,25.1,78.8,,27.7,1010.3,,,24.3
Lakshmipur,31,3,1980,28.4,29.9,33.1,24.7,72.0,,16.6,1010.0,,,22.3
Lakshmipur,1,4,1980,28.5,29.1,33.1,26.1,72.0,,9.4,1012.5,,,22.1
Lakshmipur,2,4,1980,31.7,32.9,31.7,31.7,45.4,,11.8,1007.4,,,18.5
