district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Moulvibazar,1,1,1980,18.3,18.3,24.1,13.1,74.0,,9.4,1013.6,,,13.3
Moulvibazar,2,1,1980,17.4,17.4,19.1,14.9,82.4,,14.8,1014.0,,,14.4
Moulvibazar,3,1,1980,18.2,18.2,22.1,16.1,80.8,,13.0,1015.3,,,14.5
Moulvibazar,4,1,1980,17.9,17.9,22.4,14.1,77.7,,5.7,1016.3,,,13.7
Moulvibazar,5,1,1980,19.4,19.4,26.1,14.1,66.8,,22.3,1015.8,,,12.5
Moulvibazar,6,1,1980,16.5,16.5,20.6,12.1,72.6,,12.4,1017.0,,,11.3
Moulvibazar,7,1,1980,17.2,17.2,22.1,11.1,67.5,,14.8,1017.2,,,10.7
Moulvibazar,8,1,1980,17.1,17.1,23.2,9.7,66.8,,8.7,1016.6,,,10.6
Moulvibazar,9,1,1980,16.6,16.6,23.2,11.1,68.9,,5.7,1015.3,,,10.3
Moulvibazar,10,1,1980,17.0,17.0,22.4,10.4,65.4,,10.9,1013.2,,,9.8
Moulvibazar,11,1,1980,15.9,15.9,23.1,12.1,72.3,,10.6,1010.0,,,10.3
Moulvibazar,12,1,1980,17.6,17.6,26.1,9.5,63.6,,14.8,1016.1,,,9.6
Moulvibazar,13,1,1980,17.4,17.4,24.9,11.2,70.1,,4.5,1015.6,,,11.1
Moulvibazar,14,1,1980,19.4,19.4,25.7,13.1,65.8,,7.6,1016.8,,,12.0
Moulvibazar,15,1,1980,18.6,18.6,25.7,12.7,64.1,,7.9,1017.1,,,10.8
Moulvibazar,16,1,1980,18.4,18.4,26.1,13.1,63.8,,9.4,1016.6,,,10.7
Moulvibazar,17,1,1980,19.0,19.0,25.7,14.1,70.7,,10.6,1015.8,,,13.3
Moulvibazar,18,1,1980,20.8,20.9,27.1,15.4,76.0,,3.9,1017.2,,,16.2
Moulvibazar,19,1,1980,21.4,21.5,27.1,14.7,69.3,,3.9,1017.4,,,15.3
Moulvibazar,20,1,1980,20.4,20.4,26.7,14.9,65.9,,10.0,1016.5,,,13.4
Moulvibazar,21,1,1980,20.2,20.2,27.1,13.1,63.7,,11.2,1016.2,,,12.5
Moulvibazar,22,1,1980,20.1,20.1,26.7,12.4,62.9,,5.1,1015.2,,,11.8
Moulvibazar,23,1,1980,17.6,17.6,22.1,13.2,79.6,,5.1,1013.2,,,14.0
Moulvibazar,24,1,1980,19.5,19.5,25.1,14.9,60.2,,16.3,1013.6,,,10.1
Moulvibazar,25,1,1980,17.9,17.9,25.1,11.1,65.4,,9.4,1014.9,,,10.4
Moulvibazar,26,1,1980,18.8,18.8,26.1,10.7,64.7,,7.6,1012.8,,,11.3
