district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Netrakona,1,1,1980,,,0.0,0.0,,,,,,,
Netrakona,2,1,1980,,,0.0,0.0,,,,,,,
Netrakona,3,1,1980,,,0.0,0.0,,,,,,,
Netrakona,4,1,1980,,,0.0,0.0,,,,,,,
Netrakona,5,1,1980,,,0.0,0.0,,,,,,,
Netrakona,6,1,1980,,,0.0,0.0,,,,,,,
Netrakona,7,1,1980,,,0.0,0.0,,,,,,,
Netrakona,8,1,1980,,,0.0,0.0,,,,,,,
Netrakona,9,1,1980,,,0.0,0.0,,,,,,,
Netrakona,10,1,1980,,,0.0,0.0,,,,,,,
Netrakona,11,1,1980,,,0.0,0.0,,,,,,,
Netrakona,12,1,1980,,,0.0,0.0,,,,,,,
Netrakona,13,1,1980,,,0.0,0.0,,,,,,,
Netrakona,14,1,1980,,,0.0,0.0,,,,,,,
Netrakona,15,1,1980,,,0.0,0.0,,,,,,,
Netrakona,16,1,1980,,,0.0,0.0,,,,,,,
Netrakona,17,1,1980,,,0.0,0.0,,,,,,,
Netrakona,18,1,1980,,,0.0,0.0,,,,,,,
Netrakona,19,1,1980,,,0.0,0.0,,,,,,,
Netrakona,20,1,1980,,,0.0,0.0,,,,,,,
Netrakona,21,1,1980,,,0.0,0.0,,,,,,,
Netrakona,22,1,1980,,,0.0,0.0,,,,,,,
Netrakona,23,1,1980,,,0.0,0.0,,,,,,,
Netrakona,24,1,1980,,,0.0,0.0,,,,,,,
Netrakona,25,1,1980,,,0.0,0.0,,,,,,,
Netrakona,26,1,1980,,,0.0,0.0,,,,,,,
Netrakona,27,1,1980,,,0.0,0.0,,,,,,,
Netrakona,28,1,1980,,,0.0,0.0,,,,,,,
Netrakona,29,1,1980,,,0.0,0.0,,,,,,,
Netrakona,30,1,1980,,,0.0,0.0,,,,,,,
Netrakona,31,1,1980,,,0.0,0.0,,,,,,,
Netrakona,1,2,1980,,,0.0,0.0,,,,,,,
Netrakona,2,2,1980,,,0.0,0.0,,,,,,,
Netrakona,3,2,1980,,,0.0,0.0,,,,,,,
Netrakona,4,2,1980,,,0.0,0.0,,,,,,,
Netrakona,5,2,1980,,,0.0,0.0,,,,,,,
Netrakona,6,2,1980,,,0.0,0.0,,,,,,,
Netrakona,7,2,1980,,,0.0,0.0,,,,,,,
Netrakona,8,2,1980,,,0.0,0.0,,,,,,,
Netrakona,9,2,1980,,,0.0,0.0,,,,,,,
Netrakona,10,2,1980,,,0.0,0.0,,,,,,,
Netrakona,11,2,1980,,,0.0,0.0,,,,,,,
Netrakona,12,2,1980,,,0.0,0.0,,,,,,,
Netrakona,13,2,1980,,,0.0,0.0,,,,,,,
Netrakona,14,2,1980,,,0.0,0.0,,,,,,,
Netrakona,15,2,1980,,,0.0,0.0,,,,,,,
Netrakona,16,2,1980,,,0.0,0.0,,,,,,,
Netrakona,17,2,1980,,,0.0,0.0,,,,,,,
Netrakona,18,2,1980,,,0.0,0.0,,,,,,,
Netrakona,19,2,1980,,,0.0,0.0,,,,,,,
Netrakona,20,2,1980,,,0.0,0.0,,,,,,,
Netrakona,21,2,1980,,,0.0,0.0,,,,,,,
Netrakona,22,2,1980,,,0.0,0.0,,,,,,,
