district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Nilphamari,1,1,1980,16.7,16.7,20.1,12.7,78.2,,5.4,1014.4,,,12.7
Nilphamari,2,1,1980,16.1,16.1,19.1,12.1,87.4,,3.6,1014.6,,,13.9
Nilphamari,3,1,1980,17.9,17.9,20.1,15.1,84.1,,3.6,1015.5,,,15.1
Nilphamari,4,1,1980,16.6,16.6,21.1,12.7,84.0,,7.6,1017.2,,,13.6
Nilphamari,5,1,1980,20.1,20.1,24.1,12.1,63.6,,11.2,1016.3,,,12.6
Nilphamari,6,1,1980,17.5,17.5,21.1,12.7,66.4,,3.6,1016.0,,,10.8
Nilphamari,7,1,1980,16.6,16.6,22.1,10.1,65.5,,7.6,1017.0,,,9.5
Nilphamari,8,1,1980,17.6,17.6,24.1,11.0,74.2,,40.7,1016.7,,,12.4
Nilphamari,9,1,1980,21.1,21.1,21.1,21.1,58.3,,9.4,1014.5,,,12.6
Nilphamari,10,1,1980,18.1,18.1,23.1,10.1,68.9,,15.0,1012.9,,,11.9
Nilphamari,11,1,1980,15.9,15.9,23.1,10.2,76.8,,61.2,1013.7,,,11.2
Nilphamari,12,1,1980,15.1,15.1,20.1,9.1,81.2,,3.6,1016.9,,,11.6
Nilphamari,13,1,1980,16.4,16.4,22.7,11.7,69.8,,2.9,1016.5,,,10.4
Nilphamari,14,1,1980,15.4,15.4,20.1,10.1,77.2,,2.9,1014.4,,,11.1
Nilphamari,15,1,1980,16.7,16.7,24.1,9.1,65.2,,3.6,1017.5,,,8.9
Nilphamari,16,1,1980,13.4,13.4,15.6,9.5,56.4,,0.0,1016.6,,,-0.7
Nilphamari,17,1,1980,18.8,18.8,22.9,14.1,66.7,,0.0,1017.1,,,12.1
Nilphamari,18,1,1980,18.2,18.2,22.7,12.3,73.8,,2.9,1018.5,,,13.1
