district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Patuakhali,1,1,1980,21.7,21.7,26.1,18.1,77.1,,3.6,1013.0,,,17.1
Patuakhali,2,1,1980,20.8,20.8,25.1,15.1,64.4,,5.4,1012.9,,,13.3
Patuakhali,3,1,1980,23.0,23.0,26.1,16.7,60.1,,16.6,1013.0,,,14.1
Patuakhali,4,1,1980,22.3,22.3,26.1,16.1,70.4,,18.4,1014.2,,,16.3
Patuakhali,5,1,1980,22.1,22.1,26.1,18.1,67.8,,11.2,1015.1,,,15.5
Patuakhali,6,1,1980,21.5,21.5,26.1,17.1,63.7,,14.8,1014.9,,,13.7
Patuakhali,7,1,1980,20.1,20.1,23.1,16.1,73.7,,27.7,1015.5,,,14.8
Patuakhali,8,1,1980,20.6,20.6,24.1,18.1,74.2,,22.3,1016.3,,,15.3
Patuakhali,9,1,1980,,,,,,,0.0,,,,
Patuakhali,10,1,1980,,,,,,,0.0,,,,
Patuakhali,11,1,1980,17.1,17.1,17.1,17.1,88.0,,0.0,1014.6,,,15.1
Patuakhali,12,1,1980,,,,,,,0.0,,,,
Patuakhali,13,1,1980,,,,,,,0.0,,,,
Patuakhali,14,1,1980,24.8,24.7,27.1,22.1,49.4,,14.8,1013.9,,,13.1
Patuakhali,15,1,1980,20.7,20.6,27.1,16.1,70.8,,13.0,1015.5,,,14.4
Patuakhali,16,1,1980,21.6,21.3,27.1,16.1,60.1,,9.4,1015.6,,,11.6
Patuakhali,17,1,1980,19.1,19.1,19.1,19.1,61.8,,9.4,1018.1,,,11.6
Patuakhali,18,1,1980,23.3,23.2,27.1,16.1,58.8,,18.4,1016.7,,,14.1
Patuakhali,19,1,1980,21.4,21.4,27.1,17.1,69.6,,5.4,1018.1,,,14.8
Patuakhali,20,1,1980,24.4,24.2,28.1,21.1,53.0,,13.0,1015.7,,,13.6
Patuakhali,21,1,1980,22.7,23.0,27.1,18.1,66.6,,14.8,1015.9,,,15.7
Patuakhali,22,1,1980,,,,,,,0.0,,,,
Patuakhali,23,1,1980,,,,,,,0.0,,,,
Patuakhali,24,1,1980,20.5,20.5,26.1,13.1,68.3,,11.2,1013.3,,,13.5
Patuakhali,25,1,1980,22.1,22.1,26.1,17.1,71.1,,11.2,1014.2,,,16.4
Patuakhali,26,1,1980,22.1,22.4,27.1,14.1,65.7,,9.4,1012.7,,,14.6
Patuakhali,27,1,1980,22.9,22.9,27.1,18.1,56.0,,9.4,1011.2,,,13.1
Patuakhali,28,1,1980,22.4,22.4,25.1,18.1,67.5,,9.4,1009.8,,,15.4
Patuakhali,29,1,1980,24.1,24.1,24.1,24.1,83.3,,13.0,1007.9,,,21.1
Patuakhali,30,1,1980,23.7,23.7,26.1,21.1,61.2,,24.1,1010.4,,,15.5
Patuakhali,31,1,1980,18.9,18.9,21.1,16.1,65.8,,11.2,1012.7,,,11.9
Patuakhali,1,2,1980,17.5,17.5,24.1,13.1,74.5,,9.4,1013.6,,,12.1
Patuakhali,2,2,1980,19.6,19.6,26.1,13.1,59.8,,14.8,1013.4,,,9.6
Patuakhali,3,2,1980,18.1,18.1,20.1,16.1,72.7,,0.0,1014.4,,,13.1
Patuakhali,4,2,1980,23.9,23.7,29.1,17.1,60.3,,9.4,1013.7,,,14.9
Patuakhali,5,2,1980,18.1,18.1,18.1,18.1,93.9,,0.0,1012.9,,,17.1
Patuakhali,6,2,1980,24.1,24.1,24.1,24.1,88.6,,0.0,1014.2,,,22.1
Patuakhali,7,2,1980,24.3,24.3,27.1,19.1,58.9,,14.8,1013.4,,,15.1
Patuakhali,8,2,1980,21.5,21.5,27.1,16.1,64.1,,18.4,1016.0,,,13.5
Patuakhali,9,2,1980,19.1,19.1,25.1,14.1,69.0,,16.6,1014.8,,,12.6
Patuakhali,10,2,1980,22.3,22.2,27.1,16.1,58.9,,16.6,1014.4,,,12.9
Patuakhali,11,2,1980,25.4,25.1,28.1,23.1,38.9,,14.8,1016.3,,,10.1
Patuakhali,12,2,1980,21.5,21.5,28.1,17.1,64.1,,7.6,1015.5,,,13.8
Patuakhali,13,2,1980,22.0,21.8,28.1,16.1,64.6,,9.4,1014.5,,,14.0
Patuakhali,14,2,1980,22.9,22.6,29.1,16.1,54.4,,9.4,1014.0,,,12.1
Patuakhali,15,2,1980,24.9,25.0,28.1,16.1,56.3,,14.8,1013.1,,,14.6
Patuakhali,16,2,1980,22.1,22.5,27.1,17.1,70.7,,3.6,1013.3,,,16.4
Patuakhali,17,2,1980,23.9,24.0,28.1,21.1,69.6,,11.2,1013.6,,,17.6
Patuakhali,18,2,1980,21.1,21.1,24.1,18.1,85.1,,18.4,1014.5,,,18.4
Patuakhali,19,2,1980,20.1,20.1,22.1,18.1,78.5,,0.0,1014.8,,,16.1
Patuakhali,20,2,1980,,,,,,,0.0,,,,
Patuakhali,21,2,1980,24.1,24.1,24.1,24.1,69.2,,0.0,1013.1,,,18.1
Patuakhali,22,2,1980,25.9,26.5,29.1,19.1,63.9,,16.6,1013.2,,,17.9
Patuakhali,23,2,1980,22.6,22.6,29.1,18.1,71.6,,9.4,1013.5,,,16.6
Patuakhali,24,2,1980,,,,,,,0.0,,,,
Patuakhali,25,2,1980,26.1,27.3,29.1,22.1,73.5,,5.4,1011.2,,,20.4
Patuakhali,26,2,1980,,,,,,,0.0,,,,
Patuakhali,27,2,1980,27.1,29.3,27.1,27.1,72.7,,13.0,1007.0,,,21.6
Patuakhali,28,2,1980,26.1,26.1,26.1,26.1,83.6,,5.4,1010.1,,,23.1
Patuakhali,29,2,1980,24.1,25.2,28.1,20.1,82.0,,14.8,1009.1,,,20.6
Patuakhali,1,3,1980,27.1,27.3,29.1,25.1,58.9,,24.1,1011.5,,,18.1
Patuakhali,2,3,1980,,,,,,,0.0,,,,
Patuakhali,3,3,1980,,,,,,,0.0,,,,
Patuakhali,4,3,1980,,,,,,,0.0,,,,
Patuakhali,5,3,1980,22.9,23.1,27.1,19.1,83.6,,27.7,1010.6,,,19.6
Patuakhali,6,3,1980,26.3,28.3,28.1,22.1,74.0,,5.4,1009.7,,,21.1
Patuakhali,7,3,1980,24.1,24.9,27.1,22.1,87.3,,13.0,1009.4,,,21.9
Patuakhali,8,3,1980,28.6,33.8,29.1,28.1,81.4,,20.5,1009.3,,,25.1
Patuakhali,9,3,1980,27.6,30.6,29.1,26.1,76.5,,20.5,1017.1,,,23.1
Patuakhali,10,3,1980,27.6,29.3,30.1,25.1,70.4,,0.0,1010.6,,,21.6
Patuakhali,11,3,1980,31.8,34.9,33.1,30.1,54.5,,16.6,1010.8,,,21.4
Patuakhali,12,3,1980,31.1,38.4,33.1,27.1,67.8,,22.3,1011.1,,,24.1
Patuakhali,13,3,1980,27.1,27.9,33.1,20.1,61.2,,9.4,1012.5,,,18.4
Patuakhali,14,3,1980,26.1,26.3,32.1,21.1,65.7,,16.6,1012.5,,,18.4
Patuakhali,15,3,1980,26.4,28.1,33.1,22.1,70.2,,9.4,1012.1,,,20.4
Patuakhali,16,3,1980,28.1,30.9,30.1,24.1,69.0,,13.0,1011.7,,,21.9
Patuakhali,17,3,1980,26.1,28.4,28.1,21.1,80.4,,9.4,1014.2,,,22.4
Patuakhali,18,3,1980,25.8,27.4,29.1,21.1,78.7,,5.4,1013.0,,,21.7
Patuakhali,19,3,1980,21.6,21.6,22.1,21.1,88.6,,0.0,1013.0,,,19.6
Patuakhali,20,3,1980,,,,,,,0.0,,,,
Patuakhali,21,3,1980,26.4,28.7,31.1,22.1,83.8,,9.4,1011.2,,,23.3
Patuakhali,22,3,1980,28.1,32.0,31.1,24.1,79.5,,5.4,1012.8,,,24.1
Patuakhali,23,3,1980,27.6,29.9,29.1,26.1,79.0,,0.0,1010.4,,,23.6
Patuakhali,24,3,1980,27.1,30.2,27.1,27.1,83.7,,0.0,1011.4,,,24.1
Patuakhali,25,3,1980,26.8,29.2,28.1,24.1,84.4,,5.4,1012.4,,,23.8
Patuakhali,26,3,1980,,,,,,,0.0,,,,
Patuakhali,27,3,1980,27.7,30.5,31.1,24.6,80.6,,13.0,1011.9,,,23.9
Patuakhali,28,3,1980,29.3,33.3,32.1,24.1,74.1,,9.4,1012.5,,,23.9
Patuakhali,29,3,1980,30.6,37.1,31.1,30.1,72.6,,9.4,1011.1,,,25.1
Patuakhali,30,3,1980,30.6,35.9,32.1,29.1,68.6,,5.4,1010.7,,,24.1
