district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rajbari,1,1,1980,18.4,18.4,25.1,13.5,72.1,,9.4,1015.7,,,12.7
Rajbari,2,1,1980,16.1,16.1,18.1,14.5,88.1,,4.7,1014.4,,,14.1
Rajbari,3,1,1980,16.9,16.9,22.6,12.1,85.8,,3.1,1014.7,,,14.3
Rajbari,4,1,1980,17.0,17.0,22.6,12.6,77.8,,9.1,1016.7,,,12.8
Rajbari,5,1,1980,17.8,17.8,24.1,12.6,72.8,,7.3,1016.0,,,12.5
Rajbari,6,1,1980,16.8,16.8,22.1,13.1,76.6,,9.4,1016.5,,,12.3
Rajbari,7,1,1980,17.2,17.2,22.1,13.1,67.4,,37.1,1017.1,,,10.6
Rajbari,8,1,1980,16.3,16.3,22.6,10.1,69.6,,8.2,1016.6,,,10.2
Rajbari,9,1,1980,16.2,16.2,22.6,10.1,72.9,,10.9,1015.9,,,11.0
Rajbari,10,1,1980,16.7,16.7,22.6,12.1,72.1,,9.4,1013.4,,,11.2
Rajbari,11,1,1980,16.3,16.3,23.1,10.5,71.9,,7.3,1014.2,,,10.7
Rajbari,12,1,1980,15.8,15.8,23.1,8.6,69.0,,3.7,1016.3,,,9.3
Rajbari,13,1,1980,16.7,16.7,24.6,10.6,70.6,,4.6,1016.0,,,10.5
Rajbari,14,1,1980,18.5,18.5,24.1,11.6,64.9,,0.0,1016.9,,,11.2
Rajbari,15,1,1980,18.6,18.6,24.6,11.6,62.9,,4.7,1017.3,,,10.2
Rajbari,16,1,1980,16.4,16.4,24.1,10.1,65.5,,5.4,1017.4,,,8.5
Rajbari,17,1,1980,17.7,17.7,24.1,11.6,70.1,,0.0,1016.5,,,11.7
Rajbari,18,1,1980,18.9,18.9,26.1,12.6,71.2,,9.4,1017.4,,,13.1
Rajbari,19,1,1980,19.2,19.2,26.1,12.5,70.4,,0.0,1017.4,,,13.1
Rajbari,20,1,1980,18.8,18.8,26.1,12.6,69.6,,11.1,1016.7,,,12.3
Rajbari,21,1,1980,19.7,19.7,26.1,11.6,66.1,,9.4,1016.0,,,12.3
Rajbari,22,1,1980,19.6,19.6,26.1,11.1,61.6,,15.7,1014.8,,,10.9
Rajbari,23,1,1980,17.4,17.4,24.0,12.1,76.5,,1.8,1013.2,,,12.7
Rajbari,24,1,1980,18.5,18.5,24.1,12.6,65.2,,3.6,1013.4,,,11.0
Rajbari,25,1,1980,16.2,16.2,23.6,11.1,68.1,,7.3,1015.3,,,9.4
Rajbari,26,1,1980,17.5,17.5,24.1,12.1,74.5,,0.0,1012.8,,,12.5
Rajbari,27,1,1980,19.6,19.6,26.1,12.1,57.1,,0.0,1011.0,,,10.2
Rajbari,28,1,1980,21.5,21.4,28.1,16.6,67.0,,18.4,1007.7,,,13.9
Rajbari,29,1,1980,21.5,21.5,26.6,15.6,53.9,,18.4,1008.1,,,10.5
Rajbari,30,1,1980,17.7,17.7,23.1,12.6,50.8,,8.5,1011.2,,,6.4
Rajbari,31,1,1980,17.5,17.5,23.6,9.1,52.9,,10.9,1013.1,,,6.3
Rajbari,1,2,1980,16.3,16.3,23.6,10.1,63.2,,10.2,1013.5,,,8.5
Rajbari,2,2,1980,17.3,17.3,26.1,9.6,62.7,,9.4,1014.4,,,8.8
Rajbari,3,2,1980,18.0,18.0,24.1,11.1,62.5,,0.0,1014.0,,,10.1
Rajbari,4,2,1980,21.2,21.2,26.6,18.0,75.0,,12.0,1012.9,,,16.3
Rajbari,5,2,1980,19.2,19.2,21.1,16.1,85.7,,4.6,1012.9,,,16.7
Rajbari,6,2,1980,18.9,18.9,23.6,14.6,73.2,,13.8,1013.4,,,13.4
Rajbari,7,2,1980,16.6,16.6,22.1,9.1,56.9,,9.1,1015.6,,,7.1
Rajbari,8,2,1980,14.9,14.9,23.1,8.1,64.2,,6.4,1016.0,,,6.6
Rajbari,9,2,1980,17.4,17.4,24.1,8.6,57.1,,6.4,1015.6,,,7.5
Rajbari,10,2,1980,17.7,17.7,26.0,9.6,63.0,,6.4,1014.8,,,9.3
Rajbari,11,2,1980,20.6,20.5,27.1,12.1,48.5,,7.3,1016.5,,,7.7
Rajbari,12,2,1980,18.7,18.7,26.6,11.6,58.6,,6.4,1016.2,,,9.1
Rajbari,13,2,1980,19.5,19.3,27.1,11.1,54.1,,10.9,1015.5,,,8.5
Rajbari,14,2,1980,20.7,20.6,28.1,12.1,57.1,,1.8,1013.7,,,11.0
Rajbari,15,2,1980,20.4,20.1,29.1,13.6,62.4,,6.4,1013.7,,,11.5
Rajbari,16,2,1980,22.0,22.0,26.1,16.1,66.1,,9.4,1012.5,,,15.1
Rajbari,17,2,1980,21.5,21.5,26.5,16.6,74.5,,13.8,1012.6,,,16.6
Rajbari,18,2,1980,20.6,20.6,26.1,15.1,76.6,,9.4,1013.6,,,16.0
Rajbari,19,2,1980,21.2,21.2,28.1,15.6,74.6,,8.2,1014.6,,,15.9
Rajbari,20,2,1980,20.4,20.4,29.1,16.1,78.6,,0.0,1015.0,,,16.0
Rajbari,21,2,1980,24.6,24.5,27.0,21.6,53.3,,12.0,1015.5,,,14.1
Rajbari,22,2,1980,24.1,24.1,29.1,18.1,60.5,,12.0,1013.4,,,15.4
Rajbari,23,2,1980,22.0,22.0,28.5,18.1,74.2,,7.3,1011.9,,,16.6
Rajbari,24,2,1980,27.6,27.1,31.1,24.1,41.8,,11.1,1008.9,,,13.1
Rajbari,25,2,1980,24.2,23.6,31.1,20.1,53.5,,18.4,1008.5,,,11.9
Rajbari,26,2,1980,23.4,22.9,30.1,15.6,46.9,,8.2,1011.0,,,9.5
Rajbari,27,2,1980,23.8,23.6,30.5,14.6,54.2,,16.6,1008.3,,,13.1
Rajbari,28,2,1980,26.5,26.3,31.1,17.6,54.6,,9.4,1006.0,,,15.2
Rajbari,29,2,1980,24.7,25.4,30.1,20.1,72.6,,14.8,1008.3,,,19.2
Rajbari,1,3,1980,21.1,21.1,22.5,19.1,78.7,,15.7,1011.6,,,17.3
Rajbari,2,3,1980,20.9,20.9,26.5,17.1,72.6,,18.6,1007.8,,,15.3
Rajbari,3,3,1980,22.4,22.1,29.1,15.1,60.6,,16.6,1008.2,,,13.0
Rajbari,4,3,1980,22.0,21.9,28.1,17.1,59.5,,2.7,1009.4,,,12.9
Rajbari,5,3,1980,23.2,23.3,29.1,17.6,74.5,,4.7,1008.5,,,17.9
Rajbari,6,3,1980,24.7,24.5,32.1,18.1,62.6,,12.9,1007.8,,,16.0
Rajbari,7,3,1980,23.9,24.1,30.1,18.6,72.1,,12.9,1006.7,,,17.9
Rajbari,8,3,1980,25.5,24.9,29.6,19.1,43.1,,6.4,1008.2,,,10.4
Rajbari,9,3,1980,23.0,23.0,28.0,16.1,60.5,,10.9,1010.0,,,14.6
Rajbari,10,3,1980,23.8,24.3,30.1,17.6,71.2,,9.1,1011.0,,,17.7
Rajbari,11,3,1980,23.8,23.7,28.6,20.1,72.0,,0.0,1011.5,,,17.6
Rajbari,12,3,1980,24.8,24.4,30.1,21.0,52.9,,9.4,1012.6,,,13.6
Rajbari,13,3,1980,24.8,24.3,32.5,16.6,53.4,,9.1,1012.9,,,13.2
Rajbari,14,3,1980,23.7,23.1,31.5,16.6,38.9,,7.3,1013.8,,,7.2
Rajbari,15,3,1980,24.4,23.6,32.6,13.6,40.0,,11.1,1011.9,,,8.0
Rajbari,16,3,1980,26.7,25.9,33.5,19.1,40.7,,12.9,1011.0,,,10.9
Rajbari,17,3,1980,25.7,25.4,33.0,19.1,58.4,,20.1,1010.6,,,15.7
Rajbari,18,3,1980,24.6,25.3,32.0,19.1,63.3,,11.1,1011.3,,,16.8
Rajbari,19,3,1980,23.8,23.7,32.0,18.1,70.1,,0.0,1009.7,,,17.3
Rajbari,20,3,1980,22.9,22.9,23.6,22.1,79.8,,1.8,1009.8,,,19.1
Rajbari,21,3,1980,33.4,31.7,35.1,31.6,24.8,,8.2,1009.7,,,10.4
Rajbari,22,3,1980,27.5,27.3,34.1,20.6,46.0,,4.7,1009.9,,,14.1
Rajbari,23,3,1980,30.0,29.8,38.0,21.1,45.5,,13.8,1007.9,,,14.9
Rajbari,24,3,1980,27.9,29.5,34.0,22.6,60.1,,3.6,1009.4,,,19.1
Rajbari,25,3,1980,30.6,32.7,34.0,27.1,53.7,,5.5,1010.0,,,19.9
Rajbari,26,3,1980,29.4,32.1,36.1,24.1,67.5,,9.4,1010.9,,,22.2
Rajbari,27,3,1980,27.1,28.7,31.5,21.6,71.8,,10.9,1011.3,,,21.2
Rajbari,28,3,1980,27.8,28.0,32.0,23.6,68.0,,8.2,1011.5,,,20.4
Rajbari,29,3,1980,27.3,27.5,35.5,20.2,51.3,,9.4,1010.1,,,15.1
Rajbari,30,3,1980,25.5,26.0,27.1,23.1,72.7,,13.8,1010.5,,,20.1
Rajbari,31,3,1980,26.5,27.1,32.0,19.6,63.2,,4.6,1010.5,,,18.2
Rajbari,1,4,1980,30.7,30.5,35.1,24.1,44.6,,12.0,1011.0,,,16.0
Rajbari,2,4,1980,29.6,30.5,32.6,26.1,54.0,,7.4,1009.0,,,19.1
Rajbari,3,4,1980,30.9,32.1,36.1,24.0,54.3,,16.6,1008.2,,,19.3
Rajbari,4,4,1980,29.0,29.9,36.1,24.1,62.8,,22.3,1007.9,,,20.0
Rajbari,5,4,1980,30.7,33.0,36.0,26.6,61.3,,16.6,1009.5,,,21.5
Rajbari,6,4,1980,28.3,28.7,35.5,22.6,55.1,,9.4,1009.7,,,17.7
Rajbari,7,4,1980,30.2,30.6,36.1,22.1,47.9,,11.2,1006.9,,,16.5
Rajbari,8,4,1980,32.9,33.3,39.0,24.6,41.2,,21.2,1005.1,,,16.3
Rajbari,9,4,1980,31.1,32.0,39.0,25.1,47.2,,13.0,1002.7,,,17.4
Rajbari,10,4,1980,32.8,34.3,40.1,26.0,48.8,,18.4,1001.1,,,17.9
Rajbari,11,4,1980,31.2,34.4,37.0,27.0,60.0,,16.8,1002.1,,,21.0
Rajbari,12,4,1980,30.2,32.4,36.0,25.6,62.1,,18.4,1003.6,,,21.4
Rajbari,13,4,1980,31.9,36.2,38.0,27.0,63.6,,20.4,1002.2,,,23.1
Rajbari,14,4,1980,31.9,35.2,38.0,26.6,59.9,,17.4,1004.3,,,22.0
Rajbari,15,4,1980,30.3,32.1,37.0,26.6,61.5,,13.8,1004.2,,,20.4
Rajbari,16,4,1980,33.0,35.1,40.1,26.5,51.9,,24.1,1005.0,,,18.7
Rajbari,17,4,1980,31.3,36.8,34.1,27.5,67.0,,12.0,1006.0,,,24.0
Rajbari,18,4,1980,32.4,34.1,38.1,25.6,50.8,,40.1,1003.7,,,19.4
Rajbari,19,4,1980,29.7,33.2,35.5,23.0,64.5,,15.7,1006.3,,,22.0
Rajbari,20,4,1980,25.1,26.7,28.5,20.1,81.6,,37.1,1007.6,,,21.7
Rajbari,21,4,1980,26.1,29.2,31.1,22.5,80.0,,27.7,1007.9,,,22.3
Rajbari,22,4,1980,30.9,37.6,35.1,26.1,75.4,,16.6,1004.6,,,25.8
Rajbari,23,4,1980,31.8,38.8,36.5,28.1,70.6,,24.1,1001.7,,,25.0
Rajbari,24,4,1980,31.6,38.9,35.1,28.1,69.3,,35.3,1001.5,,,25.2
Rajbari,25,4,1980,32.0,35.5,43.1,27.1,63.9,,24.1,1002.9,,,20.5
Rajbari,26,4,1980,32.2,36.0,38.0,26.6,60.9,,17.7,1005.3,,,22.5
Rajbari,27,4,1980,31.0,35.6,38.1,27.0,66.4,,33.5,1004.9,,,23.4
Rajbari,28,4,1980,31.0,35.2,38.1,27.5,63.1,,36.2,1004.4,,,22.6
Rajbari,29,4,1980,31.4,36.6,39.1,27.5,66.3,,19.4,1004.4,,,23.8
Rajbari,30,4,1980,28.9,31.6,33.1,22.5,62.7,,37.1,1004.6,,,20.8
Rajbari,1,5,1980,30.0,34.4,35.1,23.1,64.2,,16.6,1007.3,,,22.2
Rajbari,2,5,1980,29.7,34.0,35.1,24.1,68.6,,10.0,1007.5,,,23.1
Rajbari,3,5,1980,27.9,30.5,30.1,23.1,68.4,,16.6,1006.5,,,21.4
Rajbari,4,5,1980,28.8,31.7,34.1,23.1,68.7,,24.1,1004.2,,,22.1
Rajbari,5,5,1980,25.3,26.9,28.5,20.5,85.2,,28.7,1004.8,,,22.5
Rajbari,6,5,1980,26.1,28.5,27.1,22.1,83.7,,92.5,1003.6,,,23.1
Rajbari,7,5,1980,30.1,36.3,34.1,26.1,81.3,,16.6,1002.9,,,26.3
Rajbari,8,5,1980,24.1,25.5,29.1,21.1,93.3,,16.6,1004.8,,,22.8
Rajbari,9,5,1980,24.9,25.8,29.1,23.1,80.6,,22.3,1006.3,,,21.3
Rajbari,10,5,1980,26.6,29.0,29.1,24.1,83.8,,35.3,1005.3,,,23.6
Rajbari,11,5,1980,25.6,27.0,30.1,19.1,78.9,,24.1,1006.8,,,21.3
Rajbari,12,5,1980,25.1,26.4,30.1,20.1,80.5,,18.4,1005.3,,,21.4
Rajbari,13,5,1980,25.4,26.5,30.6,21.6,77.8,,19.3,1006.2,,,20.9
Rajbari,14,5,1980,29.8,34.8,33.1,26.1,74.7,,11.0,1007.4,,,24.6
Rajbari,15,5,1980,28.7,32.4,34.1,24.1,77.1,,18.3,1006.7,,,23.8
Rajbari,16,5,1980,27.9,32.1,31.1,23.1,81.6,,17.4,1004.5,,,24.4
Rajbari,17,5,1980,28.7,32.7,31.1,26.1,74.8,,16.6,1002.5,,,23.7
Rajbari,18,5,1980,27.4,31.5,31.1,22.1,82.2,,9.4,1001.8,,,23.9
Rajbari,19,5,1980,26.8,29.6,30.1,21.1,79.4,,16.6,1002.8,,,22.8
Rajbari,20,5,1980,27.5,30.3,31.1,23.1,78.6,,14.8,1003.3,,,23.2
Rajbari,21,5,1980,30.4,33.7,34.1,24.1,66.3,,4.7,1002.2,,,22.9
Rajbari,22,5,1980,30.7,37.5,33.1,27.6,70.6,,4.7,1001.3,,,24.7
Rajbari,23,5,1980,30.2,35.0,34.1,26.1,73.9,,9.4,999.1,,,24.7
Rajbari,24,5,1980,31.2,39.9,35.1,27.1,76.0,,24.1,1000.3,,,26.4
Rajbari,25,5,1980,31.3,39.5,34.1,26.1,75.5,,16.6,1002.0,,,26.3
Rajbari,26,5,1980,26.3,27.2,29.1,25.1,82.2,,9.4,1006.1,,,22.9
Rajbari,27,5,1980,28.3,30.9,33.1,25.1,75.4,,3.6,1005.8,,,23.3
Rajbari,28,5,1980,25.6,27.0,29.1,22.1,84.7,,33.5,1005.8,,,22.6
Rajbari,29,5,1980,27.1,29.1,28.1,26.1,81.3,,22.3,1004.5,,,23.6
Rajbari,30,5,1980,27.0,28.9,29.5,25.1,84.5,,23.9,1004.2,,,24.1
Rajbari,31,5,1980,26.9,29.6,31.1,24.1,85.9,,23.2,1005.2,,,24.3
Rajbari,1,6,1980,26.3,27.7,28.0,24.1,89.4,,13.7,1005.2,,,24.4
Rajbari,2,6,1980,25.7,25.7,26.0,25.1,91.5,,11.2,1005.8,,,24.3
Rajbari,3,6,1980,37.1,44.7,37.1,37.1,47.5,,9.4,1002.2,,,24.1
Rajbari,4,6,1980,27.5,30.3,29.1,25.1,84.7,,16.6,1000.4,,,24.6
Rajbari,5,6,1980,27.9,31.0,31.1,25.1,85.2,,3.6,999.2,,,25.0
Rajbari,6,6,1980,28.6,35.7,30.1,27.1,90.3,,9.4,1000.7,,,26.9
Rajbari,7,6,1980,25.4,25.4,26.1,24.1,98.1,,9.4,1001.7,,,25.1
Rajbari,8,6,1980,31.1,39.3,31.1,31.1,74.8,,0.0,1002.0,,,26.1
Rajbari,9,6,1980,,,,,,,0.0,,,,
Rajbari,10,6,1980,28.5,33.7,30.1,25.5,71.8,,26.1,1000.2,,,22.3
Rajbari,11,6,1980,27.0,29.6,28.1,26.0,91.1,,9.4,1002.1,,,25.4
Rajbari,12,6,1980,28.4,32.7,31.5,26.5,86.1,,11.2,1004.0,,,25.8
Rajbari,13,6,1980,28.4,32.9,30.5,26.0,85.9,,16.6,1004.4,,,25.8
Rajbari,14,6,1980,29.6,37.6,32.0,27.6,86.7,,9.4,1002.6,,,27.0
Rajbari,15,6,1980,29.4,36.5,31.5,27.5,84.1,,11.1,1001.4,,,26.4
Rajbari,16,6,1980,28.1,32.7,30.6,27.0,83.1,,11.1,999.7,,,25.0
Rajbari,17,6,1980,27.4,31.4,28.5,25.1,91.0,,18.4,999.5,,,25.8
Rajbari,18,6,1980,27.5,32.5,28.1,27.0,91.2,,23.0,999.4,,,26.0
Rajbari,19,6,1980,27.8,32.2,29.5,26.1,87.8,,23.0,999.9,,,25.5
Rajbari,20,6,1980,28.7,34.5,30.6,26.6,85.2,,19.3,1001.6,,,25.9
Rajbari,21,6,1980,29.1,34.9,32.0,27.1,81.6,,12.8,1002.8,,,25.5
Rajbari,22,6,1980,29.5,37.1,31.1,27.0,83.6,,58.7,1001.1,,,26.4
Rajbari,23,6,1980,27.2,31.0,28.1,26.1,90.9,,18.4,1002.5,,,25.6
Rajbari,24,6,1980,27.6,32.6,28.1,27.1,91.6,,16.6,1004.1,,,26.1
Rajbari,25,6,1980,27.6,31.5,28.6,26.1,89.8,,9.4,1000.9,,,25.7
Rajbari,26,6,1980,29.0,33.8,31.5,26.6,83.4,,19.3,998.8,,,25.7
Rajbari,27,6,1980,29.1,35.0,30.5,27.6,81.8,,17.4,998.5,,,25.6
Rajbari,28,6,1980,29.2,36.2,31.1,27.1,84.9,,13.8,996.9,,,26.3
Rajbari,29,6,1980,29.8,37.2,32.0,27.0,82.5,,13.8,995.5,,,26.3
Rajbari,30,6,1980,31.2,39.3,33.1,29.1,74.3,,16.6,996.1,,,25.9
Rajbari,1,7,1980,29.4,34.7,31.5,28.1,76.1,,31.3,998.6,,,24.7
Rajbari,2,7,1980,27.7,32.2,28.1,27.1,85.9,,22.3,999.1,,,25.1
Rajbari,3,7,1980,27.8,32.8,29.1,27.0,89.0,,24.1,999.2,,,25.8
Rajbari,4,7,1980,27.8,32.3,31.5,25.6,91.4,,6.4,999.8,,,26.2
Rajbari,5,7,1980,30.1,37.4,31.1,28.1,79.5,,9.4,997.6,,,26.1
Rajbari,6,7,1980,30.6,39.6,32.1,27.1,82.5,,9.4,998.2,,,27.1
Rajbari,7,7,1980,28.1,33.1,31.1,26.1,90.3,,24.1,996.7,,,26.3
Rajbari,8,7,1980,28.1,33.7,28.1,28.1,88.9,,16.6,997.6,,,26.1
Rajbari,9,7,1980,29.4,36.5,30.6,28.1,84.1,,10.9,998.6,,,26.3
Rajbari,10,7,1980,30.1,37.3,32.1,28.1,79.8,,9.4,1000.2,,,26.1
Rajbari,11,7,1980,28.2,33.6,31.1,27.0,88.0,,13.0,1000.8,,,25.9
Rajbari,12,7,1980,,,,,,,0.0,,,,
Rajbari,13,7,1980,30.6,39.2,31.1,30.1,79.4,,3.6,1000.9,,,26.6
Rajbari,14,7,1980,28.2,34.7,29.5,27.1,92.5,,10.9,1000.3,,,26.9
Rajbari,15,7,1980,27.7,32.6,30.1,27.0,91.3,,16.6,1000.1,,,26.1
Rajbari,16,7,1980,26.9,30.2,27.1,26.1,94.3,,16.6,1003.1,,,25.9
Rajbari,17,7,1980,27.7,33.0,29.1,27.1,92.8,,3.6,1004.4,,,26.4
Rajbari,18,7,1980,28.4,33.7,30.5,26.6,88.7,,9.4,1003.7,,,26.3
Rajbari,19,7,1980,28.1,33.5,30.1,27.1,89.4,,0.0,1001.1,,,26.1
Rajbari,20,7,1980,27.9,32.9,29.1,26.1,92.4,,3.6,1000.7,,,26.5
Rajbari,21,7,1980,27.6,31.4,29.1,25.1,85.7,,0.0,999.8,,,24.9
Rajbari,22,7,1980,27.9,32.0,31.1,25.1,89.0,,6.4,999.0,,,25.8
