district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rangpur,1,1,1980,14.6,14.6,16.1,13.1,90.8,,3.6,1014.0,,,13.1
Rangpur,2,1,1980,16.3,16.3,17.1,15.1,89.1,,3.6,1015.0,,,14.5
Rangpur,3,1,1980,17.9,17.9,20.1,15.1,84.3,,3.6,1015.5,,,15.1
Rangpur,4,1,1980,16.6,16.6,21.1,13.1,84.8,,7.6,1017.2,,,13.8
Rangpur,5,1,1980,22.8,22.8,24.1,22.1,56.0,,11.2,1016.8,,,13.4
Rangpur,6,1,1980,14.1,14.1,15.1,13.1,79.5,,3.6,1016.4,,,10.6
Rangpur,7,1,1980,17.9,17.9,22.1,12.1,59.2,,7.6,1018.0,,,9.3
Rangpur,8,1,1980,17.9,17.9,24.1,11.1,70.1,,3.6,1016.3,,,11.9
Rangpur,9,1,1980,,,,,,,0.0,,,,
Rangpur,10,1,1980,19.9,19.9,23.1,15.1,63.8,,18.4,1012.8,,,12.6
Rangpur,11,1,1980,15.9,15.9,23.1,10.1,76.7,,61.2,1013.8,,,11.1
Rangpur,12,1,1980,13.9,13.9,19.1,9.1,87.2,,0.0,1016.6,,,11.6
Rangpur,13,1,1980,16.6,16.6,23.1,12.1,68.8,,3.6,1016.5,,,10.3
Rangpur,14,1,1980,13.1,13.1,16.1,10.1,85.3,,3.6,1017.9,,,10.6
Rangpur,15,1,1980,17.6,17.6,24.1,11.1,58.5,,3.6,1017.4,,,7.6
Rangpur,16,1,1980,14.8,14.8,19.1,10.1,55.5,,0.0,1017.4,,,-0.6
Rangpur,17,1,1980,20.4,20.4,23.1,17.1,63.2,,0.0,1016.4,,,12.8
Rangpur,18,1,1980,18.6,18.6,23.1,13.1,73.1,,3.6,1018.4,,,13.4
Rangpur,19,1,1980,20.1,20.1,26.1,12.1,63.9,,3.6,1018.5,,,12.1
Rangpur,20,1,1980,17.4,17.4,23.1,12.1,81.1,,3.6,1017.9,,,13.8
Rangpur,21,1,1980,17.6,17.6,24.1,13.1,81.6,,0.0,1016.9,,,14.1
Rangpur,22,1,1980,20.4,20.4,26.1,11.1,58.7,,5.4,1014.5,,,10.6
Rangpur,23,1,1980,18.1,18.1,23.1,15.1,69.3,,0.0,1013.6,,,12.1
Rangpur,24,1,1980,17.4,17.4,21.1,12.1,64.2,,5.4,1014.0,,,10.1
Rangpur,25,1,1980,20.4,20.4,24.1,14.1,66.9,,5.4,1015.3,,,13.4
Rangpur,26,1,1980,17.0,17.0,24.1,12.1,76.6,,7.6,1012.3,,,12.4
Rangpur,27,1,1980,19.1,19.1,26.1,12.1,66.9,,7.6,1010.8,,,11.4
Rangpur,28,1,1980,25.1,25.1,26.1,24.1,46.0,,7.6,1007.5,,,12.6
Rangpur,29,1,1980,19.6,19.6,23.1,16.1,54.6,,13.0,1007.4,,,9.4
Rangpur,30,1,1980,16.1,16.1,21.1,11.1,58.5,,9.4,1011.1,,,7.4
Rangpur,31,1,1980,17.4,17.4,22.1,11.1,63.5,,3.6,1013.1,,,9.6
Rangpur,1,2,1980,16.1,16.1,24.1,10.1,69.3,,3.6,1013.7,,,9.6
Rangpur,2,2,1980,20.7,20.7,25.1,17.1,53.8,,3.6,1014.2,,,10.5
Rangpur,3,2,1980,18.1,18.1,22.1,16.1,67.0,,0.0,1015.5,,,11.8
Rangpur,4,2,1980,19.1,19.1,22.1,16.1,87.1,,3.6,1014.0,,,16.9
Rangpur,5,2,1980,15.6,15.6,16.1,15.1,100.0,,3.6,1013.0,,,15.6
Rangpur,6,2,1980,20.3,20.3,24.1,14.1,58.3,,27.7,1013.0,,,11.1
Rangpur,7,2,1980,15.7,15.7,20.1,9.1,53.2,,3.6,1014.9,,,5.3
Rangpur,8,2,1980,13.9,13.9,20.1,8.1,70.7,,0.0,1016.3,,,7.9
Rangpur,9,2,1980,18.8,18.8,24.1,11.1,54.2,,3.6,1015.2,,,7.5
Rangpur,10,2,1980,16.8,16.8,25.1,11.1,64.3,,3.6,1014.7,,,9.1
Rangpur,11,2,1980,17.9,17.8,27.1,11.1,60.6,,9.4,1016.4,,,8.3
Rangpur,12,2,1980,21.5,21.5,26.1,17.1,36.0,,3.6,1016.4,,,3.1
Rangpur,13,2,1980,18.7,18.6,27.1,11.1,59.7,,0.0,1015.1,,,9.5
Rangpur,14,2,1980,20.6,20.6,26.1,12.1,59.2,,3.6,1014.2,,,11.6
Rangpur,15,2,1980,21.9,21.9,26.1,14.1,60.5,,5.4,1013.2,,,13.5
Rangpur,16,2,1980,22.4,21.9,30.1,17.1,62.0,,3.6,1012.4,,,11.9
