district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Satkhira,1,1,1980,20.1,20.1,26.1,14.1,68.0,0.0,7.6,1013.6,,,13.5
Satkhira,2,1,1980,19.2,19.2,22.1,17.1,81.0,0.0,16.6,1012.9,,,15.8
Satkhira,3,1,1980,19.4,19.4,23.1,17.1,81.4,9.0,11.2,1014.2,,,16.0
Satkhira,4,1,1980,19.4,19.4,24.1,16.1,72.0,0.0,14.8,1016.4,,,13.5
Satkhira,5,1,1980,18.9,18.9,26.1,14.1,66.9,0.0,14.8,1016.4,,,11.5
Satkhira,6,1,1980,18.5,18.5,24.1,14.1,67.3,0.0,14.8,1016.6,,,11.7
Satkhira,7,1,1980,17.4,17.4,22.1,12.1,60.8,0.0,11.2,1017.9,,,9.1
Satkhira,8,1,1980,15.7,15.7,22.1,11.1,74.1,0.0,9.4,1017.0,,,10.6
Satkhira,9,1,1980,15.7,15.7,23.1,11.1,64.4,0.0,11.2,1015.4,,,7.6
Satkhira,10,1,1980,15.5,15.5,22.1,10.1,69.7,0.0,9.4,1013.7,,,9.0
Satkhira,11,1,1980,16.4,16.4,24.1,10.1,64.5,0.0,7.6,1014.3,,,8.0
Satkhira,12,1,1980,17.1,17.1,25.1,10.1,62.7,0.0,9.4,1016.1,,,8.2
Satkhira,13,1,1980,20.4,20.4,27.1,12.1,58.2,0.0,3.6,1015.9,,,10.9
Satkhira,14,1,1980,18.8,18.8,24.1,15.1,68.6,0.0,7.6,1016.8,,,12.4
Satkhira,15,1,1980,19.9,19.8,27.1,15.1,61.8,0.0,5.4,1016.9,,,11.7
Satkhira,16,1,1980,21.4,21.3,30.1,15.1,60.8,0.0,3.6,1016.2,,,12.5
Satkhira,17,1,1980,22.0,22.1,29.1,17.1,73.2,0.0,7.6,1016.0,,,16.7
Satkhira,18,1,1980,22.7,23.0,27.1,19.1,80.6,0.0,7.6,1016.4,,,19.1
Satkhira,19,1,1980,22.1,22.4,28.1,17.1,79.6,0.0,3.6,1017.3,,,18.1
Satkhira,20,1,1980,22.0,21.9,28.1,17.1,68.5,0.0,9.4,1015.8,,,15.2
Satkhira,21,1,1980,20.5,20.3,28.1,14.1,65.4,0.0,7.6,1016.0,,,12.4
Satkhira,22,1,1980,20.5,20.3,28.1,14.1,64.5,0.0,7.6,1015.0,,,12.2
Satkhira,23,1,1980,19.4,19.4,24.1,15.1,79.7,2.0,9.4,1012.3,,,15.7
Satkhira,24,1,1980,19.4,19.4,24.1,16.1,68.4,0.0,9.4,1013.1,,,12.4
Satkhira,25,1,1980,18.4,18.4,26.1,12.1,59.6,0.0,7.6,1015.2,,,9.5
Satkhira,26,1,1980,19.0,18.9,27.1,13.1,63.3,0.0,3.6,1012.7,,,10.7
Satkhira,27,1,1980,21.5,21.5,30.1,15.1,71.3,0.0,40.7,1010.1,,,15.2
Satkhira,28,1,1980,24.8,24.4,30.1,20.1,67.4,0.0,9.4,1007.5,,,16.7
Satkhira,29,1,1980,22.5,22.4,29.1,18.1,62.4,0.0,9.4,1007.9,,,14.1
Satkhira,30,1,1980,19.2,19.2,25.1,15.1,53.8,0.0,11.2,1011.0,,,8.6
Satkhira,31,1,1980,17.5,17.5,25.1,11.1,59.6,0.0,7.6,1013.4,,,8.4
Satkhira,1,2,1980,17.5,17.5,25.1,10.1,64.6,0.0,5.4,1013.6,,,9.7
Satkhira,2,2,1980,19.4,19.4,27.1,11.1,59.5,0.0,11.2,1013.8,,,10.8
Satkhira,3,2,1980,21.2,21.6,27.1,16.1,83.6,0.0,7.6,1013.6,,,18.2
Satkhira,4,2,1980,23.8,24.6,29.1,20.1,84.3,0.0,11.2,1012.1,,,20.8
Satkhira,5,2,1980,22.0,22.0,26.1,19.1,87.7,27.0,9.4,1012.4,,,19.7
Satkhira,6,2,1980,22.1,22.1,25.1,19.1,69.7,0.0,9.4,1013.3,,,15.6
Satkhira,7,2,1980,18.6,18.6,23.1,14.1,66.6,0.0,9.4,1014.8,,,11.5
Satkhira,8,2,1980,17.8,17.8,25.1,12.1,67.0,0.0,9.4,1016.3,,,10.6
Satkhira,9,2,1980,19.4,19.4,26.1,12.1,67.8,0.0,7.6,1015.4,,,12.4
Satkhira,10,2,1980,20.1,20.0,28.1,13.1,68.4,0.0,7.6,1014.4,,,13.1
Satkhira,11,2,1980,21.7,21.8,28.1,14.1,72.6,0.0,9.4,1016.1,,,16.2
Satkhira,12,2,1980,21.2,21.2,27.1,16.1,54.4,0.0,9.4,1015.8,,,10.9
Satkhira,13,2,1980,21.1,20.8,28.1,14.1,52.2,0.0,9.4,1015.1,,,9.8
Satkhira,14,2,1980,21.9,21.7,28.1,14.1,59.5,0.0,7.6,1013.8,,,12.7
