district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Shariatpur,1,1,1980,20.2,20.2,25.3,15.0,77.1,,9.9,1013.2,,,15.6
Shariatpur,2,1,1980,19.2,19.2,23.8,14.6,74.2,,8.3,1013.6,,,14.1
Shariatpur,3,1,1980,20.1,20.1,24.4,15.7,75.5,,22.3,1014.2,,,15.4
Shariatpur,4,1,1980,20.4,20.4,26.1,16.1,70.4,,16.6,1015.1,,,14.6
Shariatpur,5,1,1980,20.4,20.4,24.0,17.3,73.7,,15.5,1015.7,,,15.3
Shariatpur,6,1,1980,19.9,19.9,26.1,15.8,69.9,,14.8,1015.5,,,13.8
Shariatpur,7,1,1980,19.6,19.6,23.9,15.2,70.9,,17.5,1016.1,,,13.6
Shariatpur,8,1,1980,18.7,18.7,22.8,15.1,72.0,,16.6,1016.0,,,13.2
Shariatpur,9,1,1980,18.3,18.3,23.8,13.1,74.7,,11.9,1014.9,,,13.4
Shariatpur,10,1,1980,17.7,17.7,23.0,12.3,72.3,,20.3,1013.0,,,12.4
Shariatpur,11,1,1980,16.9,16.9,23.8,13.0,81.3,,17.9,1014.0,,,13.4
Shariatpur,12,1,1980,17.5,17.5,23.0,11.1,73.8,,17.9,1015.7,,,12.3
Shariatpur,13,1,1980,19.7,19.7,25.0,14.0,64.0,,16.5,1015.7,,,12.0
Shariatpur,14,1,1980,20.7,20.7,25.6,14.3,63.5,,14.8,1016.3,,,12.8
Shariatpur,15,1,1980,20.8,20.8,27.1,14.8,65.7,,16.0,1016.0,,,13.4
Shariatpur,16,1,1980,19.1,19.1,25.4,14.4,67.3,,15.0,1017.3,,,12.1
Shariatpur,17,1,1980,19.1,19.1,24.8,13.1,68.1,,9.6,1016.3,,,12.7
Shariatpur,18,1,1980,21.1,21.1,26.5,14.9,63.9,,14.8,1017.1,,,13.2
Shariatpur,19,1,1980,20.2,20.2,25.8,15.0,70.5,,6.9,1016.7,,,14.1
Shariatpur,20,1,1980,20.4,20.4,27.3,14.5,67.5,,14.2,1016.6,,,13.6
Shariatpur,21,1,1980,21.2,21.2,26.6,16.4,69.1,,12.3,1016.1,,,14.9
Shariatpur,22,1,1980,20.2,20.2,26.3,14.8,66.0,,20.8,1015.1,,,12.9
Shariatpur,23,1,1980,20.3,20.3,25.1,14.3,66.4,,18.4,1013.1,,,13.2
Shariatpur,24,1,1980,19.7,19.7,26.2,13.1,71.9,,7.4,1013.4,,,13.8
Shariatpur,25,1,1980,18.7,18.7,24.6,13.1,69.9,,15.6,1014.6,,,12.8
Shariatpur,26,1,1980,20.2,20.2,25.9,14.2,64.2,,7.6,1012.7,,,12.7
Shariatpur,27,1,1980,20.6,20.6,26.3,16.6,62.5,,14.6,1011.4,,,12.7
Shariatpur,28,1,1980,20.3,20.3,25.8,16.8,77.9,,15.6,1008.3,,,16.1
Shariatpur,29,1,1980,23.7,23.7,26.4,19.3,71.6,,21.9,1008.5,,,18.1
Shariatpur,30,1,1980,21.6,21.6,24.4,18.6,58.7,,21.5,1010.5,,,12.5
Shariatpur,31,1,1980,20.0,20.0,24.0,15.1,56.3,,13.2,1012.7,,,9.9
Shariatpur,1,2,1980,17.7,17.7,24.0,11.9,66.2,,13.6,1013.8,,,10.7
Shariatpur,2,2,1980,19.2,19.2,24.7,13.2,62.3,,17.2,1014.4,,,11.0
Shariatpur,3,2,1980,20.0,20.0,25.1,14.2,64.4,,9.4,1014.1,,,12.6
Shariatpur,4,2,1980,22.1,22.1,28.4,16.0,66.9,,9.4,1013.7,,,15.0
Shariatpur,5,2,1980,21.2,21.2,26.2,16.8,82.5,,17.9,1012.9,,,17.8
Shariatpur,6,2,1980,21.4,21.4,25.1,16.8,80.6,,11.7,1013.5,,,17.8
Shariatpur,7,2,1980,21.5,21.5,25.6,16.8,58.8,,9.7,1014.2,,,12.4
Shariatpur,8,2,1980,19.3,19.3,24.1,14.2,66.6,,13.9,1016.3,,,12.3
Shariatpur,9,2,1980,19.4,19.4,24.8,13.3,58.0,,14.4,1015.5,,,10.0
Shariatpur,10,2,1980,20.2,20.2,25.8,14.6,60.7,,10.2,1014.9,,,11.4
Shariatpur,11,2,1980,22.0,21.9,27.6,14.3,53.1,,10.1,1016.6,,,11.0
Shariatpur,12,2,1980,20.9,20.9,27.6,15.8,60.8,,6.5,1016.0,,,12.1
Shariatpur,13,2,1980,21.0,20.9,27.5,14.9,62.3,,7.2,1014.9,,,12.6
Shariatpur,14,2,1980,21.8,21.7,28.3,14.9,60.4,,14.5,1013.8,,,13.1
Shariatpur,15,2,1980,21.9,21.8,28.2,15.1,61.8,,15.6,1013.8,,,13.5
Shariatpur,16,2,1980,23.1,23.1,30.0,16.2,64.6,,9.6,1013.2,,,15.6
Shariatpur,17,2,1980,23.2,23.4,27.7,17.3,71.4,,19.0,1013.4,,,17.4
Shariatpur,18,2,1980,21.1,21.1,23.3,18.4,81.6,,19.0,1014.6,,,17.7
Shariatpur,19,2,1980,21.2,21.2,27.3,16.6,75.4,,11.9,1015.0,,,16.1
Shariatpur,20,2,1980,22.5,22.4,29.0,18.1,70.9,,12.3,1015.2,,,16.1
Shariatpur,21,2,1980,26.0,25.9,29.1,22.1,54.4,,27.7,1015.0,,,15.6
Shariatpur,22,2,1980,23.9,24.2,28.0,18.6,66.7,,17.5,1013.9,,,16.9
Shariatpur,23,2,1980,22.2,22.2,25.7,18.6,77.6,,12.7,1013.4,,,18.0
Shariatpur,24,2,1980,28.8,28.9,28.8,28.8,45.2,,14.7,1010.0,,,15.8
Shariatpur,25,2,1980,24.7,25.3,29.1,21.0,75.1,,24.3,1009.9,,,19.8
Shariatpur,26,2,1980,24.6,24.7,29.6,19.3,61.2,,17.6,1011.4,,,16.1
Shariatpur,27,2,1980,25.5,25.1,30.0,19.0,57.4,,14.4,1008.6,,,15.1
Shariatpur,28,2,1980,25.5,26.4,28.1,20.8,72.7,,22.9,1008.0,,,20.1
Shariatpur,29,2,1980,24.5,25.1,28.6,20.6,80.2,,22.1,1009.4,,,20.7
Shariatpur,1,3,1980,22.9,23.4,29.2,19.0,72.1,,22.2,1011.8,,,17.5
Shariatpur,2,3,1980,20.7,20.7,25.3,17.1,80.8,,40.7,1010.3,,,17.1
Shariatpur,3,3,1980,21.9,22.0,26.8,17.6,76.0,,24.1,1010.3,,,17.2
Shariatpur,4,3,1980,22.2,22.6,27.1,19.1,81.1,,35.8,1011.7,,,18.7
Shariatpur,5,3,1980,22.2,22.4,26.8,16.1,81.6,,20.5,1009.6,,,18.7
Shariatpur,6,3,1980,25.8,27.4,28.3,21.2,76.4,,17.6,1009.7,,,21.2
Shariatpur,7,3,1980,25.0,26.0,28.3,22.1,82.6,,32.5,1008.6,,,21.8
Shariatpur,8,3,1980,26.4,27.6,29.3,21.1,69.9,,21.5,1008.6,,,20.2
Shariatpur,9,3,1980,25.9,27.0,28.5,21.1,68.0,,11.3,1012.4,,,19.3
Shariatpur,10,3,1980,25.5,26.6,30.0,20.1,71.0,,7.9,1010.9,,,19.6
Shariatpur,11,3,1980,27.1,28.5,33.1,20.8,64.5,,16.6,1011.4,,,19.3
Shariatpur,12,3,1980,25.9,26.0,31.8,20.3,56.6,,19.4,1011.8,,,16.2
Shariatpur,13,3,1980,25.5,25.6,31.3,18.9,56.1,,13.6,1012.5,,,15.5
Shariatpur,14,3,1980,25.1,24.7,31.1,19.2,51.1,,17.5,1013.2,,,13.1
Shariatpur,15,3,1980,25.7,25.5,32.0,19.6,50.9,,19.3,1012.0,,,14.3
Shariatpur,16,3,1980,26.0,26.5,30.6,19.1,55.9,,14.2,1011.3,,,16.3
Shariatpur,17,3,1980,25.8,27.0,29.0,21.3,73.6,,15.6,1013.0,,,20.6
Shariatpur,18,3,1980,25.3,26.3,30.0,21.0,75.7,,13.5,1012.7,,,20.5
Shariatpur,19,3,1980,24.0,24.5,27.6,22.0,82.5,,12.3,1011.5,,,20.8
