district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Tangail,1,1,1980,18.9,18.9,25.1,12.1,71.6,,9.4,1012.9,,,12.9
Tangail,2,1,1980,16.8,16.8,21.1,14.1,86.4,,9.4,1014.3,,,14.4
Tangail,3,1,1980,18.3,18.3,23.1,15.1,85.7,,4.7,1014.5,,,15.7
Tangail,4,1,1980,17.8,17.8,23.1,14.1,78.2,,3.6,1016.5,,,13.6
Tangail,5,1,1980,18.2,18.2,24.1,14.1,71.9,,5.4,1016.0,,,12.7
Tangail,6,1,1980,17.3,17.3,22.1,13.1,75.1,,9.4,1016.3,,,12.4
Tangail,7,1,1980,17.8,17.8,22.1,14.1,64.3,,37.1,1017.1,,,10.4
Tangail,8,1,1980,17.4,17.4,23.1,11.1,70.3,,3.6,1016.2,,,11.6
Tangail,9,1,1980,18.4,18.4,23.1,13.1,69.8,,3.6,1015.1,,,12.4
Tangail,10,1,1980,17.7,17.7,23.1,13.1,71.9,,9.4,1013.0,,,12.1
Tangail,11,1,1980,16.2,16.2,23.1,10.1,75.0,,3.6,1014.2,,,11.4
Tangail,12,1,1980,16.1,16.1,23.1,9.1,71.5,,0.0,1016.3,,,10.4
Tangail,13,1,1980,17.5,17.5,25.1,11.1,68.1,,0.0,1015.7,,,10.8
Tangail,14,1,1980,18.6,18.6,25.1,12.1,68.5,,0.0,1017.2,,,11.9
Tangail,15,1,1980,19.1,19.1,25.1,12.1,60.7,,9.4,1017.1,,,10.3
Tangail,16,1,1980,16.7,16.7,24.1,10.1,62.4,,5.4,1017.5,,,7.9
Tangail,17,1,1980,18.2,18.2,24.1,12.1,66.8,,0.0,1016.4,,,11.6
Tangail,18,1,1980,19.9,19.9,27.1,13.1,65.7,,9.4,1016.9,,,12.5
Tangail,19,1,1980,19.9,19.9,27.1,12.1,69.7,,0.0,1017.4,,,13.6
Tangail,20,1,1980,19.8,19.7,27.1,13.1,65.5,,9.4,1016.5,,,12.1
Tangail,21,1,1980,19.9,19.9,26.1,12.1,66.7,,9.4,1015.9,,,12.6
Tangail,22,1,1980,19.8,19.7,27.1,11.1,61.4,,16.6,1014.8,,,11.0
