district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Thakurgaon,1,1,1980,15.7,15.7,20.1,11.1,72.0,,5.5,1014.3,,,10.3
Thakurgaon,2,1,1980,16.4,16.4,19.0,12.1,83.3,,7.5,1014.5,,,13.5
Thakurgaon,3,1,1980,17.9,17.9,20.1,15.1,82.2,,4.2,1015.4,,,14.7
Thakurgaon,4,1,1980,17.4,17.4,23.1,11.1,75.6,,5.3,1017.1,,,12.5
Thakurgaon,5,1,1980,18.6,18.6,24.1,12.0,69.1,,11.2,1016.6,,,12.2
Thakurgaon,6,1,1980,16.7,16.7,21.1,11.1,69.4,,3.6,1016.5,,,10.7
Thakurgaon,7,1,1980,16.3,16.3,22.4,10.0,67.8,,7.6,1017.5,,,9.7
Thakurgaon,8,1,1980,17.4,17.4,24.1,11.0,74.7,,40.3,1016.8,,,12.2
Thakurgaon,9,1,1980,17.1,17.1,21.1,8.1,71.1,,14.8,1015.6,,,11.3
Thakurgaon,10,1,1980,18.0,18.0,23.1,10.0,69.3,,3.6,1013.0,,,11.9
Thakurgaon,11,1,1980,16.1,16.1,24.8,11.0,77.0,,61.2,1013.6,,,11.6
Thakurgaon,12,1,1980,16.6,16.6,23.1,9.1,73.3,,9.4,1016.5,,,11.1
Thakurgaon,13,1,1980,16.7,16.7,22.1,10.1,70.1,,0.1,1016.2,,,10.7
Thakurgaon,14,1,1980,16.3,16.3,23.1,10.1,74.8,,11.2,1016.5,,,11.2
Thakurgaon,15,1,1980,17.6,17.6,24.1,9.0,63.2,,3.6,1017.0,,,9.4
Thakurgaon,16,1,1980,17.0,17.0,23.1,7.1,54.6,,14.8,1017.2,,,5.2
Thakurgaon,17,1,1980,16.6,16.6,22.1,9.1,72.6,,0.1,1017.1,,,11.1
Thakurgaon,18,1,1980,17.3,17.3,24.1,9.1,73.3,,14.8,1018.4,,,11.6
Thakurgaon,19,1,1980,19.6,19.6,25.3,11.3,64.0,,4.2,1018.1,,,11.7
Thakurgaon,20,1,1980,17.2,17.2,23.0,11.1,77.9,,3.9,1017.6,,,13.1
Thakurgaon,21,1,1980,18.0,18.0,24.1,12.1,77.3,,9.4,1016.2,,,13.4
Thakurgaon,22,1,1980,19.6,19.6,26.1,12.0,68.0,,0.2,1014.8,,,12.5
Thakurgaon,23,1,1980,18.6,18.6,23.1,12.1,72.0,,14.8,1012.6,,,13.0
Thakurgaon,24,1,1980,18.0,18.0,24.1,12.1,64.5,,7.4,1013.2,,,10.7
Thakurgaon,25,1,1980,17.4,17.4,24.1,13.1,77.9,,11.0,1015.3,,,13.0
Thakurgaon,26,1,1980,17.5,17.5,24.1,11.3,74.1,,9.4,1012.6,,,12.3
Thakurgaon,27,1,1980,19.4,19.4,25.0,12.1,63.6,,8.8,1008.6,,,11.5
Thakurgaon,28,1,1980,20.9,20.9,23.1,16.1,60.2,,7.6,1008.7,,,12.4
Thakurgaon,29,1,1980,19.4,19.4,24.1,14.3,55.4,,20.5,1008.0,,,8.9
Thakurgaon,30,1,1980,16.2,16.2,21.0,10.0,54.1,,3.7,1010.3,,,6.2
Thakurgaon,31,1,1980,17.0,17.0,23.1,10.3,66.8,,4.2,1012.9,,,9.7
Thakurgaon,1,2,1980,16.5,16.5,24.1,10.0,70.2,,5.0,1014.8,,,10.3
Thakurgaon,2,2,1980,17.8,17.8,25.1,10.1,65.3,,3.6,1014.4,,,10.2
Thakurgaon,3,2,1980,17.4,17.4,23.1,12.1,68.2,,11.2,1014.3,,,11.1
Thakurgaon,4,2,1980,19.3,19.3,26.9,13.1,65.3,,11.2,1013.4,,,11.7
Thakurgaon,5,2,1980,17.7,17.7,23.1,13.1,82.2,,22.3,1012.5,,,14.1
Thakurgaon,6,2,1980,18.6,18.6,23.3,13.1,63.4,,20.6,1012.7,,,10.8
Thakurgaon,7,2,1980,14.9,14.9,20.1,9.0,59.6,,5.0,1014.5,,,6.5
Thakurgaon,8,2,1980,15.0,15.0,21.1,8.1,71.7,,7.6,1015.6,,,9.1
Thakurgaon,9,2,1980,17.9,17.9,23.0,11.1,59.2,,5.6,1015.2,,,8.4
Thakurgaon,10,2,1980,15.7,15.7,24.0,10.0,67.7,,5.4,1014.5,,,9.2
Thakurgaon,11,2,1980,17.4,17.4,26.0,9.1,65.0,,11.2,1016.1,,,9.5
Thakurgaon,12,2,1980,18.1,18.1,25.3,12.1,63.3,,7.5,1016.6,,,10.0
Thakurgaon,13,2,1980,18.3,18.2,27.1,12.1,62.4,,9.4,1015.3,,,10.1
Thakurgaon,14,2,1980,19.7,19.7,27.1,13.0,64.9,,7.6,1014.2,,,12.1
Thakurgaon,15,2,1980,21.4,21.3,27.1,13.3,57.4,,9.4,1013.8,,,11.9
Thakurgaon,16,2,1980,21.4,21.3,28.1,15.0,61.9,,5.4,1012.8,,,13.2
Thakurgaon,17,2,1980,19.4,19.4,26.1,15.1,72.3,,11.2,1012.8,,,13.8
Thakurgaon,18,2,1980,18.5,18.5,23.1,13.1,81.3,,11.0,1011.4,,,14.9
Thakurgaon,19,2,1980,19.3,19.3,24.1,15.1,78.2,,14.8,1015.1,,,14.9
Thakurgaon,20,2,1980,20.7,20.7,26.1,15.1,71.2,,61.2,1016.3,,,15.0
Thakurgaon,21,2,1980,21.5,21.5,27.6,15.1,67.8,,6.8,1015.3,,,14.6
Thakurgaon,22,2,1980,19.3,19.3,26.1,15.1,75.4,,5.4,1014.3,,,14.4
Thakurgaon,23,2,1980,22.3,22.2,28.1,15.1,63.1,,7.6,1010.8,,,14.1
Thakurgaon,24,2,1980,19.8,19.8,21.6,17.1,77.2,,18.4,1013.4,,,15.6
Thakurgaon,25,2,1980,23.6,23.6,28.6,20.0,50.1,,20.9,1007.7,,,12.0
Thakurgaon,26,2,1980,20.2,20.1,28.1,15.1,66.5,,11.2,1011.0,,,12.7
Thakurgaon,27,2,1980,22.4,22.2,29.1,16.0,62.0,,7.6,1009.4,,,13.5
Thakurgaon,28,2,1980,22.8,22.6,30.3,17.1,64.5,,9.3,1006.7,,,14.9
Thakurgaon,29,2,1980,21.3,21.3,24.1,18.1,77.0,,18.4,1008.3,,,16.9
Thakurgaon,1,3,1980,20.5,20.5,22.6,17.1,84.2,,7.5,1011.2,,,17.7
Thakurgaon,2,3,1980,21.8,21.7,27.4,17.1,67.7,,12.8,1006.0,,,14.7
Thakurgaon,3,3,1980,20.3,20.3,23.1,16.0,66.1,,16.5,1009.2,,,13.5
Thakurgaon,4,3,1980,16.9,16.9,18.1,14.1,82.6,,12.8,1010.6,,,13.9
Thakurgaon,5,3,1980,20.3,20.3,26.1,16.1,70.3,,9.3,1008.6,,,14.1
Thakurgaon,6,3,1980,22.9,22.9,25.1,18.0,69.0,,14.8,1008.4,,,16.7
Thakurgaon,7,3,1980,23.1,23.0,28.6,17.1,64.7,,13.4,1006.0,,,15.1
Thakurgaon,8,3,1980,22.4,22.2,28.3,15.1,53.1,,13.0,1007.9,,,11.2
Thakurgaon,9,3,1980,23.0,22.6,31.1,16.1,58.8,,25.9,1011.7,,,12.5
Thakurgaon,10,3,1980,22.7,22.7,30.7,17.0,66.8,,11.4,1011.2,,,15.5
Thakurgaon,11,3,1980,24.5,23.8,30.1,14.1,47.9,,11.2,1012.9,,,10.7
Thakurgaon,12,3,1980,23.2,22.9,29.8,18.9,50.7,,3.7,1012.2,,,11.3
Thakurgaon,13,3,1980,23.1,22.6,30.1,15.0,43.1,,9.5,1012.7,,,7.8
Thakurgaon,14,3,1980,21.8,21.4,30.1,12.1,48.9,,1.9,1014.3,,,9.0
Thakurgaon,15,3,1980,22.7,22.2,32.1,14.1,54.1,,3.6,1011.9,,,10.7
Thakurgaon,16,3,1980,26.1,28.6,34.1,15.1,66.2,,11.2,1009.5,,,14.9
Thakurgaon,17,3,1980,24.4,24.1,30.1,18.0,53.1,,18.4,1010.8,,,13.6
Thakurgaon,18,3,1980,24.6,24.6,31.6,19.1,59.4,,41.2,1011.4,,,15.8
Thakurgaon,19,3,1980,24.7,24.9,33.3,19.1,63.7,,14.8,1010.3,,,16.7
Thakurgaon,20,3,1980,24.5,24.8,30.1,19.1,64.4,,22.3,1011.4,,,17.0
Thakurgaon,21,3,1980,26.2,26.5,33.1,19.1,60.4,,13.0,1012.4,,,17.3
Thakurgaon,22,3,1980,26.5,26.5,32.1,20.1,59.3,,13.0,1010.1,,,17.1
Thakurgaon,23,3,1980,27.2,26.8,35.3,20.1,52.0,,12.4,1004.8,,,14.8
Thakurgaon,24,3,1980,28.8,29.5,35.1,24.1,55.4,,11.3,1009.7,,,18.5
Thakurgaon,25,3,1980,28.0,28.1,36.1,21.0,55.7,,14.8,1009.0,,,17.2
Thakurgaon,26,3,1980,29.2,30.7,34.1,22.0,57.4,,12.9,1009.5,,,19.4
Thakurgaon,27,3,1980,28.9,29.1,33.0,25.1,48.7,,11.2,1009.9,,,16.5
Thakurgaon,28,3,1980,28.3,28.2,34.1,20.1,49.2,,18.4,1010.7,,,15.3
Thakurgaon,29,3,1980,27.0,26.3,34.0,21.1,45.8,,25.7,1010.7,,,12.8
Thakurgaon,30,3,1980,23.5,23.7,28.1,19.1,68.6,,13.0,1009.7,,,17.0
Thakurgaon,31,3,1980,24.7,24.7,31.7,18.0,64.2,,11.2,1010.7,,,16.6
Thakurgaon,1,4,1980,26.9,26.8,34.3,18.1,54.2,,7.5,1012.5,,,15.7
Thakurgaon,2,4,1980,31.0,30.9,34.1,25.6,36.5,,18.4,1011.1,,,14.3
Thakurgaon,3,4,1980,29.7,30.7,34.7,24.3,53.2,,8.0,1008.2,,,18.6
Thakurgaon,4,4,1980,27.6,28.3,32.0,23.9,58.3,,18.4,1008.6,,,18.4
Thakurgaon,5,4,1980,28.9,31.3,34.7,23.0,63.2,,15.9,1008.4,,,20.9
Thakurgaon,6,4,1980,27.9,28.6,35.7,21.1,56.0,,16.6,1010.6,,,17.8
Thakurgaon,7,4,1980,30.9,31.6,38.0,25.1,51.9,,6.8,1007.8,,,18.1
Thakurgaon,8,4,1980,27.7,27.9,32.2,22.1,56.8,,18.4,1005.3,,,17.6
Thakurgaon,9,4,1980,28.4,29.5,35.1,24.0,60.6,,14.8,1002.9,,,19.6
Thakurgaon,10,4,1980,29.7,30.5,38.6,22.1,53.7,,22.3,1000.9,,,17.4
Thakurgaon,11,4,1980,28.6,30.1,34.1,24.1,61.4,,18.4,1001.9,,,20.0
Thakurgaon,12,4,1980,29.1,31.4,37.3,23.7,63.5,,7.7,1002.6,,,21.0
Thakurgaon,13,4,1980,31.8,35.0,37.3,26.3,56.4,,22.3,1002.3,,,21.6
Thakurgaon,14,4,1980,27.1,29.9,34.1,13.2,69.2,,14.8,1003.7,,,20.6
Thakurgaon,15,4,1980,32.0,32.5,40.1,26.0,49.2,,25.9,1003.4,,,17.8
Thakurgaon,16,4,1980,30.8,32.3,39.9,24.1,56.3,,18.4,1004.6,,,19.3
Thakurgaon,17,4,1980,30.9,31.7,37.1,25.1,55.5,,5.5,1004.7,,,19.3
Thakurgaon,18,4,1980,31.1,33.4,39.1,23.1,59.1,,13.1,1004.5,,,20.9
Thakurgaon,19,4,1980,27.4,28.6,33.7,24.0,63.2,,12.8,1005.1,,,19.6
Thakurgaon,20,4,1980,25.1,25.4,31.0,21.1,76.1,,24.1,1009.9,,,20.2
Thakurgaon,21,4,1980,26.2,26.9,31.5,22.1,68.4,,12.5,1008.4,,,19.3
Thakurgaon,22,4,1980,28.2,31.7,32.4,25.1,76.5,,14.8,1004.4,,,23.5
Thakurgaon,23,4,1980,29.4,33.7,35.0,25.1,74.9,,13.0,1000.8,,,24.1
Thakurgaon,24,4,1980,29.9,32.1,35.0,25.1,59.7,,18.2,999.1,,,20.5
Thakurgaon,25,4,1980,31.0,35.7,36.1,26.1,68.6,,24.1,1002.5,,,23.8
Thakurgaon,26,4,1980,30.4,34.9,35.1,27.0,66.9,,22.3,1004.8,,,23.2
Thakurgaon,27,4,1980,28.5,30.8,37.0,25.0,74.7,,18.4,1004.7,,,22.9
Thakurgaon,28,4,1980,30.1,34.9,36.1,24.1,72.8,,22.3,1004.4,,,24.3
Thakurgaon,29,4,1980,30.2,34.9,34.7,27.1,68.9,,18.4,1005.6,,,23.6
Thakurgaon,30,4,1980,25.4,25.8,29.1,22.1,64.7,,18.4,1006.8,,,18.1
Thakurgaon,1,5,1980,27.0,28.4,32.3,22.1,71.2,,11.4,1008.5,,,21.1
Thakurgaon,2,5,1980,28.7,32.3,31.1,23.1,70.6,,14.8,1007.7,,,22.7
Thakurgaon,3,5,1980,23.8,24.1,27.2,20.1,77.4,,21.3,1006.2,,,19.5
Thakurgaon,4,5,1980,25.7,26.9,30.1,21.1,80.1,,14.8,1004.7,,,21.7
Thakurgaon,5,5,1980,26.4,28.4,29.1,23.0,83.6,,13.0,1004.4,,,23.3
Thakurgaon,6,5,1980,27.7,29.2,31.1,24.1,72.2,,18.4,1004.1,,,21.9
Thakurgaon,7,5,1980,27.0,28.3,33.1,23.1,78.3,,18.4,1004.3,,,22.5
Thakurgaon,8,5,1980,24.7,24.9,28.1,19.1,78.4,,14.8,1005.6,,,20.5
Thakurgaon,9,5,1980,24.9,25.7,27.1,22.1,80.6,,5.5,1006.1,,,21.2
Thakurgaon,10,5,1980,25.6,26.7,30.8,22.7,81.2,,11.3,1005.6,,,22.0
Thakurgaon,11,5,1980,27.2,28.6,33.8,21.1,68.0,,11.2,1007.1,,,20.3
Thakurgaon,12,5,1980,25.1,25.7,27.1,22.1,77.4,,18.4,1005.9,,,20.7
Thakurgaon,13,5,1980,25.7,26.6,29.4,23.0,80.0,,12.9,1006.6,,,21.9
Thakurgaon,14,5,1980,27.2,29.4,31.1,24.0,79.9,,22.3,1007.3,,,23.1
Thakurgaon,15,5,1980,27.1,28.4,31.1,24.0,76.6,,18.4,1006.6,,,22.3
Thakurgaon,16,5,1980,26.9,29.1,29.1,23.1,78.8,,18.4,1004.1,,,22.8
Thakurgaon,17,5,1980,24.6,25.3,29.1,21.0,88.3,,9.4,1001.2,,,22.5
Thakurgaon,18,5,1980,26.4,27.9,30.1,23.0,82.5,,13.9,1001.3,,,23.0
Thakurgaon,19,5,1980,24.0,24.0,25.6,22.1,86.7,,12.4,1003.6,,,21.6
Thakurgaon,20,5,1980,26.1,27.8,29.4,23.1,82.9,,11.0,1003.5,,,22.9
Thakurgaon,21,5,1980,26.5,28.0,32.1,23.1,67.9,,5.4,1002.6,,,18.9
Thakurgaon,22,5,1980,28.2,32.2,32.1,23.2,79.3,,18.4,1001.1,,,24.1
Thakurgaon,23,5,1980,30.6,36.6,33.1,28.1,66.5,,13.0,998.2,,,23.2
Thakurgaon,24,5,1980,28.4,32.8,32.1,25.1,78.8,,24.1,998.4,,,24.2
Thakurgaon,25,5,1980,28.1,31.8,29.1,27.1,78.6,,9.4,1002.2,,,23.9
Thakurgaon,26,5,1980,25.1,25.5,28.3,22.1,77.5,,18.2,1006.5,,,20.7
Thakurgaon,27,5,1980,28.4,30.8,32.1,24.1,69.0,,18.4,1004.8,,,21.9
Thakurgaon,28,5,1980,24.4,25.0,27.1,21.1,89.0,,18.4,1004.7,,,22.4
Thakurgaon,29,5,1980,26.0,27.0,29.1,23.1,77.1,,25.9,1005.7,,,21.5
Thakurgaon,30,5,1980,27.1,30.6,30.1,22.1,83.5,,12.8,1003.6,,,23.9
Thakurgaon,31,5,1980,26.7,28.9,30.4,23.1,82.2,,37.1,1005.0,,,23.3
Thakurgaon,1,6,1980,27.2,29.8,32.1,23.1,84.2,,90.3,1005.4,,,24.0
Thakurgaon,2,6,1980,31.6,35.6,38.1,26.1,63.7,,14.8,1006.3,,,23.3
Thakurgaon,3,6,1980,28.2,31.0,31.1,25.7,78.0,,14.8,1004.3,,,23.8
Thakurgaon,4,6,1980,29.0,32.9,32.4,25.1,77.3,,7.6,1000.5,,,24.4
Thakurgaon,5,6,1980,30.6,37.5,34.1,27.0,75.0,,7.5,998.8,,,25.4
Thakurgaon,6,6,1980,29.8,36.0,34.1,26.6,81.2,,9.3,999.6,,,26.0
Thakurgaon,7,6,1980,28.8,33.6,32.1,26.1,80.2,,16.5,1000.2,,,24.9
Thakurgaon,8,6,1980,26.3,27.6,28.1,25.1,91.7,,14.8,1003.1,,,24.8
Thakurgaon,9,6,1980,26.1,26.7,27.1,25.1,92.9,,11.2,1003.7,,,24.8
Thakurgaon,10,6,1980,28.1,31.7,31.1,25.7,84.9,,8.7,1002.0,,,25.2
Thakurgaon,11,6,1980,26.9,29.8,28.2,25.1,92.5,,10.2,1002.3,,,25.6
Thakurgaon,12,6,1980,28.8,34.2,31.1,25.1,80.7,,9.4,1004.4,,,25.1
Thakurgaon,13,6,1980,29.5,35.8,33.0,27.1,81.2,,9.4,1003.7,,,25.8
Thakurgaon,14,6,1980,29.7,36.7,32.7,26.1,83.3,,6.3,1002.5,,,26.4
Thakurgaon,15,6,1980,29.7,36.1,33.1,27.0,81.8,,7.6,1001.2,,,26.0
Thakurgaon,16,6,1980,28.5,33.6,31.0,24.1,83.7,,9.3,1000.2,,,25.3
Thakurgaon,17,6,1980,26.6,29.6,28.0,24.1,94.7,,22.3,1000.0,,,25.7
Thakurgaon,18,6,1980,26.1,28.2,28.1,24.1,96.2,,22.3,1000.2,,,25.4
Thakurgaon,19,6,1980,26.4,28.5,30.1,24.1,91.0,,22.3,1001.3,,,24.7
Thakurgaon,20,6,1980,29.6,36.2,32.1,27.0,80.0,,10.1,1002.9,,,25.7
Thakurgaon,21,6,1980,29.8,36.8,34.1,27.0,81.1,,22.3,1002.8,,,26.1
Thakurgaon,22,6,1980,27.1,34.4,32.1,13.3,84.4,,9.4,1001.4,,,24.1
Thakurgaon,23,6,1980,27.9,32.2,29.1,26.4,85.9,,18.4,1003.5,,,25.3
Thakurgaon,24,6,1980,28.3,33.3,32.8,20.3,73.1,,22.3,1003.1,,,22.6
