district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Bagerhat,1,1,2025,18.2,18.2,23.7,14.8,83.4,0.0,11.5,1015.1,7.0,163.8,15.2
Bagerhat,2,1,2025,17.0,17.0,22.5,13.9,83.4,0.0,12.6,1015.3,7.0,164.4,14.0
Bagerhat,3,1,2025,16.1,16.1,19.9,13.6,87.4,0.0,8.6,1015.6,6.0,138.8,13.9
Bagerhat,4,1,2025,16.8,16.8,21.8,13.7,87.5,0.0,6.5,1014.2,6.0,133.4,14.6
Bagerhat,5,1,2025,17.6,17.6,25.0,12.3,85.7,0.0,7.9,1014.6,7.0,173.2,14.9
Bagerhat,6,1,2025,19.0,19.1,27.1,13.2,83.1,0.0,9.0,1013.7,7.0,181.2,15.7
Bagerhat,7,1,2025,19.4,19.4,26.4,14.4,83.7,0.0,10.4,1012.9,6.0,141.9,16.3
Bagerhat,8,1,2025,17.6,17.6,21.5,14.6,87.0,0.0,10.1,1014.4,7.0,176.0,15.3
Bagerhat,9,1,2025,16.7,16.7,23.1,12.8,80.2,0.0,12.6,1017.0,7.0,197.7,12.9
Bagerhat,10,1,2025,16.9,16.9,24.5,12.0,77.9,0.0,9.4,1018.2,7.0,199.7,12.6
Bagerhat,11,1,2025,17.7,17.7,26.1,11.4,79.3,0.0,9.4,1017.9,7.0,199.2,13.5
Bagerhat,12,1,2025,18.6,18.6,27.8,12.2,77.2,0.0,9.0,1017.0,7.0,198.1,13.8
Bagerhat,13,1,2025,19.0,19.0,26.8,12.7,79.1,0.0,10.1,1015.0,7.0,195.4,14.7
Bagerhat,14,1,2025,19.5,19.5,26.2,14.9,78.1,0.0,12.6,1017.3,7.0,191.0,15.2
Bagerhat,15,1,2025,19.2,19.2,26.2,14.3,77.4,0.0,12.6,1017.8,7.0,195.5,14.6
Bagerhat,16,1,2025,19.3,19.3,27.1,14.3,79.9,0.0,10.1,1017.1,7.0,201.0,15.3
