district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Bandarban,1,1,2025,19.3,19.3,25.8,14.7,82.9,0.0,18.4,1013.6,7.0,194.4,16.2
Bandarban,2,1,2025,18.6,18.6,23.3,15.8,86.5,0.0,16.6,1014.1,7.0,193.8,16.1
Bandarban,3,1,2025,18.3,18.3,22.6,15.3,90.9,0.0,12.1,1014.8,7.0,172.7,16.7
Bandarban,4,1,2025,18.8,18.8,23.4,15.0,88.9,0.0,11.2,1013.7,7.0,172.9,16.9
Bandarban,5,1,2025,20.7,20.9,27.5,15.4,83.4,0.0,18.4,1014.6,7.0,169.1,17.4
Bandarban,6,1,2025,22.3,22.4,29.5,16.7,77.2,0.0,11.2,1013.4,7.0,184.5,17.5
Bandarban,7,1,2025,21.4,21.4,26.6,16.2,77.3,0.0,18.4,1012.9,7.0,188.1,16.7
Bandarban,8,1,2025,20.2,20.2,26.0,15.4,81.8,0.0,22.3,1013.6,7.0,182.4,16.7
Bandarban,9,1,2025,19.4,19.4,24.6,14.4,79.5,0.0,14.8,1015.8,7.0,194.3,15.5
Bandarban,10,1,2025,19.8,19.8,28.3,13.9,76.0,0.0,11.2,1017.0,7.0,201.7,14.8
Bandarban,11,1,2025,21.5,21.4,29.0,13.1,70.6,0.0,14.8,1016.9,7.0,200.2,15.1
Bandarban,12,1,2025,21.8,21.8,29.0,14.6,69.6,0.0,13.0,1016.7,7.0,196.9,15.2
Bandarban,13,1,2025,21.1,21.0,29.1,13.6,69.1,0.0,14.8,1015.0,7.0,199.0,14.2
Bandarban,14,1,2025,20.7,20.7,27.0,13.5,70.3,0.0,14.8,1016.0,7.0,202.6,14.4
Bandarban,15,1,2025,21.6,21.6,27.4,14.5,68.1,0.0,13.0,1016.4,7.0,203.3,14.8
Bandarban,16,1,2025,22.2,22.1,29.0,14.8,66.4,0.0,11.2,1016.1,7.0,203.8,14.8
Bandarban,17,1,2025,22.0,21.8,29.0,15.4,65.7,0.0,18.4,1015.1,8.0,206.7,14.3
Bandarban,18,1,2025,22.0,22.0,28.1,14.8,66.0,0.0,18.4,1014.2,8.0,209.8,14.7
Bandarban,19,1,2025,21.8,21.8,26.5,15.3,63.2,0.0,22.3,1013.1,8.0,210.1,13.8
Bandarban,20,1,2025,20.3,20.3,26.8,13.4,67.6,0.0,14.8,1011.9,8.0,212.4,13.5
Bandarban,21,1,2025,19.8,19.8,26.8,13.7,73.2,0.0,14.8,1011.6,8.0,212.4,14.3
Bandarban,22,1,2025,20.7,20.7,27.3,14.0,73.2,0.0,20.5,1012.4,8.0,212.4,15.1
Bandarban,23,1,2025,20.9,20.9,28.0,13.4,70.3,0.0,18.4,1013.0,8.0,215.0,14.6
Bandarban,24,1,2025,21.3,21.1,29.0,14.2,65.9,0.0,14.8,1012.4,8.0,216.7,13.6
Bandarban,25,1,2025,21.5,21.4,27.0,16.0,63.7,0.0,16.6,1012.9,8.0,189.3,13.5
Bandarban,26,1,2025,20.7,20.7,27.1,14.3,65.2,0.0,24.1,1012.4,8.0,219.6,13.2
Bandarban,27,1,2025,19.7,19.7,26.0,12.6,69.7,0.0,13.0,1010.8,8.0,220.6,13.3
Bandarban,28,1,2025,19.7,19.7,26.0,13.0,75.6,0.0,14.8,1012.6,8.0,215.2,14.7
Bandarban,29,1,2025,19.7,19.7,27.0,12.8,74.6,0.0,11.2,1014.7,8.0,219.2,14.1
Bandarban,30,1,2025,20.0,20.0,26.6,12.7,72.9,0.0,16.6,1012.4,8.0,217.8,14.4
Bandarban,31,1,2025,21.5,21.5,27.0,15.0,77.2,0.0,11.2,1012.5,8.0,205.8,17.1
Bandarban,1,2,2025,22.7,22.9,28.3,16.2,78.9,0.0,11.2,1012.3,8.0,204.9,18.4
Bandarban,2,2,2025,23.0,23.2,28.0,18.2,79.6,0.0,14.8,1012.1,8.0,200.5,19.0
Bandarban,3,2,2025,23.2,23.3,29.0,18.7,72.8,0.0,14.8,1012.4,8.0,220.3,17.3
Bandarban,4,2,2025,22.1,21.9,28.2,15.4,61.5,0.0,13.0,1012.2,8.0,229.3,13.1
Bandarban,5,2,2025,21.5,21.5,27.6,14.4,71.8,0.0,16.6,1011.2,8.0,224.2,15.6
Bandarban,6,2,2025,22.8,23.1,29.2,16.6,75.8,0.0,14.8,1011.7,8.0,222.2,17.8
Bandarban,7,2,2025,23.2,22.9,30.0,17.0,62.4,0.0,20.5,1013.0,8.0,234.9,13.7
Bandarban,8,2,2025,21.9,21.7,28.3,13.7,54.4,0.0,25.9,1013.3,9.0,241.2,11.0
Bandarban,9,2,2025,20.8,20.7,28.5,13.7,59.7,0.0,16.6,1012.9,8.0,239.8,11.8
Bandarban,10,2,2025,21.7,21.5,29.0,13.0,59.5,0.0,14.8,1013.8,8.0,236.2,11.6
Bandarban,11,2,2025,22.0,22.1,30.0,15.4,71.5,0.0,16.6,1013.4,8.0,234.6,15.8
Bandarban,12,2,2025,23.4,23.7,29.0,16.6,75.8,0.0,14.8,1013.2,8.0,229.9,18.5
Bandarban,13,2,2025,24.5,24.7,30.5,19.3,76.8,0.0,14.8,1012.3,8.0,210.9,19.6
Bandarban,14,2,2025,24.7,25.3,29.3,20.5,79.9,0.9,14.8,1011.7,8.0,201.8,20.8
Bandarban,15,2,2025,23.6,23.3,30.1,17.4,62.7,0.0,16.6,1011.6,8.0,232.1,14.3
Bandarban,16,2,2025,23.4,23.1,30.5,15.0,60.9,0.0,18.4,1012.6,8.0,236.5,14.0
Bandarban,17,2,2025,23.7,23.4,32.1,15.5,62.0,0.0,18.4,1013.8,9.0,242.9,14.5
Bandarban,18,2,2025,23.8,23.5,32.1,16.4,59.1,0.0,11.2,1013.4,9.0,244.8,14.2
Bandarban,19,2,2025,22.9,23.0,29.5,17.0,68.8,0.0,11.2,1012.8,8.0,215.3,16.4
Bandarban,20,2,2025,25.1,25.2,33.0,17.4,67.6,0.0,16.6,1013.3,8.0,228.9,17.4
Bandarban,21,2,2025,25.9,25.8,31.1,20.2,63.3,0.1,14.8,1013.7,9.0,239.6,17.6
Bandarban,22,2,2025,25.1,25.2,33.0,17.1,64.7,0.0,18.4,1014.2,9.0,248.2,16.8
Bandarban,23,2,2025,25.5,25.8,31.0,18.7,62.0,0.1,16.6,1014.9,8.0,219.5,17.0
Bandarban,24,2,2025,25.3,25.5,32.1,18.7,61.3,0.0,18.4,1015.6,9.0,253.3,16.6
Bandarban,25,2,2025,26.0,25.8,33.0,17.9,54.3,0.0,18.4,1016.8,9.0,257.8,14.9
Bandarban,26,2,2025,25.6,25.2,31.2,18.0,48.0,0.0,22.3,1016.6,9.0,262.1,12.9
Bandarban,27,2,2025,24.5,24.4,31.6,17.0,58.4,0.0,16.6,1014.7,9.0,262.0,15.0
Bandarban,28,2,2025,23.9,24.0,30.6,16.1,66.8,0.0,16.6,1013.7,9.0,253.4,16.7
