district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Barguna,1,1,2025,18.5,18.5,23.8,15.3,85.1,0.0,12.2,1014.6,7.0,176.5,15.8
Barguna,2,1,2025,17.2,17.2,21.9,15.0,86.8,0.0,15.5,1014.7,7.0,178.7,14.9
Barguna,3,1,2025,16.3,16.3,19.7,14.0,88.3,0.0,8.6,1015.1,7.0,168.7,14.3
Barguna,4,1,2025,17.3,17.3,22.9,14.6,84.4,0.0,5.8,1013.8,7.0,165.6,14.5
Barguna,5,1,2025,18.0,18.0,25.9,13.4,85.7,0.0,8.3,1014.3,7.0,180.7,15.2
Barguna,6,1,2025,19.6,19.7,27.6,14.4,85.5,0.0,9.7,1013.6,7.0,179.5,16.7
Barguna,7,1,2025,19.9,19.9,27.3,15.4,82.6,0.0,10.1,1012.7,7.0,167.2,16.4
Barguna,8,1,2025,18.0,18.0,22.3,15.6,90.2,0.0,10.8,1014.0,7.0,171.2,16.2
Barguna,9,1,2025,17.1,17.1,24.1,13.8,83.0,0.0,14.0,1016.5,7.0,200.9,13.9
Barguna,10,1,2025,17.3,17.3,25.3,12.5,79.3,0.0,11.2,1017.8,7.0,203.7,13.2
Barguna,11,1,2025,18.4,18.4,27.8,12.2,78.8,0.0,9.7,1017.5,7.0,204.0,14.0
Barguna,12,1,2025,19.1,19.1,29.3,12.9,78.6,0.0,10.1,1016.7,7.0,200.4,14.5
Barguna,13,1,2025,19.3,19.2,28.3,13.6,78.3,0.0,10.1,1014.8,7.0,201.9,14.6
Barguna,14,1,2025,19.4,19.3,27.0,14.3,79.4,0.0,13.7,1016.8,7.0,198.1,15.2
Barguna,15,1,2025,19.2,19.2,26.6,14.6,78.5,0.0,14.8,1017.3,7.0,202.1,14.7
Barguna,16,1,2025,19.8,19.8,28.5,14.8,80.5,0.0,10.8,1016.6,7.0,203.9,15.8
Barguna,17,1,2025,20.2,20.2,28.1,15.1,78.3,0.0,12.2,1015.5,7.0,203.3,15.7
Barguna,18,1,2025,20.1,20.1,27.6,15.1,78.4,0.0,10.4,1015.0,8.0,205.2,15.7
Barguna,19,1,2025,19.1,19.1,26.1,14.7,73.3,0.0,14.0,1014.0,8.0,212.5,13.4
Barguna,20,1,2025,18.1,18.1,25.7,12.5,77.1,0.0,11.5,1012.3,8.0,211.8,13.4
Barguna,21,1,2025,18.8,18.8,27.1,12.4,80.0,0.0,10.4,1011.8,8.0,209.7,14.8
Barguna,22,1,2025,20.3,20.4,28.5,14.5,81.7,0.0,8.3,1012.3,8.0,209.0,16.6
Barguna,23,1,2025,19.5,19.5,25.7,15.0,84.9,0.0,9.7,1013.2,8.0,209.1,16.7
Barguna,24,1,2025,20.3,20.3,28.8,15.1,82.7,0.0,7.6,1012.6,8.0,202.3,16.8
Barguna,25,1,2025,20.2,20.2,26.6,15.7,81.6,0.0,9.7,1013.4,7.0,164.3,16.5
Barguna,26,1,2025,19.3,19.3,26.0,14.4,74.7,0.0,12.2,1012.8,8.0,215.2,14.0
Barguna,27,1,2025,18.4,18.4,26.0,12.3,76.5,0.0,11.9,1011.2,8.0,218.0,13.5
Barguna,28,1,2025,18.9,18.9,27.0,12.6,77.1,0.0,9.0,1012.7,8.0,216.7,14.0
Barguna,29,1,2025,19.9,19.9,27.7,13.7,79.0,0.0,8.3,1015.0,8.0,210.7,15.5
Barguna,30,1,2025,21.6,21.8,27.2,15.3,84.0,0.4,18.7,1011.9,6.0,154.5,18.6
Barguna,31,1,2025,23.0,23.0,26.7,19.7,87.2,0.7,18.4,1011.6,5.0,125.1,20.7
Barguna,1,2,2025,23.3,23.6,29.0,20.7,89.3,1.0,9.4,1012.1,6.0,148.9,21.3
Barguna,2,2,2025,23.3,23.5,27.4,21.0,91.6,0.4,9.7,1012.1,6.0,141.1,21.7
Barguna,3,2,2025,23.2,23.4,28.8,19.3,85.7,0.1,7.2,1012.5,7.0,174.0,20.4
Barguna,4,2,2025,21.5,21.4,28.2,16.0,75.1,0.0,11.5,1012.4,8.0,222.1,16.2
Barguna,5,2,2025,22.0,22.0,29.2,15.7,79.4,0.0,8.3,1011.0,8.0,217.7,17.7
Barguna,6,2,2025,23.6,23.9,29.7,20.3,86.2,0.0,9.0,1011.6,8.0,201.7,20.8
Barguna,7,2,2025,21.1,21.0,29.2,15.6,70.3,0.0,11.2,1013.5,8.0,236.5,14.3
Barguna,8,2,2025,19.5,19.4,27.9,12.5,68.8,0.0,13.3,1013.8,8.0,236.2,12.4
Barguna,9,2,2025,19.5,19.4,27.5,12.0,69.6,0.0,10.8,1013.2,8.0,235.8,12.8
Barguna,10,2,2025,21.6,21.6,30.0,13.6,73.7,0.0,9.0,1013.7,8.0,234.5,15.6
Barguna,11,2,2025,23.5,24.0,29.4,18.4,85.0,0.0,13.7,1012.7,8.0,215.3,20.6
Barguna,12,2,2025,24.8,25.4,29.4,21.1,86.6,0.6,12.2,1012.5,6.0,169.5,22.2
Barguna,13,2,2025,25.3,26.2,29.2,22.0,89.1,1.7,13.3,1011.4,7.0,172.2,23.2
Barguna,14,2,2025,23.7,23.6,29.3,18.9,70.5,0.0,12.6,1011.8,8.0,232.3,16.9
Barguna,15,2,2025,22.6,22.4,30.2,14.6,73.3,0.0,8.3,1011.8,8.0,237.0,16.4
Barguna,16,2,2025,23.4,23.5,31.6,16.4,77.3,0.0,10.8,1012.2,8.0,212.1,18.5
Barguna,17,2,2025,24.0,24.2,30.9,19.3,82.6,0.0,11.2,1013.6,8.0,228.0,20.3
Barguna,18,2,2025,24.1,24.4,30.7,19.9,84.0,0.2,11.5,1013.2,8.0,231.5,20.8
Barguna,19,2,2025,23.9,24.2,28.4,21.0,87.7,2.8,7.2,1012.5,7.0,189.9,21.6
Barguna,20,2,2025,23.6,24.1,30.1,19.7,86.9,0.7,9.4,1013.7,7.0,191.7,21.0
